lineno,aX,aY,aZ,gX,gY,gZ
0,-1.1000,3.6700,0.2400,-0.3545,-0.2160,-0.6392
1,-1.4700,3.1700,0.1100,-0.2127,-0.0851,-0.5094
2,-1.8200,4.3300,-0.1500,0.0338,0.0076,-0.3709
3,-0.7300,4.5900,-0.5500,0.1484,-0.0273,-0.3022
4,-1.1300,5.5700,-0.9800,0.1124,0.0665,-0.2127
5,-1.1700,6.2100,-1.1500,0.1680,0.2694,-0.0600
6,-1.8400,5.9800,-0.7300,0.0654,0.5552,0.0774
7,-2.4500,6.4200,-0.5500,0.0076,0.7996,0.3087
8,-2.6400,6.5400,-0.5400,0.0927,0.9239,0.6469
9,-2.7700,7.1800,-0.6300,0.0916,1.1552,0.9414
10,-2.9300,8.6300,-0.8900,-0.0785,1.3134,1.2370
11,-3.6300,7.5300,-0.3700,-0.4527,1.5566,1.6188
12,-3.5600,7.3000,-0.2800,-0.6785,1.7890,2.1664
13,-3.1900,7.8100,-0.6900,-0.5214,1.8893,2.8013
14,-2.6500,5.6200,-0.7100,-0.5956,2.1337,3.2998
15,-3.4800,6.1500,-0.6100,-0.8574,2.1380,3.6881
16,-3.7000,5.5100,0.0500,-0.0491,2.3038,4.3579
17,-3.5200,5.7500,-0.0100,-0.0491,2.3038,4.3579
18,-3.4600,5.3900,-0.4500,0.5585,2.3856,4.8378
19,-3.1700,5.2200,-0.6400,1.0810,2.3846,5.1804
20,-2.5600,5.6500,-1.0800,1.2981,2.4576,5.3887
21,-2.8200,4.3200,-0.8500,1.5501,2.5994,5.5480
22,-2.8100,3.2700,-0.5100,1.6766,2.8493,5.6810
23,-2.9500,2.6800,-0.3200,1.6810,3.1340,5.8054
24,-3.5700,1.3100,0.7400,1.8500,3.4808,5.9647
25,-3.8200,1.7500,0.9800,2.2940,3.9543,5.9428
26,-4.2800,2.3800,1.4500,2.2940,3.9543,5.9428
27,-4.9700,1.8300,2.6600,2.1140,4.2215,5.3778
28,-6.8400,-2.8400,5.0800,1.3843,4.3033,4.9229
29,-7.4700,-5.7600,6.4600,0.8574,4.1877,4.5019
30,-7.9500,-6.6800,7.4900,0.7221,3.8823,3.9946
31,-8.3500,-8.3700,8.7800,0.5607,3.4568,3.2027
32,-9.1300,-8.6200,9.2100,0.1713,3.0205,2.2384
33,-9.3500,-8.7400,9.5300,-0.2923,2.6005,1.3265
34,-9.2400,-8.8700,8.8400,-0.5814,2.0889,0.6305
35,-8.3000,-8.2700,8.1200,-0.5651,1.5381,0.0971
36,-7.4100,-7.3700,7.5000,-0.4243,1.0548,-0.3491
37,-6.7300,-6.7500,7.0600,-0.4243,1.0548,-0.3491
38,-5.7600,-6.6500,6.9900,-0.3163,0.7483,-0.7527
39,-5.6500,-5.7600,7.1900,-0.2662,0.5792,-1.1410
40,-5.5000,-5.2300,7.2600,-0.0633,0.3076,-2.0115
41,-5.1600,-4.5000,6.8500,-0.6578,-0.1320,-3.1765
42,-5.3400,-4.1400,6.7500,-0.7974,-0.3338,-3.6794
43,-5.5300,-3.3500,6.4600,-0.7789,-0.5280,-4.1048
44,-5.4200,-2.2600,6.0100,-0.7974,-0.7374,-4.4451
45,-5.5800,-1.7600,5.9200,-0.8279,-0.9872,-4.7266
46,-5.7600,-0.9200,5.8800,-0.8279,-0.9872,-4.7266
47,-5.3800,0.2900,5.2300,-0.8236,-1.5872,-5.0462
48,-5.4000,0.9000,4.7600,-0.7658,-1.9144,-5.1182
49,-4.8800,1.6000,4.0100,-0.6294,-2.1217,-5.1662
50,-5.1000,2.0700,3.6100,-0.6294,-2.1217,-5.1662
51,-4.1900,3.7300,2.3600,-0.4102,-2.1795,-5.1793
52,-3.7600,4.7300,1.8100,-0.0567,-2.1511,-5.1062
53,-3.5100,5.2700,1.3900,0.2880,-2.0922,-4.9458
54,-2.8900,6.3800,0.8700,0.4320,-1.9929,-4.7887
55,-3.0100,6.4600,0.6700,0.3545,-1.7868,-4.5684
56,-3.2600,6.3200,0.5600,0.3632,-1.7508,-4.4168
57,-3.0200,6.9900,0.1000,0.3632,-1.7508,-4.4168
58,-3.0700,7.3200,-0.1400,0.4658,-1.7399,-4.2401
59,-2.8800,7.6800,-0.6300,0.5923,-1.6733,-3.8801
60,-2.7600,8.3200,-1.1000,0.5923,-1.6733,-3.8801
61,-1.8000,9.9300,-1.8400,0.5509,-1.3963,-3.3685
62,-1.4200,10.2900,-2.2600,0.5509,-1.3963,-3.3685
63,-1.3800,10.6900,-2.5100,0.5269,-1.2086,-2.9605
64,-0.7500,11.4900,-3.0700,0.5607,-0.9545,-2.4685
65,-1.1200,11.7400,-3.0800,0.5836,-0.7090,-1.9450
66,-0.9200,11.9200,-3.0700,0.5411,-0.3502,-1.4268
67,-0.9300,12.1400,-2.8800,0.2585,0.2771,-0.4167
68,-0.9800,11.7200,-2.7700,0.0338,0.5563,0.0698
69,-1.2300,11.0600,-2.5500,0.0338,0.5563,0.0698
70,-1.2100,10.3100,-2.4900,-0.1200,0.7909,0.5454
71,-1.4200,9.3400,-2.3200,-0.1582,1.0047,0.9839
72,-1.5100,9.5600,-2.3800,-0.0076,1.3450,1.7988
73,-1.1400,9.8100,-2.9900,-0.2694,1.5304,2.2209
74,-1.1700,8.0700,-2.8900,-0.5291,1.7901,2.6114
75,-1.0600,8.2200,-2.9500,-0.5291,1.7901,2.6114
76,-1.6600,7.5400,-2.5600,-0.4483,2.0006,3.0009
77,-2.5300,6.4100,-1.7800,-0.3632,2.2569,3.3325
78,-2.7700,5.8600,-1.5000,-0.1505,2.4009,3.6434
79,-3.0500,5.4200,-1.0600,0.0502,2.5035,3.8844
80,-3.4800,5.4200,-0.4600,0.1822,2.6027,3.9575
81,-4.5200,6.6900,0.4100,0.3022,2.6976,3.9434
82,-4.7900,7.0900,0.9600,0.1920,2.7467,3.8964
83,-5.0600,7.1000,1.5300,-0.0687,2.7293,3.8746
84,-5.1300,6.9900,1.1400,-0.2334,2.6365,3.9597
85,-5.2000,6.0400,1.2300,-0.3065,2.4795,4.1212
86,-5.0300,5.2100,1.3100,-0.1669,2.4315,4.6535
87,-5.4500,3.5700,1.9100,-0.1669,2.4315,4.6535
88,-5.3900,3.3100,2.5000,0.1691,2.4762,4.9447
89,-5.4500,2.9000,3.3300,0.4527,2.5602,5.0724
90,-5.6000,3.4500,3.9200,0.6250,2.6071,5.0593
91,-5.9200,4.0500,4.6600,0.7330,2.5307,4.9971
92,-5.6500,4.1200,5.0500,0.4287,2.2777,4.7135
93,-5.6600,4.1700,5.2800,0.2345,2.1860,4.5760
94,-5.8900,5.2700,4.3100,-0.1331,2.0715,4.4953
95,-5.6700,4.1900,3.8000,-0.7025,1.9864,4.4986
96,-5.7500,2.3800,3.5700,-0.9796,1.9340,4.6088
97,-6.3100,-0.1600,3.7800,-0.9796,1.9340,4.6088
98,-6.5100,-1.1700,4.4600,-0.8258,1.9689,4.7298
99,-6.5100,-1.9600,5.1800,-0.2029,1.8882,4.6982
100,-6.5700,-1.6400,6.1800,0.0862,1.6221,4.4419
101,-6.1700,-1.1300,6.2500,0.1582,1.3046,4.0230
102,-5.7100,0.3300,5.8400,-0.0524,1.0767,3.5125
103,-5.3800,1.2300,5.9100,-0.5421,0.9654,3.0565
104,-5.0800,2.9600,4.9600,-0.9490,0.8323,2.7794
105,-5.1600,2.9000,4.9500,-1.3188,0.7025,2.6824
106,-4.0200,2.4500,4.1700,-1.3963,0.5727,2.7489
107,-5.1700,-0.7300,4.1800,-1.3963,0.5727,2.7489
108,-5.6300,-1.8300,4.6600,-1.1596,0.7669,2.9540
109,-5.8700,-1.8500,5.5200,-0.4352,0.8029,3.0740
110,-6.6500,-1.7100,6.1200,-0.3316,0.4658,3.0151
111,-7.0500,-1.4100,6.0900,-0.4003,-0.0098,2.6889
