lineno,aX,aY,aZ,gX,gY,gZ
0,-3.0000,-1.6300,-5.7600,-1.1181,-0.2498,0.4505
1,-3.4000,-3.6900,-5.8400,-1.1181,-0.2498,0.4505
2,-3.4300,-4.0400,-5.9700,-1.1192,-0.1014,0.5105
3,-3.5400,-4.7100,-5.9200,-0.9501,0.0295,0.4712
4,-3.6100,-4.6700,-5.9400,-0.8050,0.1767,0.3469
5,-3.5100,-5.1400,-5.9600,-0.6818,0.3338,0.1353
6,-3.3700,-5.2900,-6.1100,-0.6785,0.5018,-0.1254
7,-3.3100,-5.7000,-6.0600,-0.4909,0.8465,-0.4461
8,-3.1600,-5.5600,-5.9800,-0.3414,1.0254,-0.6240
9,-3.0100,-5.5600,-5.8400,-0.2629,1.1661,-0.8214
10,-2.8400,-5.8800,-5.6900,-0.2018,1.2566,-0.9839
11,-2.5400,-6.5100,-5.6000,-0.1069,1.3232,-1.1323
12,-2.4400,-6.3000,-5.5600,0.0349,1.4355,-1.3014
13,-2.2600,-6.2200,-5.5500,0.2149,1.5828,-1.4835
14,-2.3800,-5.5500,-4.9900,0.4036,1.7279,-1.6330
15,-2.4800,-5.0200,-4.7100,0.5967,1.8577,-1.7661
16,-2.4600,-4.8000,-4.4000,0.7101,1.9493,-1.9046
17,-2.4900,-4.1900,-4.1200,0.7101,1.9493,-1.9046
18,-2.8500,-2.8700,-3.1900,0.8279,2.0682,-2.0344
19,-3.0300,-2.6600,-2.4200,0.8967,2.1915,-2.1598
20,-3.4100,-1.7400,-1.6600,0.9065,2.3104,-2.2657
21,-3.4300,-0.5400,-0.4000,1.0886,2.4587,-2.3726
22,-3.6000,-0.0800,0.2500,1.0854,2.4566,-2.3933
23,-3.6700,0.2300,0.8900,1.0854,2.4566,-2.3933
24,-3.6300,1.4400,2.0500,1.0865,2.3736,-2.4031
25,-3.4700,1.7900,2.5000,1.0548,2.2831,-2.4031
26,-3.5600,2.4800,2.9500,1.0548,2.2831,-2.4031
