lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1390625,3,-0.07471,-0.04810,0.33789,0.93701,1.75781,1.82812,1.14453,-0.53320,0.18359,-0.10547,0.69563,-0.03966,-0.17350
1,9766,3,-0.07709,-0.04852,0.33710,0.93707,2.14062,2.32812,1.88672,-0.60547,0.43750,-0.03320,0.69412,-0.03898,-0.17826
2,9765,3,-0.08026,-0.04810,0.33649,0.93701,2.63281,2.88672,2.92969,-0.71484,0.82422,0.05664,0.69286,-0.03613,-0.18394
3,12696,3,-0.08447,-0.04620,0.33618,0.93689,3.50000,4.09766,6.00000,-0.71289,1.30273,0.09570,0.69188,-0.02978,-0.19057
4,6836,3,-0.08936,-0.04260,0.33594,0.93665,3.40234,4.01562,7.42578,-0.61523,1.75195,0.10547,0.69070,-0.01977,-0.19734
5,10742,3,-0.09503,-0.03656,0.33557,0.93646,2.39844,2.96094,8.73047,-0.37891,2.09180,0.14062,0.68865,-0.00469,-0.20395
6,9765,3,-0.10089,-0.02789,0.33514,0.93634,0.87109,1.35938,9.81641,-0.00586,2.24414,0.16992,0.68583,0.01539,-0.20918
7,9766,3,-0.10522,-0.01843,0.33478,0.93622,-2.56250,-2.21875,10.74609,0.61719,2.11328,0.10352,0.68302,0.03595,-0.21107
8,10742,3,-0.10754,-0.00720,0.33429,0.93628,-3.83984,-3.39844,10.46094,1.53125,1.63086,-0.14648,0.67976,0.05845,-0.20805
9,9766,3,-0.10559,0.00342,0.33319,0.93689,-4.80859,-4.42578,10.10938,2.45508,0.93750,-0.55859,0.67576,0.07685,-0.19745
10,9765,3,-0.09839,0.01251,0.33087,0.93848,-5.87891,-5.15234,9.03516,3.26758,0.19727,-0.97266,0.66999,0.08870,-0.17802
11,9766,3,-0.08606,0.01941,0.32690,0.94092,-8.93359,-6.03906,6.42969,3.81055,-0.45508,-1.08398,0.66176,0.09293,-0.15048
12,10742,3,-0.06903,0.02417,0.32172,0.94403,-10.64453,-6.80078,4.57422,4.03125,-1.01562,-0.77539,0.65168,0.09017,-0.11550
