lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1452148,3,0.33203,-0.17444,0.05695,0.92523,-1.74219,-0.46094,-2.17578,-0.23242,-0.16016,0.01367,-0.01122,-0.36893,0.69119
1,9766,3,0.33112,-0.17511,0.05658,0.92548,-1.93359,-0.52344,-2.44531,-0.29102,-0.18555,0.06445,-0.01205,-0.36997,0.68943
2,10742,3,0.32996,-0.17603,0.05627,0.92572,-1.98828,-0.77734,-2.98828,-0.37305,-0.17969,0.13672,-0.01285,-0.37153,0.68720
3,9766,3,0.32843,-0.17706,0.05627,0.92609,-2.04688,-0.98047,-3.34766,-0.49219,-0.18359,0.22070,-0.01297,-0.37353,0.68406
4,9765,3,0.32629,-0.17828,0.05646,0.92657,-2.21875,-1.16406,-3.82422,-0.64062,-0.17578,0.32422,-0.01260,-0.37604,0.67958
5,9766,3,0.32355,-0.17969,0.05701,0.92725,-2.24219,-1.23438,-4.46094,-0.77148,-0.18164,0.38477,-0.01136,-0.37913,0.67363
6,10742,3,0.31995,-0.18127,0.05780,0.92810,-2.04297,-1.17188,-4.78906,-0.89062,-0.20312,0.40820,-0.00939,-0.38277,0.66577
7,9766,3,0.31580,-0.18298,0.05872,0.92914,-2.00391,-1.12891,-5.13672,-1.03125,-0.21680,0.43359,-0.00698,-0.38670,0.65663
8,9765,3,0.31110,-0.18488,0.05951,0.93036,-1.99609,-1.16016,-5.48828,-1.20703,-0.19141,0.46875,-0.00465,-0.39088,0.64631
9,9766,3,0.30566,-0.18677,0.06030,0.93170,-1.80469,-1.14453,-5.98828,-1.39453,-0.13281,0.51172,-0.00196,-0.39508,0.63441
10,10742,3,0.29901,-0.18866,0.06128,0.93341,-1.91406,-1.05469,-6.24219,-1.59570,-0.04492,0.58203,0.00171,-0.39937,0.61968
11,9766,3,0.29156,-0.19031,0.06238,0.93536,-2.09766,-1.00781,-6.49609,-1.81445,0.04883,0.65820,0.00622,-0.40322,0.60306
12,9765,3,0.28290,-0.19171,0.06372,0.93762,-2.35938,-0.89062,-6.77344,-2.03516,0.11328,0.72852,0.01200,-0.40668,0.58359
13,9766,3,0.27332,-0.19281,0.06537,0.94012,-3.03516,-0.72656,-7.32031,-2.26953,0.13867,0.83594,0.01909,-0.40963,0.56188
14,10742,3,0.26239,-0.19397,0.06720,0.94287,-3.59375,-0.75391,-7.61328,-2.50391,0.13672,0.96289,0.02722,-0.41266,0.53714
15,9766,3,0.25061,-0.19519,0.06934,0.94568,-3.91797,-0.85547,-7.82031,-2.72656,0.09961,1.07227,0.03641,-0.41580,0.51042
16,9765,3,0.23676,-0.19678,0.07196,0.94867,-4.06250,-1.51562,-7.96875,-2.96484,0.06641,1.18750,0.04750,-0.41967,0.47902
