lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1083008,3,0.15564,0.07013,-0.34668,0.92230,1.54297,1.17188,1.39844,-0.10352,1.06445,-0.71094,-0.68909,0.23957,0.24802
1,9765,3,0.15656,0.07532,-0.34888,0.92090,1.18359,1.30859,1.80469,-0.11523,1.33008,-0.69141,-0.69315,0.25058,0.24587
2,9766,3,0.15778,0.08130,-0.35089,0.91943,0.61328,1.33984,2.40234,-0.09375,1.66406,-0.60352,-0.69672,0.26326,0.24380
3,9766,3,0.15973,0.08923,-0.35254,0.91772,-0.72656,1.44141,3.81250,-0.06250,1.96484,-0.48633,-0.69926,0.28006,0.24195
4,10742,3,0.16235,0.09821,-0.35339,0.91602,-1.27344,1.27344,4.17578,-0.02930,2.22266,-0.35352,-0.69992,0.29911,0.24095
5,8789,3,0.16559,0.10815,-0.35345,0.91431,-1.68359,1.05859,4.50781,0.08594,2.44141,-0.21680,-0.69870,0.32027,0.24079
6,10742,3,0.16949,0.11865,-0.35266,0.91260,-2.81250,0.25391,4.96094,0.27148,2.54688,-0.15430,-0.69544,0.34278,0.24196
7,9766,3,0.17480,0.13037,-0.35126,0.91052,-3.46094,-0.18359,4.76953,0.54688,2.43945,-0.18359,-0.69039,0.36850,0.24552
8,10742,3,0.18091,0.14117,-0.34991,0.90826,-4.61328,-0.86719,4.56641,0.90234,2.10352,-0.23438,-0.68515,0.39308,0.25143
9,9765,3,0.18793,0.15039,-0.34912,0.90564,-6.13281,-1.44922,4.20703,1.23633,1.56445,-0.20508,-0.68074,0.41547,0.26019
10,9766,3,0.19586,0.15717,-0.34900,0.90283,-9.60938,-2.42188,2.92188,1.55078,0.89258,-0.06055,-0.67735,0.43401,0.27225
11,9766,3,0.20404,0.16040,-0.34930,0.90033,-10.88672,-2.87891,2.26953,1.80664,0.11719,0.18164,-0.67468,0.44603,0.28697
12,10742,3,0.21252,0.15973,-0.34967,0.89838,-11.59766,-3.32422,1.53125,2.02539,-0.66406,0.50586,-0.67197,0.45071,0.30481
13,11719,3,0.22101,0.15472,-0.34973,0.89716,-11.70312,-3.84766,0.03516,2.19922,-1.42969,0.79492,-0.66881,0.44695,0.32546
