lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1471680,3,0.04663,-0.03699,0.45538,0.88831,0.05078,2.56641,2.49219,-0.66602,0.02148,0.08203,0.94474,-0.10839,0.04947
1,10742,3,0.04382,-0.03827,0.45563,0.88824,-0.29297,3.35156,4.94531,-0.63477,-0.01758,0.12305,0.94557,-0.10813,0.04325
2,9766,3,0.04083,-0.03986,0.45599,0.88812,-0.36719,3.33594,6.42969,-0.46875,-0.06445,0.17969,0.94670,-0.10825,0.03640
3,9766,3,0.03845,-0.04132,0.45660,0.88788,-0.60547,2.81641,8.07812,-0.10742,-0.04688,0.22656,0.94832,-0.10870,0.03073
4,9765,3,0.03723,-0.04230,0.45746,0.88745,-0.65234,2.12109,9.71875,0.34766,-0.11133,0.23633,0.95039,-0.10935,0.02755
5,10742,3,0.03790,-0.04242,0.45856,0.88684,0.03516,0.26562,10.85938,0.77539,-0.17578,0.19141,0.95284,-0.11022,0.02850
6,9766,3,0.04071,-0.04181,0.45966,0.88617,0.28906,-0.74609,10.98047,1.12305,-0.17578,0.11523,0.95509,-0.11176,0.03394
7,9766,3,0.04529,-0.04041,0.46051,0.88556,0.26562,-1.68359,10.78125,1.45117,-0.13477,0.03125,0.95661,-0.11352,0.04329
8,9765,3,0.05133,-0.03815,0.46112,0.88501,-0.16406,-3.29688,10.06250,1.79492,-0.08594,-0.00195,0.95743,-0.11512,0.05608
9,10742,3,0.05884,-0.03491,0.46149,0.88452,-0.74609,-3.91797,9.22656,2.12305,-0.06250,0.02148,0.95755,-0.11633,0.07241
10,9766,3,0.06775,-0.03064,0.46185,0.88385,-1.48047,-4.29688,8.08594,2.40820,-0.05859,0.07422,0.95764,-0.11701,0.09222
11,9766,3,0.07794,-0.02570,0.46240,0.88287,-2.06250,-4.44922,6.83594,2.62695,-0.07617,0.13672,0.95815,-0.11772,0.11491
12,9765,3,0.08862,-0.02045,0.46313,0.88159,-3.03125,-4.16797,3.79688,2.79297,-0.11523,0.23438,0.95919,-0.11842,0.13874
13,10742,3,0.10132,-0.01440,0.46423,0.87976,-3.54297,-4.21094,2.29688,2.90820,-0.14648,0.39258,0.96107,-0.11971,0.16687
14,9766,3,0.11426,-0.00848,0.46576,0.87744,-3.85547,-4.21094,0.83984,2.97852,-0.17578,0.58398,0.96406,-0.12163,0.19529
15,9766,3,0.12744,-0.00269,0.46790,0.87457,-4.04297,-4.30078,-0.48438,2.97461,-0.22852,0.74609,0.96851,-0.12427,0.22397
16,9765,3,0.14099,0.00305,0.47070,0.87097,-3.87500,-4.14453,-2.90234,2.92188,-0.29688,0.86523,0.97466,-0.12776,0.25320
17,10743,3,0.15442,0.00824,0.47388,0.86688,-3.73828,-4.21875,-3.90625,2.83789,-0.36133,0.98047,0.98172,-0.13246,0.28169
18,9765,3,0.16785,0.01300,0.47754,0.86237,-3.55469,-4.29297,-4.74609,2.70898,-0.42188,1.06641,0.98982,-0.13832,0.30973
19,9766,3,0.18018,0.01691,0.48120,0.85773,-3.30859,-4.36328,-5.50391,2.55078,-0.48633,1.13281,0.99798,-0.14491,0.33503
20,10742,3,0.19312,0.02039,0.48541,0.85248,-3.16406,-4.24609,-6.83594,2.36523,-0.57031,1.17773,1.00722,-0.15332,0.36096
21,9766,3,0.20502,0.02301,0.48950,0.84723,-3.24219,-4.18359,-7.50781,2.13281,-0.67383,1.24609,1.01616,-0.16244,0.38425
22,9765,3,0.21619,0.02466,0.49371,0.84198,-3.37500,-4.20703,-8.10547,1.85547,-0.78320,1.37109,1.02509,-0.17280,0.40526
23,9766,3,0.22620,0.02509,0.49805,0.83673,-3.41797,-4.12500,-9.05078,1.57227,-0.82812,1.51758,1.03411,-0.18438,0.42299
24,10742,3,0.23596,0.02429,0.50311,0.83105,-3.50391,-4.25000,-9.12109,1.31445,-0.81641,1.66797,1.04437,-0.19834,0.43891
25,9766,3,0.24414,0.02264,0.50854,0.82538,-3.55859,-4.38281,-9.16406,1.09180,-0.74609,1.80859,1.05547,-0.21253,0.45099
26,12695,3,0.25134,0.02032,0.51465,0.81946,-3.50781,-4.48438,-9.10156,0.90820,-0.67969,1.93750,1.06806,-0.22736,0.46039
27,6836,3,0.25714,0.01782,0.52100,0.81372,-3.09766,-4.33203,-9.34375,0.71094,-0.61719,2.05664,1.08137,-0.24126,0.46686
28,10742,3,0.26227,0.01471,0.52814,0.80756,-3.00000,-4.24219,-9.52734,0.47461,-0.49609,2.20703,1.09658,-0.25604,0.47113
29,9766,3,0.26648,0.01105,0.53638,0.80072,-2.98828,-4.23438,-9.48047,0.22461,-0.36914,2.33594,1.11466,-0.27150,0.47269
30,9765,3,0.26917,0.00720,0.54486,0.79413,-2.42188,-3.69531,-9.60156,-0.03516,-0.31445,2.42773,1.13369,-0.28574,0.47096
31,9766,3,0.27051,0.00293,0.55371,0.78754,-2.08984,-3.33594,-9.85547,-0.33008,-0.31836,2.48438,1.15404,-0.29941,0.46599
32,10742,3,0.27069,-0.00220,0.56299,0.78088,-1.86719,-3.01172,-9.88672,-0.66211,-0.30664,2.50195,1.17578,-0.31332,0.45759
33,9766,3,0.26953,-0.00818,0.57227,0.77441,-1.45703,-2.76953,-9.89453,-1.00195,-0.28320,2.47070,1.19810,-0.32698,0.44556
34,11719,3,0.26715,-0.01477,0.58105,0.76862,-0.41797,-2.47656,-9.67969,-1.33984,-0.24609,2.41602,1.21967,-0.33966,0.43054
35,8789,3,0.26324,-0.02240,0.58984,0.76306,-0.02734,-2.33594,-9.47266,-1.70898,-0.16992,2.34375,1.24195,-0.35196,0.41134
36,9765,3,0.25745,-0.03125,0.59888,0.75769,0.32812,-2.14844,-9.39844,-2.07617,-0.09375,2.26953,1.26570,-0.36368,0.38697
37,9766,3,0.25031,-0.04034,0.60699,0.75317,0.51953,-2.01953,-9.22266,-2.38867,-0.09180,2.21680,1.28797,-0.37325,0.36006
38,9765,3,0.24164,-0.05035,0.61487,0.74902,0.83203,-1.86328,-8.48047,-2.62305,-0.12109,2.20703,1.31052,-0.38178,0.32925
39,10743,3,0.23199,-0.06110,0.62231,0.74512,1.23047,-1.79297,-8.03125,-2.83203,-0.11719,2.15430,1.33289,-0.38956,0.29581
40,9765,3,0.22156,-0.07245,0.62927,0.74139,1.69531,-1.63672,-7.66406,-3.03906,-0.14453,2.08594,1.35498,-0.39659,0.26025
41,9766,3,0.21021,-0.08459,0.63580,0.73779,2.94922,-1.79688,-6.86719,-3.27734,-0.15625,1.99023,1.37703,-0.40297,0.22208
42,12695,3,0.19812,-0.09729,0.64172,0.73450,3.52344,-1.73828,-6.21484,-3.58203,-0.06445,1.84375,1.39837,-0.40845,0.18207
43,7813,3,0.18530,-0.11017,0.64667,0.73163,4.03125,-1.99219,-5.32812,-3.88281,0.14258,1.71289,1.41814,-0.41249,0.14092
44,8789,3,0.17053,-0.12372,0.65100,0.72925,4.32031,-2.39844,-4.01953,-4.11719,0.54297,1.67578,1.43737,-0.41422,0.09588
45,10742,3,0.15363,-0.13696,0.65479,0.72723,4.61328,-3.58203,-0.94141,-4.24805,1.00391,1.67188,1.45599,-0.41196,0.04813
46,9766,3,0.13397,-0.14954,0.65857,0.72528,5.06641,-3.25391,0.14844,-4.24219,1.34961,1.60547,1.47504,-0.40427,-0.00285
