lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1079102,3,-0.06409,0.07544,-0.99249,0.07190,2.01172,-0.28906,-1.75000,-0.32422,0.16992,-0.05664,-2.98755,-0.11663,-0.16074
1,10742,3,-0.06342,0.07703,-0.99243,0.07166,2.25000,-0.29688,-1.97266,-0.34375,0.13867,-0.12305,-2.98798,-0.11509,-0.16378
2,9766,3,-0.06287,0.07867,-0.99237,0.07117,2.44922,-0.22656,-2.18750,-0.39062,0.08984,-0.20703,-2.98888,-0.11382,-0.16694
3,9765,3,-0.06250,0.08051,-0.99231,0.07025,2.91797,-0.18750,-2.72266,-0.45117,0.01367,-0.30273,-2.99057,-0.11297,-0.17046
4,10743,3,-0.06250,0.08252,-0.99225,0.06897,3.14453,-0.14844,-2.94531,-0.51953,-0.07227,-0.41211,-2.99292,-0.11288,-0.17436
5,9765,3,-0.06299,0.08484,-0.99213,0.06720,3.35938,-0.07812,-3.04297,-0.58984,-0.20508,-0.55469,-2.99611,-0.11383,-0.17891
6,9766,3,-0.06409,0.08734,-0.99200,0.06482,3.99609,0.28125,-3.37109,-0.67969,-0.36133,-0.72266,-3.00038,-0.11609,-0.18386
7,9765,3,-0.06604,0.09021,-0.99182,0.06165,4.48438,0.40625,-3.35547,-0.77734,-0.50391,-0.91797,-3.00601,-0.12017,-0.18958
8,10743,3,-0.06885,0.09344,-0.99158,0.05762,5.00391,0.62109,-3.37109,-0.89062,-0.64258,-1.16211,-3.01309,-0.12610,-0.19605
9,9765,3,-0.07239,0.09705,-0.99127,0.05255,5.53906,0.76172,-3.18750,-1.01953,-0.70898,-1.46094,-3.02201,-0.13370,-0.20319
10,9766,3,-0.07654,0.10095,-0.99084,0.04639,6.97656,0.90625,-3.01172,-1.15430,-0.71484,-1.75391,-3.03289,-0.14280,-0.21085
11,9766,3,-0.08130,0.10571,-0.99036,0.03815,7.63672,0.76562,-2.73438,-1.29688,-0.65430,-1.98633,-3.04761,-0.15356,-0.21991
12,10742,3,-0.08594,0.11090,-0.98969,0.02881,7.79297,0.37500,-2.46484,-1.44531,-0.50000,-2.15820,-3.06439,-0.16445,-0.22955
13,9765,3,-0.09027,0.11676,-0.98889,0.01819,7.80078,0.20703,-2.26562,-1.56445,-0.34570,-2.30469,-3.08362,-0.17518,-0.24015
14,12696,3,-0.09381,0.12317,-0.98792,0.00677,7.74219,0.14844,-1.83594,-1.67188,-0.12305,-2.41797,-3.10446,-0.18474,-0.25151
15,6836,3,0.09637,-0.12970,0.98688,0.00482,7.42188,0.32031,-1.71094,-1.80273,0.18164,-2.47852,-3.12582,-0.19265,-0.26287
16,10742,3,0.09784,-0.13702,0.98560,0.01764,7.05859,0.42969,-1.62500,-2.00195,0.59766,-2.47656,3.13348,-0.19899,-0.27547
17,9765,3,0.09741,-0.14557,0.98401,0.03180,6.09375,-0.16797,-1.04297,-2.20508,1.03711,-2.45898,3.10665,-0.20235,-0.29019
18,9766,3,0.09491,-0.15460,0.98236,0.04553,5.55078,-0.45703,-0.76562,-2.29883,1.31836,-2.47461,3.08020,-0.20192,-0.30597
19,10742,3,0.09058,-0.16412,0.98047,0.05951,4.81250,-0.84375,-0.48828,-2.31055,1.48242,-2.52539,3.05277,-0.19845,-0.32286
20,8789,3,0.08508,-0.17395,0.97827,0.07410,4.12500,-1.33984,0.01562,-2.26953,1.51562,-2.63086,3.02375,-0.19345,-0.34050
21,10742,3,0.07941,-0.18304,0.97589,0.08832,2.40234,-2.37891,0.90625,-2.16992,1.47461,-2.72266,2.99518,-0.18843,-0.35696
22,12696,3,0.07343,-0.19244,0.97296,0.10419,1.59766,-2.85156,1.34375,-2.11133,1.48438,-2.76953,2.96316,-0.18403,-0.37403
23,6836,3,0.06793,-0.20081,0.96997,0.11932,0.74219,-3.59766,1.99609,-2.06445,1.65820,-2.68359,2.93250,-0.18068,-0.38927
24,10742,3,0.06189,-0.20898,0.96661,0.13483,0.15234,-4.23828,2.96875,-1.98242,1.96484,-2.54492,2.90077,-0.17692,-0.40439
25,9766,3,0.05414,-0.21710,0.96289,0.15076,-0.86719,-5.29297,4.74219,-1.84961,2.24414,-2.47461,2.86741,-0.17055,-0.41994
26,9765,3,0.04541,-0.22400,0.95935,0.16565,-1.64062,-5.63672,5.35547,-1.66602,2.36523,-2.44531,2.83540,-0.16204,-0.43370
27,10742,3,0.03577,-0.22986,0.95569,0.18030,-2.84766,-6.17969,5.87500,-1.44141,2.45898,-2.31445,2.80316,-0.15184,-0.44608
28,9766,3,0.02563,-0.23462,0.95203,0.19482,-5.30469,-7.42578,7.23828,-1.14844,2.52539,-2.07812,2.77064,-0.14069,-0.45681
29,9766,3,0.01508,-0.23804,0.94849,0.20850,-6.18359,-7.69141,7.79297,-0.77734,2.48242,-1.83789,2.73927,-0.12821,-0.46560
30,9765,3,0.00446,-0.23987,0.94531,0.22101,-6.94141,-7.66797,8.22266,-0.37500,2.36914,-1.62109,2.70986,-0.11470,-0.47182
