lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,2093750,3,0.09412,-0.01953,-0.30310,0.94812,0.56250,0.92188,2.58984,0.16992,0.13281,-0.23438,-0.61691,0.02002,0.19151
1,10743,3,0.09503,-0.01892,-0.30396,0.94775,0.69531,1.13672,2.89453,0.20703,0.15234,-0.29102,-0.61858,0.02191,0.19287
2,9765,3,0.09619,-0.01843,-0.30505,0.94727,0.67969,1.30469,3.31641,0.25195,0.19531,-0.34766,-0.62078,0.02377,0.19477
3,9766,3,0.09760,-0.01776,-0.30634,0.94672,0.51172,1.28906,3.74609,0.31055,0.24805,-0.37305,-0.62330,0.02617,0.19702
4,9766,3,0.09930,-0.01697,-0.30780,0.94611,-0.18750,1.14062,4.43750,0.38672,0.33203,-0.36133,-0.62616,0.02903,0.19976
5,10742,3,0.10144,-0.01593,-0.30927,0.94543,-0.57422,0.91797,4.63672,0.49609,0.39648,-0.33594,-0.62896,0.03263,0.20316
6,9765,3,0.10406,-0.01471,-0.31055,0.94470,-0.84375,0.53516,4.83594,0.62891,0.41406,-0.30273,-0.63136,0.03685,0.20739
7,9766,3,0.10742,-0.01343,-0.31165,0.94403,-1.59375,-0.01953,4.84375,0.78320,0.37500,-0.27344,-0.63327,0.04161,0.21297
8,9766,3,0.11139,-0.01251,-0.31256,0.94330,-1.93750,-0.27344,4.55078,0.93555,0.32031,-0.24414,-0.63484,0.04604,0.21995
9,10742,3,0.11603,-0.01202,-0.31335,0.94244,-2.39453,-0.51172,4.26953,1.09180,0.26562,-0.22656,-0.63624,0.05007,0.22850
10,9765,3,0.12128,-0.01208,-0.31409,0.94153,-2.85547,-0.60547,3.90234,1.21484,0.20703,-0.20117,-0.63756,0.05345,0.23856
11,9766,3,0.12683,-0.01257,-0.31464,0.94061,-3.79688,-0.82031,2.89062,1.33203,0.09375,-0.18359,-0.63856,0.05619,0.24948
12,9766,3,0.13342,-0.01379,-0.31525,0.93945,-4.30078,-0.95312,2.19531,1.42188,-0.08398,-0.14648,-0.63981,0.05824,0.26286
13,12695,3,0.13989,-0.01581,-0.31573,0.93835,-4.67578,-1.34766,1.52734,1.48828,-0.25000,-0.05273,-0.64098,0.05870,0.27650
14,7812,3,0.14618,-0.01862,-0.31598,0.93726,-5.10547,-1.54688,0.99219,1.50391,-0.38086,0.10547,-0.64192,0.05752,0.29031
15,9766,3,0.15302,-0.02264,-0.31573,0.93616,-5.28906,-1.93359,-0.26953,1.49414,-0.45312,0.30273,-0.64221,0.05425,0.30599
16,10742,3,0.15930,-0.02704,-0.31476,0.93530,-5.25391,-2.11328,-0.80469,1.48047,-0.52344,0.48633,-0.64120,0.04973,0.32089
17,9766,3,0.16541,-0.03192,-0.31293,0.93469,-5.07812,-2.25391,-1.37109,1.46680,-0.62695,0.63281,-0.63869,0.04386,0.33579
18,9766,3,0.17139,-0.03741,-0.31042,0.93427,-4.72656,-2.27344,-2.71094,1.44141,-0.77539,0.75391,-0.63511,0.03650,0.35086
19,9765,3,0.17700,-0.04352,-0.30737,0.93396,-4.58203,-2.29688,-3.43359,1.39062,-0.94922,0.86523,-0.63080,0.02753,0.36561
20,10742,3,0.18213,-0.05042,-0.30389,0.93378,-4.45312,-2.30859,-4.12109,1.31445,-1.13281,0.98242,-0.62609,0.01654,0.37990
21,8789,3,0.18658,-0.05811,-0.29999,0.93372,-4.23438,-2.25000,-4.72656,1.21094,-1.34180,1.07812,-0.62105,0.00344,0.39336
22,10743,3,0.19012,-0.06622,-0.29596,0.93372,-3.29688,-2.08203,-5.90234,1.08984,-1.50391,1.15820,-0.61619,-0.01113,0.40529
23,9765,3,0.19318,-0.07599,-0.29132,0.93384,-2.78516,-2.04688,-6.12500,0.95312,-1.63281,1.21289,-0.61101,-0.02937,0.41724
24,10742,3,0.19525,-0.08594,-0.28668,0.93396,-2.39062,-1.97266,-6.61328,0.79688,-1.73047,1.28516,-0.60619,-0.04859,0.42738
25,11719,3,0.19635,-0.09625,-0.28198,0.93414,-2.05859,-2.00391,-6.88281,0.63867,-1.79297,1.35156,-0.60165,-0.06915,0.43581
26,7813,3,0.19659,-0.10638,-0.27716,0.93445,-0.94922,-1.98047,-7.37109,0.47852,-1.86719,1.35547,-0.59692,-0.08997,0.44242
27,9765,3,0.19598,-0.11700,-0.27209,0.93481,-0.36328,-2.01953,-7.64062,0.33203,-1.96875,1.31836,-0.59208,-0.11234,0.44761
28,10742,3,0.19446,-0.12805,-0.26709,0.93512,-0.09375,-2.04297,-7.86719,0.18555,-2.08594,1.24609,-0.58770,-0.13603,0.45128
29,9766,3,0.19214,-0.13904,-0.26270,0.93524,0.63672,-2.08203,-8.20312,0.05859,-2.18750,1.16992,-0.58460,-0.15981,0.45343
30,9766,3,0.18909,-0.15039,-0.25873,0.93524,0.93359,-2.11328,-8.24219,-0.04492,-2.24414,1.10742,-0.58256,-0.18451,0.45444
31,9765,3,0.18542,-0.16174,-0.25537,0.93500,1.32031,-2.08984,-8.15625,-0.15234,-2.20898,1.05078,-0.58180,-0.20928,0.45442
32,9766,3,0.18121,-0.17303,-0.25226,0.93463,1.77344,-2.05859,-7.99609,-0.27539,-2.10938,0.98047,-0.58149,-0.23417,0.45338
33,12695,3,0.17688,-0.18311,-0.24963,0.93427,2.55859,-1.85938,-8.10156,-0.44727,-1.94727,0.93359,-0.58143,-0.25664,0.45139
34,7813,3,0.17181,-0.19299,-0.24707,0.93390,2.49219,-1.61328,-8.22266,-0.63477,-1.78906,0.90430,-0.58125,-0.27919,0.44788
35,9765,3,0.16595,-0.20197,-0.24463,0.93372,2.33594,-1.26562,-8.37500,-0.83984,-1.62305,0.90625,-0.58049,-0.30046,0.44216
36,10743,3,0.15936,-0.20996,-0.24237,0.93372,2.26953,-1.14062,-8.46094,-1.04297,-1.42578,0.88672,-0.57918,-0.32027,0.43427
37,9765,3,0.15228,-0.21649,-0.24023,0.93396,2.11328,-1.06250,-8.67188,-1.25977,-1.25977,0.86133,-0.57690,-0.33758,0.42430
38,10742,3,0.14429,-0.22205,-0.23822,0.93439,1.73828,-1.01562,-8.78906,-1.53125,-1.06055,0.87500,-0.57383,-0.35355,0.41174
