lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1232422,3,-0.38831,-0.10645,0.06329,0.91315,2.18750,1.24219,2.00391,-0.37695,0.10156,-0.08203,0.20176,-0.14577,-0.81893
1,9765,3,-0.39008,-0.10626,0.06274,0.91248,2.57031,1.37891,2.71484,-0.28711,0.16016,-0.20703,0.20086,-0.14549,-0.82264
2,9766,3,-0.39154,-0.10608,0.06171,0.91193,2.82812,1.48047,3.43750,-0.23438,0.20898,-0.33984,0.19902,-0.14567,-0.82568
3,9766,3,-0.39264,-0.10590,0.06000,0.91162,2.93750,0.95703,4.71484,-0.16406,0.24219,-0.48828,0.19588,-0.14648,-0.82780
4,10742,3,-0.39343,-0.10577,0.05762,0.91144,2.58203,0.19141,5.41406,-0.07031,0.24805,-0.64453,0.19151,-0.14801,-0.82924
5,9765,3,-0.39368,-0.10583,0.05457,0.91150,2.35938,-0.80469,5.71875,0.15234,0.16602,-0.79492,0.18597,-0.15054,-0.82947
6,9766,3,-0.39319,-0.10632,0.05096,0.91187,1.97656,-1.89062,6.17188,0.51562,0.10547,-0.94727,0.17965,-0.15444,-0.82814
7,9766,3,-0.39130,-0.10730,0.04712,0.91278,1.34766,-4.22266,7.18359,0.93555,0.09570,-1.09961,0.17304,-0.15968,-0.82386
8,10742,3,-0.38721,-0.10876,0.04248,0.91455,0.81641,-5.21094,7.31250,1.30273,0.12109,-1.24414,0.16496,-0.16682,-0.81483
9,9766,3,-0.38147,-0.11035,0.03760,0.91699,0.08984,-6.30078,7.03516,1.62305,0.14844,-1.33008,0.15615,-0.17459,-0.80214
10,9765,3,-0.37408,-0.11194,0.03235,0.92004,-0.91797,-7.37500,6.73438,2.03125,0.16992,-1.34961,0.14622,-0.18279,-0.78578
11,9766,3,-0.36481,-0.11346,0.02692,0.92377,-2.71875,-8.52734,6.72266,2.69727,0.15820,-1.38672,0.13538,-0.19115,-0.76522
12,10742,3,-0.36481,-0.11346,0.02692,0.92377,-3.41797,-8.75391,6.47656,3.35938,0.15430,-1.34180,0.13538,-0.19115,-0.76522
13,9766,3,-0.33813,-0.11627,0.01691,0.93372,-4.18359,-9.04297,5.62109,3.80469,0.19727,-1.09180,0.11285,-0.20718,-0.70664
14,9765,3,-0.32068,-0.11725,0.01312,0.93982,-5.12891,-8.00000,2.94141,3.95312,0.29297,-0.70117,0.10236,-0.21359,-0.66863
15,9766,3,-0.30176,-0.11725,0.01086,0.94611,-5.30469,-7.00781,1.27344,3.91211,0.34961,-0.30664,0.09364,-0.21699,-0.62770
16,10742,3,-0.28278,-0.11627,0.01038,0.95209,-5.30469,-5.65234,-0.44531,3.81836,0.27734,-0.00391,0.08768,-0.21723,-0.58698
17,11719,3,-0.26422,-0.11481,0.01154,0.95752,-5.32812,-4.26953,-2.19531,3.65430,0.12891,0.25781,0.08482,-0.21543,-0.54766
18,7812,3,-0.24719,-0.11353,0.01398,0.96222,-5.54297,-2.07812,-4.82812,3.45508,-0.09570,0.46680,0.08504,-0.21316,-0.51202
19,9766,3,-0.22968,-0.11273,0.01794,0.96655,-5.43359,-1.50000,-6.10938,3.19922,-0.38672,0.62305,0.08855,-0.21125,-0.47599
20,10742,3,-0.21350,-0.11298,0.02295,0.97009,-5.35938,-1.12891,-7.17969,2.90820,-0.70898,0.76758,0.09502,-0.21097,-0.44333
21,9766,3,-0.19910,-0.11456,0.02869,0.97284,-5.33594,-0.80469,-8.10156,2.58984,-1.04688,0.91992,0.10397,-0.21309,-0.41486
22,9765,3,-0.18604,-0.11755,0.03528,0.97485,-5.44922,-0.22656,-9.41016,2.26367,-1.36719,1.09961,0.11550,-0.21778,-0.38977
23,10743,3,-0.17450,-0.12213,0.04291,0.97614,-5.36719,-0.19531,-9.89453,1.93750,-1.64648,1.29492,0.13003,-0.22535,-0.36853
24,9765,3,-0.16461,-0.12799,0.05145,0.97668,-5.23047,-0.16016,-10.16406,1.58008,-1.87305,1.47070,0.14721,-0.23523,-0.35137
25,11719,3,-0.15649,-0.13489,0.06079,0.97650,-4.72656,0.09375,-10.75391,1.11328,-1.99805,1.65430,0.16676,-0.24693,-0.33856
26,7812,3,-0.15057,-0.14252,0.07062,0.97571,-4.73047,0.17578,-11.13672,0.60352,-2.09375,1.83984,0.18811,-0.25976,-0.33087
27,10743,3,-0.14667,-0.15131,0.08197,0.97412,-4.67188,0.44141,-11.63672,0.10547,-2.22656,2.00195,0.21361,-0.27415,-0.32846
28,8789,3,-0.14551,-0.16028,0.09326,0.97186,-4.53516,0.61719,-11.97266,-0.37500,-2.43945,2.20312,0.24001,-0.28835,-0.33224
29,10742,3,-0.14667,-0.16968,0.10461,0.96887,-3.86328,0.91797,-12.51562,-0.88867,-2.70117,2.42969,0.26771,-0.30272,-0.34155
30,9765,3,-0.15045,-0.18127,0.11780,0.96466,-3.41016,1.05078,-12.86328,-1.51758,-2.80469,2.69531,0.30142,-0.31973,-0.35840
31,10743,3,-0.15692,-0.19336,0.13129,0.95953,-3.13672,1.16406,-12.38672,-2.10547,-2.78125,2.96094,0.33756,-0.33618,-0.38202
32,9765,3,-0.16644,-0.20569,0.14539,0.95331,-2.49609,1.42969,-11.80078,-2.52734,-2.79297,3.15820,0.37699,-0.35095,-0.41332
33,11719,3,-0.17847,-0.21796,0.15991,0.94611,-0.76562,1.83203,-10.80859,-2.82227,-2.85938,3.31250,0.41908,-0.36326,-0.45096
34,7813,3,-0.19189,-0.23016,0.17444,0.93799,-0.16016,1.96875,-10.28516,-3.07227,-3.04297,3.43164,0.46264,-0.37343,-0.49253
35,9765,3,-0.20697,-0.24329,0.18982,0.92841,0.90234,1.94531,-9.91797,-3.42578,-3.12109,3.47461,0.51031,-0.38242,-0.53959
36,10742,3,-0.22363,-0.25739,0.20551,0.91736,4.70703,2.25781,-8.62500,-3.89648,-3.02539,3.29492,0.56111,-0.39012,-0.59197
37,9766,3,-0.24176,-0.27161,0.22003,0.90521,7.53516,2.85547,-7.73047,-4.46484,-2.78711,2.85742,0.61135,-0.39555,-0.64828
38,10742,3,-0.26135,-0.28540,0.23175,0.89246,10.69922,3.37891,-6.03125,-5.02148,-2.29492,2.22266,0.65706,-0.39878,-0.70731
39,11719,3,-0.28333,-0.29901,0.23975,0.87915,14.16797,3.45703,-4.10156,-5.26562,-1.70508,1.43164,0.69674,-0.40050,-0.77069
40,7812,3,-0.28333,-0.29901,0.23975,0.87915,17.61719,0.98828,1.69922,-4.77930,-1.17383,0.69922,0.69674,-0.40050,-0.77069
41,9766,3,-0.32709,-0.32159,0.24182,0.85504,17.71484,-0.35547,5.03125,-3.54688,-0.66602,0.14648,0.74522,-0.40255,-0.88990
42,10742,3,-0.34479,-0.33008,0.23840,0.84576,17.50781,-1.13672,7.64453,-2.25586,-0.24219,-0.44336,0.75652,-0.40492,-0.93698
43,9766,3,-0.35620,-0.33569,0.23383,0.84009,17.80859,-1.95703,8.61328,-1.55273,0.12500,-1.20117,0.75978,-0.40874,-0.96719
44,9765,3,-0.36267,-0.33972,0.22748,0.83746,17.62891,-3.46484,7.69141,-1.30273,0.39844,-2.07031,0.75579,-0.41588,-0.98448
45,12696,3,-0.36609,-0.34326,0.21790,0.83704,16.55469,-4.30469,7.52344,-1.07617,0.60352,-2.87305,0.74400,-0.42808,-0.99381
46,6836,3,-0.36719,-0.34686,0.20544,0.83826,14.74219,-5.38672,7.81641,-0.66992,0.92969,-3.33008,0.72596,-0.44520,-0.99724
47,10742,3,-0.36615,-0.35028,0.18970,0.84100,10.98438,-7.62500,9.30078,-0.12695,1.28711,-3.46875,0.70049,-0.46704,-0.99460
48,9766,3,-0.36267,-0.35229,0.17206,0.84546,9.04297,-8.41797,9.37109,0.32422,1.75000,-3.39258,0.66799,-0.49029,-0.98363
49,9765,3,-0.35736,-0.35205,0.15515,0.85107,6.87109,-8.97266,8.82422,0.63867,2.24805,-3.09180,0.63222,-0.51018,-0.96525
50,10742,3,-0.35089,-0.34894,0.13855,0.85785,4.47656,-9.42188,8.08203,0.99219,2.60352,-2.67188,0.59173,-0.52527,-0.94007
51,9766,3,-0.34375,-0.34283,0.12311,0.86554,0.98438,-8.66016,6.16797,1.35938,2.75195,-2.29102,0.54842,-0.53383,-0.90963
52,9766,3,-0.33612,-0.33502,0.11029,0.87329,-0.42578,-8.22656,5.15234,1.59961,2.87695,-1.92383,0.50761,-0.53634,-0.87715
53,9765,3,-0.32751,-0.32550,0.09900,0.88147,-1.57031,-7.83984,4.14453,1.65234,2.93555,-1.60352,0.46727,-0.53401,-0.84150
54,10742,3,-0.31885,-0.31482,0.08936,0.88953,-2.39453,-7.02344,2.74609,1.58984,2.91992,-1.35938,0.42930,-0.52717,-0.80589
55,9766,3,-0.31042,-0.30334,0.08075,0.89728,-3.58203,-4.97266,0.58203,1.52344,2.81055,-1.20508,0.39340,-0.51695,-0.77142
56,9766,3,-0.30261,-0.29199,0.07318,0.90436,-3.97656,-4.05469,-0.38281,1.51953,2.61523,-1.08984,0.36094,-0.50501,-0.73989
57,9765,3,-0.29492,-0.28088,0.06622,0.91089,-4.44922,-3.32422,-1.25000,1.51758,2.36523,-1.00000,0.33092,-0.49230,-0.71010
58,10742,3,-0.28748,-0.27081,0.06018,0.91675,-5.53516,-1.67188,-3.05469,1.44727,2.02539,-0.93555,0.30465,-0.48016,-0.68286
59,9766,3,-0.27972,-0.26147,0.05463,0.92218,-6.01953,-0.97656,-4.12500,1.31836,1.59766,-0.90625,0.28055,-0.46865,-0.65640
60,9766,3,-0.27258,-0.25409,0.04974,0.92664,-6.55078,-0.31250,-5.01562,1.14062,1.13867,-0.88086,0.26038,-0.45981,-0.63346
61,9765,3,-0.26605,-0.24866,0.04547,0.93024,-6.95703,0.12891,-5.75391,0.93359,0.64844,-0.82812,0.24374,-0.45383,-0.61368
62,10743,3,-0.26013,-0.24536,0.04163,0.93292,-7.63281,0.86328,-6.69141,0.69922,0.18750,-0.76172,0.23021,-0.45134,-0.59693
63,9765,3,-0.25549,-0.24432,0.03851,0.93463,-7.64062,0.99219,-7.01953,0.41992,-0.20703,-0.67969,0.22063,-0.45229,-0.58465
64,9766,3,-0.25195,-0.24524,0.03601,0.93549,-7.64062,1.03516,-7.28125,0.05273,-0.47656,-0.52344,0.21435,-0.45634,-0.57613
65,9765,3,-0.25000,-0.24762,0.03400,0.93542,-7.76953,0.77344,-7.39062,-0.33789,-0.61523,-0.27539,0.21099,-0.46259,-0.57217
66,10743,3,-0.25006,-0.25073,0.03271,0.93463,-7.83203,0.26953,-7.39844,-0.61914,-0.74219,0.00781,0.21073,-0.46937,-0.57341
67,9765,3,-0.25195,-0.25415,0.03247,0.93317,-7.80469,0.25391,-7.26562,-0.78320,-0.90234,0.29297,0.21388,-0.47574,-0.57946
68,9766,3,-0.25525,-0.25800,0.03339,0.93121,-7.96484,0.31641,-7.14844,-0.91406,-1.05859,0.60156,0.22059,-0.48190,-0.58948
69,9765,3,-0.25946,-0.26196,0.03564,0.92883,-7.74609,0.39453,-7.48438,-1.10938,-1.30469,0.89648,0.23083,-0.48722,-0.60241
70,10743,3,-0.26508,-0.26685,0.03949,0.92572,-7.52344,0.61719,-8.21875,-1.50000,-1.53320,1.21680,0.24604,-0.49283,-0.61995
71,9765,3,-0.27222,-0.27228,0.04456,0.92181,-7.57031,0.56641,-8.26953,-2.00977,-1.52344,1.55859,0.26536,-0.49808,-0.64215
72,9766,3,-0.28186,-0.27789,0.05078,0.91693,-7.54688,0.52344,-7.63672,-2.35938,-1.53125,1.80078,0.28890,-0.50178,-0.67098
73,9766,3,-0.29407,-0.28314,0.05780,0.91107,-6.59766,0.83594,-6.82031,-2.48828,-1.59961,1.92969,0.31544,-0.50284,-0.70608
74,10742,3,-0.30688,-0.28809,0.06500,0.90479,-6.31250,1.07812,-6.33594,-2.50586,-1.72656,2.01562,0.34258,-0.50225,-0.74270
75,9765,3,-0.32056,-0.29340,0.07300,0.89771,-5.94531,1.13672,-6.21484,-2.56836,-1.75000,2.11719,0.37233,-0.50059,-0.78217
76,9766,3,-0.33429,-0.29877,0.08136,0.89014,-5.95312,0.96484,-5.69531,-2.61914,-1.72656,2.25391,0.40303,-0.49781,-0.82226
77,9766,3,-0.34827,-0.30389,0.09009,0.88220,-6.09766,-0.01172,-5.09375,-2.64648,-1.77148,2.41016,0.43427,-0.49317,-0.86293
78,10742,3,-0.36255,-0.30865,0.09943,0.87372,-6.21875,-0.40234,-4.53125,-2.62109,-1.86523,2.57617,0.46639,-0.48620,-0.90433
79,9765,3,-0.37708,-0.31335,0.10962,0.86462,-6.01172,-0.76562,-4.28516,-2.64062,-2.00000,2.73633,0.50000,-0.47711,-0.94653
80,9766,3,-0.39105,-0.31793,0.12030,0.85529,-5.33984,-1.56641,-3.66016,-2.69336,-2.01953,2.93555,0.53380,-0.46650,-0.98742
81,9766,3,-0.40601,-0.32263,0.13239,0.84467,-4.43359,-1.65234,-3.21094,-2.76172,-2.00977,3.11133,0.57057,-0.45289,-1.03107
82,10742,3,-0.42102,-0.32672,0.14478,0.83368,-3.32812,-1.94922,-2.79297,-2.88867,-1.89062,3.27344,0.60648,-0.43660,-1.07390
83,10742,3,-0.43652,-0.33008,0.15753,0.82202,-2.48828,-2.40234,-1.98047,-2.96484,-1.69727,3.43359,0.64156,-0.41710,-1.11673
84,8789,3,-0.45209,-0.33228,0.16998,0.81012,-0.81641,-3.43359,-0.41016,-2.95703,-1.44141,3.55859,0.67368,-0.39486,-1.15788
85,10742,3,-0.46893,-0.33313,0.18304,0.79724,0.23828,-3.78125,0.55859,-2.93555,-1.13867,3.60352,0.70444,-0.36774,-1.19988
86,9766,3,-0.48547,-0.33246,0.19543,0.78461,0.79688,-4.41406,1.70703,-2.77148,-0.94922,3.57227,0.73058,-0.33836,-1.23865
