lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1201172,3,0.30658,-0.10199,0.01910,0.94617,-0.96484,-0.55469,-3.48047,0.55078,-0.20117,-0.59766,-0.02696,-0.20617,0.62948
1,10742,3,0.30994,-0.10187,0.01630,0.94513,-1.10156,-0.84766,-3.81641,0.30664,-0.15430,-0.48438,-0.03303,-0.20408,0.63714
2,9766,3,0.31226,-0.10181,0.01379,0.94446,-1.38281,-1.07812,-4.24609,0.06055,-0.12695,-0.37109,-0.03831,-0.20228,0.64250
3,9766,3,0.31329,-0.10175,0.01184,0.94409,-1.67578,-1.02344,-5.27344,-0.14453,-0.18555,-0.29688,-0.04226,-0.20089,0.64508
4,9765,3,0.31329,-0.10193,0.01001,0.94409,-1.82812,-1.10156,-5.73047,-0.32031,-0.31055,-0.23828,-0.04590,-0.20007,0.64543
5,10742,3,0.31232,-0.10266,0.00836,0.94440,-1.98047,-1.16016,-6.11328,-0.53516,-0.42188,-0.15430,-0.04934,-0.20046,0.64373
6,9766,3,0.31049,-0.10400,0.00677,0.94482,-2.18750,-1.32812,-6.55078,-0.79492,-0.50000,-0.04883,-0.05288,-0.20212,0.64036
7,9766,3,0.30731,-0.10608,0.00537,0.94568,-2.37109,-1.64844,-7.22656,-1.03906,-0.63086,0.04883,-0.05625,-0.20537,0.63420
8,10742,3,0.30304,-0.10870,0.00415,0.94678,-2.53516,-1.73828,-7.64062,-1.31641,-0.74805,0.16602,-0.05936,-0.20988,0.62580
9,9765,3,0.29742,-0.11212,0.00311,0.94812,-2.70312,-2.05859,-7.80859,-1.56445,-0.83008,0.29492,-0.06228,-0.21615,0.61471
10,9766,3,0.29047,-0.11621,0.00238,0.94983,-2.74609,-2.66406,-8.01172,-1.76953,-0.90820,0.42578,-0.06464,-0.22400,0.60083
11,9766,3,0.28241,-0.12079,0.00201,0.95166,-2.83203,-2.98047,-7.88281,-1.94336,-0.93750,0.55859,-0.06623,-0.23314,0.58471
12,10742,3,0.27319,-0.12585,0.00208,0.95367,-3.03906,-3.08594,-7.83594,-2.13672,-1.00391,0.70117,-0.06683,-0.24359,0.56617
