lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1413086,3,0.29529,0.07300,0.26392,0.91534,0.19922,-0.33984,-3.57031,-0.57422,-0.06250,0.00000,0.55433,-0.02223,0.61779
1,9766,3,0.29291,0.07214,0.26434,0.91602,0.31250,-0.29297,-4.05859,-0.68750,-0.10156,-0.02539,0.55472,-0.02269,0.61252
2,9766,3,0.29010,0.07104,0.26471,0.91693,0.61328,-0.28906,-5.11719,-0.84961,-0.12109,-0.05078,0.55481,-0.02330,0.60620
3,10742,3,0.28668,0.06970,0.26495,0.91803,0.64844,-0.29688,-5.65234,-1.06445,-0.12891,-0.08789,0.55456,-0.02394,0.59855
4,9765,3,0.28241,0.06799,0.26508,0.91943,0.64062,-0.33203,-6.24609,-1.32812,-0.11914,-0.10742,0.55389,-0.02469,0.58900
5,9766,3,0.27698,0.06604,0.26514,0.92120,0.39844,-0.62109,-7.22656,-1.61914,-0.09961,-0.10938,0.55300,-0.02520,0.57699
6,9766,3,0.27026,0.06384,0.26526,0.92334,0.20703,-0.72656,-7.71875,-1.91797,-0.09180,-0.10156,0.55214,-0.02548,0.56228
7,10742,3,0.26215,0.06128,0.26550,0.92578,-0.02344,-0.93359,-8.06641,-2.22461,-0.11328,-0.10547,0.55140,-0.02574,0.54459
8,8789,3,0.25269,0.05823,0.26581,0.92853,-0.29297,-1.09766,-8.39453,-2.55469,-0.18164,-0.12695,0.55060,-0.02620,0.52400
9,10742,3,0.24207,0.05475,0.26611,0.93146,-0.50000,-2.01172,-8.53516,-2.84766,-0.25586,-0.15625,0.54970,-0.02684,0.50094
10,9766,3,0.22937,0.05023,0.26617,0.93488,-0.50781,-2.39062,-8.26953,-3.09375,-0.31641,-0.16992,0.54796,-0.02819,0.47327
11,10742,3,0.21576,0.04517,0.26617,0.93842,-0.60938,-2.97656,-7.92188,-3.33789,-0.30078,-0.12305,0.54598,-0.03009,0.44356
12,9765,3,0.20087,0.03961,0.26617,0.94196,-0.73828,-3.60547,-7.55469,-3.56445,-0.21289,-0.04102,0.54405,-0.03231,0.41118
13,12696,3,0.18500,0.03400,0.26648,0.94531,-0.71484,-4.56641,-6.93750,-3.76367,-0.10547,0.00781,0.54298,-0.03433,0.37696
14,6836,3,0.16840,0.02863,0.26721,0.94836,-0.61719,-4.51172,-6.97656,-3.96094,-0.02344,0.02344,0.54312,-0.03571,0.34152
15,10742,3,0.15015,0.02319,0.26813,0.95135,-0.58594,-4.38281,-7.08594,-4.20312,0.06836,0.04297,0.54387,-0.03639,0.30292
16,9766,3,0.12988,0.01764,0.26910,0.95416,-0.66406,-4.45312,-7.30469,-4.51367,0.20703,0.09375,0.54504,-0.03625,0.26045
17,9765,3,0.10901,0.01245,0.27020,0.95654,-0.57031,-4.23828,-7.35938,-4.86328,0.38281,0.15430,0.54679,-0.03510,0.21710
18,10742,3,0.08594,0.00745,0.27161,0.95856,-0.35547,-4.20703,-7.24609,-5.17383,0.50586,0.15625,0.54947,-0.03241,0.16969
19,11719,3,0.06146,0.00275,0.27301,0.96002,-0.16406,-4.04297,-6.99219,-5.43164,0.44922,0.06055,0.55243,-0.02829,0.11985
20,7813,3,0.03613,-0.00208,0.27405,0.96100,-0.53906,-4.77734,-6.52734,-5.70117,0.34180,0.00195,0.55478,-0.02380,0.06839
21,9765,3,0.00922,-0.00775,0.27454,0.96149,-0.81250,-5.55859,-6.00391,-6.09375,0.40820,0.07617,0.55613,-0.01997,0.01347
22,10742,3,-0.02124,-0.01440,0.27478,0.96118,-1.18750,-6.67969,-4.98438,-6.53320,0.62695,0.31250,0.55729,-0.01602,-0.04877
23,9766,3,-0.05231,-0.02057,0.27545,0.95966,-1.37109,-7.91797,-3.82031,-6.88281,0.85547,0.55469,0.55963,-0.01066,-0.11197
24,9766,3,-0.08557,-0.02618,0.27692,0.95673,-1.14062,-9.31250,-1.57422,-7.18750,1.04688,0.72070,0.56373,-0.00271,-0.17919
25,12695,3,-0.08557,-0.02618,0.27692,0.95673,-1.00000,-8.96484,-1.14844,-7.45508,1.14453,0.82227,0.56373,-0.00271,-0.17919
26,7812,3,-0.15515,-0.03552,0.28094,0.94641,-0.99609,-8.56250,-0.91406,-7.69141,1.23047,0.92773,0.57392,0.01994,-0.31910
27,9766,3,-0.19257,-0.03992,0.28296,0.93878,-1.62891,-9.60547,0.19141,-7.91016,1.38867,1.09570,0.57870,0.03403,-0.39450
28,9766,3,-0.23285,-0.04401,0.28497,0.92877,-2.08594,-10.51953,1.72266,-7.97070,1.64844,1.34961,0.58305,0.05099,-0.47598
29,9765,3,-0.27228,-0.04694,0.28717,0.91718,-2.35938,-10.98047,3.91406,-7.61133,1.88672,1.53320,0.58679,0.07034,-0.55590
30,9766,3,-0.31030,-0.04803,0.28949,0.90424,-2.18750,-10.87891,6.03906,-6.71289,1.69531,1.41992,0.58923,0.09292,-0.63293
31,10742,3,-0.34399,-0.04810,0.29163,0.89124,-1.97656,-9.97266,7.99219,-5.54102,1.05664,1.04883,0.59028,0.11516,-0.70167
32,9766,3,-0.37494,-0.04889,0.29346,0.87799,-2.17969,-9.34375,8.73438,-4.49219,0.14648,0.52734,0.59081,0.13462,-0.76618
33,9765,3,-0.37494,-0.04889,0.29346,0.87799,-2.23047,-9.48047,9.00391,-3.70508,-0.70703,0.03516,0.59081,0.13462,-0.76618
34,10743,3,-0.41455,-0.05896,0.29584,0.85858,-2.38281,-9.92188,9.89844,-3.21875,-1.40234,-0.33203,0.59771,0.14454,-0.85504
35,9765,3,-0.42810,-0.06934,0.29663,0.85083,-2.22266,-12.61328,12.78125,-2.87500,-1.56836,-0.40234,0.60581,0.13642,-0.88965
36,9766,3,-0.43878,-0.08130,0.29742,0.84406,-2.23438,-13.65234,15.45312,-2.29688,-1.31836,-0.29492,0.61610,0.12408,-0.91928
37,9765,3,-0.44727,-0.09204,0.29834,0.83813,-1.67578,-13.42969,17.43359,-1.42969,-0.96094,-0.12891,0.62631,0.11283,-0.94383
38,10743,3,-0.45325,-0.10016,0.29932,0.83362,-0.14453,-11.63281,18.41016,-0.44531,-0.69531,0.07812,0.63488,0.10453,-0.96163
39,9765,3,-0.45593,-0.10522,0.30078,0.83099,0.07422,-10.27734,18.08203,0.48828,-0.48438,0.29297,0.64204,0.09956,-0.97050
40,9766,3,-0.45502,-0.10730,0.30310,0.83038,0.13672,-8.76562,17.23047,1.25195,-0.33789,0.42383,0.64843,0.09779,-0.96966
41,9766,3,-0.45099,-0.10693,0.30609,0.83154,0.37500,-7.43359,15.77344,1.73633,-0.21680,0.46875,0.65412,0.09841,-0.96050
42,10742,3,-0.44482,-0.10492,0.30933,0.83392,0.31250,-5.63672,13.24219,2.03125,-0.17188,0.43164,0.65902,0.10037,-0.94569
43,9765,3,-0.43665,-0.10175,0.31281,0.83734,0.46094,-5.12500,12.28125,2.31641,-0.30078,0.29102,0.66361,0.10296,-0.92584
44,10743,3,-0.42725,-0.09851,0.31592,0.84137,0.62891,-4.82031,11.52734,2.78906,-0.59570,0.02734,0.66770,0.10438,-0.90350
45,8789,3,-0.41583,-0.09601,0.31879,0.84631,0.65234,-4.50781,11.02344,3.37891,-0.89453,-0.24219,0.67221,0.10280,-0.87746
46,10742,3,-0.40137,-0.09442,0.32129,0.85248,0.55859,-4.60938,10.50781,3.92578,-1.06641,-0.42383,0.67713,0.09708,-0.84586
47,12695,3,-0.38397,-0.09338,0.32349,0.85980,0.28125,-5.06641,9.85156,4.36133,-1.00195,-0.50195,0.68204,0.08794,-0.80879
48,6836,3,-0.36517,-0.09198,0.32513,0.86743,0.07031,-5.42578,9.29297,4.63086,-0.70703,-0.40625,0.68567,0.07797,-0.76908
49,9766,3,-0.34381,-0.08917,0.32660,0.87585,-0.25000,-5.88281,8.10156,4.86719,-0.35156,-0.23438,0.68794,0.06843,-0.72360
50,10742,3,-0.32123,-0.08405,0.32800,0.88440,-0.30469,-5.89062,6.73828,5.11328,-0.11719,-0.07422,0.68852,0.06211,-0.67453
51,9765,3,-0.29852,-0.07697,0.32947,0.89240,-0.45312,-5.72656,5.39844,5.33203,0.04492,0.05469,0.68818,0.05938,-0.62435
52,10743,3,-0.27484,-0.06836,0.33118,0.90002,-0.68359,-5.68359,4.25781,5.54688,0.12695,0.16016,0.68783,0.05903,-0.57161
53,8789,3,-0.24982,-0.05847,0.33307,0.90735,-1.24219,-4.87109,2.19922,5.73438,0.09570,0.19727,0.68770,0.06034,-0.51573
54,10742,3,-0.22528,-0.04858,0.33484,0.91364,-1.45703,-4.86328,1.24609,5.87109,0.01758,0.20703,0.68799,0.06213,-0.46124
55,9766,3,-0.19873,-0.03827,0.33667,0.91962,-1.74609,-5.21875,0.61328,5.92188,-0.11914,0.24609,0.68892,0.06347,-0.40288
56,9765,3,-0.17236,-0.02856,0.33832,0.92468,-2.12109,-5.49609,-0.18359,5.88672,-0.31445,0.27539,0.69035,0.06384,-0.34561
57,9766,3,-0.14355,-0.01892,0.34009,0.92920,-2.51953,-5.33203,-1.34375,5.85156,-0.43555,0.33203,0.69278,0.06252,-0.28399
58,10742,3,-0.11584,-0.01050,0.34174,0.93256,-2.46875,-5.83984,-1.35156,5.92383,-0.48438,0.42383,0.69575,0.05963,-0.22555
