lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1672851,3,0.13269,0.01703,0.84448,0.51862,-0.50000,0.69922,-3.14062,0.12500,0.04492,-0.15625,2.02224,-0.20794,0.17088
1,10742,3,0.13287,0.01788,0.84406,0.51917,-0.45703,0.68359,-3.44922,0.07031,0.06641,-0.15820,2.02072,-0.20723,0.17270
2,8789,3,0.13287,0.01855,0.84369,0.51984,-0.37109,0.78906,-3.71484,-0.02344,0.11133,-0.16992,2.01911,-0.20637,0.17400
3,10743,3,0.13257,0.01898,0.84332,0.52051,-0.31641,1.15625,-4.51953,-0.16992,0.17188,-0.17383,2.01761,-0.20526,0.17454
4,9765,3,0.13165,0.01904,0.84296,0.52130,-0.37891,1.28125,-4.94141,-0.31445,0.21875,-0.17383,2.01610,-0.20350,0.17380
5,10742,3,0.13013,0.01868,0.84259,0.52222,-0.58594,1.41797,-5.29297,-0.45898,0.23828,-0.16602,2.01456,-0.20114,0.17168
6,8789,3,0.12811,0.01776,0.84229,0.52325,-0.78906,1.56641,-5.68359,-0.62500,0.23438,-0.15820,2.01304,-0.19854,0.16807
7,10743,3,0.12573,0.01624,0.84204,0.52429,-1.25781,1.65234,-6.54297,-0.77148,0.18945,-0.13867,2.01173,-0.19597,0.16301
8,9765,3,0.12292,0.01392,0.84186,0.52539,-1.62500,1.67578,-6.88672,-0.88867,0.10742,-0.11914,2.01052,-0.19354,0.15612
9,9766,3,0.12012,0.01086,0.84161,0.52649,-1.79297,1.74609,-7.21094,-1.01367,-0.00391,-0.09961,2.00930,-0.19191,0.14801
10,9766,3,0.11737,0.00708,0.84137,0.52753,-2.12891,1.72266,-7.94531,-1.21289,-0.10938,-0.06445,2.00822,-0.19119,0.13871
11,10742,3,0.11469,0.00232,0.84113,0.52856,-2.13672,1.70312,-8.36719,-1.47070,-0.19141,-0.03711,2.00721,-0.19164,0.12782
12,9765,3,0.11169,-0.00372,0.84082,0.52960,-1.95312,1.79688,-8.61328,-1.72461,-0.23828,-0.00391,2.00633,-0.19298,0.11442
13,9766,3,0.10834,-0.01105,0.84058,0.53064,-1.71094,1.71484,-8.72656,-1.95508,-0.28125,0.01953,2.00575,-0.19509,0.09843
14,10742,3,0.10474,-0.01904,0.84033,0.53156,-1.19531,1.38281,-8.89062,-2.19141,-0.30273,0.04297,2.00554,-0.19755,0.08100
15,9766,3,0.10028,-0.02893,0.83997,0.53253,-1.07422,1.23828,-8.99609,-2.42969,-0.28711,0.06055,2.00553,-0.20062,0.05943
16,11719,3,0.10028,-0.02893,0.83997,0.53253,-0.93750,1.11328,-9.03516,-2.72266,-0.25000,0.07422,2.00553,-0.20062,0.05943
17,8789,3,0.08978,-0.05048,0.83899,0.53436,-0.96875,0.91797,-9.06641,-3.09375,-0.22461,0.04492,2.00616,-0.20604,0.01150
18,9765,3,0.08258,-0.06403,0.83813,0.53540,-1.12891,-0.36328,-9.01172,-3.47070,-0.19531,0.00781,2.00669,-0.20848,-0.01932
19,9766,3,0.07471,-0.07819,0.83691,0.53656,-1.68750,-1.35938,-8.29688,-3.73242,-0.16797,0.06445,2.00686,-0.21050,-0.05187
20,9765,3,0.06573,-0.09381,0.83539,0.53760,-2.46875,-2.63281,-7.53125,-3.89453,-0.16992,0.19531,2.00736,-0.21228,-0.08815
21,9766,3,0.05621,-0.11005,0.83368,0.53821,-3.36719,-5.83594,-5.44531,-3.94922,-0.15039,0.39258,2.00863,-0.21382,-0.12618
22,10742,3,0.04602,-0.12701,0.83209,0.53796,-3.52734,-7.11719,-4.31250,-3.92188,-0.14453,0.58594,2.01174,-0.21489,-0.16643
23,9766,3,0.03564,-0.14404,0.83063,0.53668,-3.79688,-8.00391,-3.23047,-3.86523,-0.19141,0.74805,2.01681,-0.21549,-0.20728
24,12695,3,0.03564,-0.14404,0.83063,0.53668,-4.09375,-8.60547,-2.37109,-3.79492,-0.28906,0.86523,2.01681,-0.21549,-0.20728
25,7813,3,0.01581,-0.17670,0.82831,0.53143,-4.17188,-9.21094,-1.30078,-3.70312,-0.41211,0.96094,2.03192,-0.21566,-0.28636
26,9765,3,0.00604,-0.19391,0.82715,0.52740,-4.29297,-9.07422,-0.67969,-3.61133,-0.56445,1.06836,2.04224,-0.21622,-0.32775
27,9766,3,-0.00256,-0.21027,0.82611,0.52283,-4.48438,-9.06641,-0.23047,-3.53711,-0.74023,1.22852,2.05356,-0.21733,-0.36667
28,9766,3,-0.01044,-0.22668,0.82520,0.51727,-4.61719,-9.04297,0.21484,-3.46289,-0.84766,1.43359,2.06692,-0.21903,-0.40534
29,9765,3,-0.01776,-0.24310,0.82452,0.51068,-4.47266,-9.52734,1.18359,-3.36133,-0.97852,1.65430,2.08253,-0.22079,-0.44386
30,10742,3,-0.02454,-0.25916,0.82422,0.50287,-4.36328,-9.47656,1.50000,-3.26562,-1.12500,1.89062,2.10068,-0.22202,-0.48167
31,9766,3,-0.03094,-0.27533,0.82434,0.49365,-4.36328,-9.42969,1.75781,-3.15820,-1.24023,2.12695,2.12189,-0.22265,-0.51985
32,11719,3,-0.03656,-0.29053,0.82489,0.48352,-3.51172,-9.17969,1.98438,-3.05078,-1.43359,2.27734,2.14494,-0.22247,-0.55586
33,8789,3,-0.04169,-0.30591,0.82581,0.47198,-2.96094,-8.66797,1.74219,-3.02930,-1.69922,2.38281,2.17102,-0.22172,-0.59226
34,9765,3,-0.04626,-0.32251,0.82684,0.45844,-2.37891,-7.91406,1.61328,-3.08203,-1.96289,2.44141,2.20152,-0.22099,-0.63119
35,9766,3,-0.04956,-0.33844,0.82770,0.44489,-1.37500,-7.13281,1.55859,-3.19141,-2.18164,2.41602,2.23212,-0.22088,-0.66797
36,9766,3,-0.05212,-0.35571,0.82812,0.43011,1.26953,-5.98047,1.44922,-3.32812,-2.32812,2.31641,2.26558,-0.22146,-0.70737
37,10742,3,-0.05402,-0.37299,0.82776,0.41559,2.26562,-5.74609,1.66016,-3.50195,-2.40234,2.23242,2.29842,-0.22244,-0.74661
38,9766,3,-0.05554,-0.39130,0.82660,0.40070,2.79297,-6.00781,1.93359,-3.65039,-2.29492,2.32812,2.33215,-0.22361,-0.78814
39,9765,3,-0.05743,-0.40948,0.82465,0.38599,3.11328,-6.50000,2.87109,-3.55078,-2.02344,2.54102,2.36475,-0.22323,-0.83011
40,9766,3,-0.06061,-0.42847,0.82227,0.36963,5.15234,-7.52734,5.56250,-3.27930,-1.83594,2.65234,2.39938,-0.21882,-0.87530
41,10742,3,-0.06451,-0.44501,0.82013,0.35376,6.26562,-7.65234,6.49219,-2.91211,-1.62305,2.77148,2.43122,-0.21059,-0.91594
42,11719,3,-0.06891,-0.45984,0.81842,0.33759,6.83594,-8.04688,7.75391,-2.46680,-1.26953,3.10938,2.46215,-0.19899,-0.95328
43,7812,3,-0.07416,-0.47180,0.81757,0.32166,6.03516,-12.19141,11.58203,-2.06641,-0.66016,3.71094,2.49045,-0.18329,-0.98477
44,9766,3,-0.08185,-0.48120,0.81793,0.30450,5.87500,-14.50000,13.38672,-1.48242,-0.06836,4.40625,2.51751,-0.15984,-1.01190
45,10742,3,-0.09326,-0.48743,0.81989,0.28546,6.37891,-16.31250,15.14453,-0.70898,0.39062,4.77734,2.54302,-0.12569,-1.03391
46,9766,3,-0.10681,-0.48944,0.82355,0.26611,7.34766,-17.28516,16.73047,0.24023,0.59375,4.61133,2.56542,-0.08467,-1.04735
47,9765,3,-0.12054,-0.48718,0.82867,0.24780,8.52734,-16.01953,17.31250,1.20117,0.26758,3.86523,2.58462,-0.04168,-1.05104
48,12696,3,-0.12054,-0.48718,0.82867,0.24780,9.35938,-14.61719,16.33203,2.17383,-0.19531,2.83594,2.58462,-0.04168,-1.05104
49,6836,3,-0.13782,-0.47198,0.84277,0.21912,9.12891,-12.96484,15.57812,2.90430,-0.57422,1.78906,2.61849,0.02546,-1.02785
50,10742,3,-0.13892,-0.45990,0.85150,0.20996,8.64062,-11.60156,14.06641,3.48438,-1.02539,0.97266,2.63429,0.04347,-1.00170
51,9765,3,-0.13519,-0.44568,0.86108,0.20416,7.41016,-8.97656,11.06250,4.04297,-1.22461,0.37891,2.64925,0.05086,-0.96801
52,9766,3,-0.12799,-0.43005,0.87079,0.20111,6.59766,-8.06250,10.18359,4.52344,-1.17969,0.10352,2.66260,0.04995,-0.92966
