lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1122070,3,0.33044,-0.12445,0.01251,0.93549,-0.57031,-0.05078,-3.70703,-0.66992,-0.14648,-0.02148,-0.06067,-0.24352,0.68653
1,9766,3,0.32745,-0.12500,0.01166,0.93652,-0.64453,-0.08203,-4.19922,-0.83594,-0.17773,0.00781,-0.06190,-0.24417,0.68032
2,10742,3,0.32391,-0.12579,0.01086,0.93762,-0.81641,-0.10547,-4.55078,-1.00781,-0.21680,0.00195,-0.06305,-0.24539,0.67303
3,9766,3,0.31958,-0.12677,0.00989,0.93896,-0.78516,-0.07031,-4.97266,-1.21289,-0.24805,0.00000,-0.06446,-0.24690,0.66411
4,9765,3,0.31433,-0.12793,0.00873,0.94061,-1.07422,-0.56250,-5.60156,-1.45508,-0.27930,0.02344,-0.06609,-0.24871,0.65328
5,10742,3,0.30811,-0.12927,0.00745,0.94250,-1.12891,-0.58203,-6.04688,-1.67969,-0.32227,0.05469,-0.06779,-0.25089,0.64045
6,9766,3,0.30066,-0.13080,0.00610,0.94470,-1.19922,-0.64844,-6.20312,-1.87305,-0.30664,0.10352,-0.06939,-0.25351,0.62509
7,9766,3,0.29230,-0.13245,0.00476,0.94708,-1.37500,-1.04297,-5.94531,-2.05273,-0.29102,0.16602,-0.07078,-0.25647,0.60784
8,9765,3,0.28278,-0.13409,0.00360,0.94977,-1.44531,-1.12500,-6.10547,-2.28320,-0.31836,0.22461,-0.07145,-0.25966,0.58808
9,10742,3,0.27240,-0.13586,0.00256,0.95251,-1.51562,-1.12891,-6.24609,-2.60938,-0.34570,0.29297,-0.07167,-0.26327,0.56658
10,8789,3,0.26056,-0.13782,0.00165,0.95557,-1.66797,-1.16406,-6.31641,-2.96680,-0.38086,0.36719,-0.07126,-0.26742,0.54200
11,13672,3,0.24762,-0.13989,0.00079,0.95868,-1.97656,-1.47266,-6.18750,-3.33984,-0.40234,0.43359,-0.07041,-0.27197,0.51517
12,6836,3,0.23212,-0.14227,-0.00006,0.96222,-2.10156,-1.74609,-5.89062,-3.61719,-0.40820,0.52734,-0.06885,-0.27731,0.48303
13,10742,3,0.21484,-0.14478,-0.00073,0.96588,-2.07812,-2.01562,-5.52734,-3.84375,-0.48047,0.60156,-0.06631,-0.28311,0.44719
14,9766,3,0.19574,-0.14752,-0.00122,0.96948,-2.05469,-2.35938,-5.26953,-4.12695,-0.62500,0.63672,-0.06277,-0.28960,0.40760
15,9766,3,0.17590,-0.15076,-0.00177,0.97278,-1.89453,-3.14844,-5.23438,-4.52734,-0.68945,0.75391,-0.05910,-0.29704,0.36663
16,10742,3,0.15424,-0.15448,-0.00226,0.97589,-2.23438,-3.25000,-5.19531,-4.98438,-0.65234,0.94141,-0.05461,-0.30554,0.32191
17,9766,3,0.15424,-0.15448,-0.00226,0.97589,-2.46484,-3.30859,-4.99219,-5.46289,-0.59961,1.11328,-0.05461,-0.30554,0.32191
18,9765,3,0.10474,-0.16180,-0.00189,0.98126,-2.35156,-3.56250,-4.68750,-5.86133,-0.61914,1.28320,-0.03966,-0.32271,0.21912
19,9766,3,0.07483,-0.16541,-0.00085,0.98340,-2.39062,-3.79688,-4.03906,-6.16016,-0.78906,1.42383,-0.02796,-0.33120,0.15656
20,10742,3,0.04401,-0.16925,0.00055,0.98456,-2.27734,-3.42969,-3.89453,-6.49805,-1.05273,1.56641,-0.01465,-0.33985,0.09185
21,12695,3,0.04401,-0.16925,0.00055,0.98456,-2.25000,-3.39062,-4.07812,-6.90820,-1.19531,1.77539,-0.01465,-0.33985,0.09185
22,6836,3,-0.02148,-0.17944,0.00464,0.98352,-2.07422,-4.51953,-3.72266,-7.23438,-1.31055,2.02539,0.01799,-0.36053,-0.04696
23,9766,3,-0.05786,-0.18542,0.00781,0.98090,-1.86328,-4.97266,-3.61328,-7.51758,-1.35352,2.25977,0.03949,-0.37136,-0.12526
24,10742,3,-0.09753,-0.19171,0.01208,0.97650,-1.75781,-5.83203,-2.45312,-7.60742,-1.37109,2.48242,0.06577,-0.38124,-0.21180
25,9766,3,-0.13623,-0.19745,0.01703,0.97064,-1.32031,-6.44531,-1.50781,-7.56250,-1.39062,2.69531,0.09398,-0.38836,-0.29738
26,9765,3,-0.17529,-0.20288,0.02313,0.96313,-0.25000,-8.62891,0.72656,-7.49219,-1.50391,2.71680,0.12554,-0.39269,-0.38507
