lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1242187,3,0.59180,-0.08148,0.12347,0.79236,0.10547,0.42578,-3.66016,-1.19336,-0.28516,-0.40820,0.10341,-0.27889,1.26848
1,12695,3,0.58777,-0.08209,0.12073,0.79572,0.13672,0.05859,-3.85547,-1.32422,-0.28711,-0.42383,0.09956,-0.27607,1.25857
2,7813,3,0.58313,-0.08276,0.11774,0.79950,0.16016,-0.06250,-4.22266,-1.48242,-0.28906,-0.40430,0.09542,-0.27304,1.24721
3,9765,3,0.57788,-0.08350,0.11469,0.80371,0.18359,-0.10938,-4.60938,-1.64844,-0.20703,-0.33984,0.09127,-0.27003,1.23434
4,9766,3,0.57159,-0.08435,0.11169,0.80853,0.10156,-0.22266,-4.78125,-1.81836,-0.05664,-0.23438,0.08740,-0.26725,1.21900
5,9766,3,0.56470,-0.08502,0.10938,0.81360,0.08594,-0.36719,-5.11328,-2.06445,0.05273,-0.14648,0.08502,-0.26496,1.20214
6,10742,3,0.55688,-0.08557,0.10779,0.81909,0.14062,-0.18359,-5.89062,-2.39258,0.16992,-0.07227,0.08427,-0.26327,1.18303
7,9766,3,0.54761,-0.08600,0.10663,0.82544,0.10938,-0.03516,-6.34375,-2.65820,0.27148,-0.05078,0.08483,-0.26174,1.16032
8,9765,3,0.53705,-0.08624,0.10590,0.83240,0.55469,-0.01172,-6.59375,-2.88867,0.35547,-0.06445,0.08669,-0.26026,1.13461
9,9766,3,0.52545,-0.08624,0.10529,0.83984,0.56250,-0.32422,-6.79688,-3.04492,0.47266,-0.06836,0.08930,-0.25838,1.10653
10,10742,3,0.51257,-0.08588,0.10480,0.84784,0.43750,-0.53516,-6.66406,-3.15039,0.57617,-0.06641,0.09282,-0.25585,1.07559
11,11719,3,0.49915,-0.08508,0.10455,0.85596,0.24219,-0.70703,-6.92188,-3.28320,0.61523,-0.02734,0.09729,-0.25272,1.04350
12,7812,3,0.48572,-0.08405,0.10455,0.86377,-0.42578,-1.25000,-7.32422,-3.41211,0.57617,-0.00391,0.10231,-0.24933,1.01168
13,10742,3,0.47040,-0.08313,0.10455,0.87225,-0.53906,-1.42188,-7.64453,-3.58008,0.49414,-0.00781,0.10763,-0.24587,0.97586
14,9766,3,0.45453,-0.08252,0.10443,0.88074,-0.55469,-1.65625,-7.91797,-3.77930,0.42188,-0.01367,0.11246,-0.24266,0.93913
15,9766,3,0.43817,-0.08234,0.10400,0.88904,-0.57031,-2.06641,-8.03906,-3.96875,0.41797,0.00977,0.11636,-0.23984,0.90180
16,9765,3,0.42072,-0.08240,0.10339,0.89752,-0.80469,-2.83594,-7.55469,-4.12891,0.43555,0.03320,0.11989,-0.23711,0.86238
17,10742,3,0.40216,-0.08258,0.10278,0.90601,-0.74609,-2.85547,-7.84375,-4.33398,0.47070,0.05664,0.12351,-0.23446,0.82095
18,9766,3,0.38245,-0.08270,0.10223,0.91455,-0.72266,-3.10938,-7.98047,-4.58984,0.61328,0.14258,0.12748,-0.23154,0.77731
19,9766,3,0.36169,-0.08264,0.10193,0.92303,-1.26562,-3.73047,-7.92188,-4.90430,0.77539,0.26562,0.13218,-0.22827,0.73175
20,9765,3,0.34033,-0.08221,0.10217,0.93109,-1.76953,-3.67969,-7.93750,-5.23438,0.86914,0.42969,0.13821,-0.22454,0.68526
21,10743,3,0.31537,-0.08148,0.10321,0.93982,-2.03125,-3.51953,-8.05078,-5.48047,0.78320,0.48242,0.14665,-0.22002,0.63128
22,8789,3,0.28894,-0.08105,0.10449,0.94818,-1.64453,-3.63281,-8.00781,-5.58008,0.61133,0.42969,0.15553,-0.21576,0.57471
23,10742,3,0.26355,-0.08124,0.10541,0.95544,-1.57422,-5.85547,-6.08203,-5.65039,0.58203,0.45312,0.16296,-0.21238,0.52089
24,9765,3,0.23456,-0.08191,0.10602,0.96283,-1.73828,-7.12500,-5.09375,-5.77148,0.75977,0.56055,0.17024,-0.20898,0.46002
25,12696,3,0.20679,-0.08228,0.10687,0.96906,-1.81250,-7.78125,-4.05469,-5.82812,1.02734,0.67578,0.17774,-0.20509,0.40214
26,7812,3,0.17877,-0.08167,0.10822,0.97449,-1.57422,-8.28516,-3.11719,-5.73047,1.25195,0.73242,0.18646,-0.19918,0.34419
27,9766,3,0.14984,-0.07990,0.11017,0.97931,-1.06641,-8.22266,-1.26562,-5.51758,1.32227,0.65625,0.19664,-0.19065,0.28480
28,10742,3,0.12024,-0.07709,0.11218,0.98334,-0.70312,-7.94922,-0.92578,-5.39258,1.41016,0.58008,0.20688,-0.17956,0.22466
29,9766,3,0.09222,-0.07379,0.11377,0.98645,-0.80859,-7.86328,-0.62891,-5.35938,1.65625,0.61719,0.21550,-0.16735,0.16830
30,9765,3,0.06464,-0.06952,0.11523,0.98877,-1.87109,-8.42969,0.32031,-5.29102,1.87891,0.65430,0.22334,-0.15298,0.11337
31,12696,3,0.03735,-0.06415,0.11682,0.99036,-1.94531,-7.89062,0.32812,-5.21289,1.96484,0.65039,0.23077,-0.13621,0.05959
32,7812,3,0.01093,-0.05798,0.11835,0.99121,-2.14844,-7.51953,0.10547,-5.20117,2.02539,0.66602,0.23720,-0.11781,0.00799
33,8789,3,-0.01587,-0.05127,0.11987,0.99133,-2.61328,-7.41016,0.12500,-5.21094,2.04492,0.75781,0.24283,-0.09800,-0.04398
34,10742,3,-0.04321,-0.04419,0.12158,0.99066,-3.52734,-7.10156,0.29688,-5.08984,1.96289,0.81641,0.24797,-0.07712,-0.09680
35,9766,3,-0.07111,-0.03693,0.12360,0.98907,-3.21094,-6.32812,0.73438,-4.83008,1.75000,0.76172,0.25282,-0.05550,-0.15059
36,10742,3,-0.09711,-0.03040,0.12561,0.98688,-2.60156,-6.16406,1.07031,-4.64844,1.55273,0.63086,0.25679,-0.03560,-0.20076
37,11719,3,-0.12152,-0.02484,0.12708,0.98413,-1.82422,-6.33984,1.24219,-4.39258,1.44727,0.45117,0.25907,-0.01801,-0.24806
38,7812,3,-0.14355,-0.02020,0.12781,0.98114,-0.99609,-6.28516,2.23828,-4.02539,1.47852,0.29492,0.25950,-0.00295,-0.29095
39,9766,3,-0.16528,-0.01532,0.12781,0.97778,-0.69141,-6.28516,2.67188,-3.72852,1.65039,0.23828,0.25788,0.01229,-0.33332
40,10742,3,-0.18597,-0.00964,0.12708,0.97424,-0.80469,-5.82031,2.46094,-3.63867,1.90430,0.32422,0.25402,0.02848,-0.37361
41,9766,3,-0.20477,-0.00305,0.12622,0.97064,-1.86719,-4.62109,0.87500,-3.65625,2.22266,0.49414,0.24910,0.04578,-0.41010
42,9765,3,-0.22388,0.00519,0.12567,0.96649,-2.21484,-3.84766,0.30469,-3.70703,2.43164,0.68945,0.24352,0.06634,-0.44713
43,9766,3,-0.24286,0.01483,0.12561,0.96179,-2.30078,-3.49609,-0.17578,-3.81055,2.54883,0.80273,0.23759,0.08966,-0.48396
44,9766,3,-0.26251,0.02551,0.12610,0.95630,-2.44531,-3.34375,-0.13281,-3.85156,2.50391,0.81836,0.23137,0.11526,-0.52241
45,12695,3,-0.28107,0.03577,0.12671,0.95062,-2.55469,-3.86719,0.19141,-3.83789,2.28711,0.73242,0.22486,0.13968,-0.55916
46,7813,3,-0.30072,0.04596,0.12732,0.94409,-2.55859,-4.61328,0.83984,-3.74023,2.01367,0.59375,0.21735,0.16408,-0.59879
47,9765,3,-0.32025,0.05505,0.12775,0.93707,-2.50781,-5.05078,1.82812,-3.47461,1.66602,0.38477,0.20926,0.18607,-0.63903
48,10742,3,-0.33826,0.06238,0.12769,0.93024,-2.22656,-5.14062,2.55859,-3.20312,1.40039,0.17188,0.20084,0.20385,-0.67691
49,9766,3,-0.35455,0.06793,0.12708,0.92383,-2.14062,-5.44141,3.16797,-2.98828,1.35352,0.05859,0.19231,0.21735,-0.71186
50,10742,3,-0.36975,0.07269,0.12592,0.91772,-2.37891,-5.37500,3.51172,-2.73828,1.35938,0.08203,0.18310,0.22851,-0.74494
51,11719,3,-0.38354,0.07733,0.12445,0.91187,-2.78125,-4.88281,3.71484,-2.48633,1.25977,0.14648,0.17339,0.23874,-0.77545
52,6836,3,-0.39569,0.08185,0.12317,0.90637,-3.14844,-4.14453,3.15234,-2.35352,1.07422,0.21875,0.16427,0.24840,-0.80270
53,10742,3,-0.40723,0.08612,0.12244,0.90100,-3.22266,-4.17969,3.26172,-2.18164,0.54492,-0.21484,0.15626,0.25774,-0.82869
54,9766,3,-0.41833,0.08862,0.12146,0.89575,-3.08984,-3.46094,3.17188,-1.91016,-0.29883,-0.28516,0.14913,0.26343,-0.85404
55,9765,3,-0.42749,0.08752,0.12079,0.89160,-1.67969,-4.60156,3.88672,-1.59961,-0.41602,-0.28125,0.14606,0.26236,-0.87486
56,10742,3,-0.43488,0.08447,0.12085,0.88831,-1.91016,-5.33594,6.12109,-1.41016,-0.15625,-0.04297,0.14660,0.25805,-0.89146
