lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,5299805,3,0.12555,-0.16876,-0.15021,0.96600,0.10547,-0.99609,3.23438,-0.17383,0.07227,-0.04688,-0.35473,-0.29249,0.31128
1,9766,3,0.12451,-0.16833,-0.15076,0.96613,-0.00391,-0.75000,3.03516,-0.07617,0.05273,-0.04492,-0.35538,-0.29186,0.30912
2,9765,3,0.12396,-0.16791,-0.15106,0.96625,-0.07031,-0.58203,2.80469,0.00586,-0.00391,-0.06055,-0.35565,-0.29112,0.30787
3,10743,3,0.12390,-0.16772,-0.15143,0.96625,-0.10938,-0.46875,2.53516,0.09375,-0.03516,-0.07812,-0.35630,-0.29066,0.30776
4,9765,3,0.12415,-0.16785,-0.15173,0.96613,-0.10156,-0.39062,2.45703,0.18164,-0.05469,-0.08398,-0.35707,-0.29072,0.30842
5,9766,3,0.12488,-0.16809,-0.15210,0.96594,-0.06250,-0.32812,2.27344,0.25000,-0.06445,-0.08594,-0.35814,-0.29082,0.31014
6,9765,3,0.12592,-0.16852,-0.15247,0.96564,-0.06250,-0.19922,1.97656,0.27148,-0.07227,-0.07227,-0.35940,-0.29117,0.31259
7,10743,3,0.12714,-0.16901,-0.15271,0.96539,-0.41797,-0.07031,1.41016,0.27734,-0.07812,-0.04492,-0.36046,-0.29159,0.31538
8,9765,3,0.12848,-0.16956,-0.15283,0.96509,-0.34766,0.01172,1.14844,0.28906,-0.09570,-0.03320,-0.36135,-0.29214,0.31843
9,9766,3,0.12982,-0.17017,-0.15289,0.96478,-0.27734,0.14453,0.85156,0.29492,-0.14062,-0.04883,-0.36215,-0.29282,0.32150
10,9765,3,0.13116,-0.17090,-0.15302,0.96448,-0.17188,0.14844,0.55859,0.31445,-0.16992,-0.05469,-0.36311,-0.29371,0.32463
11,10743,3,0.13257,-0.17188,-0.15308,0.96405,0.05078,0.12500,0.30859,0.32031,-0.16406,-0.07422,-0.36412,-0.29509,0.32802
12,9765,3,0.13403,-0.17291,-0.15326,0.96368,0.19531,0.10156,0.04688,0.31250,-0.12695,-0.07812,-0.36539,-0.29650,0.33157
13,9766,3,0.13550,-0.17377,-0.15350,0.96326,0.14844,0.10938,-0.12891,0.29297,-0.08203,-0.09180,-0.36675,-0.29754,0.33508
14,9766,3,0.13696,-0.17444,-0.15375,0.96289,0.25781,0.14844,-0.60938,0.28711,-0.07422,-0.12695,-0.36800,-0.29822,0.33849
15,10742,3,0.13843,-0.17499,-0.15405,0.96252,0.25781,0.19922,-0.90234,0.30273,-0.09766,-0.17383,-0.36933,-0.29864,0.34186
16,9765,3,0.13989,-0.17554,-0.15466,0.96216,0.25781,0.13281,-1.07812,0.32227,-0.12891,-0.19727,-0.37128,-0.29893,0.34531
17,9766,3,0.14148,-0.17615,-0.15546,0.96167,0.09766,0.02344,-1.21484,0.30859,-0.13672,-0.19531,-0.37369,-0.29924,0.34912
18,9766,3,0.14301,-0.17688,-0.15625,0.96118,-0.25781,-0.16797,-1.85938,0.25000,-0.12109,-0.18555,-0.37614,-0.29980,0.35287
