lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,11681640,3,-0.01971,-0.16071,-0.03125,0.98633,-0.92969,0.17578,-3.27734,-0.28125,-0.20508,0.02539,-0.05837,-0.32387,-0.03043
1,9766,3,-0.02075,-0.16168,-0.03149,0.98615,-0.90625,0.27344,-3.56641,-0.46680,-0.19727,0.07227,-0.05851,-0.32592,-0.03246
2,9766,3,-0.02264,-0.16260,-0.03168,0.98590,-0.84766,0.34375,-3.98047,-0.67773,-0.20117,0.12109,-0.05823,-0.32790,-0.03629
3,9765,3,-0.02557,-0.16345,-0.03174,0.98572,-1.01562,0.43750,-4.77734,-0.90039,-0.22266,0.17969,-0.05733,-0.32980,-0.04233
4,9766,3,-0.02960,-0.16437,-0.03168,0.98541,-1.14453,0.51562,-5.22266,-1.14453,-0.29492,0.22461,-0.05577,-0.33190,-0.05072
5,10742,3,-0.03485,-0.16547,-0.03162,0.98511,-1.32031,0.69531,-5.58984,-1.44531,-0.38086,0.24219,-0.05376,-0.33440,-0.06165
6,9766,3,-0.04138,-0.16687,-0.03156,0.98462,-1.54688,0.69531,-5.87891,-1.75000,-0.47852,0.26562,-0.05124,-0.33758,-0.07527
7,9765,3,-0.04913,-0.16858,-0.03168,0.98395,-2.19531,0.58594,-6.15625,-2.03711,-0.62305,0.29492,-0.04860,-0.34146,-0.09141
8,10743,3,-0.05914,-0.17102,-0.03186,0.98297,-2.51172,0.54297,-6.11719,-2.33398,-0.85742,0.38672,-0.04511,-0.34690,-0.11229
9,9765,3,-0.07043,-0.17426,-0.03192,0.98169,-2.80469,0.37109,-6.26172,-2.64648,-1.04492,0.48438,-0.04065,-0.35395,-0.13598
10,9766,3,-0.08325,-0.17834,-0.03162,0.97992,-3.17969,0.34375,-6.14453,-3.02930,-1.03906,0.70117,-0.03452,-0.36270,-0.16318
11,9765,3,-0.09766,-0.18268,-0.03094,0.97784,-3.61328,-0.53906,-5.63672,-3.36328,-1.09766,1.06055,-0.02666,-0.37180,-0.19406
12,10743,3,-0.11426,-0.18695,-0.02911,0.97528,-3.65234,-0.60156,-5.23047,-3.62305,-1.17578,1.43555,-0.01515,-0.38041,-0.23033
13,9765,3,-0.13263,-0.19128,-0.02570,0.97217,-3.60547,-0.64062,-4.73047,-3.92188,-1.31250,1.77539,0.00084,-0.38845,-0.27134
14,12696,3,-0.15265,-0.19574,-0.02081,0.96851,-2.71875,-0.67969,-5.14844,-4.38281,-1.51758,2.05664,0.02107,-0.39573,-0.31688
15,6835,3,-0.17401,-0.20044,-0.01477,0.96399,-2.42969,-0.64844,-5.12891,-4.89062,-1.66602,2.20312,0.04488,-0.40237,-0.36633
16,10743,3,-0.19849,-0.20587,-0.00787,0.95819,-2.13281,-1.03125,-4.59375,-5.31250,-1.65234,2.35352,0.07269,-0.40897,-0.42360
17,9765,3,-0.22644,-0.21149,-0.00037,0.95081,-1.91797,-1.89453,-3.73828,-5.52148,-1.58789,2.59961,0.10404,-0.41405,-0.48947
18,9766,3,-0.25360,-0.21606,0.00714,0.94281,-0.66797,-4.65234,-0.76953,-5.40039,-1.56055,2.73633,0.13493,-0.41569,-0.55403
19,10742,3,-0.28314,-0.22034,0.01605,0.93329,0.38672,-5.58203,0.87891,-5.16797,-1.63086,2.73828,0.16982,-0.41390,-0.62485
20,9766,3,-0.31030,-0.22418,0.02502,0.92346,1.38672,-6.30078,2.07031,-4.97266,-1.61133,2.63281,0.20350,-0.40992,-0.69078
21,9765,3,-0.33557,-0.22784,0.03387,0.91339,2.04297,-6.71484,3.41797,-4.77344,-1.44336,2.43750,0.23584,-0.40444,-0.75273
22,9766,3,-0.36115,-0.23138,0.04260,0.90234,3.95312,-8.40625,6.24609,-4.34180,-1.17188,2.25195,0.26780,-0.39716,-0.81561
23,10742,3,-0.38403,-0.23395,0.05017,0.89178,4.83594,-8.80859,7.93750,-3.50781,-0.95898,2.03711,0.29510,-0.38842,-0.87172
