lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1502929,3,-0.10822,0.13007,-0.02924,0.98517,0.84766,0.86328,3.07812,-0.08008,-0.04102,-0.49023,-0.08868,0.25261,-0.23008
1,9766,3,-0.10889,0.12964,-0.03143,0.98505,0.71875,0.64844,3.72656,0.00391,-0.04492,-0.48438,-0.09322,0.25120,-0.23196
2,10742,3,-0.10944,0.12915,-0.03369,0.98499,0.58594,0.55078,4.37109,0.16992,-0.03125,-0.47852,-0.09782,0.24964,-0.23358
3,9766,3,-0.10931,0.12866,-0.03601,0.98499,0.61719,0.51172,4.87109,0.32812,0.00977,-0.47656,-0.10238,0.24813,-0.23383
4,9765,3,-0.10846,0.12830,-0.03833,0.98505,0.17188,0.42578,5.55078,0.46484,0.05664,-0.45898,-0.10678,0.24694,-0.23259
5,10743,3,-0.10669,0.12811,-0.04095,0.98517,-0.10547,0.35938,5.92578,0.65430,0.16016,-0.39258,-0.11162,0.24616,-0.22957
6,9765,3,-0.10419,0.12830,-0.04340,0.98529,-0.29688,0.28125,6.25391,0.87109,0.29492,-0.31641,-0.11600,0.24626,-0.22507
7,9766,3,-0.10065,0.12903,-0.04565,0.98547,-0.47266,0.17969,6.39453,1.08008,0.46680,-0.24219,-0.11989,0.24764,-0.21849
8,9765,3,-0.09589,0.13049,-0.04773,0.98566,-1.01562,0.01562,6.14844,1.24805,0.66016,-0.17383,-0.12327,0.25070,-0.20951
9,10743,3,-0.09009,0.13293,-0.04974,0.98578,-1.50391,-0.16797,5.86328,1.41406,0.88867,-0.08398,-0.12647,0.25590,-0.19856
10,9765,3,-0.08344,0.13629,-0.05151,0.98578,-2.08594,-0.42969,5.55078,1.58008,1.10742,0.02344,-0.12910,0.26315,-0.18598
11,12696,3,-0.07587,0.14081,-0.05298,0.98572,-3.37109,-0.57031,4.04688,1.69922,1.24609,0.13477,-0.13102,0.27292,-0.17164
12,6835,3,-0.06769,0.14600,-0.05402,0.98547,-4.10547,-0.76562,3.16797,1.77148,1.33594,0.25781,-0.13189,0.28426,-0.15606
13,10743,3,-0.05878,0.15186,-0.05469,0.98517,-4.86719,-1.03906,2.06250,1.79492,1.32617,0.38281,-0.13173,0.29711,-0.13892
14,9765,3,-0.04895,0.15826,-0.05475,0.98468,-5.76953,-1.41797,0.96875,1.80859,1.18555,0.49219,-0.12990,0.31131,-0.11975
15,9766,3,-0.03979,0.16376,-0.05420,0.98419,-7.79688,-1.59766,-1.43750,1.79688,0.86133,0.57227,-0.12662,0.32365,-0.10152
