lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1502930,3,0.25665,-0.04730,0.51605,0.81586,-1.22656,-0.51562,-2.56250,-0.06250,0.18555,-0.08398,1.05567,-0.34911,0.40465
1,9765,3,0.25623,-0.04651,0.51593,0.81610,-1.73828,-0.67578,-3.36719,-0.18945,0.24023,-0.05078,1.05558,-0.34723,0.40467
2,10743,3,0.25519,-0.04578,0.51605,0.81641,-2.13672,-0.78516,-3.80078,-0.33398,0.29883,0.00781,1.05618,-0.34491,0.40338
3,9765,3,0.25342,-0.04529,0.51636,0.81677,-2.45703,-0.95312,-4.27734,-0.49023,0.32617,0.10742,1.05738,-0.34233,0.40043
4,9766,3,0.25092,-0.04504,0.51703,0.81714,-3.62109,-1.14453,-5.18359,-0.64062,0.25977,0.21289,1.05957,-0.33956,0.39574
5,9765,3,0.24780,-0.04547,0.51801,0.81744,-4.09766,-1.01172,-5.58984,-0.77734,0.11719,0.31836,1.06254,-0.33743,0.38916
6,10743,3,0.24432,-0.04681,0.51929,0.81757,-4.32031,-1.01953,-5.88672,-0.93359,-0.02344,0.42969,1.06625,-0.33663,0.38091
7,12695,3,0.24066,-0.04919,0.52075,0.81757,-4.28906,-1.00781,-6.14062,-1.13281,-0.14258,0.53320,1.07034,-0.33748,0.37123
8,6836,3,0.23663,-0.05267,0.52246,0.81750,-3.94922,-1.05859,-6.40234,-1.34961,-0.24023,0.62109,1.07497,-0.33987,0.35968
9,9766,3,0.23193,-0.05731,0.52435,0.81732,-3.76172,-1.24219,-6.43359,-1.55273,-0.29492,0.74805,1.08026,-0.34362,0.34566
10,10742,3,0.22632,-0.06317,0.52655,0.81708,-3.80078,-1.55078,-6.35156,-1.75000,-0.31641,0.90430,1.08654,-0.34855,0.32857
11,9765,3,0.22003,-0.06970,0.52905,0.81659,-3.88281,-1.75781,-6.38281,-1.94922,-0.34766,1.05078,1.09399,-0.35401,0.30940
12,9766,3,0.21301,-0.07697,0.53210,0.81580,-3.93750,-2.10547,-6.52734,-2.16992,-0.37891,1.21680,1.10319,-0.36001,0.28781
13,10742,3,0.20514,-0.08502,0.53564,0.81470,-4.10156,-2.30859,-6.51953,-2.42383,-0.38281,1.42578,1.11412,-0.36646,0.26351
14,9766,3,0.19617,-0.09412,0.53973,0.81323,-4.31641,-2.36328,-6.55078,-2.70898,-0.38281,1.66602,1.12714,-0.37345,0.23574
