lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1251953,3,-0.01855,0.08734,-0.04248,0.99512,0.64062,0.46484,2.89844,-0.52344,0.34180,-0.42188,-0.08923,0.17311,-0.04504
1,10742,3,-0.02148,0.08911,-0.04431,0.99481,0.56641,0.41016,3.09766,-0.47070,0.38281,-0.44531,-0.09358,0.17630,-0.05146
2,9766,3,-0.02411,0.09100,-0.04626,0.99451,0.55859,0.39062,3.33594,-0.37305,0.38281,-0.49023,-0.09814,0.17973,-0.05733
3,9765,3,-0.02637,0.09296,-0.04834,0.99414,0.28516,0.35156,3.46875,-0.23047,0.38281,-0.47656,-0.10292,0.18330,-0.06250
4,10742,3,-0.02795,0.09485,-0.05054,0.99384,-0.41406,0.00781,3.66797,-0.08398,0.33984,-0.45508,-0.10783,0.18678,-0.06635
5,9766,3,-0.02887,0.09662,-0.05273,0.99353,-0.64844,-0.12891,3.58984,0.02344,0.30078,-0.42188,-0.11262,0.19007,-0.06885
6,9766,3,-0.02917,0.09814,-0.05487,0.99323,-0.80859,-0.49609,3.67578,0.15039,0.29102,-0.37891,-0.11716,0.19295,-0.07008
7,9765,3,-0.02887,0.09949,-0.05682,0.99298,-1.17188,-1.03516,3.91016,0.28516,0.27930,-0.33398,-0.12120,0.19555,-0.07003
8,10742,3,-0.02789,0.10077,-0.05865,0.99280,-1.34766,-1.01172,3.79688,0.39648,0.25781,-0.33398,-0.12484,0.19810,-0.06860
9,9766,3,-0.02625,0.10199,-0.06042,0.99261,-1.58203,-0.89062,3.75000,0.46484,0.24609,-0.32031,-0.12822,0.20064,-0.06579
10,9766,3,-0.02423,0.10303,-0.06219,0.99243,-1.78906,-0.92188,3.79688,0.51562,0.18750,-0.27148,-0.13151,0.20287,-0.06223
11,9765,3,-0.02185,0.10394,-0.06390,0.99231,-2.26562,-1.31250,4.32422,0.64648,0.19336,-0.20898,-0.13457,0.20492,-0.05789
12,10743,3,-0.02185,0.10394,-0.06390,0.99231,-2.44141,-1.39844,4.55469,0.78906,0.17188,-0.17188,-0.13457,0.20492,-0.05789
13,9765,3,-0.01556,0.10529,-0.06647,0.99213,-2.73047,-1.46094,4.59375,0.91211,0.18164,-0.12305,-0.13859,0.20834,-0.04588
14,9766,3,-0.01141,0.10583,-0.06750,0.99200,-3.08984,-1.53906,4.81641,1.08398,0.10547,-0.04883,-0.13987,0.20998,-0.03777
15,9765,3,-0.00641,0.10620,-0.06836,0.99194,-3.64844,-1.44922,5.19922,1.28125,0.06836,-0.00586,-0.14057,0.21140,-0.02786
16,10743,3,-0.00055,0.10626,-0.06897,0.99194,-3.99219,-1.86328,5.37500,1.45703,0.10352,0.09375,-0.14055,0.21233,-0.01611
17,9765,3,0.00635,0.10620,-0.06934,0.99188,-4.33203,-2.37891,5.45312,1.67773,0.20508,0.24219,-0.13981,0.21318,-0.00218
18,9766,3,0.01410,0.10638,-0.06934,0.99182,-5.00391,-3.86719,5.45312,1.92773,0.30664,0.40039,-0.13813,0.21462,0.01353
19,10742,3,0.02350,0.10699,-0.06866,0.99164,-5.51172,-4.66797,4.99219,2.18555,0.33789,0.56055,-0.13470,0.21712,0.03268
20,9766,3,0.03375,0.10779,-0.06738,0.99133,-5.97656,-5.37109,4.15625,2.43750,0.31250,0.74609,-0.12980,0.22002,0.05371
21,9765,3,0.04608,0.10852,-0.06525,0.99091,-6.48047,-5.94922,3.25391,2.70898,0.20508,0.95508,-0.12263,0.22291,0.07920
22,9766,3,0.05957,0.10876,-0.06232,0.99030,-6.98828,-6.29297,1.01562,2.94531,0.03125,1.15430,-0.11357,0.22474,0.10733
23,10742,3,0.07410,0.10815,-0.05811,0.98969,-6.78906,-6.27344,-0.25391,3.11719,-0.13086,1.38672,-0.10170,0.22456,0.13798
24,9766,3,0.08972,0.10663,-0.05298,0.98883,-6.54297,-6.16406,-1.51953,3.21094,-0.26367,1.65430,-0.08791,0.22220,0.17116
25,9765,3,0.10596,0.10419,-0.04669,0.98779,-5.70703,-5.57422,-4.04688,3.21680,-0.44336,1.90625,-0.07192,0.21744,0.20586
26,9766,3,0.12262,0.10077,-0.03912,0.98657,-5.23438,-5.37500,-5.24609,3.13672,-0.60547,2.14062,-0.05369,0.20996,0.24165
27,10742,3,0.13934,0.09631,-0.03070,0.98505,-4.60156,-5.37500,-6.18750,2.99609,-0.75977,2.31250,-0.03433,0.19964,0.27761
28,9766,3,0.15521,0.09100,-0.02142,0.98346,-3.82812,-5.27344,-7.19141,2.79102,-0.98828,2.42773,-0.01413,0.18673,0.31174
29,9765,3,0.16980,0.08484,-0.01184,0.98175,-2.62891,-4.79688,-9.26562,2.50977,-1.18359,2.53125,0.00564,0.17144,0.34301
30,9766,3,0.18384,0.07727,-0.00134,0.97992,-2.19531,-4.73047,-9.96094,2.21094,-1.37695,2.62695,0.02608,0.15252,0.37289
31,10742,3,0.19666,0.06842,0.00989,0.97803,-1.83203,-4.56641,-10.50391,1.90625,-1.59766,2.71484,0.04666,0.13031,0.39990
32,9766,3,0.20776,0.05865,0.02130,0.97620,-1.36719,-4.55859,-10.82422,1.57422,-1.85156,2.78516,0.06638,0.10586,0.42292
33,9765,3,0.21722,0.04761,0.03290,0.97443,-0.06250,-4.11719,-11.69141,1.24414,-2.09570,2.84375,0.08516,0.07856,0.44203
34,10743,3,0.22498,0.03528,0.04456,0.97272,0.65234,-4.03516,-11.87109,0.91797,-2.26758,2.86523,0.10285,0.04860,0.45708
35,9765,3,0.23120,0.02185,0.05615,0.97107,1.36328,-3.93750,-11.87109,0.55078,-2.37891,2.90820,0.11945,0.01647,0.46846
36,9766,3,0.23572,0.00739,0.06775,0.96942,2.99219,-3.43359,-11.83203,0.17773,-2.42969,2.93750,0.13527,-0.01762,0.47585
37,9766,3,0.23834,-0.00757,0.07928,0.96790,3.42188,-3.33984,-11.31250,-0.21289,-2.25391,2.98242,0.15065,-0.05247,0.47893
38,10742,3,0.23901,-0.02167,0.09045,0.96655,3.98047,-3.08594,-10.82812,-0.61523,-2.08008,2.98047,0.16586,-0.08523,0.47775
39,8789,3,0.23755,-0.03632,0.10315,0.96521,4.65625,-2.48047,-10.55859,-0.96680,-1.92969,2.90430,0.18421,-0.11939,0.47159
40,10742,3,0.23438,-0.04907,0.11469,0.96411,5.75391,-1.37500,-9.98438,-1.29688,-1.80469,2.79492,0.20172,-0.14893,0.46185
41,9766,3,0.22906,-0.06244,0.12677,0.96313,5.91797,-0.76562,-9.88672,-1.72656,-1.69141,2.73828,0.22088,-0.17930,0.44705
42,10742,3,0.22186,-0.07507,0.13818,0.96234,6.03516,-0.08203,-9.75781,-2.30664,-1.40625,2.72461,0.24002,-0.20728,0.42809
43,9765,3,0.21216,-0.08685,0.14905,0.96191,6.28906,0.57422,-9.15234,-2.93750,-0.99023,2.65234,0.25969,-0.23241,0.40368
44,9766,3,0.19934,-0.09717,0.15973,0.96191,7.39844,1.70703,-8.28906,-3.58203,-0.60156,2.50781,0.28110,-0.25332,0.37265
45,10742,3,0.18280,-0.10620,0.17010,0.96246,7.73828,2.45703,-7.44531,-4.08984,-0.25977,2.30664,0.30413,-0.26989,0.33378
46,8789,3,0.16431,-0.11322,0.17908,0.96338,8.05859,3.14453,-6.49609,-4.41992,-0.06055,2.02734,0.32612,-0.28067,0.29138
47,10742,3,0.14203,-0.11969,0.18738,0.96460,8.87109,4.64062,-4.55469,-4.63281,0.02930,1.62891,0.34856,-0.28808,0.24132
48,9766,3,0.11884,-0.12524,0.19366,0.96576,9.86719,5.53125,-3.41406,-4.76562,0.08398,1.07422,0.36776,-0.29207,0.19017
49,9766,3,0.09497,-0.13025,0.19757,0.96692,10.84766,6.12109,-1.95312,-4.73633,0.05859,0.25586,0.38259,-0.29362,0.13855
50,9765,3,0.07147,-0.13477,0.19794,0.96826,11.80469,6.38281,-0.38281,-4.55273,-0.06055,-0.53906,0.39013,-0.29347,0.08898
51,10743,3,0.05029,-0.13898,0.19458,0.96967,12.87500,4.06250,3.89453,-4.21289,0.07617,-1.07812,0.38937,-0.29329,0.04541
52,9765,3,0.02948,-0.14294,0.18781,0.97131,13.36719,2.54688,6.91797,-3.58789,0.44922,-1.45117,0.38144,-0.29293,0.00374
53,9766,3,0.01050,-0.14514,0.17871,0.97308,13.81250,1.23438,9.60156,-2.72852,0.75781,-1.85547,0.36806,-0.29028,-0.03282
54,10742,3,-0.00421,-0.14484,0.16864,0.97498,13.85156,-0.24609,11.48438,-1.96875,1.20312,-2.17969,0.35108,-0.28484,-0.05949
55,9766,3,-0.01495,-0.14203,0.15729,0.97717,12.16016,-4.10547,13.84375,-1.32812,1.79883,-2.38477,0.32989,-0.27637,-0.07689
56,9765,3,-0.02264,-0.13605,0.14490,0.97980,10.93359,-5.46875,14.39453,-0.65625,2.28516,-2.62109,0.30514,-0.26305,-0.08689
57,10742,3,-0.02728,-0.12701,0.13190,0.98273,9.64453,-6.67188,14.39453,0.01172,2.58789,-2.98438,0.27791,-0.24488,-0.08993
58,9766,3,-0.02856,-0.11615,0.11835,0.98572,5.58594,-9.23047,13.31250,0.62695,2.83008,-3.20117,0.24867,-0.22410,-0.08606
59,9766,3,-0.02667,-0.10248,0.10248,0.98907,3.24609,-10.13672,12.29297,1.31445,3.00000,-3.25391,0.21399,-0.19856,-0.07532
60,9765,3,-0.02167,-0.08789,0.08661,0.99213,1.01562,-10.47656,10.85156,1.91992,3.03906,-3.19727,0.17923,-0.17148,-0.05912
61,9766,3,-0.01337,-0.07239,0.07098,0.99475,-0.94141,-10.56250,8.96094,2.33789,2.91602,-3.05664,0.14514,-0.14260,-0.03726
62,10742,3,-0.00317,-0.05768,0.05676,0.99670,-4.39844,-9.26562,4.89062,2.58594,2.68945,-2.82031,0.11452,-0.11487,-0.01296
63,9766,3,0.00958,-0.04254,0.04242,0.99817,-5.54297,-8.58984,3.16406,2.70898,2.45508,-2.48242,0.08427,-0.08584,0.01558
64,9765,3,0.02240,-0.02942,0.03027,0.99884,-6.21484,-8.08984,1.89453,2.75391,2.20312,-2.07031,0.05930,-0.06016,0.04306
65,9766,3,0.03644,-0.01672,0.01941,0.99902,-6.66016,-7.53516,0.55078,2.78516,1.91602,-1.61719,0.03759,-0.03483,0.07226
66,10742,3,0.05054,-0.00568,0.01074,0.99866,-7.01562,-5.81641,-1.61328,2.82422,1.60938,-1.24219,0.02088,-0.01242,0.10099
67,9766,3,0.06451,0.00366,0.00415,0.99792,-6.60547,-4.94141,-2.80859,2.84961,1.23828,-1.01953,0.00876,0.00677,0.12915
68,9765,3,0.07855,0.01117,-0.00098,0.99683,-6.22266,-3.94141,-4.12891,2.75391,0.87695,-0.88477,-0.00019,0.02242,0.15728
