lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,951172,3,0.07837,-0.37653,-0.17249,0.90680,1.59766,0.03516,-2.44922,-0.38672,0.32617,-0.37305,-0.51508,-0.71533,0.36866
1,10742,3,0.07770,-0.37494,-0.17462,0.90710,1.66797,0.11719,-2.89453,-0.48047,0.44141,-0.43164,-0.51820,-0.71169,0.36729
2,9766,3,0.07684,-0.37268,-0.17706,0.90765,1.58594,0.08984,-3.30859,-0.54883,0.53516,-0.46484,-0.52125,-0.70670,0.36502
3,9765,3,0.07581,-0.36981,-0.17993,0.90839,1.35547,0.01953,-4.00781,-0.63672,0.59180,-0.50391,-0.52460,-0.70044,0.36204
4,9766,3,0.07452,-0.36652,-0.18298,0.90918,1.25781,0.10547,-4.74219,-0.80664,0.61914,-0.54883,-0.52788,-0.69346,0.35824
5,10742,3,0.07275,-0.36298,-0.18646,0.91003,1.04297,0.27344,-5.32812,-1.01953,0.67773,-0.60352,-0.53158,-0.68610,0.35341
6,8789,3,0.07025,-0.35895,-0.19049,0.91101,0.95312,0.35156,-5.65625,-1.23828,0.73047,-0.69141,-0.53565,-0.67801,0.34685
7,10742,3,0.06708,-0.35455,-0.19507,0.91199,0.54688,0.15234,-6.29297,-1.44531,0.76562,-0.75586,-0.54030,-0.66943,0.33887
8,10743,3,0.06281,-0.34943,-0.20068,0.91309,0.24219,-0.06250,-6.33594,-1.66016,0.81250,-0.79297,-0.54606,-0.65970,0.32850
9,9765,3,0.05811,-0.34430,-0.20642,0.91406,0.03516,-0.18359,-6.48047,-1.89648,0.90625,-0.80078,-0.55198,-0.65028,0.31734
10,9766,3,0.05200,-0.33801,-0.21313,0.91522,-0.13672,-0.36719,-6.50000,-2.11914,1.04297,-0.76758,-0.55847,-0.63918,0.30272
11,9765,3,0.04510,-0.33112,-0.21997,0.91650,-1.04688,-1.37500,-6.02344,-2.29297,1.20898,-0.65625,-0.56445,-0.62744,0.28594
12,10743,3,0.04510,-0.33112,-0.21997,0.91650,-1.56641,-1.73828,-5.82031,-2.44922,1.37109,-0.50586,-0.56445,-0.62744,0.28594
13,9765,3,0.02893,-0.31470,-0.23279,0.91974,-1.98438,-1.97266,-5.73828,-2.66406,1.58594,-0.35938,-0.57192,-0.60094,0.24459
14,9766,3,0.01965,-0.30493,-0.23859,0.92181,-3.17188,-2.37891,-5.55859,-2.89648,1.80859,-0.18164,-0.57306,-0.58570,0.21985
15,9766,3,0.00922,-0.29364,-0.24390,0.92426,-3.87109,-2.43359,-5.56641,-3.14453,1.96289,0.01172,-0.57205,-0.56839,0.19133
16,10742,3,-0.00244,-0.28113,-0.24866,0.92688,-4.41406,-2.50781,-5.62891,-3.42773,1.99609,0.24023,-0.56921,-0.54963,0.15933
17,8789,3,-0.01544,-0.26782,-0.25269,0.92963,-5.20703,-2.60938,-5.60156,-3.75586,1.94141,0.50781,-0.56449,-0.53024,0.12393
18,10742,3,-0.02936,-0.25482,-0.25568,0.93213,-6.52344,-3.35547,-5.33594,-4.05469,1.89258,0.78906,-0.55816,-0.51215,0.08680
19,9766,3,-0.04602,-0.24072,-0.25781,0.93457,-6.55078,-3.56250,-4.75000,-4.25000,1.85547,1.03320,-0.54924,-0.49348,0.04328
20,10742,3,-0.06464,-0.22595,-0.25897,0.93683,-6.19531,-3.69141,-4.37500,-4.44336,1.85938,1.24023,-0.53829,-0.47446,-0.00458
21,9765,3,-0.08411,-0.21106,-0.25909,0.93878,-5.99219,-3.87500,-4.00781,-4.61523,1.89453,1.43164,-0.52604,-0.45541,-0.05408
22,10743,3,-0.10449,-0.19562,-0.25830,0.94025,-5.89844,-4.00391,-3.13672,-4.74805,1.84180,1.58789,-0.51285,-0.43549,-0.10546
23,9765,3,-0.12451,-0.18079,-0.25677,0.94122,-5.68750,-3.82031,-2.79688,-4.84570,1.78516,1.73438,-0.49979,-0.41616,-0.15537
24,8789,3,-0.14709,-0.16443,-0.25421,0.94165,-5.26172,-3.93750,-2.10156,-4.77930,1.75977,1.89844,-0.48501,-0.39462,-0.21109
