lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,16820312,3,-0.00269,0.01666,-0.20380,0.97888,2.53516,0.09375,1.62500,0.23633,-0.00586,-0.64844,-0.41071,0.03153,-0.01206
1,10742,3,-0.00171,0.01642,-0.20679,0.97827,2.72656,0.15234,2.04688,0.33594,-0.01172,-0.78711,-0.41679,0.03142,-0.01014
2,8789,3,-0.00031,0.01611,-0.21045,0.97748,2.71875,0.27734,2.54297,0.41602,0.04688,-0.89258,-0.42424,0.03138,-0.00738
3,10743,3,0.00146,0.01581,-0.21448,0.97662,2.25781,0.47266,3.53906,0.44336,0.20898,-0.92969,-0.43242,0.03151,-0.00392
4,9765,3,0.00378,0.01605,-0.21924,0.97552,1.81641,0.74219,3.88281,0.48047,0.44141,-0.94336,-0.44213,0.03298,0.00034
5,10742,3,0.00641,0.01715,-0.22400,0.97443,1.38672,0.97266,4.23047,0.60156,0.63672,-0.97070,-0.45182,0.03630,0.00481
6,9766,3,0.00958,0.01923,-0.22876,0.97327,0.94141,1.23047,4.54297,0.76172,0.75977,-0.98047,-0.46150,0.04182,0.00986
7,9766,3,0.01367,0.02191,-0.23370,0.97198,-0.51953,1.28125,4.72656,0.93750,0.85352,-0.95508,-0.47152,0.04900,0.01636
8,9765,3,0.01874,0.02496,-0.23859,0.97064,-1.28516,1.16797,4.54297,1.10547,0.94531,-0.86328,-0.48134,0.05743,0.02451
9,9766,3,0.02466,0.02820,-0.24310,0.96930,-2.07031,1.10938,4.21484,1.23633,1.02148,-0.74414,-0.49033,0.06670,0.03417
10,12695,3,0.03149,0.03168,-0.24719,0.96796,-3.96875,1.19141,3.06641,1.33398,1.08008,-0.59180,-0.49831,0.07697,0.04546
11,7813,3,0.03876,0.03516,-0.25043,0.96674,-4.93359,1.03125,2.39062,1.38867,1.07422,-0.40625,-0.50442,0.08749,0.05758
12,9765,3,0.04657,0.03876,-0.25299,0.96558,-5.89453,0.87500,1.71484,1.40820,0.95898,-0.17969,-0.50901,0.09857,0.07072
13,9766,3,0.05505,0.04218,-0.25464,0.96454,-6.82812,0.34375,1.08984,1.47461,0.72070,0.08008,-0.51154,0.10962,0.08534
14,10742,3,0.06274,0.04431,-0.25500,0.96387,-8.81250,-0.09766,-0.27344,1.54297,0.29883,0.32812,-0.51143,0.11770,0.09921
15,9766,3,0.07104,0.04480,-0.25427,0.96350,-9.64453,-0.47656,-1.08594,1.53320,-0.22070,0.58984,-0.50895,0.12276,0.11524
16,9765,3,0.07880,0.04285,-0.25250,0.96344,-10.18359,-0.97656,-1.79688,1.44336,-0.66602,0.91211,-0.50455,0.12266,0.13156
17,9766,3,0.08563,0.03857,-0.24945,0.96381,-10.57422,-1.51562,-2.32031,1.29297,-0.90625,1.28516,-0.49785,0.11735,0.14737
18,10742,3,0.09149,0.03259,-0.24487,0.96466,-10.16016,-2.50781,-2.73438,1.16406,-1.04492,1.63477,-0.48841,0.10790,0.16221
19,9766,3,0.09650,0.02576,-0.23859,0.96600,-9.62109,-2.75391,-3.07031,1.09961,-1.17969,1.99023,-0.47581,0.09595,0.17584
20,9765,3,0.10095,0.01819,-0.23059,0.96765,-9.14844,-3.10938,-3.29297,1.07617,-1.35156,2.32617,-0.46012,0.08185,0.18872
21,9766,3,0.10498,0.00964,-0.22083,0.96960,-7.84766,-3.54688,-4.20312,1.08203,-1.60156,2.62305,-0.44129,0.06511,0.20109
22,12695,3,0.10876,0.00006,-0.20984,0.97168,-7.30078,-3.78125,-4.72266,1.04492,-1.83789,2.88477,-0.42048,0.04578,0.21317
23,7813,3,0.11206,-0.01056,-0.19788,0.97375,-6.70703,-4.00391,-5.12891,0.98633,-2.08008,3.10156,-0.39828,0.02379,0.22435
24,9765,3,0.11493,-0.02264,-0.18451,0.97583,-5.96094,-4.14453,-5.53516,0.88867,-2.35938,3.25977,-0.37396,-0.00178,0.23481
25,9766,3,0.11713,-0.03619,-0.17023,0.97778,-4.09766,-4.50781,-6.12500,0.76172,-2.61719,3.36523,-0.34852,-0.03091,0.24388
26,10742,3,0.11853,-0.05151,-0.15485,0.97943,-3.45703,-4.73047,-6.20703,0.63086,-2.87109,3.47656,-0.32172,-0.06425,0.25130
27,9766,3,0.11902,-0.06757,-0.13947,0.98071,-2.84375,-5.11328,-6.28516,0.51953,-3.10547,3.58008,-0.29536,-0.09949,0.25635
28,12695,3,0.11902,-0.06757,-0.13947,0.98071,-2.05469,-5.35938,-6.20703,0.46680,-3.30469,3.62500,-0.29536,-0.09949,0.25635
29,6836,3,0.11749,-0.10223,-0.10834,0.98181,0.09766,-5.82031,-6.00000,0.47070,-3.47070,3.61914,-0.24287,-0.17621,0.25977
