lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1202148,3,0.14325,-0.02441,0.37653,0.91492,-1.14453,0.29297,-2.91797,0.06641,-0.45312,-0.23633,0.76161,-0.15315,0.24921
1,10742,3,0.14447,-0.02582,0.37524,0.91522,-1.13672,0.39453,-3.60156,0.00000,-0.59570,-0.26953,0.75846,-0.15632,0.25072
2,9766,3,0.14569,-0.02802,0.37366,0.91559,-1.13672,0.46094,-3.89844,-0.07031,-0.75195,-0.32227,0.75455,-0.16088,0.25173
3,9765,3,0.14679,-0.03094,0.37183,0.91608,-1.03906,0.53906,-4.19922,-0.15234,-0.88672,-0.37109,0.74999,-0.16663,0.25205
4,9766,3,0.14783,-0.03455,0.36969,0.91669,-0.91016,0.38672,-4.64062,-0.25977,-0.97070,-0.37891,0.74466,-0.17350,0.25187
5,10742,3,0.14868,-0.03906,0.36713,0.91736,-0.87109,0.27734,-4.77734,-0.36914,-1.00195,-0.33789,0.73837,-0.18185,0.25083
6,9766,3,0.14917,-0.04388,0.36475,0.91803,-0.84375,0.14844,-4.91797,-0.51953,-0.95508,-0.25977,0.73247,-0.19054,0.24889
7,12695,3,0.14899,-0.04895,0.36255,0.91870,-0.84375,-0.00391,-5.06250,-0.70898,-0.83008,-0.14062,0.72707,-0.19928,0.24551
8,6836,3,0.14783,-0.05383,0.36084,0.91925,-0.81641,-0.30078,-5.46875,-0.90234,-0.67969,-0.00391,0.72301,-0.20714,0.24033
9,10742,3,0.14551,-0.05872,0.35974,0.91974,-0.99219,-0.40625,-5.73438,-1.08398,-0.55078,0.14258,0.72052,-0.21434,0.23280
10,9766,3,0.14191,-0.06354,0.35931,0.92017,-1.21094,-0.50391,-6.16406,-1.29297,-0.42188,0.32031,0.71978,-0.22070,0.22269
11,9766,3,0.13721,-0.06812,0.35962,0.92041,-1.55469,-0.58594,-6.51953,-1.52344,-0.33398,0.49414,0.72098,-0.22600,0.21046
12,9765,3,0.13129,-0.07269,0.36078,0.92053,-2.35938,-0.82031,-7.37500,-1.73828,-0.32812,0.63867,0.72432,-0.23059,0.19563
13,10742,3,0.12408,-0.07758,0.36255,0.92041,-2.63672,-0.93359,-7.53906,-1.91211,-0.42578,0.75586,0.72942,-0.23493,0.17797
14,9766,3,0.11609,-0.08301,0.36481,0.92004,-2.94531,-1.00781,-7.51562,-2.03906,-0.60156,0.86133,0.73589,-0.23975,0.15823
15,9766,3,0.10797,-0.08917,0.36731,0.91949,-2.57812,-1.35547,-7.14062,-2.16992,-0.77344,0.91797,0.74307,-0.24577,0.13761
16,10742,3,0.09882,-0.09698,0.37018,0.91858,-2.15625,-1.62891,-6.97656,-2.33203,-0.92969,0.94727,0.75164,-0.25406,0.11362
17,9765,3,0.08960,-0.10547,0.37292,0.91748,-2.05078,-1.85156,-6.55859,-2.47461,-1.03711,1.00586,0.76035,-0.26340,0.08893
18,9766,3,0.07977,-0.11499,0.37573,0.91608,-1.91406,-2.10156,-6.08203,-2.62109,-1.09180,1.13477,0.76989,-0.27406,0.06210
19,12695,3,0.07977,-0.11499,0.37573,0.91608,-1.51953,-3.12891,-5.74219,-2.86328,-1.11328,1.33984,0.76989,-0.27406,0.06210
20,7813,3,0.05872,-0.13531,0.38214,0.91229,-1.69922,-3.35547,-5.71094,-3.12305,-0.98828,1.57227,0.79277,-0.29606,0.00388
21,9766,3,0.04602,-0.14624,0.38641,0.90948,-2.05078,-3.33984,-5.43750,-3.39453,-0.91211,1.86328,0.80827,-0.30635,-0.03075
22,9765,3,0.03131,-0.15759,0.39172,0.90594,-2.89453,-3.63281,-5.57422,-3.70703,-0.83398,2.24219,0.82740,-0.31527,-0.07025
23,9766,3,0.01526,-0.16882,0.39807,0.90155,-3.11328,-3.74609,-5.27344,-3.98828,-0.81836,2.60742,0.84996,-0.32210,-0.11293
24,10742,3,-0.00262,-0.18048,0.40570,0.89600,-3.30469,-3.69922,-5.23438,-4.28125,-0.87109,2.96484,0.87686,-0.32710,-0.16030
25,11719,3,-0.02197,-0.19257,0.41437,0.88922,-3.44141,-3.89062,-4.51172,-4.43945,-0.99219,3.23242,0.90753,-0.33023,-0.21159
26,7812,3,-0.04138,-0.20471,0.42352,0.88147,-2.22266,-4.54688,-3.42969,-4.45508,-1.29297,3.38086,0.94022,-0.33191,-0.26362
27,9766,3,-0.06311,-0.21918,0.43420,0.87146,-1.65625,-5.33594,-2.98828,-4.53711,-1.53906,3.54297,0.97937,-0.33334,-0.32344
28,10742,3,-0.08307,-0.23370,0.44452,0.86072,-1.16797,-6.03906,-2.29297,-4.61523,-1.75586,3.66406,1.01848,-0.33468,-0.38051
29,11719,3,-0.10345,-0.24951,0.45532,0.84833,-0.41016,-6.15234,-2.06641,-4.73438,-1.84766,3.80469,1.06099,-0.33540,-0.44066
30,7812,3,-0.12280,-0.26495,0.46558,0.83539,-0.04688,-7.29297,-1.20703,-4.78711,-1.85547,3.96680,1.10287,-0.33456,-0.49889
31,10742,3,-0.14349,-0.28131,0.47650,0.82056,0.19141,-7.48828,-0.73047,-4.71875,-1.96484,4.02148,1.14844,-0.33089,-0.56145
32,9766,3,-0.16479,-0.29816,0.48779,0.80371,0.86328,-7.26562,-0.48828,-4.56836,-1.99609,3.92969,1.19683,-0.32416,-0.62653
33,9766,3,-0.18469,-0.31415,0.49835,0.78668,3.28125,-7.14844,0.38281,-4.43945,-2.17773,3.62305,1.24317,-0.31538,-0.68802
34,9765,3,-0.20306,-0.33002,0.50793,0.76935,4.17969,-6.77344,-0.08594,-4.41602,-2.50000,3.13477,1.28783,-0.30626,-0.74680
35,9766,3,-0.21948,-0.34656,0.51575,0.75214,4.77734,-6.58984,0.19922,-4.44531,-2.78320,2.67578,1.33009,-0.29938,-0.80331
36,9766,3,-0.23425,-0.36462,0.52173,0.73486,5.70312,-6.46094,0.38281,-4.45117,-2.91602,2.26758,1.37112,-0.29574,-0.85965
37,12695,3,-0.24719,-0.38312,0.52576,0.71808,7.90234,-7.34375,1.39453,-4.37500,-3.08789,1.73242,1.40964,-0.29455,-0.91410
38,7812,3,-0.25873,-0.40271,0.52802,0.70148,9.38281,-7.32031,1.26172,-4.28516,-3.21484,1.16211,1.44708,-0.29607,-0.96866
39,9766,3,-0.26837,-0.42316,0.52832,0.68536,11.09766,-7.18750,2.05859,-4.15820,-2.93945,0.68945,1.48318,-0.30101,-1.02250
40,10742,3,-0.27698,-0.44458,0.52649,0.66968,13.33984,-7.53516,3.20312,-4.00391,-2.50391,0.30273,1.51793,-0.30867,-1.07735
41,9766,3,-0.28448,-0.46368,0.52271,0.65637,17.17188,-8.45703,5.38672,-3.58008,-1.76953,-0.18945,1.54603,-0.31656,-1.12690
42,10742,3,-0.29132,-0.48029,0.51709,0.64575,18.31641,-8.39453,7.21875,-2.89453,-0.82422,-0.88281,1.56678,-0.32471,-1.17103
43,8789,3,-0.29712,-0.49359,0.50946,0.63916,18.87500,-8.53125,8.56250,-1.98828,0.03320,-1.53711,1.57755,-0.33443,-1.20694
44,10742,3,-0.30090,-0.50293,0.50006,0.63751,17.42578,-8.95703,8.82812,-0.99023,0.82617,-1.75391,1.57721,-0.34726,-1.23144
45,12696,3,-0.30249,-0.50775,0.49048,0.64038,15.26172,-8.92969,8.17188,-0.21484,1.65625,-1.73438,1.56737,-0.36141,-1.24278
46,6836,3,-0.30298,-0.50787,0.48175,0.64667,13.48438,-8.62109,7.22266,0.31445,2.38086,-1.74219,1.54936,-0.37356,-1.24212
47,9765,3,-0.30322,-0.50391,0.47333,0.65582,12.40234,-7.78906,5.77344,0.69922,2.80664,-1.93750,1.52324,-0.38321,-1.23197
48,10742,3,-0.30304,-0.49683,0.46448,0.66754,10.28516,-5.46094,3.25781,0.94531,3.03320,-2.31836,1.48970,-0.39173,-1.21416
49,9766,3,-0.30170,-0.48804,0.45459,0.68127,9.07031,-4.55859,2.50391,1.05859,3.05273,-2.95898,1.45066,-0.40137,-1.19062
50,10742,3,-0.29871,-0.47925,0.44330,0.69611,7.98047,-3.54297,1.65625,1.05273,3.00977,-3.91211,1.40886,-0.41413,-1.16405
51,11719,3,-0.29333,-0.47131,0.42908,0.71252,6.66016,-2.91016,1.18359,0.91797,2.73438,-4.90820,1.36270,-0.43336,-1.13437
