lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1452148,3,-0.09204,0.09119,0.26770,0.95471,-0.58594,-0.12109,-3.53125,0.44336,-0.09766,0.08398,0.53196,0.22531,-0.13060
1,10742,3,-0.08966,0.09149,0.26788,0.95490,-0.62109,-0.16797,-3.96094,0.32422,-0.15234,0.13867,0.53282,0.22465,-0.12570
2,9766,3,-0.08759,0.09149,0.26831,0.95496,-0.82812,-0.20703,-4.31250,0.19141,-0.23047,0.22070,0.53415,0.22361,-0.12150
3,9765,3,-0.08600,0.09094,0.26910,0.95496,-0.92188,-0.16016,-4.70703,0.04102,-0.32422,0.30273,0.53614,0.22179,-0.11847
4,9766,3,-0.08496,0.08990,0.27045,0.95477,-0.98438,0.08984,-5.48047,-0.15039,-0.40430,0.38672,0.53919,0.21938,-0.11666
5,10742,3,-0.08459,0.08826,0.27228,0.95441,-1.05469,0.08984,-5.70703,-0.33008,-0.47852,0.49609,0.54316,0.21622,-0.11638
6,9766,3,-0.08496,0.08594,0.27472,0.95392,-1.05469,0.10547,-5.94531,-0.51562,-0.57422,0.59570,0.54825,0.21222,-0.11778
7,9765,3,-0.08600,0.08313,0.27765,0.95319,-1.01562,-0.01562,-6.51953,-0.74023,-0.66016,0.69727,0.55429,0.20773,-0.12067
8,9766,3,-0.08789,0.07953,0.28137,0.95227,-1.02344,-0.00781,-6.71094,-0.99805,-0.73047,0.78906,0.56184,0.20229,-0.12551
9,10742,3,-0.09076,0.07532,0.28552,0.95111,-1.01172,0.09375,-7.01172,-1.26562,-0.84375,0.88867,0.57020,0.19635,-0.13256
10,9766,3,-0.09473,0.07025,0.29034,0.94965,-1.06641,0.11719,-7.35547,-1.57031,-0.99023,1.00781,0.57989,0.18956,-0.14213
11,9766,3,-0.09991,0.06415,0.29596,0.94781,-1.44922,0.00781,-7.84766,-1.89844,-1.10352,1.19336,0.59121,0.18173,-0.15457
12,12695,3,-0.10602,0.05737,0.30200,0.94568,-1.72656,-0.04297,-7.98438,-2.27344,-1.18750,1.44727,0.60348,0.17341,-0.16919
13,7812,3,-0.11353,0.04974,0.30920,0.94287,-1.99609,-0.10156,-7.96094,-2.64258,-1.29102,1.70703,0.61830,0.16476,-0.18693
14,9766,3,-0.12280,0.04095,0.31799,0.93921,-1.92969,-0.01562,-7.85156,-2.99609,-1.36914,1.93750,0.63659,0.15566,-0.20865
