lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1322266,3,-0.01984,-0.04480,0.38049,0.92346,-0.04297,-0.59766,-3.55078,-0.63086,0.21289,-0.13477,0.78407,-0.06770,-0.07095
1,10742,3,-0.02289,-0.04504,0.37976,0.92371,-0.09375,-0.49609,-3.87891,-0.74414,0.21875,-0.14258,0.78265,-0.06588,-0.07674
2,9766,3,-0.02643,-0.04535,0.37891,0.92395,-0.15625,-0.38672,-4.18750,-0.86328,0.22656,-0.14453,0.78102,-0.06382,-0.08347
3,9765,3,-0.03052,-0.04590,0.37805,0.92413,-0.20703,-0.35547,-4.55469,-0.99023,0.22656,-0.15039,0.77946,-0.06180,-0.09141
4,9766,3,-0.03528,-0.04663,0.37708,0.92432,-0.26953,-0.34766,-4.69922,-1.13477,0.22070,-0.15820,0.77769,-0.05964,-0.10074
5,10742,3,-0.04059,-0.04761,0.37604,0.92450,-0.35938,-0.32031,-4.79688,-1.29297,0.25000,-0.14258,0.77582,-0.05753,-0.11126
6,9766,3,-0.04663,-0.04889,0.37500,0.92456,-0.34375,-0.39453,-4.78125,-1.44141,0.28125,-0.13672,0.77407,-0.05546,-0.12339
7,9765,3,-0.05365,-0.05029,0.37390,0.92456,-0.43750,-0.67578,-4.68359,-1.57031,0.32617,-0.11914,0.77225,-0.05290,-0.13744
8,9766,3,-0.06085,-0.05170,0.37292,0.92444,-0.48828,-0.80469,-4.54297,-1.68164,0.38672,-0.08398,0.77070,-0.05021,-0.15183
9,10742,3,-0.06909,-0.05316,0.37189,0.92419,-0.60547,-0.91406,-4.32812,-1.78320,0.42773,-0.05273,0.76909,-0.04689,-0.16822
10,9766,3,-0.07788,-0.05457,0.37097,0.92377,-0.67969,-0.98047,-4.25391,-1.89062,0.46875,-0.02930,0.76775,-0.04304,-0.18561
11,9766,3,-0.08710,-0.05591,0.37006,0.92322,-0.83203,-1.11719,-4.02344,-1.98828,0.49219,-0.00586,0.76641,-0.03878,-0.20376
12,12695,3,-0.09692,-0.05731,0.36926,0.92249,-0.79297,-1.12109,-3.90625,-2.07031,0.51562,0.00195,0.76534,-0.03416,-0.22312
13,7812,3,-0.10693,-0.05872,0.36841,0.92163,-0.78516,-1.12500,-3.66016,-2.16211,0.56641,0.00781,0.76415,-0.02944,-0.24285
14,9766,3,-0.11755,-0.06012,0.36755,0.92059,-0.77734,-1.12891,-3.41406,-2.26758,0.60547,0.00586,0.76295,-0.02428,-0.26375
15,9766,3,-0.12933,-0.06158,0.36652,0.91931,-0.71484,-1.14062,-3.15234,-2.36914,0.63867,-0.00391,0.76141,-0.01843,-0.28691
