lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1021484,3,-0.04523,-0.15271,0.67480,0.72064,-0.60156,-0.44531,-3.29297,-0.52930,-0.00977,0.06836,1.52755,-0.15973,-0.27835
1,10742,3,-0.04700,-0.15448,0.67456,0.72034,-0.79297,-0.35938,-3.61328,-0.63867,-0.00391,0.11328,1.52804,-0.15983,-0.28347
2,9766,3,-0.04913,-0.15643,0.67444,0.71991,-1.02344,-0.30469,-3.98047,-0.74219,0.00977,0.17578,1.52891,-0.15963,-0.28940
3,9766,3,-0.05164,-0.15857,0.67438,0.71930,-1.51172,-0.20312,-4.29297,-0.85938,0.00391,0.24219,1.53014,-0.15915,-0.29616
4,10742,3,-0.05481,-0.16132,0.67450,0.71832,-1.73438,-0.05078,-4.50000,-0.98828,-0.01367,0.31250,1.53228,-0.15848,-0.30483
5,9765,3,-0.05841,-0.16443,0.67474,0.71716,-1.95703,-0.03125,-4.62109,-1.13672,-0.04688,0.38867,1.53493,-0.15766,-0.31466
6,9766,3,-0.06238,-0.16797,0.67511,0.71564,-2.21484,-0.16016,-4.70703,-1.27930,-0.06055,0.50000,1.53835,-0.15683,-0.32573
7,12695,3,-0.06689,-0.17212,0.67566,0.71375,-2.69922,-0.73438,-4.58203,-1.40234,-0.08008,0.62891,1.54269,-0.15593,-0.33852
8,7813,3,-0.07178,-0.17651,0.67651,0.71136,-2.76562,-0.80078,-4.56641,-1.50586,-0.10352,0.73242,1.54816,-0.15463,-0.35230
9,9765,3,-0.07721,-0.18152,0.67761,0.70844,-2.71484,-0.78125,-4.43359,-1.58594,-0.13867,0.79883,1.55487,-0.15316,-0.36786
10,9766,3,-0.08325,-0.18713,0.67902,0.70496,-2.46875,-0.81641,-4.32422,-1.67383,-0.20312,0.84570,1.56289,-0.15136,-0.38528
11,9766,3,-0.08917,-0.19287,0.68042,0.70135,-2.30078,-0.73828,-4.10938,-1.78906,-0.25000,0.88867,1.57112,-0.14975,-0.40273
12,10742,3,-0.09528,-0.19916,0.68182,0.69739,-1.93750,-0.64844,-3.80078,-1.87891,-0.31250,0.90039,1.58002,-0.14841,-0.42133
13,8789,3,-0.10168,-0.20605,0.68323,0.69312,-1.50000,-0.32422,-3.37109,-1.97461,-0.39062,0.88477,1.58951,-0.14722,-0.44133
14,10742,3,-0.10785,-0.21307,0.68445,0.68884,-0.26953,-0.48828,-2.44141,-2.06055,-0.43750,0.85938,1.59883,-0.14644,-0.46119
15,9766,3,-0.11456,-0.22119,0.68549,0.68414,0.58203,-0.33984,-1.60547,-2.10742,-0.45312,0.80273,1.60885,-0.14611,-0.48359
16,10742,3,-0.12109,-0.22937,0.68622,0.67957,1.73047,-0.23047,-0.84375,-2.12891,-0.42773,0.69922,1.61835,-0.14607,-0.50585
17,12695,3,-0.12769,-0.23773,0.68658,0.67511,2.72656,-0.30859,-0.00781,-2.14258,-0.34570,0.61133,1.62727,-0.14618,-0.52849
18,6836,3,-0.13403,-0.24554,0.68646,0.67120,4.49609,-0.51953,1.63281,-2.17578,-0.17969,0.53125,1.63456,-0.14612,-0.54991
19,10742,3,-0.14105,-0.25348,0.68585,0.66742,5.37891,-0.45703,2.41016,-2.18555,0.00977,0.41992,1.64089,-0.14538,-0.57246
20,9766,3,-0.14899,-0.26117,0.68463,0.66400,6.08984,-0.23047,3.26172,-2.11719,0.11328,0.25977,1.64546,-0.14332,-0.59584
21,9766,3,-0.15686,-0.26813,0.68280,0.66125,6.50000,0.09375,4.65234,-2.03320,0.16797,0.11719,1.64788,-0.14086,-0.61794
22,9765,3,-0.16443,-0.27454,0.68054,0.65918,6.66797,-0.09375,5.38281,-1.98047,0.17773,-0.01172,1.64857,-0.13857,-0.63866
23,10742,3,-0.17175,-0.28082,0.67773,0.65753,6.94922,-0.39062,6.07422,-1.94922,0.18945,-0.15820,1.64793,-0.13692,-0.65887
24,8789,3,-0.17871,-0.28693,0.67450,0.65637,7.21875,-0.97656,6.84375,-1.87500,0.25586,-0.32422,1.64607,-0.13599,-0.67825
25,10743,3,-0.18512,-0.29260,0.67090,0.65576,7.83984,-3.10547,8.78906,-1.66406,0.36133,-0.48633,1.64295,-0.13578,-0.69619
26,9765,3,-0.19159,-0.29810,0.66644,0.65594,8.01562,-3.93750,9.82812,-1.28906,0.50781,-0.68359,1.63750,-0.13613,-0.71384
27,10742,3,-0.19708,-0.30219,0.66180,0.65710,8.12891,-4.37891,10.56250,-0.80078,0.57812,-0.92188,1.63006,-0.13671,-0.72781
28,9766,3,-0.20093,-0.30457,0.65729,0.65948,7.91406,-4.43359,10.77344,-0.35938,0.60156,-1.17578,1.62078,-0.13800,-0.73654
