lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1152344,3,-0.02087,0.12775,0.31177,0.94128,1.92969,0.26953,-2.55469,-0.32617,-0.10352,-0.34375,0.64506,0.25631,0.04173
1,9765,3,-0.02240,0.12689,0.31055,0.94177,2.19141,0.30859,-3.01562,-0.39453,-0.20312,-0.42188,0.64191,0.25570,0.03786
2,10742,3,-0.02405,0.12561,0.30896,0.94244,2.48828,0.30859,-3.59766,-0.50000,-0.29688,-0.50195,0.63784,0.25435,0.03337
3,9766,3,-0.02606,0.12366,0.30707,0.94324,3.26172,0.35547,-4.48047,-0.60938,-0.38672,-0.62695,0.63296,0.25195,0.02765
4,9766,3,-0.02606,0.12366,0.30707,0.94324,3.53906,0.38672,-4.87109,-0.73242,-0.48438,-0.77930,0.63296,0.25195,0.02765
5,10742,3,-0.03143,0.11792,0.30194,0.94550,3.88281,0.46484,-5.33984,-0.91602,-0.54883,-0.94336,0.61971,0.24439,0.01213
6,8789,3,-0.03503,0.11407,0.29840,0.94696,4.21094,0.52344,-5.73828,-1.14844,-0.57422,-1.09961,0.61074,0.23923,0.00178
7,10742,3,-0.03949,0.10980,0.29437,0.94855,4.57812,0.41016,-6.46484,-1.37891,-0.56836,-1.22656,0.60059,0.23367,-0.01056
8,9766,3,-0.04547,0.10480,0.28949,0.95032,4.74219,0.48047,-6.70312,-1.58594,-0.55078,-1.35547,0.58837,0.22747,-0.02643
9,10742,3,-0.05237,0.09967,0.28424,0.95209,4.95703,0.57422,-6.96094,-1.81250,-0.52734,-1.48438,0.57533,0.22138,-0.04415
10,11719,3,-0.06049,0.09424,0.27844,0.95392,5.12500,0.64844,-7.34766,-2.08398,-0.47656,-1.62695,0.56104,0.21512,-0.06444
11,7812,3,-0.06934,0.08893,0.27240,0.95557,5.29297,0.66016,-8.06641,-2.38281,-0.40430,-1.75586,0.54636,0.20925,-0.08604
12,9766,3,-0.06934,0.08893,0.27240,0.95557,5.34375,0.71875,-8.35547,-2.70312,-0.33008,-1.89844,0.54636,0.20925,-0.08604
13,10742,3,-0.09308,0.07703,0.25757,0.95868,5.35938,0.80859,-8.63281,-3.06250,-0.24609,-2.05273,0.51090,0.19690,-0.14200
14,8789,3,-0.10742,0.07092,0.24927,0.95984,5.25781,0.76953,-8.85156,-3.44727,-0.11328,-2.16016,0.49138,0.19086,-0.17491
15,10742,3,-0.12354,0.06482,0.24036,0.96057,4.93359,0.03125,-8.75391,-3.86328,0.11133,-2.19531,0.47070,0.18498,-0.21133
16,9766,3,-0.14178,0.05902,0.23108,0.96075,4.72656,-0.43750,-8.46875,-4.32617,0.43359,-2.15039,0.44924,0.17990,-0.25183
17,9766,3,-0.16241,0.05402,0.22168,0.95996,4.49609,-1.25391,-8.04297,-4.77734,0.79297,-2.09766,0.42742,0.17664,-0.29677
18,12695,3,-0.18457,0.05029,0.21252,0.95825,3.82812,-3.17188,-7.09766,-5.17578,1.15625,-2.01367,0.40587,0.17574,-0.34431
19,7812,3,-0.20959,0.04773,0.20319,0.95526,2.99609,-4.00391,-6.59766,-5.57422,1.48242,-1.90625,0.38336,0.17729,-0.39748
20,9766,3,-0.23804,0.04639,0.19342,0.95068,2.23047,-4.53125,-6.33984,-5.92969,1.72852,-1.83984,0.35910,0.18127,-0.45769
21,10742,3,-0.26733,0.04608,0.18402,0.94476,1.28125,-4.97266,-5.82812,-6.06445,1.86523,-1.81445,0.33500,0.18654,-0.51988
22,9766,3,-0.29846,0.04651,0.17419,0.93726,-0.19922,-6.44141,-4.13672,-5.93750,1.68555,-1.91016,0.30928,0.19234,-0.58651
23,9765,3,-0.32776,0.04663,0.16461,0.92914,-1.05469,-6.69141,-3.54688,-5.85742,1.30273,-2.08008,0.28452,0.19581,-0.65012
24,12696,3,-0.32776,0.04663,0.16461,0.92914,-2.29688,-7.64062,-3.01172,-5.92383,1.00977,-2.09570,0.28452,0.19581,-0.65012
25,7812,3,-0.38367,0.04236,0.14459,0.91113,-3.38672,-8.86719,-1.92969,-5.88672,0.84180,-2.00391,0.23739,0.18925,-0.77447
26,9766,3,-0.41296,0.03796,0.13434,0.89996,-4.00781,-10.15234,0.62109,-5.65820,0.70312,-1.90430,0.21558,0.18027,-0.84085
27,9765,3,-0.43921,0.03339,0.12537,0.88898,-4.17969,-10.35938,1.96484,-5.28711,0.61719,-1.78906,0.19769,0.17030,-0.90084
28,12696,3,-0.43921,0.03339,0.12537,0.88898,-4.40234,-10.24609,3.35156,-4.78125,0.60742,-1.63867,0.19769,0.17030,-0.90084
29,7812,3,-0.48596,0.02423,0.10919,0.86682,-4.31250,-9.78125,4.85938,-4.25000,0.62500,-1.43555,0.16838,0.14867,-1.00936
30,9766,3,-0.50690,0.02026,0.10150,0.85577,-4.46094,-9.29297,5.02734,-3.84766,0.63086,-1.18945,0.15527,0.13802,-1.05876
31,9766,3,-0.52423,0.01727,0.09515,0.84607,-4.88281,-9.07422,5.05859,-3.62109,0.68555,-0.91211,0.14461,0.12935,-1.10004
32,9765,3,-0.54034,0.01520,0.08960,0.83655,-5.36719,-9.05859,5.35547,-3.44727,0.81250,-0.61328,0.13490,0.12256,-1.13872
33,10742,3,-0.55579,0.01434,0.08490,0.82684,-5.90234,-9.63672,6.94141,-3.14258,0.91406,-0.38281,0.12566,0.11837,-1.17616
34,11719,3,-0.56940,0.01477,0.08112,0.81793,-5.80469,-9.71094,7.77344,-2.72070,0.81055,-0.21875,0.11693,0.11680,-1.20942
35,7813,3,-0.58130,0.01587,0.07806,0.80975,-5.69141,-9.84766,8.30078,-2.22266,0.69727,-0.10742,0.10894,0.11673,-1.23887
36,9765,3,-0.59149,0.01721,0.07574,0.80255,-5.79688,-9.88281,9.02344,-1.64062,0.57031,-0.05664,0.10210,0.11750,-1.26427
37,10742,3,-0.59979,0.01849,0.07391,0.79651,-5.67578,-9.69922,9.74609,-0.95117,0.38086,-0.02930,0.09639,0.11840,-1.28515
38,9766,3,-0.60510,0.01947,0.07275,0.79254,-5.51172,-9.70703,10.21875,-0.15234,0.24805,0.04883,0.09255,0.11920,-1.29864
39,9766,3,-0.60742,0.02020,0.07220,0.79083,-5.26953,-9.56641,10.76953,0.65625,0.16016,0.15039,0.09043,0.11996,-1.30451
40,9765,3,-0.60651,0.02106,0.07227,0.79150,-4.71484,-8.80078,10.59375,1.32812,0.10938,0.24023,0.08963,0.12129,-1.30222
41,10742,3,-0.60242,0.02228,0.07288,0.79449,-4.50000,-8.13672,10.15625,1.86523,0.09375,0.30664,0.08977,0.12352,-1.29195
42,9766,3,-0.59607,0.02380,0.07373,0.79919,-4.08594,-7.67578,9.39453,2.27539,0.06641,0.33203,0.09031,0.12628,-1.27595
43,9766,3,-0.58783,0.02551,0.07483,0.80511,-3.94141,-7.38672,8.66406,2.71094,0.02930,0.33594,0.09139,0.12942,-1.25538
44,9765,3,-0.57727,0.02747,0.07605,0.81250,-3.67188,-6.96484,8.28125,3.26953,-0.04688,0.33789,0.09283,0.13283,-1.22928
45,10743,3,-0.56549,0.02917,0.07727,0.82062,-3.67969,-7.13672,8.13281,3.90625,-0.08203,0.35547,0.09483,0.13569,-1.20030
46,11718,3,-0.55042,0.03107,0.07861,0.83057,-3.65625,-7.68359,7.95703,4.49805,0.01367,0.37500,0.09748,0.13860,-1.16373
