lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1292968,3,0.14502,-0.25458,0.10303,0.95056,-2.03906,0.12891,-2.41016,-0.06055,0.50977,-0.42188,0.14273,-0.53967,0.26325
1,9766,3,0.14526,-0.25177,0.10126,0.95148,-2.58984,0.11328,-2.93359,-0.15430,0.47852,-0.33984,0.13927,-0.53344,0.26489
2,9766,3,0.14496,-0.24921,0.09979,0.95233,-3.65234,0.21875,-3.87500,-0.26758,0.42188,-0.26562,0.13680,-0.52774,0.26510
3,10742,3,0.14417,-0.24689,0.09851,0.95319,-4.07422,0.29688,-4.36719,-0.38477,0.33008,-0.19141,0.13498,-0.52251,0.26408
4,12695,3,0.14417,-0.24689,0.09851,0.95319,-4.68750,0.34375,-4.76562,-0.49609,0.20508,-0.08984,0.13498,-0.52251,0.26408
5,6836,3,0.14081,-0.24396,0.09650,0.95465,-5.96484,0.37500,-5.59375,-0.60547,0.01953,0.05859,0.13319,-0.51549,0.25773
6,9766,3,0.13818,-0.24365,0.09595,0.95514,-6.56250,0.42188,-5.99219,-0.75977,-0.18945,0.24219,0.13358,-0.51436,0.25217
7,10742,3,0.13458,-0.24457,0.09589,0.95544,-7.18359,0.41406,-6.42188,-0.95703,-0.38867,0.45703,0.13536,-0.51571,0.24413
8,8789,3,0.13025,-0.24652,0.09637,0.95551,-7.43750,0.30859,-6.67969,-1.16016,-0.53516,0.69141,0.13860,-0.51922,0.23409
9,10742,3,0.12494,-0.24951,0.09760,0.95532,-7.48438,0.03516,-7.02734,-1.35938,-0.67188,0.91602,0.14392,-0.52487,0.22136
10,9766,3,0.11798,-0.25366,0.09967,0.95490,-7.46094,-0.19922,-7.24219,-1.55859,-0.78320,1.15820,0.15208,-0.53280,0.20429
11,10742,3,0.11005,-0.25848,0.10248,0.95422,-7.53125,-0.56250,-7.26172,-1.72656,-0.85352,1.42773,0.16261,-0.54203,0.18436
12,9766,3,0.11005,-0.25848,0.10248,0.95422,-7.57812,-0.94141,-7.11719,-1.87891,-0.95508,1.67969,0.16261,-0.54203,0.18436
13,9765,3,0.09076,-0.26996,0.11090,0.95215,-7.28125,-1.55078,-7.12500,-2.04297,-1.04102,1.90820,0.19305,-0.56357,0.13402
14,10742,3,0.07971,-0.27649,0.11639,0.95062,-7.06250,-1.68359,-6.89453,-2.22656,-1.05664,2.10938,0.21283,-0.57545,0.10411
15,9766,3,0.06726,-0.28357,0.12274,0.94867,-6.80469,-1.59375,-6.76953,-2.47461,-1.08203,2.28711,0.23621,-0.58783,0.06976
16,12695,3,0.05396,-0.29065,0.12946,0.94647,-6.00781,-2.13281,-6.44531,-2.71094,-1.13086,2.47266,0.26180,-0.59944,0.03257
17,6836,3,0.03943,-0.29791,0.13654,0.94397,-5.66406,-2.30859,-5.96484,-2.87305,-1.20312,2.67969,0.28994,-0.61040,-0.00844
