lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1242187,3,0.07623,-0.10999,0.24689,0.95978,2.24609,-0.77344,-1.21094,-0.25977,-0.48242,-0.25781,0.49152,-0.25140,0.09515
1,9766,3,0.07574,-0.11237,0.24542,0.95990,2.92578,-0.94141,-1.46094,-0.30273,-0.53320,-0.32617,0.48861,-0.25567,0.09343
2,10742,3,0.07513,-0.11505,0.24353,0.96008,3.34766,-0.99219,-1.53125,-0.34180,-0.57812,-0.42383,0.48485,-0.26046,0.09145
3,9766,3,0.07446,-0.11792,0.24121,0.96039,3.94531,-1.01562,-1.56250,-0.37695,-0.61133,-0.56055,0.48019,-0.26554,0.08939
4,9765,3,0.07373,-0.12109,0.23834,0.96075,4.57812,-0.99219,-1.46094,-0.39844,-0.63867,-0.70898,0.47443,-0.27115,0.08725
5,9766,3,0.07306,-0.12421,0.23486,0.96130,5.56641,-1.12109,-1.29297,-0.39844,-0.60742,-0.86914,0.46734,-0.27662,0.08547
6,10742,3,0.07227,-0.12750,0.23029,0.96204,6.22266,-1.18359,-1.16406,-0.43945,-0.55273,-1.04102,0.45800,-0.28234,0.08373
7,9766,3,0.07153,-0.13043,0.22516,0.96289,6.71875,-1.35938,-1.14844,-0.53320,-0.40039,-1.20312,0.44748,-0.28734,0.08249
8,9765,3,0.07043,-0.13287,0.21912,0.96405,7.13281,-1.38281,-1.09375,-0.62500,-0.22266,-1.38477,0.43509,-0.29115,0.08107
9,9766,3,0.06885,-0.13458,0.21228,0.96545,7.91406,-1.55078,-0.78516,-0.63672,-0.02734,-1.57031,0.42115,-0.29328,0.07926
10,10742,3,0.06689,-0.13538,0.20459,0.96710,7.71484,-1.69531,-0.74219,-0.66016,0.18359,-1.72070,0.40551,-0.29343,0.07738
11,9766,3,0.06476,-0.13513,0.19604,0.96906,7.57812,-1.78516,-0.78516,-0.68359,0.34375,-1.89648,0.38809,-0.29141,0.07579
12,9765,3,0.06244,-0.13391,0.18683,0.97119,7.67578,-1.73438,-0.98438,-0.69922,0.45508,-2.11719,0.36933,-0.28739,0.07436
13,12696,3,0.06006,-0.13202,0.17651,0.97357,7.57031,-1.80859,-1.00000,-0.72461,0.63086,-2.29883,0.34831,-0.28197,0.07329
14,7812,3,0.05768,-0.12952,0.16589,0.97589,7.28125,-2.10156,-0.85547,-0.73242,0.79297,-2.48047,0.32673,-0.27540,0.07239
15,8789,3,0.05505,-0.12598,0.15399,0.97845,6.96875,-2.24609,-0.87891,-0.72461,0.94141,-2.64062,0.30261,-0.26663,0.07152
16,10742,3,0.05237,-0.12152,0.14099,0.98114,6.13672,-2.62891,-0.75781,-0.74609,1.03906,-2.76562,0.27632,-0.25601,0.07086
17,9766,3,0.04962,-0.11633,0.12701,0.98383,5.66797,-2.77344,-0.89453,-0.70703,1.18164,-2.91406,0.24817,-0.24391,0.07022
18,10742,3,0.04700,-0.11060,0.11279,0.98633,5.08984,-2.73438,-0.62109,-0.71094,1.41211,-3.02539,0.21965,-0.23081,0.06966
19,9766,3,0.04437,-0.10400,0.09808,0.98871,4.53125,-2.92578,-0.84375,-0.74609,1.48633,-3.16016,0.19027,-0.21605,0.06900
20,9765,3,0.04169,-0.09650,0.08276,0.99103,2.42188,-3.33203,-1.09766,-0.73633,1.52930,-3.26367,0.15983,-0.19948,0.06805
21,12696,3,0.03894,-0.08868,0.06677,0.99304,1.19141,-3.56250,-1.01953,-0.71289,1.50586,-3.34570,0.12818,-0.18235,0.06665
22,7812,3,0.03638,-0.08099,0.05084,0.99475,0.07422,-3.66797,-1.16797,-0.71289,1.38672,-3.43164,0.09673,-0.16559,0.06507
23,9766,3,0.03387,-0.07349,0.03418,0.99615,-2.11328,-3.91406,-1.15234,-0.69922,1.25195,-3.49414,0.06387,-0.14927,0.06321
24,9766,3,0.03125,-0.06622,0.01617,0.99719,-3.27734,-4.13672,-0.93750,-0.68359,1.16602,-3.49609,0.02837,-0.13348,0.06076
25,9765,3,0.02887,-0.05963,-0.00140,0.99780,-4.52344,-4.38281,-0.73047,-0.68359,1.09961,-3.41406,-0.00629,-0.11920,0.05823
26,9766,3,0.02649,-0.05353,-0.01862,0.99805,-5.85938,-4.51172,-0.48047,-0.67188,1.05859,-3.23047,-0.04023,-0.10606,0.05521
27,10742,3,0.02423,-0.04797,-0.03424,0.99799,-8.43359,-4.86328,0.27344,-0.61914,1.08203,-2.94531,-0.07104,-0.09423,0.05190
28,9766,3,0.02179,-0.04187,-0.05048,0.99762,-9.45703,-4.87109,0.68359,-0.50000,1.08008,-2.61914,-0.10306,-0.08143,0.04788
29,10742,3,0.01990,-0.03619,-0.06403,0.99707,-10.45703,-4.83984,0.98438,-0.36914,1.02148,-2.26562,-0.12980,-0.06969,0.04444
30,9765,3,0.01855,-0.03070,-0.07587,0.99646,-11.34375,-4.77734,1.12109,-0.26172,0.93164,-1.88672,-0.15320,-0.05840,0.04172
31,11719,3,0.01770,-0.02563,-0.08588,0.99585,-12.89844,-4.14844,1.07422,-0.15430,0.82227,-1.50586,-0.17300,-0.04803,0.03971
32,7813,3,0.01727,-0.02130,-0.09363,0.99524,-13.37891,-3.83594,0.80078,-0.05469,0.69531,-1.12891,-0.18835,-0.03917,0.03841
33,9765,3,0.01727,-0.01752,-0.09979,0.99469,-13.80078,-3.39844,0.37891,0.02734,0.52930,-0.75977,-0.20058,-0.03141,0.03789
34,10742,3,0.01758,-0.01434,-0.10431,0.99426,-14.57812,-2.37109,-0.84766,0.07617,0.24414,-0.40039,-0.20953,-0.02486,0.03797
35,9766,3,0.01813,-0.01251,-0.10687,0.99402,-14.69141,-1.61328,-1.76562,0.05273,-0.06445,0.01172,-0.21462,-0.02100,0.03873
36,10742,3,0.01849,-0.01215,-0.10748,0.99396,-14.52344,-0.88281,-2.18750,-0.02539,-0.35742,0.41797,-0.21583,-0.02017,0.03939
37,9766,3,0.01849,-0.01331,-0.10608,0.99408,-13.78125,-0.14844,-2.76172,-0.12891,-0.57422,0.74414,-0.21306,-0.02253,0.03961
