lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1483399,3,-0.05042,0.15820,-0.43323,0.88586,0.51953,0.40625,-1.10547,-0.87695,-0.30664,-0.23633,-0.93804,0.23887,-0.23517
1,9765,3,-0.05463,0.15851,-0.43347,0.88544,0.60547,0.41016,-1.05859,-1.05273,-0.23438,-0.25781,-0.93943,0.23551,-0.24319
2,10742,3,-0.05945,0.15930,-0.43378,0.88483,0.53516,0.23438,-0.35547,-1.11523,-0.15234,-0.28125,-0.94129,0.23242,-0.25282
3,12696,3,-0.06512,0.16077,-0.43408,0.88403,0.47266,0.29688,-0.16797,-1.11719,-0.10742,-0.29492,-0.94359,0.22972,-0.26466
4,6836,3,-0.07037,0.16248,-0.43445,0.88312,0.41016,0.21484,0.16016,-0.94141,-0.02539,-0.28320,-0.94614,0.22779,-0.27600
5,9765,3,-0.07532,0.16431,-0.43488,0.88214,0.47266,0.20312,0.68359,-0.67383,0.02148,-0.30664,-0.94886,0.22631,-0.28694
6,10742,3,-0.07928,0.16602,-0.43561,0.88116,0.38672,0.13281,0.70703,-0.45703,-0.01953,-0.33008,-0.95199,0.22539,-0.29603
7,9766,3,-0.08203,0.16711,-0.43658,0.88019,0.30469,0.15234,0.72266,-0.30078,-0.05859,-0.35352,-0.95524,0.22444,-0.30238
8,9766,3,-0.08405,0.16760,-0.43774,0.87933,0.17188,0.07422,0.69141,-0.25977,-0.09766,-0.37305,-0.95842,0.22302,-0.30681
9,9765,3,-0.08575,0.16772,-0.43915,0.87848,0.11719,-0.03906,0.42969,-0.30469,-0.12305,-0.36523,-0.96186,0.22115,-0.31036
10,10742,3,-0.08752,0.16772,-0.44049,0.87756,0.09375,-0.00781,0.51562,-0.30469,-0.10938,-0.37695,-0.96521,0.21903,-0.31390
11,9766,3,-0.08948,0.16772,-0.44189,0.87671,-0.03516,0.03125,0.63672,-0.27344,-0.06641,-0.38086,-0.96860,0.21670,-0.31774
12,9766,3,-0.09125,0.16779,-0.44330,0.87579,-0.09766,-0.01562,0.83594,-0.17578,-0.02148,-0.37695,-0.97205,0.21463,-0.32133
13,10742,3,-0.09265,0.16791,-0.44482,0.87488,-0.22656,-0.21094,1.25781,-0.05664,0.03125,-0.38086,-0.97573,0.21296,-0.32433
14,9766,3,-0.09344,0.16803,-0.44635,0.87396,-0.54297,-0.42578,1.41797,-0.02148,0.09766,-0.32227,-0.97937,0.21187,-0.32626
15,9765,3,-0.09375,0.16821,-0.44794,0.87305,-0.66406,-0.60938,1.53516,0.02539,0.14844,-0.25781,-0.98313,0.21131,-0.32738
16,9766,3,-0.09375,0.16864,-0.44934,0.87231,-0.93359,-0.18750,1.91797,0.22656,0.18164,-0.21875,-0.98648,0.21152,-0.32813
17,10742,3,-0.09296,0.16895,-0.45056,0.87164,-0.73438,-0.15234,2.03125,0.52148,0.17773,-0.20703,-0.98937,0.21236,-0.32734
18,9766,3,-0.09113,0.16876,-0.45197,0.87122,-0.83203,-0.21875,1.87109,0.67383,0.13477,-0.19141,-0.99212,0.21328,-0.32417
19,9765,3,-0.08832,0.16803,-0.45343,0.87085,-1.14062,-0.31250,1.55078,0.77148,0.06445,-0.08594,-0.99466,0.21420,-0.31873
20,9766,3,-0.08521,0.16681,-0.45465,0.87079,-1.13281,-0.21484,1.64062,1.02930,0.01758,-0.02930,-0.99627,0.21466,-0.31214
21,10742,3,-0.08112,0.16486,-0.45575,0.87097,-1.28516,-0.10938,1.88672,1.35156,-0.00977,-0.01562,-0.99710,0.21487,-0.30303
22,9766,3,-0.07587,0.16211,-0.45685,0.87134,-1.28516,-0.14062,1.89062,1.69727,-0.10156,-0.02148,-0.99741,0.21484,-0.29102
23,9765,3,-0.06934,0.15833,-0.45813,0.87189,-1.35938,0.10156,1.69141,1.96875,-0.17773,-0.07227,-0.99742,0.21420,-0.27569
24,10742,3,-0.06171,0.15350,-0.45978,0.87250,-1.65234,0.01172,1.30078,2.16016,-0.23633,-0.03516,-0.99761,0.21272,-0.25740
25,9766,3,-0.05316,0.14783,-0.46155,0.87311,-1.82031,0.12500,1.39844,2.50977,-0.17188,0.00000,-0.99770,0.21061,-0.23667
26,9766,3,-0.04346,0.14148,-0.46326,0.87378,-2.14453,-0.06250,1.67969,2.85742,-0.01172,0.05273,-0.99738,0.20849,-0.21322
27,9765,3,-0.03229,0.13507,-0.46497,0.87439,-2.45703,-0.38281,1.05859,2.95898,0.12305,0.11133,-0.99702,0.20767,-0.18715
28,10743,3,-0.01880,0.12823,-0.46661,0.87488,-2.52734,-0.67188,0.12500,2.74414,0.26367,0.19336,-0.99634,0.20835,-0.15659
29,9765,3,-0.00580,0.12250,-0.46777,0.87531,-2.39453,-0.71484,-0.51953,2.54492,0.45312,0.27148,-0.99513,0.21057,-0.12792
30,9766,3,0.00677,0.11786,-0.46838,0.87561,-2.19531,-0.51562,-0.77344,2.45508,0.58398,0.26367,-0.99327,0.21438,-0.10102
31,12695,3,0.01910,0.11420,-0.46863,0.87579,-1.71875,0.20312,-1.21094,2.47070,0.65234,0.21875,-0.99097,0.21969,-0.07545
32,7813,3,0.03113,0.11121,-0.46887,0.87567,-1.58984,0.31250,-1.36328,2.47461,0.67578,0.17578,-0.98899,0.22587,-0.05109
33,9765,3,0.04364,0.10828,-0.46930,0.87531,-1.44141,0.17578,-1.97656,2.23242,0.57227,0.20703,-0.98733,0.23260,-0.02593
34,9766,3,0.05566,0.10541,-0.46954,0.87482,-1.60938,-0.05859,-3.30078,1.84570,0.43164,0.31836,-0.98540,0.23897,-0.00164
35,9765,3,0.06616,0.10266,-0.46936,0.87451,-1.75391,-0.26172,-3.55469,1.40430,0.29102,0.48438,-0.98272,0.24408,0.01994
36,10743,3,0.07434,0.10028,-0.46832,0.87469,-1.97656,-0.57812,-3.62500,0.86523,0.11719,0.76172,-0.97851,0.24758,0.03727
37,9765,3,0.08014,0.09827,-0.46606,0.87561,-2.37891,-1.08594,-3.72266,0.34766,-0.03906,1.19531,-0.97196,0.24937,0.05032
38,9766,3,0.08337,0.09662,-0.46210,0.87762,-2.22656,-1.69922,-3.80078,-0.17578,-0.13867,1.55273,-0.96192,0.24920,0.05890
39,10742,3,0.08423,0.09546,-0.45605,0.88080,-2.01172,-1.81641,-4.10547,-0.72461,-0.28711,1.84961,-0.94766,0.24751,0.06328
40,9766,3,0.08258,0.09479,-0.44849,0.88489,-1.69141,-1.74609,-4.33594,-0.97461,-0.50391,2.04102,-0.93045,0.24425,0.06304
41,9765,3,0.07880,0.09412,-0.43951,0.88977,-0.89453,-1.39453,-3.73828,-0.93555,-0.67773,2.04492,-0.91050,0.23903,0.05921
42,9766,3,0.07422,0.09277,-0.43024,0.89490,-0.69922,-1.46875,-3.67578,-0.99609,-0.81250,2.05859,-0.88994,0.23197,0.05449
43,10742,3,0.06927,0.09076,-0.42090,0.89990,-0.42188,-1.65234,-4.08203,-1.29492,-1.03125,2.14844,-0.86942,0.22352,0.04953
44,9766,3,0.06305,0.08826,-0.41113,0.90509,-0.14062,-1.74219,-4.59766,-1.80469,-1.38086,2.30664,-0.84820,0.21322,0.04254
45,12695,3,0.06305,0.08826,-0.41113,0.90509,0.95703,-1.51953,-5.12500,-2.20508,-1.83984,2.41602,-0.84820,0.21322,0.04254
