lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,2002930,3,0.05109,-0.00671,-0.45355,0.88971,-0.71094,0.09375,-1.28516,-0.35938,-0.19531,0.00195,-0.94120,0.03440,0.09721
1,9766,3,0.04962,-0.00708,-0.45398,0.88959,-0.72656,0.26953,-1.78125,-0.61719,-0.30273,0.14062,-0.94221,0.03246,0.09491
2,9765,3,0.04688,-0.00708,-0.45380,0.88983,-0.82812,0.59375,-2.55469,-0.90625,-0.60352,0.22070,-0.94185,0.02995,0.09001
3,9766,3,0.04242,-0.00745,-0.45319,0.89038,-0.83594,0.78516,-3.21484,-1.40234,-0.87891,0.25000,-0.94057,0.02519,0.08241
4,10742,3,0.03589,-0.00812,-0.45239,0.89105,-0.63672,0.66406,-3.45312,-2.12891,-1.09375,0.24023,-0.93894,0.01801,0.07138
5,9766,3,0.02527,-0.00854,-0.45154,0.89185,-0.58594,0.57812,-3.76562,-2.90625,-1.27734,0.29883,-0.93714,0.00758,0.05281
6,9765,3,0.01147,-0.00818,-0.45056,0.89264,-0.43359,0.82031,-4.04297,-3.60352,-1.50586,0.35352,-0.93494,-0.00426,0.02786
7,10743,3,-0.00623,-0.00708,-0.44928,0.89331,-0.07031,0.98438,-4.51172,-4.41016,-1.69531,0.38281,-0.93195,-0.01825,-0.00476
8,11718,3,-0.00623,-0.00708,-0.44928,0.89331,-0.34766,0.37891,-4.14844,-5.05273,-1.69922,0.49805,-0.93195,-0.01825,-0.00476
9,7813,3,-0.05194,-0.00220,-0.44556,0.89374,-0.72656,0.29688,-3.46094,-5.30664,-1.62305,0.63867,-0.92265,-0.05023,-0.09113
10,9765,3,-0.07867,0.00208,-0.44257,0.89331,-1.08203,0.34375,-3.12109,-5.33203,-1.61914,0.74219,-0.91522,-0.06597,-0.14319
11,10743,3,-0.10608,0.00690,-0.43860,0.89240,-1.60547,-0.17188,-3.59375,-5.31641,-1.63672,0.89258,-0.90562,-0.08083,-0.19729
12,9765,3,-0.13422,0.01190,-0.43359,0.89099,-1.67188,-0.37109,-4.15234,-5.26562,-1.79102,1.20117,-0.89366,-0.09532,-0.25332
13,10742,3,-0.16162,0.01648,-0.42731,0.88940,-1.64844,-0.58984,-4.71484,-5.36133,-2.03125,1.43359,-0.87881,-0.10902,-0.30823
14,11719,3,-0.18939,0.02045,-0.41925,0.88763,-1.85938,-0.83984,-5.16406,-5.63672,-2.25391,1.58594,-0.85989,-0.12282,-0.36405
15,7813,3,-0.21667,0.02374,-0.41028,0.88556,-2.07031,-2.42578,-5.36719,-5.75977,-2.59961,1.79102,-0.83871,-0.13616,-0.41915
16,9765,3,-0.24652,0.02655,-0.39935,0.88263,-1.44141,-2.74609,-5.43750,-6.18164,-2.72852,2.04883,-0.81289,-0.15060,-0.47981
17,9766,3,-0.27954,0.02924,-0.38586,0.87872,-0.38672,-3.59766,-4.21094,-6.70117,-2.62891,2.22461,-0.78105,-0.16509,-0.54791
18,9766,3,-0.31195,0.03278,-0.37183,0.87372,1.60938,-4.89062,-2.48047,-7.03711,-2.42383,2.09180,-0.74864,-0.17561,-0.61673
19,10742,3,-0.34650,0.03796,-0.35687,0.86670,2.00000,-4.58984,-0.00391,-7.05469,-2.16016,1.65625,-0.71522,-0.18251,-0.69228
20,9765,3,-0.38080,0.04388,-0.34308,0.85754,2.54297,-4.28125,3.10156,-5.87695,-1.70312,0.90820,-0.68525,-0.18711,-0.76889
21,9766,3,-0.41107,0.04913,-0.33240,0.84741,2.53516,-3.75000,6.08203,-3.89648,-1.06836,0.20703,-0.66233,-0.19117,-0.83739
22,12695,3,-0.41107,0.04913,-0.33240,0.84741,1.41406,-3.92578,8.49609,-2.10156,-0.66992,-0.11328,-0.66233,-0.19117,-0.83739
23,7813,3,-0.44727,0.05389,-0.32312,0.83228,1.48828,-4.33203,8.72266,-0.53516,-0.62305,-0.19727,-0.64105,-0.20067,-0.91942
24,9765,3,-0.45386,0.05298,-0.32202,0.82916,1.67188,-4.41406,8.45703,0.60742,-0.68555,-0.14062,-0.63685,-0.20590,-0.93355
25,9766,3,-0.45483,0.04974,-0.32123,0.82916,2.57422,-4.75781,6.97656,1.31250,-0.91797,0.02930,-0.63238,-0.21128,-0.93410
26,10742,3,-0.45209,0.04474,-0.31995,0.83142,3.21875,-4.62891,6.07422,1.77539,-1.20508,0.18750,-0.62631,-0.21658,-0.92569
