lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,3638672,3,-0.04663,0.03333,-0.82178,0.56696,-0.74219,0.42969,-0.88672,-0.09961,-0.28320,-0.13281,-1.93164,-0.03886,-0.10793
1,10742,3,-0.04797,0.03314,-0.82202,0.56647,-0.91797,0.78516,-1.34375,-0.14648,-0.47656,-0.20703,-1.93257,-0.04133,-0.10915
2,9766,3,-0.04987,0.03259,-0.82245,0.56573,-0.91797,1.10547,-1.65234,-0.35938,-0.67578,-0.31055,-1.93403,-0.04516,-0.11037
3,9765,3,-0.05298,0.03192,-0.82300,0.56464,-0.67188,1.32031,-1.72266,-0.68359,-0.80273,-0.41992,-1.93607,-0.05118,-0.11276
4,9766,3,-0.05756,0.03192,-0.82379,0.56305,-0.24609,1.82812,-0.98438,-1.02734,-0.88086,-0.55469,-1.93900,-0.05892,-0.11789
5,10742,3,-0.06360,0.03296,-0.82483,0.56085,0.08203,2.17188,-0.42578,-1.33789,-0.99219,-0.76367,-1.94299,-0.06800,-0.12633
6,9766,3,-0.07080,0.03497,-0.82617,0.55786,0.60156,2.35938,0.25000,-1.49609,-1.06641,-1.06641,-1.94839,-0.07805,-0.13763
7,9765,3,-0.07898,0.03760,-0.82806,0.55377,1.51953,2.18750,2.49609,-1.43750,-1.05273,-1.43555,-1.95594,-0.08928,-0.15091
8,9766,3,-0.08795,0.04034,-0.83093,0.54791,1.74609,1.78125,3.86719,-1.04102,-0.99023,-1.74609,-1.96724,-0.10213,-0.16503
9,10742,3,-0.09595,0.04199,-0.83453,0.54089,1.49609,1.38672,5.23828,-0.51562,-0.89844,-1.95508,-1.98131,-0.11497,-0.17595
10,9766,3,-0.10229,0.04181,-0.83887,0.53296,1.45703,0.86719,6.21875,0.16992,-0.56055,-2.01758,-1.99798,-0.12741,-0.18165
11,9766,3,-0.10620,0.03961,-0.84381,0.52448,1.07812,-0.25391,8.48828,1.11719,0.18164,-1.88086,-2.01680,-0.13812,-0.18096
12,10742,3,-0.10571,0.03534,-0.84900,0.51648,0.41016,-1.22656,9.62109,2.07227,0.99414,-1.55469,-2.03616,-0.14349,-0.17181
13,9765,3,-0.09937,0.02917,-0.85406,0.50977,0.09766,-2.59375,10.24219,2.87109,1.65430,-1.12500,-2.05456,-0.14044,-0.15324
14,9766,3,-0.08765,0.02142,-0.85840,0.50500,-0.75000,-4.15625,10.30859,3.42383,2.15625,-0.64062,-2.06983,-0.12919,-0.12669
15,9766,3,-0.07208,0.01263,-0.86157,0.50232,-1.10547,-4.34375,10.00781,3.99609,2.79297,-0.21875,-2.08059,-0.11175,-0.09492
16,10742,3,-0.05164,0.00250,-0.86365,0.50140,-1.21875,-4.29688,8.95703,4.46289,3.21289,0.02734,-2.08713,-0.08679,-0.05635
17,9765,3,-0.02747,-0.00854,-0.86450,0.50177,-1.02734,-4.19922,6.80469,4.83789,3.31641,0.16406,-2.08944,-0.05610,-0.01281
18,9766,3,-0.00128,-0.02063,-0.86420,0.50269,-1.15234,-2.97656,2.62109,5.07617,3.34570,0.12500,-2.08831,-0.02296,0.03439
19,10742,3,0.02496,-0.03333,-0.86310,0.50336,-1.48047,-3.07422,0.69141,4.85352,3.53516,0.30469,-2.08525,0.00954,0.08275
20,9766,3,0.02496,-0.03333,-0.86310,0.50336,-1.86719,-3.68359,-1.09375,4.15430,3.50586,0.67773,-2.08525,0.00954,0.08275
21,9765,3,0.07794,-0.05646,-0.85748,0.50537,-2.60938,-4.07422,-2.81641,3.33398,3.44336,1.19531,-2.06966,0.07668,0.17705
22,9766,3,0.10254,-0.06427,-0.85236,0.50879,-3.42969,-5.07031,-3.24219,2.54688,3.48047,1.73242,-2.05334,0.10962,0.21689
23,10742,3,0.12457,-0.06879,-0.84558,0.51453,-3.54688,-5.60547,-3.59375,1.83398,3.38086,2.21680,-2.03069,0.14035,0.24953
24,9766,3,0.12457,-0.06879,-0.84558,0.51453,-3.52734,-5.92969,-4.40234,1.27930,2.97461,2.59961,-2.03069,0.14035,0.24953
25,9766,3,0.15997,-0.07037,-0.82843,0.53210,-3.61328,-5.42188,-6.61328,0.85547,2.49023,2.86719,-1.97104,0.19133,0.29651
26,9765,3,0.17352,-0.06964,-0.81818,0.54376,-3.46484,-5.18750,-7.40234,0.41992,2.06250,3.06836,-1.93506,0.20973,0.31460
27,10742,3,0.18372,-0.06860,-0.80750,0.55627,-3.07422,-5.08984,-8.21484,-0.10938,1.43555,3.23828,-1.89809,0.22221,0.32905
28,9766,3,0.19006,-0.06726,-0.79700,0.56934,-2.55078,-5.22266,-8.85547,-0.67773,0.77734,3.44141,-1.86180,0.22835,0.33870
29,9766,3,0.19226,-0.06573,-0.78644,0.58325,-1.92969,-6.48047,-8.80078,-1.22656,0.29688,3.77344,-1.82573,0.22770,0.34305
30,9765,3,0.19037,-0.06384,-0.77545,0.59863,-1.96094,-7.89453,-8.47266,-1.89453,-0.05664,4.42969,-1.78855,0.22059,0.34166
31,9766,3,0.18481,-0.06134,-0.76349,0.61578,-1.72656,-9.18359,-7.98438,-2.39844,-0.33594,5.28320,-1.74889,0.20816,0.33456
32,10742,3,0.18481,-0.06134,-0.76349,0.61578,0.63672,-7.01172,-8.85938,-2.39062,-0.84570,5.66797,-1.74889,0.20816,0.33456
33,9766,3,0.16486,-0.05597,-0.73315,0.65741,1.73047,-4.28906,-9.78516,-2.28320,-1.75586,5.34961,-1.65335,0.16894,0.30798
34,9765,3,0.15045,-0.05621,-0.71606,0.67932,3.12500,-1.78125,-10.89844,-2.66992,-2.81445,4.57227,-1.60291,0.13954,0.29183
35,10742,3,0.13177,-0.05890,-0.70074,0.69861,4.45312,-0.22266,-12.30469,-4.07031,-3.72070,3.66016,-1.55983,0.10257,0.27141
36,9766,3,0.10730,-0.06116,-0.68915,0.71399,6.64453,-0.81641,-12.18359,-5.75977,-4.32031,2.78320,-1.52807,0.06060,0.24027
37,10742,3,0.07507,-0.06024,-0.68091,0.72601,7.30078,-1.77344,-10.41406,-5.69922,-6.13086,1.22656,-1.50528,0.01476,0.19225
38,9766,3,0.03583,-0.06042,-0.67676,0.73285,8.86719,-2.17578,-8.20312,-5.91797,-6.34375,0.93750,-1.49396,-0.04008,0.13481
39,8789,3,-0.00562,-0.06360,-0.67511,0.73492,7.69141,-4.83203,-4.58594,-6.01172,-5.90039,1.04688,-1.48996,-0.10124,0.07810
40,10742,3,-0.04956,-0.06592,-0.67249,0.73553,7.34375,-5.51562,-4.53906,-5.84180,-5.66211,1.30859,-1.48261,-0.16436,0.01597
