lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1342774,2,-0.23694,0.29431,-0.82922,0.41187,0.01953,-0.44141,1.67969,-0.17578,0.18750,-0.17188,-2.15889,-0.15109,-0.76307
1,10742,2,-0.23688,0.29510,-0.82953,0.41071,-0.28906,-0.46875,2.03125,-0.20508,0.23047,-0.22070,-2.16129,-0.15117,-0.76435
2,9766,2,-0.23669,0.29608,-0.82990,0.40936,-0.40234,-0.61719,2.50000,-0.21094,0.29883,-0.29102,-2.16417,-0.15103,-0.76580
3,9765,2,-0.23639,0.29718,-0.83044,0.40765,-0.51953,-1.09766,3.04297,-0.07617,0.39453,-0.37305,-2.16793,-0.15089,-0.76729
4,9766,2,-0.23578,0.29810,-0.83130,0.40558,-0.44141,-2.66797,4.15625,0.28516,0.52734,-0.42578,-2.17275,-0.15077,-0.76807
5,10742,2,-0.23578,0.29810,-0.83130,0.40558,-0.55469,-3.52734,4.71484,0.83789,0.72266,-0.38867,-2.17275,-0.15077,-0.76807
6,9766,2,-0.23108,0.29651,-0.83521,0.40137,-0.64062,-4.14844,5.16406,1.48242,0.98242,-0.22266,-2.18629,-0.14853,-0.75925
7,9765,2,-0.22571,0.29309,-0.83850,0.40015,-1.03125,-4.41797,5.41016,2.13867,1.29297,0.02734,-2.19442,-0.14445,-0.74666
8,12696,2,-0.21735,0.28760,-0.84259,0.40009,-1.33594,-4.35938,5.12109,2.75586,1.67773,0.36523,-2.20294,-0.13657,-0.72719
9,6836,2,-0.20624,0.28064,-0.84711,0.40137,-1.67969,-4.14844,4.67578,3.23633,2.05664,0.75391,-2.21099,-0.12446,-0.70237
10,10742,2,-0.19165,0.27228,-0.85199,0.40411,-1.61328,-3.83203,3.66016,3.56836,2.28516,1.14258,-2.21853,-0.10670,-0.67175
11,9765,2,-0.17297,0.26233,-0.85687,0.40863,-1.55469,-2.60156,1.23438,3.85547,2.39844,1.49609,-2.22463,-0.08214,-0.63473
12,10743,2,-0.15399,0.25256,-0.86078,0.41418,-1.33594,-2.35547,0.12500,4.30859,2.37891,1.74414,-2.22739,-0.05592,-0.59831
13,9765,2,-0.13300,0.24097,-0.86420,0.42126,-1.19922,-1.92578,-0.91406,4.66602,2.19531,1.75977,-2.22678,-0.02685,-0.55707
14,11719,2,-0.11157,0.22754,-0.86707,0.42883,-1.29297,-1.26562,-3.14062,4.72852,1.86719,1.71094,-2.22343,0.00167,-0.51245
15,7813,2,-0.09131,0.21289,-0.86945,0.43628,-1.46484,-1.20312,-4.08594,4.54688,1.53906,1.72656,-2.21785,0.02699,-0.46683
16,9765,2,-0.07190,0.19714,-0.87115,0.44391,-1.46094,-1.63281,-4.93359,4.15820,1.19727,1.77539,-2.20967,0.04978,-0.42007
17,9766,2,-0.05377,0.18115,-0.87177,0.45197,-1.60156,-1.82422,-5.86328,3.63672,0.77734,1.78711,-2.19826,0.07006,-0.37402
18,10742,2,-0.03986,0.16760,-0.87140,0.45935,-2.44922,-1.56250,-7.67188,2.92383,0.27344,1.90820,-2.18571,0.08462,-0.33618
19,9766,2,-0.02777,0.15411,-0.86975,0.46802,-2.41797,-1.49609,-7.89062,2.23438,-0.20898,2.08789,-2.16879,0.09609,-0.29991
20,10742,2,-0.02014,0.14331,-0.86694,0.47693,-2.08594,-1.10156,-7.96094,1.66016,-0.62305,2.17578,-2.14970,0.10195,-0.27245
21,9765,2,-0.01569,0.13403,-0.86310,0.48663,-1.87891,-0.80469,-8.01562,1.09570,-0.99414,2.24219,-2.12786,0.10356,-0.25059
22,12696,2,-0.01569,0.13403,-0.86310,0.48663,-1.16797,-0.57812,-7.40234,0.52148,-1.25586,2.39648,-2.12786,0.10356,-0.25059
23,6836,2,-0.01569,0.12036,-0.85327,0.50714,-0.64844,-0.63672,-7.04297,-0.03711,-1.41406,2.55859,-2.07984,0.09546,-0.22420
24,9765,2,-0.01923,0.11615,-0.84698,0.51849,0.01172,-0.51953,-6.82812,-0.71289,-1.56250,2.69141,-2.05265,0.08798,-0.21927
25,10742,2,-0.02502,0.11414,-0.83966,0.53040,1.26562,-0.01562,-7.33594,-1.54883,-1.71484,2.84375,-2.02359,0.07913,-0.22069
26,9766,2,-0.02502,0.11414,-0.83966,0.53040,1.70703,0.50000,-7.42578,-2.43945,-1.88281,2.92578,-2.02359,0.07913,-0.22069
27,10742,2,-0.04486,0.11884,-0.82153,0.55585,2.21094,1.10156,-7.66406,-3.29492,-2.15820,2.85938,-1.95919,0.05843,-0.24808
28,9766,2,-0.05939,0.12561,-0.81110,0.56812,2.98438,1.97266,-8.08984,-3.96484,-2.53125,2.36914,-1.92599,0.04640,-0.27500
29,9766,2,-0.07776,0.13458,-0.80029,0.57910,4.78125,3.72656,-7.86719,-4.48633,-3.11133,1.60547,-1.89372,0.03142,-0.31060
30,12695,2,-0.09973,0.14398,-0.79041,0.58704,5.74219,4.34375,-7.35938,-5.37305,-3.30664,1.12109,-1.86599,0.01139,-0.35193
31,6836,2,-0.12506,0.15436,-0.78119,0.59186,5.65234,4.17969,-6.98828,-6.13672,-2.96094,0.94336,-1.84228,-0.01268,-0.39979
32,10742,2,-0.15350,0.16821,-0.77124,0.59436,6.52344,4.08203,-6.50000,-6.70312,-2.73242,0.23047,-1.81983,-0.03683,-0.45812
33,9766,2,-0.18390,0.18536,-0.76111,0.59369,6.64062,4.08594,-6.78516,-7.11914,-3.00977,-0.71289,-1.80060,-0.05988,-0.52528
34,9765,2,-0.21582,0.20300,-0.75214,0.58862,6.95703,3.36719,-6.30859,-7.07422,-3.10742,-1.03320,-1.78714,-0.08578,-0.59623
35,10742,2,-0.24890,0.21967,-0.74365,0.58038,6.62891,1.69141,-4.67578,-6.70508,-2.90625,-1.11719,-1.77605,-0.11546,-0.66837
36,9766,2,-0.28107,0.23511,-0.73492,0.57068,6.64062,-0.21875,-4.19141,-6.74023,-2.88672,-1.28711,-1.76475,-0.14529,-0.73883
37,9766,2,-0.28107,0.23511,-0.73492,0.57068,6.35938,-0.35938,-4.01953,-7.05469,-2.80859,-1.53320,-1.76475,-0.14529,-0.73883
38,9765,2,-0.34351,0.26447,-0.71613,0.54700,6.10156,-0.40234,-2.96094,-7.26562,-2.66406,-1.77734,-1.74070,-0.20408,-0.87975
39,9766,2,-0.37329,0.27887,-0.70648,0.53271,5.91016,-0.68750,-1.64453,-7.05859,-2.59570,-2.28516,-1.72946,-0.23241,-0.95034
40,10742,2,-0.40503,0.29358,-0.69611,0.51495,5.75000,-2.30469,1.07812,-6.38281,-2.59961,-2.91992,-1.71796,-0.26461,-1.02684
41,9766,2,-0.43561,0.30511,-0.68695,0.49530,6.28906,-3.33594,3.41406,-5.36914,-2.40039,-3.36914,-1.70723,-0.30073,-1.09870
42,12695,2,-0.46301,0.31201,-0.67993,0.47534,6.57422,-4.58203,5.56250,-4.17383,-1.74805,-3.56055,-1.69769,-0.33950,-1.16002
43,6836,2,-0.48590,0.31506,-0.67572,0.45612,6.94141,-7.26172,8.71094,-3.10547,-0.94336,-3.46289,-1.69130,-0.37821,-1.20862
44,10742,2,-0.50391,0.31561,-0.67450,0.43762,6.40625,-8.55859,9.18750,-2.28711,-0.28906,-3.17969,-1.69035,-0.41537,-1.24490
45,9766,2,-0.51764,0.31494,-0.67584,0.41962,6.09375,-9.66016,9.33594,-1.71289,0.33203,-2.72461,-1.69545,-0.45047,-1.27118
46,9765,2,-0.52637,0.31403,-0.67883,0.40436,5.37500,-10.85156,8.93359,-1.21289,0.96289,-2.09570,-1.70512,-0.47876,-1.28685
47,10743,2,-0.53094,0.31396,-0.68311,0.39111,4.92188,-10.81250,8.45312,-0.64453,1.60938,-1.45508,-1.71988,-0.50037,-1.29479
48,9765,2,-0.53107,0.31488,-0.68842,0.38062,4.59766,-10.33984,7.55078,-0.10156,2.07031,-0.97656,-1.73944,-0.51382,-1.29445
49,9766,2,-0.52734,0.31647,-0.69507,0.37244,4.46484,-9.32031,6.33594,0.30859,2.37500,-0.69922,-1.76386,-0.52050,-1.28622
50,11719,2,-0.52106,0.31793,-0.70215,0.36658,3.91406,-6.95703,4.04297,0.61719,2.56445,-0.59180,-1.78968,-0.52203,-1.27242
51,8789,2,-0.51245,0.31915,-0.71051,0.36151,3.45312,-5.95312,3.03906,0.84766,2.65820,-0.59570,-1.81933,-0.52067,-1.25301
52,9765,2,-0.50244,0.31970,-0.71973,0.35687,3.01562,-5.16406,2.48047,1.06836,2.70898,-0.65039,-1.85114,-0.51789,-1.22964
53,9766,2,-0.49188,0.31946,-0.72913,0.35266,2.70312,-4.60547,2.15625,1.24805,2.64648,-0.73633,-1.88294,-0.51435,-1.20428
54,9766,2,-0.48114,0.31818,-0.73871,0.34863,2.14453,-4.33203,2.23438,1.39062,2.65234,-0.72266,-1.91445,-0.51095,-1.17722
55,10742,2,-0.47009,0.31610,-0.74847,0.34485,1.79297,-4.48828,2.84375,1.61133,2.82031,-0.58594,-1.94584,-0.50713,-1.14858
56,9765,2,-0.45819,0.31360,-0.75836,0.34155,1.52344,-4.57422,3.23828,1.85742,2.95508,-0.43164,-1.97745,-0.50146,-1.11819
57,9766,2,-0.44550,0.31085,-0.76807,0.33905,1.05859,-4.50391,3.62500,2.11523,3.04688,-0.27344,-2.00828,-0.49333,-1.08685
58,12695,2,-0.43066,0.30737,-0.77863,0.33734,0.96094,-4.63672,3.81641,2.40039,3.16211,-0.08398,-2.04093,-0.48168,-1.05111
59,7813,2,-0.41541,0.30347,-0.78864,0.33673,0.80859,-4.67188,3.84766,2.71484,3.25781,0.12500,-2.07100,-0.46771,-1.01536
60,9765,2,-0.39832,0.29871,-0.79901,0.33716,0.73828,-4.55078,3.55078,3.04688,3.26953,0.25195,-2.10099,-0.45016,-0.97639
61,9766,2,-0.37933,0.29279,-0.80975,0.33875,0.26562,-4.24609,3.30078,3.33789,3.26172,0.44141,-2.13040,-0.42898,-0.93393
62,10742,2,-0.36017,0.28595,-0.81976,0.34131,-0.03125,-4.63281,3.16016,3.66016,3.30859,0.70898,-2.15625,-0.40641,-0.89157
63,9766,2,-0.33960,0.27808,-0.82959,0.34521,-0.25391,-4.91797,3.12500,4.14648,3.35742,0.94727,-2.17966,-0.38057,-0.84721
64,12695,2,-0.31769,0.26886,-0.83899,0.35052,-0.26562,-5.17578,3.03125,4.73828,3.39648,1.15625,-2.19993,-0.35181,-0.80069
65,6836,2,-0.29535,0.25824,-0.84772,0.35699,-0.02344,-5.57031,2.75781,5.20703,3.55469,1.38867,-2.21622,-0.32190,-0.75301
66,10742,2,-0.26996,0.24506,-0.85663,0.36505,0.38281,-5.84766,2.21094,5.40039,3.73047,1.58984,-2.23050,-0.28754,-0.69887
67,9766,2,-0.24152,0.23022,-0.86517,0.37427,0.83594,-5.95312,1.20703,5.58008,3.83789,1.73828,-2.24237,-0.24813,-0.64037
68,9766,2,-0.21185,0.21490,-0.87268,0.38385,1.05078,-5.40234,-0.39453,5.95898,3.91211,1.88477,-2.25090,-0.20624,-0.58162
69,10742,2,-0.18243,0.19928,-0.87885,0.39325,1.14844,-5.45703,-1.26562,6.37500,3.90625,2.02734,-2.25584,-0.16467,-0.52420
70,9765,2,-0.15131,0.18164,-0.88403,0.40320,1.30859,-5.57422,-1.95703,6.53125,3.84375,2.09375,-2.25715,-0.12135,-0.46281
71,9766,2,-0.12018,0.16290,-0.88794,0.41309,1.53906,-5.42188,-2.94922,6.35352,3.71875,2.07031,-2.25470,-0.07891,-0.40039
72,9766,2,-0.08734,0.14258,-0.89056,0.42310,1.52734,-4.46094,-4.37109,6.02148,3.66016,2.19727,-2.24866,-0.03492,-0.33422
73,10742,2,-0.05603,0.12354,-0.89142,0.43237,1.32812,-4.62500,-4.57422,5.61328,3.63281,2.41602,-2.23933,0.00693,-0.27205
74,12695,2,-0.02545,0.10583,-0.89044,0.44183,1.39844,-4.39844,-4.83203,5.20312,3.50195,2.52148,-2.22554,0.04822,-0.21283
75,6836,2,0.00226,0.09064,-0.88794,0.45093,1.71094,-2.53906,-5.05469,4.91992,3.34375,2.45703,-2.20869,0.08586,-0.16020
76,9766,2,0.03021,0.07568,-0.88409,0.46021,2.15625,-2.21875,-5.01562,4.65820,3.19141,2.25391,-2.18832,0.12339,-0.10703
77,10742,2,0.05756,0.06110,-0.87933,0.46875,2.28516,-2.14062,-4.86328,4.41211,3.09375,2.00586,-2.16641,0.15917,-0.05420
78,9765,2,0.08289,0.04773,-0.87439,0.47571,2.36719,-1.97266,-4.75000,4.16406,2.96484,1.75391,-2.14552,0.19153,-0.00470
79,9766,2,0.10663,0.03540,-0.86938,0.48120,1.97266,-1.51172,-4.76172,3.92383,2.77734,1.56445,-2.12587,0.22127,0.04210
80,10742,2,0.12927,0.02374,-0.86420,0.48566,1.94922,-1.79688,-4.63672,3.60742,2.51172,1.37305,-2.10667,0.24907,0.08733
81,8789,2,0.14996,0.01288,-0.85913,0.48907,1.83984,-1.77344,-4.71875,3.18555,2.16406,1.17969,-2.08867,0.27369,0.12974
82,12696,2,0.16754,0.00348,-0.85449,0.49164,1.54297,-1.04688,-5.08594,2.89844,1.82617,1.04492,-2.07265,0.29398,0.16669
83,7812,2,0.18365,-0.00562,-0.84998,0.49377,1.17188,-0.56250,-5.08594,2.88086,1.48242,0.91602,-2.05720,0.31167,0.20194
84,9766,2,0.19763,-0.01465,-0.84583,0.49524,0.84375,-0.10156,-5.35938,2.76953,1.09375,0.75781,-2.04344,0.32555,0.23492
85,10742,2,0.21063,-0.02478,-0.84198,0.49603,0.65625,-0.05078,-5.32422,2.54297,0.80078,0.62305,-2.03090,0.33644,0.26882
86,9766,2,0.22101,-0.03430,-0.83887,0.49622,0.75781,-0.62500,-4.69531,2.22852,0.56250,0.48438,-2.02111,0.34348,0.29849
87,10742,2,0.22980,-0.04333,-0.83624,0.49597,0.83984,-1.16406,-4.48828,1.86914,0.38281,0.39258,-2.01320,0.34836,0.32534
88,8789,2,0.23669,-0.05121,-0.83411,0.49554,1.17969,-1.89844,-3.90234,1.67969,0.34961,0.37109,-2.00711,0.35131,0.34782
89,10742,2,0.24249,-0.05811,-0.83228,0.49512,1.23438,-2.26172,-3.11328,1.61328,0.34766,0.36523,-2.00198,0.35341,0.36723
90,9766,2,0.24786,-0.06458,-0.83044,0.49475,1.25781,-2.25391,-3.11719,1.51172,0.32031,0.37109,-1.99697,0.35519,0.38545
91,10742,2,0.25305,-0.07074,-0.82855,0.49445,1.34766,-2.21875,-3.04688,1.46875,0.31836,0.39648,-1.99187,0.35690,0.40299
92,11719,2,0.25787,-0.07666,-0.82666,0.49420,1.44141,-2.16797,-2.90234,1.45898,0.31055,0.40430,-1.98687,0.35819,0.41971
93,7812,2,0.26239,-0.08215,-0.82477,0.49414,1.13281,-1.18359,-3.60547,1.43750,0.22266,0.37109,-1.98174,0.35931,0.43538
94,9766,2,0.26691,-0.08801,-0.82281,0.49390,0.94922,-0.67188,-4.14844,1.28516,0.03711,0.27344,-1.97680,0.36004,0.45170
95,9765,2,0.27081,-0.09399,-0.82117,0.49347,1.02734,-0.41406,-4.46875,1.06445,-0.17188,0.12305,-1.97289,0.35971,0.46730
