lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1461914,3,-0.17816,0.14966,-0.35309,0.90619,1.41406,0.23828,0.89844,-0.00586,0.16602,-0.49023,-0.77640,0.14594,-0.44803
1,10742,3,-0.17828,0.15002,-0.35510,0.90533,1.55859,0.36328,1.08984,0.07227,0.19922,-0.66602,-0.78086,0.14554,-0.44886
2,9766,3,-0.17822,0.15027,-0.35803,0.90411,1.82031,0.48438,1.24219,0.11914,0.24219,-0.86914,-0.78722,0.14461,-0.44940
3,9766,3,-0.17798,0.15039,-0.36182,0.90265,2.64844,1.01953,1.35547,0.09961,0.32617,-1.12305,-0.79525,0.14320,-0.44958
4,9765,3,-0.17773,0.15057,-0.36664,0.90070,3.01562,1.33594,1.28125,0.02734,0.41211,-1.43555,-0.80557,0.14139,-0.44998
5,10742,3,-0.17773,0.15100,-0.37280,0.89813,3.52734,1.64844,1.05078,-0.07031,0.43555,-1.81250,-0.81888,0.13916,-0.45121
6,8789,3,-0.17828,0.15149,-0.38049,0.89471,3.71875,1.98047,0.51172,-0.33789,0.39258,-2.29492,-0.83559,0.13582,-0.45374
7,10743,3,-0.17987,0.15192,-0.38965,0.89038,3.48047,2.17188,-0.58203,-0.71094,0.40625,-2.78906,-0.85556,0.13072,-0.45833
8,9765,3,-0.18341,0.15240,-0.40125,0.88440,3.01172,2.09766,-0.67188,-0.97852,0.46680,-3.16016,-0.88105,0.12269,-0.46687
9,10742,3,-0.18842,0.15332,-0.41406,0.87726,2.49609,2.04688,-0.70312,-1.18750,0.54102,-3.35547,-0.90963,0.11321,-0.47853
10,9766,3,-0.19476,0.15466,-0.42816,0.86877,2.00391,1.90234,-0.72656,-1.26953,0.62500,-3.30664,-0.94152,0.10214,-0.49308
11,9766,3,-0.20154,0.15662,-0.44263,0.85962,1.32031,0.92969,-0.81641,-1.30078,0.71875,-3.14453,-0.97468,0.09097,-0.50882
12,10742,3,-0.20801,0.15906,-0.45612,0.85052,0.60547,0.40625,-0.85938,-1.32422,0.74219,-2.90820,-1.00621,0.08090,-0.52425
13,8789,3,-0.21436,0.16205,-0.46887,0.84143,-0.09375,-0.34375,-0.94141,-1.31055,0.40039,-2.56641,-1.03662,0.07175,-0.53982
14,10742,3,-0.22040,0.16449,-0.47943,0.83337,-1.61328,-1.90234,-1.14844,-1.27148,0.38867,-2.10742,-1.06198,0.06287,-0.55402
15,9766,3,-0.22699,0.16675,-0.48895,0.82556,-2.24219,-2.27734,-0.57422,-1.23047,0.61914,-1.74023,-1.08503,0.05337,-0.56883
