lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1162109,3,-0.12762,-0.08600,-0.54938,0.82123,1.42578,1.00781,-0.26562,-1.06836,0.04492,-0.49805,-1.16189,-0.28536,-0.12028
1,10742,3,-0.13135,-0.08374,-0.55164,0.81940,2.03125,1.19922,-0.10547,-1.35156,0.25000,-0.64453,-1.16654,-0.28604,-0.12842
2,9766,3,-0.13568,-0.08014,-0.55469,0.81702,2.23047,1.06250,0.14062,-1.59961,0.46484,-0.80078,-1.17290,-0.28532,-0.13884
3,9765,3,-0.14050,-0.07495,-0.55865,0.81396,2.14062,1.26562,0.14844,-1.72266,0.60742,-0.96094,-1.18138,-0.28276,-0.15156
4,10743,3,-0.14539,-0.06885,-0.56323,0.81049,2.05469,1.35156,0.08203,-1.80469,0.66992,-1.09180,-1.19138,-0.27898,-0.16522
5,9765,3,-0.15039,-0.06195,-0.56854,0.80640,1.75000,1.37891,0.01953,-1.80469,0.71094,-1.17383,-1.20332,-0.27436,-0.17976
6,9766,3,-0.15509,-0.05524,-0.57397,0.80219,1.48828,1.47266,-0.00391,-1.61719,0.75781,-1.27930,-1.21576,-0.26991,-0.19357
7,9765,3,-0.15967,-0.04810,-0.58014,0.79724,1.11719,1.71094,0.01172,-1.33594,0.71875,-1.38086,-1.23037,-0.26505,-0.20747
8,10743,3,-0.16315,-0.04175,-0.58661,0.79218,1.03906,1.54688,0.13672,-1.00781,0.54102,-1.55469,-1.24605,-0.26048,-0.21855
9,8789,3,-0.16565,-0.03705,-0.59320,0.78699,0.95703,1.23438,0.41016,-0.64453,0.37305,-1.65625,-1.26240,-0.25767,-0.22608
10,10742,3,-0.16718,-0.03424,-0.59985,0.78174,0.45703,0.38281,1.76172,-0.12891,0.34570,-1.63672,-1.27920,-0.25690,-0.22977
11,9765,3,-0.16730,-0.03296,-0.60687,0.77631,-0.04688,-0.34375,2.64062,0.44922,0.48242,-1.50977,-1.29727,-0.25705,-0.22921
12,10743,3,-0.16516,-0.03314,-0.61346,0.77155,-0.38281,-0.93750,3.50781,1.19531,0.81250,-1.21484,-1.31458,-0.25659,-0.22330
13,9765,3,-0.15973,-0.03430,-0.61920,0.76801,-0.69922,-1.47266,4.65625,1.97266,1.35938,-0.71289,-1.33010,-0.25321,-0.21113
14,9766,3,-0.15015,-0.03577,-0.62360,0.76636,-1.80078,-3.02344,6.47656,2.65039,2.12695,-0.16016,-1.34238,-0.24451,-0.19240
15,10742,3,-0.13556,-0.03662,-0.62622,0.76691,-2.06641,-4.10156,6.78125,3.62500,2.64453,0.16992,-1.35033,-0.22791,-0.16713
16,8789,3,-0.11603,-0.03729,-0.62720,0.76929,-1.68359,-4.58984,6.90234,4.65820,3.07031,0.44531,-1.35414,-0.20433,-0.13494
17,13672,3,-0.09235,-0.03900,-0.62677,0.77271,-1.57422,-5.12109,5.39062,5.41016,3.35938,0.72852,-1.35452,-0.17696,-0.09546
18,6836,3,-0.06268,-0.04211,-0.62482,0.77710,-1.36719,-5.14453,4.14844,6.22070,3.59766,1.12695,-1.35112,-0.14429,-0.04528
19,10742,3,-0.02905,-0.04645,-0.62079,0.78210,-0.93750,-5.17188,3.55859,6.98047,3.62109,1.46875,-1.34250,-0.10893,0.01230
20,9766,3,0.00909,-0.05286,-0.61401,0.78748,-0.16016,-5.71094,2.74609,7.74414,3.33984,1.45508,-1.32738,-0.07214,0.07952
21,9765,3,0.04852,-0.06183,-0.60571,0.79181,1.04297,-6.23828,1.20703,7.78125,3.06836,1.18945,-1.30902,-0.03914,0.15244
22,10743,3,0.08850,-0.07294,-0.59680,0.79413,1.33203,-6.91016,-0.92188,6.57031,2.78711,1.11133,-1.29012,-0.01021,0.22965
23,12695,3,0.12537,-0.08325,-0.58795,0.79480,1.46875,-6.64062,-3.16016,5.00195,2.67383,0.99805,-1.27152,0.01508,0.30176
24,6836,3,0.15436,-0.08972,-0.57983,0.79492,0.22266,-4.74219,-4.66016,3.42969,2.56445,1.09766,-1.25384,0.03637,0.35724
25,9765,3,0.17834,-0.09235,-0.57166,0.79553,-0.52344,-4.14062,-4.64844,2.51758,2.44727,1.13281,-1.23460,0.05701,0.40060
26,10743,3,0.19745,-0.09180,-0.56317,0.79712,-1.37109,-3.26953,-3.74219,2.04883,2.38672,1.23242,-1.21342,0.07612,0.43279
27,9765,3,0.21295,-0.08978,-0.55487,0.79919,-1.70312,-3.33594,-2.82031,1.59766,2.20703,1.44336,-1.19210,0.09295,0.45774
28,9766,3,0.22607,-0.08704,-0.54620,0.80188,-1.75000,-2.97266,-2.64844,1.19727,1.95312,1.73828,-1.16967,0.10758,0.47833
29,9766,3,0.23651,-0.08441,-0.53705,0.80530,-1.37109,-2.29297,-2.71875,0.89453,1.68945,1.96875,-1.14639,0.11836,0.49487
30,10742,3,0.24487,-0.08203,-0.52692,0.80975,-0.80078,-1.83594,-2.87109,0.62109,1.33594,2.08984,-1.12109,0.12553,0.50846
31,12695,3,0.25104,-0.08044,-0.51666,0.81458,0.07031,-0.65625,-3.55078,0.32812,0.87891,2.22461,-1.09625,0.12871,0.51925
32,6836,3,0.25482,-0.07990,-0.50665,0.81976,0.29297,-0.29688,-4.08594,-0.04492,0.36133,2.29297,-1.07272,0.12756,0.52686
33,9766,3,0.25604,-0.08063,-0.49658,0.82544,0.42188,0.04688,-4.61328,-0.68164,-0.08008,2.31641,-1.05011,0.12148,0.53112
34,9765,3,0.25385,-0.08215,-0.48682,0.83179,0.51953,0.32031,-5.31250,-1.51758,-0.40625,2.28906,-1.02897,0.11070,0.52978
35,10742,3,0.24792,-0.08344,-0.47839,0.83826,0.88672,1.27344,-6.24609,-2.35352,-0.75195,2.19141,-1.01118,0.09749,0.52113
36,9766,3,0.23694,-0.08405,-0.47015,0.84601,1.21875,1.74219,-6.42578,-3.36914,-1.10938,1.97461,-0.99375,0.08068,0.50238
37,9766,3,0.22180,-0.08374,-0.46381,0.85364,1.66016,2.20703,-6.56641,-4.55664,-1.31836,1.66016,-0.98021,0.06282,0.47490
38,10742,3,0.20099,-0.08173,-0.45898,0.86157,2.69141,2.58984,-6.73828,-5.78125,-1.46094,1.31641,-0.96931,0.04369,0.43536
39,12695,3,0.17480,-0.07733,-0.45599,0.86920,2.98047,2.78125,-6.41406,-6.68945,-1.51758,0.86719,-0.96143,0.02499,0.38389
40,6836,3,0.14526,-0.07080,-0.45496,0.87573,3.11328,2.95312,-5.76562,-6.99805,-1.76953,0.17383,-0.95694,0.00817,0.32452
41,9766,3,0.11127,-0.06281,-0.45612,0.88068,3.21094,2.98828,-5.30078,-5.57227,-3.47461,-1.13281,-0.95693,-0.00912,0.25608
42,9765,3,0.07758,-0.05969,-0.46155,0.88171,4.57812,3.98438,-4.58203,-4.91406,-3.65430,-1.25000,-0.96775,-0.03366,0.19320
43,10743,3,0.04553,-0.06293,-0.46991,0.87927,3.24609,2.74219,-5.03906,-5.37500,-3.59961,-1.43945,-0.98639,-0.06792,0.13999
44,9765,3,0.01434,-0.06647,-0.47821,0.87561,3.62109,2.27734,-5.63672,-5.80078,-3.84961,-1.74609,-1.00436,-0.10286,0.08928
45,13672,3,-0.01880,-0.06927,-0.48724,0.87030,4.26562,1.96094,-6.26172,-6.14844,-4.16016,-2.13867,-1.02321,-0.13935,0.03513
46,6836,3,-0.05219,-0.07214,-0.49670,0.86334,4.89453,0.41406,-7.27344,-6.68164,-4.26758,-2.56445,-1.04249,-0.17734,-0.01873
47,9766,3,-0.08936,-0.07495,-0.50775,0.85358,4.42578,-0.50000,-7.18750,-7.17188,-4.31641,-2.84375,-1.06457,-0.22047,-0.07841
48,9765,3,-0.13068,-0.07684,-0.52014,0.84052,4.01172,-1.53125,-7.42188,-7.66992,-4.35547,-2.92383,-1.08865,-0.26833,-0.14543
49,10742,3,-0.17090,-0.07758,-0.53162,0.82593,3.10547,-5.11328,-5.37891,-8.15039,-4.25195,-2.80469,-1.11006,-0.31503,-0.21174
50,9766,3,-0.21484,-0.07660,-0.54260,0.80841,2.18750,-5.75391,-3.28125,-8.04883,-3.92188,-2.40625,-1.12897,-0.36506,-0.28680
51,9766,3,-0.25745,-0.07385,-0.55133,0.79010,1.56641,-5.64844,-1.61719,-7.71680,-3.53516,-1.78711,-1.14179,-0.41217,-0.36306
52,9765,3,-0.29663,-0.06952,-0.55713,0.77252,1.08203,-5.60938,-0.57422,-7.44922,-3.51562,-1.20703,-1.14717,-0.45330,-0.43744
53,10742,3,-0.33612,-0.06396,-0.56000,0.75452,0.54688,-6.21875,0.67578,-6.98438,-3.40820,-1.07227,-1.14416,-0.49269,-0.51714
54,9766,3,-0.37299,-0.05853,-0.56042,0.73712,0.39453,-5.90234,2.05859,-6.56445,-3.17383,-0.91211,-1.13440,-0.52865,-0.59540
55,12695,3,-0.40662,-0.05347,-0.55963,0.72015,0.08203,-6.41406,3.18750,-6.08984,-3.36914,-0.76953,-1.12127,-0.56110,-0.67005
