lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1192382,3,-0.44330,0.24536,-0.44464,0.73865,0.53906,1.07422,0.42188,-0.95703,-0.24219,-1.17773,-1.06507,-0.03175,-1.06234
1,9766,3,-0.44916,0.24402,-0.44714,0.73401,0.50000,0.85547,0.54688,-0.82812,-0.19727,-1.25195,-1.06845,-0.04347,-1.07256
2,10742,3,-0.45435,0.24249,-0.45001,0.72955,0.22656,0.42578,0.92969,-0.52148,-0.16797,-1.29688,-1.07231,-0.05513,-1.08123
3,9766,3,-0.45880,0.24042,-0.45349,0.72528,-0.01172,-0.43359,1.41406,-0.11133,-0.10742,-1.28320,-1.07679,-0.06744,-1.08778
4,9765,3,-0.46179,0.23773,-0.45752,0.72174,-0.39844,-2.10938,1.98047,0.35547,0.02930,-1.13281,-1.08173,-0.07948,-1.09063
5,10743,3,-0.46283,0.23456,-0.46198,0.71924,-0.39062,-2.85156,2.43359,0.78125,0.30859,-0.83008,-1.08717,-0.09035,-1.08896
6,9765,3,-0.46149,0.23157,-0.46667,0.71808,-0.77734,-3.69531,2.68750,1.10352,0.61719,-0.50000,-1.09347,-0.09832,-1.08254
7,9766,3,-0.45782,0.22955,-0.47119,0.71808,-1.03906,-4.96875,2.75391,1.39062,0.86133,-0.12109,-1.10079,-0.10195,-1.07258
8,9765,3,-0.45184,0.22858,-0.47552,0.71936,-1.22266,-5.26953,2.59766,1.74023,1.01758,0.29492,-1.10902,-0.10104,-1.05907
9,10743,3,-0.44385,0.22845,-0.47919,0.72192,-1.39844,-5.10938,2.52734,2.07422,1.20703,0.71680,-1.11701,-0.09567,-1.04267
10,9765,3,-0.43365,0.22900,-0.48199,0.72607,-1.49609,-4.82031,2.55469,2.31250,1.40430,1.10547,-1.12402,-0.08560,-1.02288
11,12696,3,-0.42139,0.23047,-0.48407,0.73145,-1.34766,-4.20312,1.73828,2.47656,1.53516,1.36719,-1.13051,-0.07087,-1.00036
12,6836,3,-0.40820,0.23254,-0.48535,0.73737,-1.17578,-3.77734,1.18750,2.69922,1.55078,1.53320,-1.13592,-0.05333,-0.97717
13,10742,3,-0.39319,0.23486,-0.48615,0.74426,-0.92578,-3.37109,0.51953,2.82422,1.50000,1.64453,-1.14039,-0.03270,-0.95108
14,9765,3,-0.37659,0.23706,-0.48645,0.75189,-1.27344,-2.27344,-0.51953,2.91602,1.45898,1.73047,-1.14357,-0.00989,-0.92229
15,9766,3,-0.35992,0.23883,-0.48627,0.75958,-0.97656,-1.71484,-1.36719,2.91797,1.35742,1.85742,-1.14500,0.01278,-0.89325
16,10742,3,-0.34332,0.24030,-0.48541,0.76727,-0.78906,-1.21484,-2.15234,2.64062,1.01172,1.84180,-1.14451,0.03545,-0.86431
17,8789,3,-0.32733,0.24121,-0.48364,0.77509,-0.99219,-0.36719,-3.24609,2.47266,0.68945,1.49023,-1.14121,0.05733,-0.83599
18,10742,3,-0.31396,0.24109,-0.48175,0.78180,-1.16406,1.26172,-4.56641,2.15039,0.28516,1.34375,-1.13653,0.07453,-0.81136
19,11719,3,-0.31396,0.24109,-0.48175,0.78180,-1.60547,1.65625,-5.23438,1.80859,-0.12695,1.24609,-1.13653,0.07453,-0.81136
20,8789,3,-0.29218,0.23712,-0.47717,0.79413,-2.00391,2.05078,-5.62891,1.50781,-0.48828,1.23438,-1.12165,0.09794,-0.76664
21,9766,3,-0.28455,0.23364,-0.47369,0.80005,-2.19922,2.14844,-6.05469,1.15820,-0.83398,1.33789,-1.11020,0.10446,-0.74824
22,9765,3,-0.27930,0.22974,-0.46918,0.80566,-2.69922,1.87891,-5.91797,0.82812,-1.14258,1.36523,-1.09632,0.10831,-0.73358
23,9766,3,-0.27600,0.22528,-0.46356,0.81128,-2.68359,1.48438,-5.87891,0.47266,-1.45312,1.44531,-1.07974,0.10987,-0.72172
24,9766,3,-0.27472,0.22040,-0.45673,0.81689,-2.38281,1.26953,-5.89453,-0.03320,-1.76367,1.54492,-1.06037,0.10936,-0.71298
25,10742,3,-0.27582,0.21558,-0.44904,0.82208,-1.01172,1.39844,-5.39062,-0.66406,-2.04688,1.55469,-1.03946,0.10694,-0.70865
26,9766,3,-0.27997,0.21045,-0.43927,0.82727,-0.17969,1.33203,-5.03906,-1.13281,-2.33398,1.46875,-1.01423,0.10241,-0.70958
27,9765,3,-0.28680,0.20557,-0.42908,0.83148,0.33203,1.42578,-4.69141,-1.27734,-2.56836,1.35156,-0.98869,0.09588,-0.71601
28,9766,3,-0.29572,0.19989,-0.41840,0.83521,0.40234,2.03906,-4.21875,-1.42773,-2.83984,1.13867,-0.96170,0.08655,-0.72575
29,12695,3,-0.30573,0.19324,-0.40784,0.83838,1.63281,2.69922,-4.36719,-1.64844,-3.15820,0.83398,-0.93437,0.07471,-0.73705
30,7813,3,-0.31671,0.18573,-0.39813,0.84064,2.17969,3.33594,-4.51172,-2.05664,-3.56445,0.45508,-0.90829,0.06011,-0.74996
31,9765,3,-0.33069,0.17621,-0.38824,0.84192,2.74609,3.46094,-4.44141,-2.55078,-3.87695,0.10352,-0.88029,0.03994,-0.76735
32,10742,3,-0.34735,0.16534,-0.37878,0.84174,4.22656,3.24219,-4.39453,-2.97266,-4.07812,-0.24414,-0.85205,0.01521,-0.78965
33,9766,3,-0.36719,0.15332,-0.36951,0.83972,4.86328,3.00781,-4.46484,-3.80078,-4.14062,-0.67383,-0.82306,-0.01386,-0.81839
34,9766,3,-0.38910,0.14154,-0.36133,0.83551,5.25000,3.31250,-4.00781,-4.99805,-3.99023,-1.04297,-0.79605,-0.04468,-0.85288
35,12695,3,-0.38910,0.14154,-0.36133,0.83551,7.03516,3.00391,-3.33594,-6.16406,-3.51367,-1.33008,-0.79605,-0.04468,-0.85288
36,6836,3,-0.44458,0.12286,-0.34735,0.81647,9.03125,1.31641,-1.33984,-6.88867,-2.77930,-1.63477,-0.74835,-0.10843,-0.95463
37,10742,3,-0.47723,0.11804,-0.34222,0.80072,9.62109,0.60938,-0.34375,-6.78711,-1.91211,-1.99219,-0.73030,-0.13805,-1.02211
38,9766,3,-0.51093,0.11591,-0.33954,0.78119,8.87891,0.41797,0.69141,-5.87305,-1.13086,-2.59180,-0.71820,-0.16664,-1.09574
39,9765,3,-0.53894,0.11487,-0.34082,0.76166,6.81250,-1.80859,0.96094,-5.33203,-1.28711,-3.00781,-0.71455,-0.19360,-1.15914
40,10743,3,-0.56403,0.11224,-0.34497,0.74182,5.71484,-2.78516,0.42969,-4.65039,-1.01172,-3.64258,-0.71398,-0.22449,-1.21612
41,9765,3,-0.58594,0.10724,-0.35107,0.72247,5.22266,-3.58984,2.10156,-3.95312,-0.26562,-3.47852,-0.71395,-0.25935,-1.26565
42,9766,3,-0.60431,0.10205,-0.35974,0.70355,4.84375,-6.07031,4.03906,-3.28125,0.29883,-2.89062,-0.71822,-0.29547,-1.30771
43,12695,3,-0.61890,0.09894,-0.36932,0.68616,3.96094,-8.38672,7.06250,-2.51953,-0.89453,-2.62891,-0.72685,-0.32717,-1.34242
44,7813,3,-0.62988,0.09503,-0.37598,0.67297,3.49219,-8.18750,6.01953,-1.70898,-0.54688,-1.85938,-0.72999,-0.35301,-1.36857
45,9765,3,-0.63934,0.08954,-0.38025,0.66229,2.82031,-9.29688,8.87891,-0.59180,1.08203,-1.36914,-0.72711,-0.37645,-1.39085
46,9766,3,-0.64349,0.08746,-0.38623,0.65509,3.34375,-7.85156,8.97266,0.30273,1.88086,-0.94531,-0.73348,-0.39246,-1.40052
47,9765,3,-0.64154,0.08893,-0.39484,0.65161,3.15234,-6.78125,8.16016,1.11133,2.27539,-0.67773,-0.75182,-0.40142,-1.39497
48,10743,3,-0.63550,0.09167,-0.40442,0.65131,2.91406,-6.35938,7.66797,1.93750,2.66016,-0.24805,-0.77556,-0.40562,-1.37863
49,9765,3,-0.62555,0.09528,-0.41461,0.65399,2.26172,-6.02344,7.43359,2.84180,3.05859,0.17773,-0.80346,-0.40509,-1.35230
50,9766,3,-0.61224,0.09943,-0.42438,0.65967,2.12500,-4.88281,5.89453,3.62109,3.66797,0.40039,-0.83270,-0.39897,-1.31793
51,12695,3,-0.59387,0.10461,-0.43542,0.66840,1.56641,-4.68359,4.47656,4.16211,3.94922,0.46484,-0.86752,-0.38692,-1.27187
52,7813,3,-0.57239,0.11011,-0.44708,0.67853,1.10547,-4.50391,3.27344,4.85156,4.02734,0.47852,-0.90459,-0.37081,-1.21974
53,9765,3,-0.54639,0.11517,-0.45984,0.69049,0.71484,-4.15234,2.21875,5.30664,4.15430,0.71289,-0.94439,-0.35057,-1.15842
54,9766,3,-0.51898,0.11920,-0.47162,0.70288,0.30859,-3.75781,0.54688,5.47852,4.13477,0.93164,-0.98079,-0.32779,-1.09589
55,10742,3,-0.48932,0.12311,-0.48248,0.71594,0.25781,-3.39453,-0.84375,5.49805,3.89844,1.07812,-1.01488,-0.30041,-1.03118
56,9766,3,-0.45935,0.12665,-0.49182,0.72876,0.23438,-3.00000,-2.04297,5.41602,3.56445,1.13867,-1.04439,-0.27053,-0.96851
57,11719,3,-0.45935,0.12665,-0.49182,0.72876,-0.28125,-1.53516,-3.89062,5.24023,3.14648,1.31641,-1.04439,-0.27053,-0.96851
58,7812,3,-0.40143,0.13098,-0.50519,0.75262,-0.23047,-0.94922,-4.70312,4.93555,2.87695,1.52539,-1.08664,-0.20998,-0.85286
59,10742,3,-0.37292,0.13226,-0.50909,0.76434,-0.00391,-0.34375,-5.36328,4.49219,2.64648,1.55273,-1.09972,-0.17847,-0.79828
60,9766,3,-0.34576,0.13373,-0.51141,0.77527,0.30859,0.68359,-6.48047,3.89648,2.39844,1.36523,-1.10855,-0.14683,-0.74804
61,9765,3,-0.32184,0.13525,-0.51282,0.78430,0.39844,3.07812,-7.78906,3.13281,2.07031,0.93359,-1.11462,-0.11821,-0.70507
62,10743,3,-0.32184,0.13525,-0.51282,0.78430,0.10547,3.92969,-8.45312,2.31641,1.69336,0.34375,-1.11462,-0.11821,-0.70507
63,9765,3,-0.28534,0.13824,-0.51636,0.79547,-0.29688,4.41016,-8.56250,1.39453,1.29102,-0.21680,-1.12665,-0.07481,-0.64155
64,9766,3,-0.27423,0.13947,-0.51947,0.79718,-0.86328,4.37500,-7.68359,0.41797,0.81836,-0.64062,-1.13490,-0.06259,-0.62274
65,12695,3,-0.26807,0.14075,-0.52338,0.79651,-0.72266,3.80859,-6.74609,-0.30273,0.45898,-0.94336,-1.14483,-0.05642,-0.61293
66,7813,3,-0.26672,0.14203,-0.52728,0.79413,-0.71484,3.30078,-5.75781,-0.79688,0.23828,-1.18750,-1.15467,-0.05573,-0.61176
67,9765,3,-0.26874,0.14343,-0.53162,0.79028,-0.89844,2.75781,-5.27344,-1.36523,-0.11328,-1.35938,-1.16551,-0.05906,-0.61664
68,9766,3,-0.27405,0.14496,-0.53619,0.78510,-0.78516,1.23438,-4.85938,-1.88281,-0.48633,-1.49023,-1.17688,-0.06632,-0.62741
69,10742,3,-0.28223,0.14618,-0.54022,0.77917,-0.47266,1.07812,-4.79297,-2.41406,-0.78516,-1.78516,-1.18674,-0.07721,-0.64294
70,9766,3,-0.29340,0.14716,-0.54407,0.77216,0.22656,1.15625,-4.92969,-3.40430,-1.02539,-2.19531,-1.19587,-0.09213,-0.66347
71,9765,3,-0.30853,0.14862,-0.54822,0.76300,0.72266,1.24219,-5.34766,-4.29688,-1.26562,-2.54883,-1.20579,-0.11172,-0.69158
72,9766,3,-0.32831,0.15118,-0.55261,0.75098,0.97656,0.85156,-4.77734,-4.70703,-1.34570,-2.87891,-1.21671,-0.13621,-0.72934
73,9766,3,-0.35052,0.15417,-0.55707,0.73694,1.07812,0.47266,-4.37891,-4.49219,-1.60352,-3.05859,-1.22776,-0.16403,-0.77224
74,9765,3,-0.37402,0.15631,-0.56171,0.72119,1.35156,0.05859,-4.05859,-4.38086,-1.83594,-3.15820,-1.23838,-0.19598,-0.81697
75,12696,3,-0.39624,0.15674,-0.56592,0.70581,0.83203,-2.11328,-3.25391,-4.30273,-1.95117,-3.02539,-1.24646,-0.22922,-0.85799
76,7812,3,-0.41888,0.15613,-0.56940,0.68982,0.64844,-3.19141,-2.69531,-4.35547,-2.49219,-2.70117,-1.25173,-0.26473,-0.89957
77,10742,3,-0.44318,0.15472,-0.57111,0.67340,-0.01953,-4.55078,-2.63281,-4.03320,-3.17383,-2.55859,-1.25136,-0.30241,-0.94482
78,9766,3,-0.46765,0.15118,-0.57025,0.65820,-0.64453,-5.59766,-2.20312,-3.79492,-3.35352,-2.08594,-1.24248,-0.34091,-0.99030
79,12695,3,-0.46765,0.15118,-0.57025,0.65820,-1.01953,-5.99609,-1.90625,-3.68945,-3.32031,-1.45703,-1.24248,-0.34091,-0.99030
80,6836,3,-0.51318,0.14178,-0.56195,0.63306,-0.96484,-5.81641,-1.78906,-3.66211,-3.45312,-0.86523,-1.20504,-0.40852,-1.07933
81,9766,3,-0.53497,0.13843,-0.55420,0.62256,-1.42188,-5.68359,-1.35156,-3.51562,-3.72461,-0.50977,-1.17779,-0.43408,-1.12727
82,10742,3,-0.55634,0.13538,-0.54413,0.61328,-1.75391,-4.69531,-1.21484,-3.11133,-3.89453,-0.24414,-1.14479,-0.45491,-1.17740
83,9766,3,-0.57764,0.13153,-0.53192,0.60510,-2.10156,-4.56250,-0.59766,-2.80664,-4.00781,0.14453,-1.10541,-0.47272,-1.22937
84,10742,3,-0.59735,0.12720,-0.51831,0.59863,-2.74609,-4.44531,-0.15234,-2.54102,-3.91406,0.62891,-1.06252,-0.48582,-1.27946
85,11719,3,-0.61523,0.12341,-0.50348,0.59393,-3.03906,-4.21484,0.87500,-2.09570,-4.13672,0.63086,-1.01812,-0.49260,-1.32721
86,7812,3,-0.63086,0.11945,-0.48846,0.59088,-2.90234,-3.15625,0.74219,-1.66602,-4.13281,0.83008,-0.97432,-0.49514,-1.37001
87,9766,3,-0.64594,0.11414,-0.47205,0.58899,-2.43359,-3.50000,0.91016,-1.55664,-4.10547,1.30078,-0.92670,-0.49539,-1.41159
88,9765,3,-0.66028,0.10907,-0.45380,0.58838,-2.45703,-3.16016,1.07031,-1.37305,-4.19141,1.72656,-0.87667,-0.49034,-1.45234
89,10742,3,-0.67267,0.10535,-0.43524,0.58905,-1.51953,-2.35547,1.65234,-1.12305,-4.15820,2.08008,-0.82969,-0.47962,-1.48861
90,9766,3,-0.68457,0.10211,-0.41431,0.59100,-0.91016,-1.71875,1.88672,-0.96484,-4.07422,2.37305,-0.78040,-0.46290,-1.52398
91,11719,3,-0.69482,0.09979,-0.39307,0.59393,-0.06641,-1.08594,1.92969,-0.81641,-4.01367,2.49414,-0.73414,-0.44193,-1.55473
92,8789,3,-0.70374,0.09808,-0.37195,0.59729,0.61328,-0.44141,2.05859,-0.60352,-3.83398,2.45117,-0.69110,-0.41846,-1.58148
93,9766,3,-0.71204,0.09637,-0.34961,0.60126,1.54297,-0.61719,3.89453,-0.17578,-3.33789,2.45508,-0.64775,-0.39193,-1.60602
94,9765,3,-0.71814,0.09509,-0.32922,0.60571,2.98438,-0.91406,5.12891,0.63477,-2.63867,2.40625,-0.61054,-0.36574,-1.62382
95,9766,3,-0.72113,0.09436,-0.31097,0.61188,3.88281,-1.21094,5.70703,1.48828,-1.82617,2.19531,-0.57986,-0.33951,-1.63217
96,10742,3,-0.72015,0.09424,-0.29657,0.62006,4.68359,-2.19531,7.48438,2.29492,-0.72852,2.17773,-0.55824,-0.31552,-1.62877
97,11719,3,-0.71503,0.09546,-0.28601,0.63074,5.58594,-2.57812,7.79297,3.13086,0.46094,2.32617,-0.54615,-0.29275,-1.61336
98,7812,3,-0.70575,0.09912,-0.27997,0.64319,6.52344,-2.23828,7.66797,3.71289,1.52148,2.29492,-0.54568,-0.27098,-1.58723
99,9766,3,-0.69208,0.10577,-0.27777,0.65778,7.40234,-2.14844,6.88672,3.89648,2.27539,2.01953,-0.55621,-0.24786,-1.55051
100,10742,3,-0.67450,0.11481,-0.27930,0.67371,9.53516,-0.80469,4.53516,3.78906,2.81445,1.54297,-0.57615,-0.22394,-1.50536
101,9766,3,-0.65704,0.12396,-0.28406,0.68719,9.34766,-0.02344,3.50000,3.62305,3.18750,0.92188,-0.60050,-0.20432,-1.46248
102,9765,3,-0.63922,0.13300,-0.29187,0.69891,8.80859,0.45703,2.73828,3.61523,3.27344,0.23242,-0.62913,-0.18835,-1.42019
103,12696,3,-0.62122,0.14093,-0.30267,0.70898,7.73047,0.41016,1.55859,3.42188,2.99023,-0.31641,-0.66094,-0.17713,-1.37812
104,6836,3,-0.60437,0.14648,-0.31464,0.71716,7.02344,-0.15625,1.68359,3.32617,3.47266,-0.62695,-0.69142,-0.17103,-1.33878
105,10742,3,-0.58734,0.15137,-0.32861,0.72400,6.97266,-0.35938,1.83594,3.24219,3.57617,-0.80078,-0.72469,-0.16761,-1.29945
106,9765,3,-0.56921,0.15692,-0.34467,0.72974,7.14844,-0.54297,1.29297,3.18945,3.72070,-0.88086,-0.76287,-0.16410,-1.25894
107,9766,3,-0.55249,0.16205,-0.35992,0.73413,6.64453,-0.30859,-0.07812,2.80664,3.91211,-0.99414,-0.79911,-0.16047,-1.22242
108,10742,3,-0.53448,0.16833,-0.37695,0.73749,5.83984,-0.01172,-0.89844,2.32617,4.09961,-1.09766,-0.84040,-0.15529,-1.18478
109,11719,3,-0.51813,0.17548,-0.39362,0.73877,5.09766,0.21484,-1.10938,2.08008,4.24609,-1.21289,-0.88202,-0.14917,-1.15273
110,7812,3,-0.50311,0.18329,-0.41010,0.73834,4.96875,0.34375,-0.98438,2.08008,4.46289,-1.35156,-0.92407,-0.14246,-1.12524
111,10743,3,-0.48743,0.19189,-0.42767,0.73663,2.81641,0.65625,-1.76953,2.00000,4.52539,-1.40234,-0.96959,-0.13462,-1.09812
112,9765,3,-0.47095,0.20099,-0.44617,0.73401,1.47656,0.73828,-2.67188,1.78320,3.90625,-1.17383,-1.01782,-0.12551,-1.07082
113,9766,3,-0.45557,0.20929,-0.46283,0.73108,0.88281,1.01172,-3.88672,1.32422,3.74609,-0.64062,-1.06185,-0.11594,-1.04640
114,9765,3,-0.44238,0.21729,-0.47595,0.72839,-1.23047,1.19531,-4.86328,1.14844,3.56836,-0.87695,-1.09841,-0.10476,-1.02745
115,10743,3,-0.42950,0.22626,-0.48853,0.72504,-1.87109,1.57422,-6.19922,0.89844,3.10352,-1.02148,-1.13506,-0.09169,-1.01114
116,9765,3,-0.41846,0.23389,-0.50043,0.72095,-3.04297,1.39844,-6.66016,0.42773,2.64453,-0.77734,-1.16903,-0.08167,-0.99776
117,12696,3,-0.40985,0.24078,-0.51050,0.71655,-3.30859,0.89062,-6.85547,-0.18750,1.63477,-0.36133,-1.19843,-0.07345,-0.98894
118,6836,3,-0.40485,0.24670,-0.51678,0.71289,-3.85938,-0.57031,-6.42578,-0.42578,1.04102,0.14453,-1.21862,-0.06674,-0.98637
119,10742,3,-0.40485,0.24670,-0.51678,0.71289,-3.86328,-1.51562,-5.22266,-0.46289,0.68945,0.35352,-1.21862,-0.06674,-0.98637
120,9765,3,-0.40149,0.25702,-0.51996,0.70880,-4.21484,-2.33203,-4.80859,-0.10742,0.80273,0.57031,-1.23699,-0.05319,-0.99289
121,9766,3,-0.39996,0.26123,-0.51953,0.70844,-3.60938,-3.91797,-3.52734,0.73242,0.41797,1.17188,-1.24081,-0.04547,-0.99543
122,9766,3,-0.39600,0.26447,-0.51807,0.71051,-1.89062,-4.73828,-4.54688,-0.02734,0.17969,1.34180,-1.24137,-0.03450,-0.99225
123,10742,3,-0.39227,0.26715,-0.51471,0.71405,-3.99609,-3.18359,-1.16797,-0.34766,0.16406,1.18945,-1.23712,-0.02230,-0.98884
