lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1092773,3,0.02203,0.03320,-0.80829,0.58740,0.12891,-0.08984,-2.05859,-0.21289,-0.13281,-0.01758,-1.88576,0.07470,-0.02787
1,9766,3,0.02094,0.03369,-0.80823,0.58752,0.14453,-0.10547,-2.25000,-0.25000,-0.16016,-0.00781,-1.88555,0.07350,-0.02995
2,9766,3,0.01965,0.03418,-0.80817,0.58765,0.12891,-0.08984,-2.51172,-0.30859,-0.20898,0.00195,-1.88534,0.07200,-0.03224
3,10742,3,0.01813,0.03479,-0.80804,0.58783,0.15234,-0.06641,-3.08594,-0.36328,-0.25781,0.00391,-1.88497,0.07025,-0.03500
4,9765,3,0.01611,0.03546,-0.80792,0.58801,0.16797,-0.02734,-3.27734,-0.42578,-0.31055,0.00391,-1.88460,0.06779,-0.03845
5,9766,3,0.01385,0.03625,-0.80774,0.58826,0.17578,-0.02734,-3.38281,-0.42578,-0.35938,-0.00195,-1.88407,0.06508,-0.04237
6,10742,3,0.01117,0.03699,-0.80756,0.58850,0.17969,-0.13281,-3.46094,-0.34766,-0.45703,-0.03906,-1.88352,0.06161,-0.04670
7,9766,3,0.00836,0.03735,-0.80750,0.58868,0.14062,-0.39844,-3.84375,-0.18164,-0.63281,-0.13672,-1.88317,0.05751,-0.05058
8,9765,3,0.00543,0.03680,-0.80756,0.58856,0.12500,-0.64453,-4.06641,0.04688,-0.85742,-0.26562,-1.88337,0.05212,-0.05315
9,9766,3,0.00214,0.03485,-0.80811,0.58801,0.11719,-0.78906,-4.33594,0.23242,-1.03516,-0.34570,-1.88471,0.04445,-0.05389
10,10742,3,-0.00128,0.03156,-0.80890,0.58710,-0.23828,-1.11328,-4.87109,0.28906,-1.16211,-0.31445,-1.88685,0.03499,-0.05261
11,9766,3,-0.00507,0.02722,-0.80975,0.58612,-0.54688,-1.17578,-5.32422,0.13867,-1.25391,-0.18750,-1.88911,0.02371,-0.05006
12,9765,3,-0.00940,0.02277,-0.81036,0.58539,-0.92969,-0.96875,-5.74219,-0.16602,-1.35156,-0.01367,-1.89069,0.01142,-0.04792
13,9766,3,-0.01477,0.01898,-0.81049,0.58533,-1.05469,-0.53906,-6.08984,-0.57227,-1.45508,0.11914,-1.89062,-0.00172,-0.04808
14,10742,3,-0.02155,0.01636,-0.81012,0.58569,-0.69922,0.37500,-5.65234,-1.00000,-1.50977,0.18945,-1.88923,-0.01575,-0.05177
15,9766,3,-0.02991,0.01520,-0.80933,0.58636,-0.38672,0.64453,-5.02344,-1.34375,-1.49609,0.21094,-1.88670,-0.03059,-0.05974
16,9766,3,-0.03894,0.01556,-0.80841,0.58716,0.04688,0.40625,-4.24219,-1.60742,-1.43945,0.25391,-1.88367,-0.04470,-0.07102
17,9765,3,-0.04950,0.01727,-0.80713,0.58807,0.51172,-0.40234,-2.37891,-1.65625,-1.35742,0.26562,-1.87969,-0.05962,-0.08636
18,10742,3,-0.06006,0.01984,-0.80566,0.58893,0.61719,-0.57422,-1.80469,-1.59570,-1.34766,0.22656,-1.87536,-0.07348,-0.10317
19,9766,3,-0.07031,0.02246,-0.80426,0.58966,0.63672,-0.95312,-1.58203,-1.54883,-1.40234,0.19727,-1.87110,-0.08672,-0.11979
20,10742,3,-0.08044,0.02484,-0.80286,0.59021,0.38672,-1.25781,-1.39062,-1.54297,-1.55078,0.14648,-1.86694,-0.10001,-0.13594
21,8789,3,-0.09137,0.02679,-0.80139,0.59052,0.50781,-1.24609,-0.45312,-1.66992,-1.69922,0.13086,-1.86272,-0.11505,-0.15245
