lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1179687,3,-0.28546,0.13092,-0.01239,0.94934,0.08594,0.78125,-1.62891,-0.67969,-0.25586,-0.26758,-0.10144,0.24391,-0.59663
1,9766,3,-0.28827,0.12970,-0.01288,0.94867,0.09375,0.82812,-2.10547,-1.13672,-0.41992,-0.30664,-0.10234,0.24097,-0.60240
2,10742,3,-0.29272,0.12775,-0.01312,0.94751,0.16797,0.94531,-2.70703,-1.83789,-0.56836,-0.36914,-0.10270,0.23661,-0.61150
3,9766,3,-0.30011,0.12494,-0.01300,0.94562,0.19141,1.14844,-3.09766,-2.71094,-0.67188,-0.43359,-0.10246,0.23051,-0.62650
4,9765,3,-0.31055,0.12170,-0.01251,0.94263,0.19531,1.35547,-3.52344,-3.46289,-0.71680,-0.51758,-0.10189,0.22354,-0.64795
5,10742,3,-0.32611,0.11768,-0.01172,0.93793,0.10938,1.61328,-3.35156,-3.96484,-0.76758,-0.64844,-0.10122,0.21474,-0.68016
6,9766,3,-0.34393,0.11340,-0.01099,0.93207,0.62891,1.93359,-3.13281,-4.29492,-0.79492,-0.78711,-0.10077,0.20528,-0.71739
7,9766,3,-0.36353,0.10864,-0.01056,0.92517,0.79688,2.00781,-3.25781,-4.45117,-0.89648,-0.94727,-0.10059,0.19457,-0.75862
8,12695,3,-0.36353,0.10864,-0.01056,0.92517,1.59766,1.70703,-3.93750,-4.76953,-1.04883,-1.11719,-0.10059,0.19457,-0.75862
9,7813,3,-0.40509,0.09729,-0.01099,0.90906,1.65625,1.17188,-3.78516,-5.30273,-1.15625,-1.37695,-0.10038,0.16877,-0.84690
10,8789,3,-0.42841,0.08997,-0.01190,0.89899,1.69141,0.38672,-3.24219,-5.57227,-1.26758,-1.58398,-0.09981,0.15215,-0.89703
11,10742,3,-0.45367,0.08154,-0.01343,0.88733,2.19531,-1.94141,-2.51953,-5.79688,-1.27930,-1.65039,-0.09885,0.13292,-0.95185
12,9765,3,-0.45367,0.08154,-0.01343,0.88733,1.76172,-2.45703,-1.44531,-5.96484,-1.15820,-1.57422,-0.09885,0.13292,-0.95185
13,10743,3,-0.50659,0.06329,-0.01733,0.85968,1.59766,-2.91016,0.15625,-5.78516,-0.94531,-1.45703,-0.09447,0.09139,-1.06932
14,12695,3,-0.53229,0.05536,-0.01923,0.84454,1.53125,-2.90625,1.42969,-5.06445,-0.71680,-1.34766,-0.09178,0.07310,-1.12811
15,6836,3,-0.55481,0.04877,-0.02124,0.83032,1.94922,-2.23438,2.08203,-4.36133,-0.47461,-1.41797,-0.08965,0.05744,-1.18068
16,10742,3,-0.57446,0.04285,-0.02405,0.81702,1.41797,-2.25391,2.28125,-3.47266,-0.34375,-1.41016,-0.08872,0.04240,-1.22752
17,8789,3,-0.59149,0.03723,-0.02789,0.80493,1.34766,-2.24219,1.77734,-2.74609,-0.31836,-1.44922,-0.08910,0.02695,-1.26865
18,10742,3,-0.60394,0.03217,-0.03192,0.79578,1.01562,-2.42578,0.99219,-2.52734,-0.32031,-1.62891,-0.08978,0.01264,-1.29896
19,9766,3,-0.61487,0.02649,-0.03662,0.78735,0.93359,-2.82422,0.86719,-2.36133,-0.35352,-1.69922,-0.09036,-0.00332,-1.32586
20,10742,3,-0.62476,0.02039,-0.04175,0.77942,0.91016,-3.14453,0.90234,-2.22852,-0.28125,-1.69336,-0.09070,-0.02039,-1.35047
21,9766,3,-0.63391,0.01422,-0.04706,0.77185,0.39844,-3.41016,1.47266,-2.03320,-0.09766,-1.59180,-0.09086,-0.03772,-1.37346
22,12695,3,-0.64227,0.00867,-0.05255,0.76465,0.04297,-4.18359,2.25000,-1.59375,0.07812,-1.36719,-0.09176,-0.05427,-1.39478
23,6836,3,-0.64893,0.00446,-0.05780,0.75867,-0.12891,-4.12891,2.61328,-1.20508,0.28125,-1.08203,-0.09384,-0.06831,-1.41198
24,9766,3,-0.65424,0.00146,-0.06293,0.75366,-0.51172,-4.00000,2.74609,-0.76758,-0.15039,-1.04688,-0.09723,-0.08022,-1.42588
25,10742,3,-0.65802,-0.00171,-0.06720,0.75000,-0.69922,-3.99219,2.57422,-0.80859,-0.84570,-0.06055,-0.09912,-0.09113,-1.43581
26,9765,3,-0.66119,-0.00525,-0.06750,0.74719,-1.10547,-5.25000,3.42578,-0.57031,-0.42969,0.49023,-0.09452,-0.09726,-1.44422
27,10743,3,-0.66400,-0.00677,-0.06451,0.74493,-1.71094,-4.66797,4.10938,0.26172,0.40820,0.25977,-0.08763,-0.09591,-1.45183
28,9765,3,-0.66455,-0.00562,-0.06299,0.74457,-1.48047,-4.58203,4.04688,1.05664,1.16602,0.24023,-0.08681,-0.09221,-1.45334
29,9766,3,-0.66180,-0.00208,-0.06464,0.74689,-1.13281,-4.85156,5.54688,1.76953,1.77734,0.63281,-0.09432,-0.08877,-1.44595
30,9765,3,-0.65613,0.00421,-0.06769,0.75159,-1.12500,-4.86719,5.78125,2.62695,2.21289,0.89844,-0.10785,-0.08259,-1.43092
31,9766,3,-0.64716,0.01331,-0.07129,0.75891,-1.13281,-4.76562,5.16406,3.18945,2.14258,0.96680,-0.12608,-0.07214,-1.40761
32,10742,3,-0.63507,0.02362,-0.07495,0.76843,-0.73047,-4.62109,3.98828,3.67578,1.82617,0.95703,-0.14596,-0.05893,-1.37701
33,9766,3,-0.62097,0.03290,-0.07788,0.77930,-0.71875,-4.56250,3.56641,4.33984,1.61133,0.84961,-0.16312,-0.04546,-1.34190
34,9766,3,-0.60437,0.04077,-0.08032,0.79163,-0.62500,-4.65625,3.05469,5.09961,1.40039,0.81836,-0.17747,-0.03254,-1.30122
35,9765,3,-0.58447,0.04736,-0.08252,0.80585,-0.50000,-4.82812,2.18750,5.81836,1.12109,0.93555,-0.18952,-0.02013,-1.25308
36,10742,3,-0.56244,0.05249,-0.08380,0.82086,-0.89062,-5.21875,1.76953,6.48633,1.20898,1.01172,-0.19793,-0.00809,-1.20062
37,9766,3,-0.53522,0.05756,-0.08472,0.83850,-0.78125,-5.30859,0.57031,6.95312,1.08398,0.99805,-0.20511,0.00584,-1.13682
38,9766,3,-0.50592,0.06219,-0.08545,0.85608,-0.33984,-5.32812,-0.90234,7.22461,0.86914,1.11133,-0.21084,0.02003,-1.06963
39,10742,3,-0.47406,0.06598,-0.08557,0.87384,0.07031,-5.19141,-1.74219,7.37500,0.96094,1.38477,-0.21386,0.03418,-0.99781
40,9765,3,-0.44104,0.06976,-0.08459,0.89075,0.91406,-4.65625,-2.86328,7.30859,1.05664,1.72656,-0.21414,0.04969,-0.92484
41,9766,3,-0.40692,0.07452,-0.08240,0.90668,1.32422,-4.16016,-3.61719,7.29492,1.09961,2.02344,-0.21214,0.06813,-0.85098
42,9766,3,-0.37268,0.08014,-0.07886,0.92114,1.53516,-3.81641,-3.90234,7.32031,1.18555,2.10156,-0.20730,0.08898,-0.77817
43,10742,3,-0.33899,0.08600,-0.07452,0.93390,0.51953,-3.22266,-5.09375,7.10742,1.34961,2.11523,-0.20003,0.11032,-0.70747
44,9765,3,-0.33899,0.08600,-0.07452,0.93390,0.79297,-3.17969,-5.22266,7.16992,2.18750,2.10742,-0.20003,0.11032,-0.70747
45,9766,3,-0.26630,0.10205,-0.06567,0.95624,0.33203,-2.60156,-4.41016,6.66602,1.90234,2.70117,-0.18332,0.16088,-0.55802
46,10742,3,-0.23108,0.11273,-0.06036,0.96448,1.00391,-3.47656,-5.59766,6.33203,1.45703,2.76758,-0.17251,0.19072,-0.48686
47,8789,3,-0.19855,0.12164,-0.05304,0.97107,0.41016,-1.78125,-5.56250,5.96289,0.94141,2.81641,-0.15557,0.21688,-0.42034
48,10743,3,-0.19855,0.12164,-0.05304,0.97107,0.55078,-1.95312,-5.38281,5.71094,0.65234,2.81250,-0.15557,0.21688,-0.42034
49,9765,3,-0.13452,0.13367,-0.03467,0.98126,0.37109,-1.55859,-4.70312,5.23242,0.28125,2.70312,-0.10770,0.25577,-0.28634
50,10742,3,-0.10620,0.13678,-0.02527,0.98456,0.93359,-0.17578,-5.25000,4.73242,-0.11133,2.53906,-0.08180,0.26714,-0.22590
51,9766,3,-0.08063,0.13782,-0.01617,0.98706,1.06250,0.46484,-4.64844,4.38281,-0.27734,2.19141,-0.05626,0.27282,-0.17073
52,9766,3,-0.05585,0.13739,-0.00732,0.98889,0.89453,0.41797,-4.30469,3.94727,-0.27344,1.99023,-0.03100,0.27435,-0.11711
53,9765,3,-0.03314,0.13641,0.00043,0.99011,0.69531,-0.27344,-3.96875,3.67188,-0.16602,1.95508,-0.00851,0.27355,-0.06809
54,9766,3,-0.01282,0.13556,0.00757,0.99066,0.57422,0.50000,-2.72656,3.55664,-0.11914,1.87109,0.01196,0.27212,-0.02424
55,10742,3,0.00635,0.13513,0.01459,0.99072,0.75000,0.78906,-2.57422,3.57812,-0.09766,1.67578,0.03178,0.27086,0.01715
56,9766,3,0.02527,0.13470,0.02087,0.99036,1.03906,0.98828,-2.52734,3.46484,-0.15430,1.48242,0.04997,0.26898,0.05778
57,9765,3,0.04376,0.13422,0.02625,0.98962,1.09375,1.52734,-2.88672,3.26172,-0.25391,1.33594,0.06607,0.26650,0.09724
58,10742,3,0.06146,0.13330,0.03088,0.98871,0.98438,1.55078,-2.93359,3.02148,-0.27930,1.15039,0.08029,0.26280,0.13479
59,9766,3,0.07709,0.13214,0.03461,0.98761,0.90625,1.78125,-3.16797,2.76172,-0.32617,0.99023,0.09191,0.25855,0.16775
60,9766,3,0.09241,0.13068,0.03790,0.98639,0.89844,1.92969,-3.32031,2.76758,-0.42383,0.81055,0.10237,0.25349,0.19988
61,9765,3,0.10760,0.12878,0.04047,0.98499,1.14453,1.86328,-2.30859,2.76172,-0.40234,0.59180,0.11104,0.24751,0.23145
62,10743,3,0.12134,0.12695,0.04181,0.98358,0.94531,1.71094,-2.56250,2.37500,-0.37891,0.45898,0.11671,0.24194,0.25969
63,9765,3,0.13440,0.12524,0.04248,0.98206,0.89844,1.50000,-3.03516,1.93359,-0.40820,0.40625,0.12076,0.23678,0.28640
64,9766,3,0.14526,0.12347,0.04291,0.98071,1.00391,1.63281,-2.78906,1.58594,-0.36133,0.28711,0.12365,0.23179,0.30852
65,9765,3,0.15417,0.12170,0.04315,0.97955,0.68750,1.27734,-2.78906,1.37695,-0.36133,0.05469,0.12562,0.22708,0.32657
66,10743,3,0.16168,0.12012,0.04272,0.97858,1.03125,1.36719,-2.71094,0.89648,-0.34570,0.28125,0.12590,0.22312,0.34161
67,9765,3,0.16736,0.11847,0.04248,0.97784,1.03125,0.94922,-2.25781,0.50391,-0.39844,0.38086,0.12607,0.21922,0.35291
68,9766,3,0.17096,0.11658,0.04327,0.97742,0.75391,1.19531,-1.97656,0.51172,-0.48242,0.22070,0.12772,0.21473,0.36010
69,9765,3,0.17371,0.11426,0.04401,0.97717,1.05078,1.29297,-1.50000,0.61328,-0.49805,0.03125,0.12886,0.20953,0.36542
70,10743,3,0.17670,0.11176,0.04376,0.97693,1.04297,1.23828,-1.45312,0.61328,-0.49609,-0.11523,0.12800,0.20430,0.37101
71,9765,3,0.17987,0.10944,0.04266,0.97662,1.03516,1.26172,-1.58984,0.41602,-0.54492,-0.10547,0.12553,0.19974,0.37686
72,9766,3,0.18243,0.10712,0.04126,0.97650,0.94922,1.25391,-1.73438,0.17773,-0.58398,-0.14258,0.12229,0.19538,0.38139
73,10742,3,0.18396,0.10449,0.03986,0.97656,0.90234,1.00000,-1.61328,-0.18555,-0.55664,-0.16406,0.11871,0.19057,0.38374
74,8789,3,0.18396,0.10181,0.03845,0.97687,0.93359,0.73047,-1.58203,-0.57812,-0.45508,-0.11133,0.11481,0.18583,0.38298
75,10742,3,0.18219,0.09943,0.03735,0.97754,0.85547,0.76953,-1.26172,-0.79688,-0.35547,-0.07031,0.11131,0.18176,0.37868
76,9766,3,0.17877,0.09729,0.03674,0.97839,0.78516,0.87109,-1.06250,-0.95117,-0.26758,-0.09766,0.10861,0.17817,0.37116
77,10742,3,0.17450,0.09570,0.03632,0.97931,0.76172,0.98828,-1.13281,-1.02930,-0.10352,-0.16797,0.10637,0.17568,0.36205
78,9766,3,0.16962,0.09467,0.03583,0.98029,0.96875,1.15625,-1.01172,-1.03711,-0.00391,-0.27148,0.10412,0.17433,0.35177
79,9765,3,0.16443,0.09436,0.03510,0.98120,0.86328,1.25781,-1.69141,-1.10156,0.06055,-0.41016,0.10163,0.17453,0.34097
80,10743,3,0.15900,0.09460,0.03375,0.98218,0.75391,1.32422,-2.30078,-1.25977,-0.01367,-0.58398,0.09805,0.17600,0.32964
81,9765,3,0.15302,0.09491,0.03174,0.98315,0.62500,1.63281,-3.17188,-1.53320,-0.14648,-0.69922,0.09305,0.17784,0.31710
82,9766,3,0.14581,0.09473,0.02899,0.98431,0.91016,2.23047,-5.05859,-2.25391,-0.32617,-0.73047,0.08618,0.17899,0.30187
83,9765,3,0.13611,0.09375,0.02594,0.98590,0.81641,2.91797,-6.21484,-3.27344,-0.52148,-0.90820,0.07799,0.17875,0.28137
84,9766,3,0.12219,0.09186,0.02264,0.98798,1.10547,3.68750,-7.48047,-4.63281,-0.79492,-1.16016,0.06831,0.17690,0.25217
85,10742,3,0.10236,0.08875,0.01874,0.99060,1.67969,4.33984,-8.53516,-6.23828,-0.96875,-1.40820,0.05616,0.17285,0.21079
86,9766,3,0.07440,0.08441,0.01398,0.99353,3.37109,4.46484,-8.25391,-7.68750,-0.99609,-1.77734,0.04091,0.16643,0.15291
87,9766,3,0.03973,0.07959,0.00836,0.99597,4.37500,4.23438,-6.96484,-8.57422,-0.82617,-2.27148,0.02328,0.15855,0.08160
88,10742,3,-0.00189,0.07501,0.00098,0.99719,4.98047,3.83594,-6.20312,-9.19141,-0.58203,-2.67773,0.00168,0.15017,-0.00367
89,9765,3,-0.04486,0.07153,-0.00800,0.99640,5.28516,2.96484,-5.71094,-9.42773,-0.36914,-3.13672,-0.02258,0.14231,-0.09159
90,9766,3,-0.09412,0.06873,-0.01984,0.99298,5.42578,-2.12891,-4.23047,-8.91797,-0.07617,-2.95898,-0.05282,0.13315,-0.19252
91,10742,3,-0.14124,0.06708,-0.03229,0.98718,4.40625,-6.50000,-1.63672,-7.32422,0.32031,-1.92188,-0.08343,0.12363,-0.28938
92,10742,3,-0.18158,0.06726,-0.04199,0.98016,1.88672,-14.12500,2.98828,-4.23828,1.61719,-0.42578,-0.10769,0.11687,-0.37266
93,8789,3,-0.20911,0.07208,-0.04700,0.97412,-5.20312,-25.40625,18.07031,0.06445,4.42773,2.20703,-0.12291,0.12107,-0.43036
94,9766,3,-0.21838,0.08868,-0.04547,0.97076,-7.65625,-22.20312,19.39062,1.33008,5.96875,2.69141,-0.12887,0.15292,-0.45244
95,10742,3,-0.21240,0.11713,-0.03986,0.96930,-9.07812,-13.61719,16.69531,2.89258,5.98633,2.61914,-0.13029,0.21172,-0.44530
96,9766,3,-0.19922,0.14850,-0.03497,0.96802,-4.69922,-11.28906,8.93750,3.42383,4.85938,2.00195,-0.13229,0.27709,-0.42441
97,9765,3,-0.18195,0.17511,-0.03217,0.96704,-2.91016,-4.01953,1.31250,2.80859,3.86328,1.27734,-0.13366,0.33311,-0.39445
98,9766,3,-0.16394,0.19794,-0.03131,0.96588,-3.61328,-2.32422,1.20703,3.02344,2.70312,0.95703,-0.13551,0.38129,-0.36245
99,9766,3,-0.14777,0.21466,-0.03192,0.96490,-4.51953,-2.08594,-0.10156,3.31055,0.98828,0.77148,-0.13718,0.41679,-0.33297
100,10742,3,-0.13177,0.22333,-0.03290,0.96521,-6.59766,-2.44922,-1.45703,2.49609,-0.13477,1.01367,-0.13542,0.43616,-0.30143
101,9766,3,-0.11591,0.22559,-0.03247,0.96674,-5.39453,-3.28516,0.12500,1.82422,-0.64258,1.65820,-0.12772,0.44300,-0.26745
102,9765,3,-0.10388,0.22418,-0.02856,0.96857,-3.43359,-3.36328,1.21484,1.97461,-1.12500,2.25000,-0.11302,0.44266,-0.23915
