lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,972656,3,0.08948,-0.13080,-0.48688,0.85901,-0.34375,0.79297,-1.23828,-0.08203,-0.16406,-0.20508,-1.05131,-0.13801,0.28772
1,8789,3,0.08923,-0.13116,-0.48785,0.85840,-0.31641,0.98438,-1.57422,-0.22461,-0.30859,-0.25195,-1.05373,-0.13856,0.28785
2,9766,3,0.08807,-0.13171,-0.48920,0.85767,-0.35938,1.26953,-2.34766,-0.39062,-0.55469,-0.30469,-1.05698,-0.14022,0.28662
3,10742,3,0.08582,-0.13269,-0.49097,0.85675,-0.35547,1.36719,-2.88281,-0.62695,-0.82617,-0.34570,-1.06131,-0.14359,0.28401
4,9766,3,0.08221,-0.13422,-0.49310,0.85559,-0.30078,1.49219,-3.08203,-0.86523,-1.13477,-0.41016,-1.06671,-0.14915,0.27976
5,9765,3,0.07660,-0.13654,-0.49585,0.85419,0.53125,1.67578,-4.33984,-1.49805,-1.39258,-0.57617,-1.07364,-0.15794,0.27299
6,10743,3,0.06897,-0.13873,-0.49927,0.85248,0.36328,1.72656,-4.88281,-2.66016,-1.57227,-0.82031,-1.08194,-0.16846,0.26282
7,9765,3,0.05695,-0.13959,-0.50421,0.85028,0.54297,1.64453,-5.91016,-4.15039,-1.69531,-1.12891,-1.09275,-0.18095,0.24398
8,9766,3,0.03900,-0.13763,-0.51123,0.84747,1.33594,0.87500,-7.26172,-5.58984,-1.83203,-1.42969,-1.10641,-0.19463,0.21240
9,9765,3,0.01459,-0.13232,-0.52026,0.84357,1.68750,0.54688,-8.14844,-7.01172,-1.87695,-1.69531,-1.12285,-0.20960,0.16670
10,10743,3,-0.01581,-0.12354,-0.53101,0.83820,1.26172,0.23047,-8.03516,-8.01367,-1.83789,-1.84570,-1.14161,-0.22578,0.10762
11,8789,3,-0.05151,-0.11121,-0.54272,0.83087,0.75391,0.29688,-7.31641,-8.34570,-1.75195,-1.95117,-1.16166,-0.24312,0.03618
12,13672,3,-0.08777,-0.09741,-0.55396,0.82214,0.62891,-1.14453,-6.14844,-8.25781,-1.83984,-2.07422,-1.18091,-0.26035,-0.03767
13,6835,3,-0.12537,-0.08270,-0.56500,0.81134,0.33203,-1.46094,-5.69531,-7.85938,-2.44141,-1.92969,-1.20044,-0.27947,-0.11466
14,10743,3,-0.16351,-0.06964,-0.57483,0.79877,0.26172,-1.68359,-5.41016,-7.50391,-3.92773,-1.97656,-1.21825,-0.30388,-0.19100
15,9765,3,-0.20441,-0.06134,-0.58270,0.78418,0.22266,-2.32422,-5.58594,-6.67578,-4.75586,-2.16992,-1.23179,-0.34098,-0.26749
