lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,3719727,3,0.16565,0.01691,-0.39478,0.90356,-0.35156,0.94531,-1.00000,0.05078,0.59375,-0.26172,-0.79978,0.16205,0.29402
1,9766,3,0.16711,0.01959,-0.39496,0.90320,-0.55469,0.89844,-1.28906,-0.03906,0.63477,-0.25586,-0.79944,0.16818,0.29472
2,9765,3,0.16833,0.02271,-0.39502,0.90283,-0.83594,0.89844,-1.73438,-0.21484,0.62891,-0.24414,-0.79886,0.17488,0.29470
3,9766,3,0.16895,0.02600,-0.39502,0.90265,-1.57812,1.10547,-2.92188,-0.41406,0.56250,-0.22461,-0.79815,0.18140,0.29338
4,10742,3,0.16870,0.02972,-0.39502,0.90259,-1.97656,1.44531,-3.51953,-0.61914,0.44727,-0.21875,-0.79753,0.18803,0.29013
5,9766,3,0.16730,0.03345,-0.39496,0.90271,-2.26562,1.68359,-4.17578,-0.86719,0.24609,-0.24609,-0.79701,0.19375,0.28471
6,9765,3,0.16455,0.03680,-0.39502,0.90308,-2.49609,1.87500,-4.79688,-1.21680,-0.12109,-0.32227,-0.79703,0.19776,0.27698
7,9766,3,0.15997,0.03949,-0.39551,0.90356,-2.77734,2.24609,-6.42969,-1.67773,-0.61719,-0.43164,-0.79843,0.19922,0.26619
8,10742,3,0.15259,0.04108,-0.39667,0.90424,-2.77344,2.64453,-7.23438,-2.11133,-1.26758,-0.56250,-0.80193,0.19661,0.25077
9,9766,3,0.14203,0.04108,-0.39868,0.90509,-2.54297,2.71875,-8.25391,-2.94336,-1.89844,-0.75977,-0.80793,0.18872,0.23044
10,12695,3,0.12781,0.03955,-0.40155,0.90601,-2.67578,1.46094,-9.58984,-4.33008,-2.52734,-1.02930,-0.81637,0.17521,0.20435
11,6836,3,0.10651,0.03748,-0.40564,0.90704,-2.78125,0.60156,-10.03516,-5.76562,-2.99219,-1.22266,-0.82818,0.15501,0.16554
12,10742,3,0.07770,0.03583,-0.41052,0.90784,-2.83984,-0.55469,-9.75391,-6.77148,-3.21289,-1.20898,-0.84205,0.12920,0.11283
13,9766,3,0.04144,0.03510,-0.41547,0.90802,-2.86719,-1.28516,-9.41797,-7.25781,-3.30273,-1.04102,-0.85595,0.09832,0.04634
14,9765,3,0.00256,0.03516,-0.41901,0.90729,-1.72266,-3.24219,-9.22656,-7.53906,-3.34570,-0.87305,-0.86611,0.06599,-0.02487
15,10743,3,-0.03864,0.03552,-0.42108,0.90552,-1.44531,-3.61719,-9.38672,-7.66797,-3.49805,-0.65234,-0.87214,0.03180,-0.10010
16,13672,3,-0.03864,0.03552,-0.42108,0.90552,-1.01562,-4.25391,-9.74609,-7.71680,-3.74219,-0.40234,-0.87214,0.03180,-0.10010
17,5859,3,-0.12061,0.03540,-0.41980,0.89886,-0.85547,-5.93359,-10.34766,-7.75195,-3.98438,-0.12891,-0.86914,-0.03763,-0.24929
18,9766,3,-0.16376,0.03400,-0.41602,0.89386,-1.15234,-6.39453,-10.33594,-7.85938,-4.22070,0.21094,-0.85870,-0.07554,-0.32779
19,10742,3,-0.20898,0.03168,-0.41003,0.88727,-1.22266,-6.64844,-9.93359,-7.94531,-4.37500,0.60156,-0.84171,-0.11542,-0.41093
20,9765,3,-0.25220,0.02917,-0.40167,0.87988,-1.23438,-6.92578,-9.13672,-7.89453,-4.48633,1.06445,-0.81828,-0.15185,-0.49234
21,9766,3,-0.29559,0.02631,-0.38989,0.87170,-0.58984,-7.94141,-7.74609,-7.88477,-4.61719,1.54297,-0.78594,-0.18571,-0.57669
22,10742,3,-0.33875,0.02344,-0.37494,0.86261,0.15625,-8.14062,-6.82422,-8.01953,-4.73828,1.93164,-0.74559,-0.21525,-0.66394
23,9766,3,-0.37915,0.02087,-0.35809,0.85297,0.94922,-8.48438,-5.45703,-8.12500,-4.72070,2.18359,-0.70094,-0.23818,-0.74913
24,9765,3,-0.42224,0.01862,-0.33783,0.84100,1.95703,-9.64453,-2.09766,-8.23242,-4.76367,2.47656,-0.64816,-0.25678,-0.84392
25,9766,3,-0.46509,0.01691,-0.31531,0.82703,1.92188,-9.70312,-0.09766,-7.80469,-4.45117,2.59961,-0.59106,-0.26855,-0.94236
26,10742,3,-0.50452,0.01599,-0.29236,0.81226,2.42578,-9.68750,2.14453,-6.94141,-4.15820,2.62891,-0.53502,-0.27237,-1.03654
27,9766,3,-0.54028,0.01544,-0.26904,0.79712,3.26172,-9.60156,3.66797,-6.65430,-5.09570,2.67383,-0.48060,-0.26937,-1.12495
28,13672,3,-0.57355,0.01282,-0.24396,0.78186,5.11719,-9.96484,3.66016,-5.39844,-6.27539,0.98047,-0.42278,-0.26283,-1.20909
29,6836,3,-0.60144,0.00336,-0.22089,0.76776,7.10156,-8.45703,4.98047,-2.84961,-5.09180,0.50586,-0.36344,-0.26359,-1.28033
30,9765,3,-0.62311,-0.01196,-0.20026,0.75598,8.03516,-9.55859,8.37109,-2.37305,-4.41211,1.83203,-0.30340,-0.27095,-1.33702
31,9766,3,-0.63812,-0.02441,-0.17993,0.74823,7.97656,-10.19922,6.97656,-1.68750,-3.35938,2.38086,-0.24959,-0.26941,-1.37828
32,9766,3,-0.64941,-0.03070,-0.15924,0.74298,7.91797,-10.06641,6.72656,-0.59180,-1.97070,2.16992,-0.20475,-0.25519,-1.41024
33,10742,3,-0.65594,-0.03247,-0.14197,0.74060,8.85547,-10.00391,5.90625,0.41602,-1.20703,1.58789,-0.17336,-0.23655,-1.42906
34,8789,3,-0.65759,-0.03241,-0.12939,0.74146,9.92188,-9.65234,4.71875,1.59180,-0.94141,0.79297,-0.15355,-0.22001,-1.43406
35,10742,3,-0.65479,-0.03339,-0.12109,0.74530,10.51562,-9.17578,4.60938,2.66406,-0.75000,0.31055,-0.14031,-0.20989,-1.42687
36,9766,3,-0.64722,-0.03632,-0.11542,0.75262,10.28516,-9.46094,4.38281,3.33203,-0.37891,0.28711,-0.12982,-0.20551,-1.40708
37,10742,3,-0.63586,-0.03955,-0.11139,0.76270,9.76562,-9.58594,4.33203,3.86914,0.11133,0.36914,-0.12244,-0.20339,-1.37741
38,12695,3,-0.62219,-0.04126,-0.10852,0.77417,9.21875,-9.22656,4.23438,4.42969,0.50977,0.44727,-0.11935,-0.20027,-1.34197
39,6836,3,-0.60638,-0.04120,-0.10681,0.78693,8.49219,-8.03906,4.77734,5.02539,0.81250,0.47070,-0.12072,-0.19561,-1.30122
40,9766,3,-0.58734,-0.03986,-0.10571,0.80139,8.05078,-7.31250,4.74609,5.73633,1.24609,0.38867,-0.12518,-0.18919,-1.25304
41,9765,3,-0.56403,-0.03748,-0.10541,0.81818,7.66797,-6.79688,4.64453,6.33594,1.50586,0.31445,-0.13276,-0.18121,-1.19503
42,10742,3,-0.53931,-0.03436,-0.10614,0.83466,6.78125,-5.39844,3.80469,6.96094,1.68750,0.20508,-0.14272,-0.17271,-1.13494
43,9766,3,-0.50940,-0.03064,-0.10760,0.85321,6.48438,-4.85156,3.14453,7.62109,1.84180,0.02148,-0.15507,-0.16263,-1.06382
44,9766,3,-0.47687,-0.02704,-0.10986,0.87170,6.16406,-4.51562,2.35547,8.09375,1.92773,-0.23242,-0.16848,-0.15250,-0.98825
45,9765,3,-0.44220,-0.02374,-0.11285,0.88947,5.98047,-4.33203,1.19531,8.45898,1.88672,-0.57617,-0.18262,-0.14253,-0.90966
46,10743,3,-0.40332,-0.02100,-0.11713,0.90729,5.41797,-3.47656,-0.71875,8.68945,1.67969,-0.98438,-0.19864,-0.13297,-0.82333
47,10742,3,-0.36200,-0.01971,-0.12256,0.92389,5.17188,-3.47266,-1.72656,8.77734,1.59375,-1.41602,-0.21553,-0.12549,-0.73328
48,11718,3,-0.31958,-0.01984,-0.12952,0.93848,4.90625,-3.37891,-2.51562,8.62695,1.53320,-1.85352,-0.23422,-0.12030,-0.64226
49,7813,3,-0.27924,-0.02094,-0.13733,0.95013,4.50781,-2.71484,-3.96094,8.40039,1.34180,-2.36914,-0.25368,-0.11674,-0.55678
50,9766,3,-0.23700,-0.02307,-0.14734,0.96002,4.17969,-2.38672,-5.04688,8.12891,1.08398,-3.03516,-0.27728,-0.11438,-0.46808
51,9765,3,-0.19397,-0.02679,-0.16064,0.96741,3.71094,-2.30859,-5.78906,7.69727,0.87305,-3.69531,-0.30720,-0.11441,-0.37803
52,9766,3,-0.15424,-0.03174,-0.17603,0.97168,3.37500,-2.23438,-6.28516,7.13281,0.72266,-4.30078,-0.34115,-0.11625,-0.29479
53,10742,3,-0.11676,-0.03760,-0.19342,0.97339,2.58203,-1.17578,-7.09375,6.57812,0.58203,-4.82812,-0.37943,-0.11865,-0.21596
54,12695,3,-0.08148,-0.04382,-0.21344,0.97253,2.06250,-1.19531,-7.41797,5.87109,0.43945,-5.23242,-0.42356,-0.12032,-0.14128
55,6836,3,-0.05090,-0.04974,-0.23419,0.96960,1.39453,-1.03125,-7.49609,4.96875,0.37305,-5.48047,-0.46940,-0.12059,-0.07603
56,9766,3,-0.02277,-0.05548,-0.25732,0.96448,1.02734,-1.04297,-7.37500,4.04883,0.29883,-5.62891,-0.52054,-0.11901,-0.01547
57,10742,3,0.00244,-0.06055,-0.28284,0.95728,0.33203,-0.92969,-7.25391,3.14258,0.18750,-5.70117,-0.57683,-0.11479,0.03919
58,9766,3,0.02185,-0.06439,-0.30737,0.94916,-0.30469,-1.19141,-6.74609,2.24805,0.23047,-5.60547,-0.63082,-0.10902,0.08164
59,10742,3,0.03687,-0.06683,-0.33167,0.94031,-0.89062,-1.39844,-6.06250,1.49414,0.35352,-5.39453,-0.68401,-0.10141,0.11450
60,12695,3,0.04852,-0.06750,-0.35638,0.93066,-1.44141,-0.83594,-5.78125,0.91602,0.37109,-5.23047,-0.73779,-0.09118,0.13945
61,6836,3,0.05615,-0.06665,-0.37750,0.92188,-1.88281,-0.88281,-6.50000,0.21484,0.17578,-5.03711,-0.78359,-0.08058,0.15498
62,9766,3,0.06104,-0.06500,-0.39917,0.91254,-2.85547,-0.67188,-7.14453,-0.69727,-0.02539,-4.69531,-0.83047,-0.06996,0.16443
63,9765,3,0.06177,-0.06250,-0.42120,0.90271,-4.64844,-0.83984,-7.94922,-1.66016,-0.19531,-4.31641,-0.87818,-0.06084,0.16522
64,9766,3,0.05774,-0.05908,-0.44055,0.89392,-4.97656,-0.83203,-8.39453,-2.63672,-0.41211,-3.93555,-0.92008,-0.05478,0.15615
65,10742,3,0.04871,-0.05444,-0.45837,0.88574,-5.21094,-1.10156,-8.57031,-3.54688,-0.58203,-3.54688,-0.95865,-0.05182,0.13680
66,12696,3,0.03497,-0.04865,-0.47449,0.87817,-5.37109,-1.39844,-8.56250,-4.25000,-0.74414,-3.17188,-0.99357,-0.05228,0.10795
67,6835,3,0.01807,-0.04211,-0.48822,0.87152,-5.55859,-2.50781,-8.44141,-4.78125,-1.00195,-2.83008,-1.02330,-0.05579,0.07279
68,10743,3,-0.00323,-0.03461,-0.50110,0.86469,-5.70312,-3.04297,-8.95312,-5.22461,-1.52539,-2.50586,-1.05136,-0.06313,0.02915
