lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1292969,3,-0.02356,0.01721,-0.84833,0.52863,-0.50000,0.05078,-1.49219,-0.25781,-0.13477,-0.00977,-2.02648,-0.02178,-0.05415
1,9765,3,-0.02478,0.01801,-0.84833,0.52856,-0.55469,0.00000,-1.49219,-0.26367,-0.12891,0.01562,-2.02652,-0.02301,-0.05679
2,10743,3,-0.02606,0.01874,-0.84827,0.52856,-0.56250,0.00000,-1.56250,-0.27734,-0.14258,0.02734,-2.02639,-0.02441,-0.05939
3,9765,3,-0.02734,0.01953,-0.84814,0.52869,-0.57812,0.06250,-1.71484,-0.29688,-0.17188,0.03320,-2.02598,-0.02573,-0.06210
4,9766,3,-0.02875,0.02032,-0.84802,0.52881,-0.51562,0.13281,-1.75391,-0.33594,-0.19531,0.02539,-2.02555,-0.02726,-0.06494
5,10742,3,-0.03033,0.02118,-0.84784,0.52893,-0.45703,0.15625,-1.78516,-0.40625,-0.22266,0.02539,-2.02505,-0.02904,-0.06809
6,8789,3,-0.03223,0.02222,-0.84766,0.52905,-0.36328,0.10938,-1.73828,-0.45508,-0.22656,0.03125,-2.02452,-0.03113,-0.07186
7,10742,3,-0.03430,0.02344,-0.84747,0.52917,-0.08203,0.11719,-1.50781,-0.48242,-0.23828,0.03711,-2.02397,-0.03334,-0.07615
8,9766,3,-0.03656,0.02484,-0.84723,0.52936,-0.01953,0.16406,-1.37500,-0.49609,-0.21875,0.05078,-2.02322,-0.03566,-0.08094
9,10742,3,-0.03882,0.02631,-0.84698,0.52954,0.10938,0.21094,-1.25391,-0.51172,-0.21484,0.05469,-2.02247,-0.03791,-0.08584
10,9766,3,-0.04102,0.02789,-0.84674,0.52972,0.16406,0.19141,-1.33203,-0.52539,-0.21484,0.05078,-2.02171,-0.03992,-0.09088
11,9765,3,-0.04333,0.02954,-0.84644,0.52991,0.30078,0.19922,-1.28516,-0.55469,-0.20312,0.04883,-2.02087,-0.04206,-0.09617
12,9766,3,-0.04565,0.03131,-0.84619,0.53003,0.42969,0.21484,-1.15234,-0.61719,-0.17969,0.05078,-2.02018,-0.04409,-0.10166
13,10742,3,-0.04803,0.03326,-0.84589,0.53015,0.53125,0.19922,-1.03125,-0.71680,-0.11523,0.06250,-2.01942,-0.04601,-0.10753
14,9766,3,-0.05042,0.03577,-0.84552,0.53033,0.85938,0.14844,-0.41016,-0.75000,-0.02344,0.08398,-2.01848,-0.04734,-0.11434
15,9765,3,-0.05261,0.03864,-0.84515,0.53052,0.89062,0.14062,-0.24219,-0.75391,0.06836,0.10352,-2.01757,-0.04796,-0.12157
