lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1222656,3,-0.13837,0.02417,-0.25433,0.95685,-0.42578,0.67578,-1.37109,-0.46680,-0.09375,-0.23633,-0.51618,-0.02413,-0.28085
1,10742,3,-0.14020,0.02448,-0.25549,0.95630,-0.20312,1.28906,-2.01172,-0.64062,-0.36133,-0.25000,-0.51859,-0.02483,-0.28455
2,9766,3,-0.14319,0.02393,-0.25653,0.95557,-0.03516,1.49219,-2.48828,-0.97070,-0.74609,-0.26172,-0.52050,-0.02774,-0.29009
3,9765,3,-0.14777,0.02216,-0.25726,0.95471,0.05469,1.49219,-3.30469,-1.68750,-1.32031,-0.21094,-0.52136,-0.03373,-0.29812
4,9766,3,-0.15540,0.01880,-0.25751,0.95349,-0.54297,0.69922,-5.09766,-2.96875,-1.70117,-0.02734,-0.52061,-0.04420,-0.31134
5,10742,3,-0.16870,0.01447,-0.25671,0.95154,-1.11328,0.45703,-5.55469,-4.31836,-1.94336,0.26758,-0.51702,-0.05912,-0.33530
6,9766,3,-0.18842,0.01056,-0.25433,0.94855,-1.31641,0.41016,-6.29688,-5.69922,-2.10156,0.67383,-0.50963,-0.07588,-0.37239
7,9766,3,-0.21466,0.00781,-0.24994,0.94415,-1.67188,0.48047,-6.58594,-6.69531,-1.89844,0.99414,-0.49763,-0.09268,-0.42355
8,9765,3,-0.24670,0.00702,-0.24341,0.93799,-2.31641,1.53906,-4.67969,-6.92578,-1.58008,1.18750,-0.48110,-0.10714,-0.48807
9,12695,3,-0.24670,0.00702,-0.24341,0.93799,-2.09766,1.58203,-4.63281,-6.84961,-1.48633,1.35547,-0.48110,-0.10714,-0.48807
10,7813,3,-0.31219,0.01111,-0.22791,0.92224,-1.80859,1.46875,-5.02344,-6.84180,-1.49609,1.55273,-0.44503,-0.12211,-0.62516
11,9766,3,-0.34558,0.01440,-0.21832,0.91254,-1.83203,0.94531,-5.27734,-7.04883,-1.47461,1.77148,-0.42422,-0.12493,-0.69709
12,10742,3,-0.37964,0.01825,-0.20721,0.90143,-2.05859,-0.62500,-5.48047,-7.41211,-1.35352,2.01758,-0.40115,-0.12476,-0.77182
13,9765,3,-0.41321,0.02301,-0.19525,0.88916,-1.79297,-1.11328,-4.52734,-7.45312,-1.10742,2.33789,-0.37785,-0.12073,-0.84694
14,9766,3,-0.44696,0.02930,-0.18207,0.87531,-1.39062,-1.81641,-3.48438,-7.30664,-0.83594,2.67969,-0.35448,-0.11171,-0.92421
15,9766,3,-0.47845,0.03717,-0.16821,0.86102,-0.94531,-3.73047,-1.87109,-7.24805,-0.53320,2.68945,-0.33291,-0.09711,-0.99806
16,10742,3,-0.51074,0.04724,-0.15308,0.84467,-0.01172,-4.83203,-0.11328,-6.98242,-0.33789,2.48242,-0.31284,-0.07664,-1.07560
17,11719,3,-0.53998,0.05743,-0.13947,0.82806,0.88672,-6.00781,2.09375,-6.40234,-0.12500,2.25391,-0.29783,-0.05553,-1.14736
18,7812,3,-0.56598,0.06732,-0.12756,0.81171,1.27344,-7.01953,4.51562,-5.36523,0.15625,2.12695,-0.28741,-0.03511,-1.21270
19,9766,3,-0.58868,0.07739,-0.11682,0.79608,2.08984,-9.46875,8.92578,-3.44922,0.30273,1.93750,-0.28084,-0.01432,-1.27144
20,10742,3,-0.60577,0.08734,-0.10742,0.78351,2.83594,-8.85156,10.12109,-1.02734,-0.12305,1.31055,-0.27771,0.00672,-1.31725
21,8789,3,-0.61383,0.09399,-0.10040,0.77740,3.53125,-8.37891,10.26172,1.23242,-0.78516,0.48438,-0.27501,0.02288,-1.33989
22,10742,3,-0.61322,0.09503,-0.09589,0.77826,3.75391,-8.80469,10.13281,2.84961,-0.83594,-0.21680,-0.26917,0.03033,-1.33879
23,9766,3,-0.60529,0.09125,-0.09387,0.78516,3.47656,-9.04297,9.40234,3.98047,-0.61914,-0.62500,-0.26094,0.02965,-1.31739
24,10742,3,-0.59204,0.08545,-0.09497,0.79572,3.26172,-8.67188,7.14844,4.81250,-0.49219,-0.93945,-0.25515,0.02354,-1.28237
25,11719,3,-0.57495,0.07886,-0.09839,0.80841,2.83203,-7.65625,5.84766,5.53125,-0.28906,-1.20312,-0.25246,0.01436,-1.23824
26,7812,3,-0.55542,0.07196,-0.10333,0.82196,2.61328,-6.08594,4.85547,5.91016,-0.02734,-1.09375,-0.25249,0.00351,-1.18894
27,10742,3,-0.53192,0.06512,-0.10974,0.83710,2.23047,-6.04688,4.25781,6.46680,0.48242,-1.10938,-0.25581,-0.00772,-1.13114
28,9766,3,-0.50507,0.05957,-0.11713,0.85303,2.09766,-5.82812,3.46484,7.17383,1.17969,-1.19531,-0.26305,-0.01668,-1.06695
29,9766,3,-0.47620,0.05621,-0.12585,0.86847,1.66016,-4.51562,1.55469,7.63281,1.59766,-1.22461,-0.27568,-0.02223,-1.00002
30,9765,3,-0.44202,0.05457,-0.13666,0.88483,1.44531,-3.94922,-0.25000,7.79492,1.68555,-1.31836,-0.29441,-0.02425,-0.92298
31,12696,3,-0.40662,0.05365,-0.14783,0.89996,1.26172,-3.60156,-1.96484,7.75586,1.69141,-1.44531,-0.31498,-0.02365,-0.84497
32,7812,3,-0.37219,0.05261,-0.15869,0.91296,1.31641,-3.25781,-2.99219,7.53906,1.67578,-1.57617,-0.33525,-0.02206,-0.77048
33,9766,3,-0.33582,0.05133,-0.17041,0.92493,1.26172,-1.78125,-4.42969,7.04297,1.59570,-1.70703,-0.35736,-0.01950,-0.69302
34,10742,3,-0.29926,0.04974,-0.18292,0.93518,1.10156,-1.49609,-5.04297,6.27930,1.57227,-1.78906,-0.38109,-0.01644,-0.61623
35,9766,3,-0.26709,0.04840,-0.19470,0.94257,0.82812,-1.05469,-5.64844,5.36719,1.44336,-1.80273,-0.40380,-0.01276,-0.54964
36,9765,3,-0.23846,0.04730,-0.20618,0.94781,0.32812,0.55469,-5.77344,4.65039,1.25391,-1.79688,-0.42621,-0.00866,-0.49108
37,12695,3,-0.21356,0.04626,-0.21704,0.95135,0.28516,1.14844,-5.04297,4.28516,1.21680,-1.82031,-0.44755,-0.00468,-0.44058
38,6836,3,-0.19202,0.04529,-0.22723,0.95367,0.13281,1.29688,-4.48828,3.90625,1.27930,-1.81445,-0.46764,-0.00089,-0.39716
39,10743,3,-0.17157,0.04480,-0.23743,0.95508,-0.05078,1.31250,-4.45312,3.23438,1.26953,-1.75977,-0.48805,0.00410,-0.35651
40,9765,3,-0.15192,0.04504,-0.24829,0.95563,-0.36328,1.52734,-5.03906,2.51172,1.17773,-1.69336,-0.51011,0.01065,-0.31808
41,9766,3,-0.13745,0.04596,-0.25745,0.95538,-0.45703,1.83594,-4.96094,1.87891,1.06836,-1.64258,-0.52893,0.01705,-0.29040
42,10742,3,-0.12598,0.04724,-0.26617,0.95447,-0.74609,1.90234,-5.05469,1.29102,0.90039,-1.52539,-0.54705,0.02312,-0.26894
43,9766,3,-0.11737,0.04883,-0.27435,0.95319,-1.49609,2.17188,-5.32422,0.74805,0.63281,-1.33789,-0.56416,0.02869,-0.25335
44,9765,3,-0.11182,0.05017,-0.28143,0.95172,-1.49609,2.19531,-5.61719,0.14844,0.35352,-1.15430,-0.57902,0.03257,-0.24361
