lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1083008,3,0.01263,0.00220,-0.82489,0.56512,-0.23828,-0.11328,-1.73047,-0.18164,-0.14062,0.00391,-1.94017,0.02333,0.01066
1,10742,3,0.01160,0.00250,-0.82489,0.56519,-0.21484,-0.24219,-2.11328,-0.21289,-0.17383,0.01367,-1.94009,0.02196,0.00898
2,9766,3,0.01044,0.00293,-0.82483,0.56525,-0.12500,-0.37891,-2.61328,-0.23828,-0.22266,0.04688,-1.93995,0.02053,0.00697
3,9766,3,0.00897,0.00330,-0.82477,0.56543,-0.06250,-0.62500,-3.26172,-0.29883,-0.29297,0.08984,-1.93961,0.01853,0.00471
4,9765,3,0.00714,0.00366,-0.82452,0.56573,0.21875,-1.06250,-4.82422,-0.37695,-0.40625,0.09961,-1.93886,0.01592,0.00204
5,10743,3,0.00470,0.00409,-0.82428,0.56616,0.29688,-1.05859,-5.55469,-0.50391,-0.56445,0.08008,-1.93790,0.01238,-0.00142
6,8789,3,0.00153,0.00452,-0.82397,0.56659,0.40234,-1.08984,-6.20312,-0.65625,-0.75000,0.04297,-1.93686,0.00763,-0.00571
7,10742,3,-0.00269,0.00500,-0.82379,0.56689,0.64453,-0.80469,-7.19922,-0.83203,-0.96484,-0.00391,-1.93614,0.00125,-0.01129
8,9765,3,-0.00854,0.00568,-0.82367,0.56702,0.67578,-0.54297,-7.49219,-1.09180,-1.18359,-0.02930,-1.93572,-0.00764,-0.01904
9,10743,3,-0.01581,0.00665,-0.82361,0.56689,0.75781,-0.28906,-7.64453,-1.39844,-1.36523,-0.04688,-1.93566,-0.01850,-0.02889
10,11718,3,-0.02460,0.00818,-0.82349,0.56671,0.81641,-0.01953,-7.62891,-1.72852,-1.51172,-0.06641,-1.93544,-0.03125,-0.04138
11,7813,3,-0.03442,0.01038,-0.82336,0.56635,1.17969,0.13672,-7.34766,-2.06641,-1.61523,-0.08789,-1.93529,-0.04495,-0.05617
12,9765,3,-0.04626,0.01379,-0.82312,0.56580,1.17578,0.27734,-7.05469,-2.37305,-1.66797,-0.12305,-1.93490,-0.06059,-0.07527
13,9766,3,-0.06000,0.01843,-0.82281,0.56488,0.92188,0.32031,-6.70703,-2.66406,-1.67383,-0.15625,-1.93450,-0.07798,-0.09857
