lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1194336,3,0.04584,0.04456,-0.39661,0.91577,-1.11719,-0.07422,-0.82422,0.87695,0.89062,-0.42773,-0.81450,0.11824,0.04897
1,8789,3,0.05157,0.04694,-0.39880,0.91437,-1.40625,-0.19141,-1.23047,0.79297,0.86133,-0.30469,-0.81890,0.12732,0.05738
2,9766,3,0.05719,0.04944,-0.40045,0.91321,-1.66797,-0.19922,-1.67578,0.66211,0.77734,-0.18555,-0.82204,0.13652,0.06551
3,9765,3,0.06213,0.05182,-0.40149,0.91229,-1.77344,-0.19531,-2.11719,0.53516,0.63867,-0.08594,-0.82389,0.14494,0.07258
4,10742,3,0.06628,0.05389,-0.40204,0.91162,-2.04688,-0.21094,-2.75391,0.41602,0.46875,-0.00391,-0.82473,0.15215,0.07850
5,9766,3,0.06958,0.05548,-0.40216,0.91125,-2.14453,-0.21875,-2.96094,0.29492,0.25977,0.09375,-0.82465,0.15773,0.08331
6,9766,3,0.07196,0.05640,-0.40192,0.91113,-2.18359,-0.17188,-3.14453,0.14258,0.03125,0.20508,-0.82385,0.16130,0.08703
7,9765,3,0.07318,0.05658,-0.40125,0.91132,-1.97656,0.03125,-3.21875,-0.03906,-0.24414,0.31250,-0.82223,0.16256,0.08927
8,10742,3,0.07330,0.05585,-0.40002,0.91187,-1.83984,-0.01172,-3.29688,-0.30859,-0.55273,0.43945,-0.81952,0.16119,0.09030
9,9766,3,0.07184,0.05426,-0.39838,0.91278,-1.80078,-0.08203,-3.34375,-0.68555,-0.84766,0.58984,-0.81603,0.15694,0.08913
10,9766,3,0.06824,0.05182,-0.39606,0.91425,-1.64062,-0.08203,-3.39062,-1.03320,-1.12695,0.75781,-0.81126,0.14935,0.08476
11,10742,3,0.06250,0.04877,-0.39294,0.91614,-0.63281,-0.00391,-2.71484,-1.16016,-1.40430,0.89844,-0.80500,0.13892,0.07701
12,9765,3,0.05518,0.04480,-0.38916,0.91840,-0.25781,-0.14062,-2.35547,-1.38477,-1.77539,0.99805,-0.79739,0.12557,0.06706
13,9766,3,0.04639,0.03973,-0.38483,0.92096,-0.07812,-0.36719,-2.60938,-2.16211,-2.18555,1.10938,-0.78859,0.10911,0.05522
14,9766,3,0.03497,0.03394,-0.38013,0.92365,0.64453,-0.67188,-4.47266,-3.24219,-2.61328,1.18359,-0.77911,0.08940,0.03897
15,10742,3,0.01758,0.02759,-0.37445,0.92670,1.02344,-0.59766,-5.10938,-4.43750,-3.10352,1.29297,-0.76764,0.06434,0.01194
16,9766,3,0.01758,0.02759,-0.37445,0.92670,1.77734,-0.64062,-4.88672,-5.58984,-3.54688,1.36914,-0.76764,0.06434,0.01194
17,9765,3,-0.03455,0.01520,-0.36115,0.93176,2.94922,-0.57812,-4.28906,-6.50586,-3.71094,1.36914,-0.73966,0.00337,-0.07542
18,12695,3,-0.06946,0.00940,-0.35327,0.93292,4.40625,-0.51562,-2.56250,-6.94922,-3.62305,1.31641,-0.72181,-0.03154,-0.13672
