lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,821289,3,0.06165,-0.03223,-0.39233,0.91718,-0.00781,0.08594,-1.99609,-0.13281,-0.05078,-0.22656,-0.80916,-0.01074,0.13882
1,10742,3,0.06110,-0.03217,-0.39331,0.91681,-0.00781,-0.02344,-2.33203,-0.15430,-0.03125,-0.23633,-0.81126,-0.01092,0.13777
2,9766,3,0.06036,-0.03204,-0.39447,0.91638,-0.12109,-0.08203,-2.60938,-0.19922,-0.03320,-0.23242,-0.81374,-0.01110,0.13634
3,10742,3,0.05951,-0.03174,-0.39557,0.91595,-0.19922,-0.14453,-2.99219,-0.27344,-0.04688,-0.22070,-0.81609,-0.01106,0.13454
4,9766,3,0.05841,-0.03137,-0.39667,0.91559,-0.24609,-0.12109,-3.45312,-0.37891,-0.07227,-0.20898,-0.81839,-0.01111,0.13224
5,9765,3,0.05682,-0.03094,-0.39771,0.91522,-0.35938,0.10156,-4.41016,-0.48633,-0.09961,-0.19922,-0.82059,-0.01144,0.12899
6,9766,3,0.05469,-0.03040,-0.39874,0.91492,-0.40625,0.45312,-5.13672,-0.59375,-0.14062,-0.20703,-0.82275,-0.01201,0.12464
7,9766,3,0.05200,-0.02979,-0.39978,0.91467,-0.45312,0.89453,-5.98047,-0.71875,-0.22852,-0.22266,-0.82488,-0.01291,0.11923
8,13672,3,0.04883,-0.02930,-0.40082,0.91437,-0.42969,1.14844,-7.55859,-0.73828,-0.35156,-0.20898,-0.82707,-0.01443,0.11304
9,6835,3,0.04492,-0.02911,-0.40198,0.91406,-0.68359,1.25391,-8.70703,-0.73242,-0.63477,-0.19336,-0.82953,-0.01711,0.10575
10,10743,3,0.04065,-0.02985,-0.40314,0.91376,-0.76953,0.97266,-9.73438,-1.06445,-1.11719,-0.20508,-0.83207,-0.02177,0.09853
