lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1412110,2,0.01782,0.00739,-0.72290,0.69067,-0.42969,0.42188,1.38672,-0.25195,0.41797,-0.10352,-1.61613,0.03598,0.01395
1,10742,2,0.01825,0.00940,-0.72321,0.69037,-1.07812,0.52344,2.00781,-0.28711,0.55664,-0.10156,-1.61702,0.03938,0.01161
2,9766,2,0.01910,0.01215,-0.72351,0.68994,-1.49219,0.39453,2.12500,-0.31055,0.68945,-0.07812,-1.61809,0.04442,0.00879
3,10742,2,0.02032,0.01544,-0.72369,0.68964,-1.95703,0.07812,2.19922,-0.26953,0.78711,-0.02539,-1.61884,0.05074,0.00569
4,9765,2,0.02203,0.01910,-0.72382,0.68939,-2.38672,-0.38672,2.05469,-0.16602,0.81836,0.05859,-1.61942,0.05827,0.00273
5,9766,2,0.02417,0.02264,-0.72363,0.68939,-2.99609,-1.35938,1.44141,-0.03320,0.77539,0.13672,-1.61923,0.06625,0.00055
6,9766,2,0.02673,0.02576,-0.72314,0.68970,-3.06250,-1.69531,1.06641,0.11914,0.68555,0.21875,-1.61815,0.07426,-0.00038
7,9765,2,0.02960,0.02808,-0.72247,0.69019,-3.10938,-1.89453,0.73047,0.28711,0.57422,0.31836,-1.61649,0.08162,0.00029
8,10743,2,0.03247,0.02942,-0.72150,0.69104,-3.01562,-1.88281,-0.18750,0.42188,0.45508,0.42188,-1.61381,0.08763,0.00244
9,9765,2,0.03577,0.02991,-0.72015,0.69226,-2.76172,-1.61328,-0.76562,0.48438,0.30859,0.47656,-1.60999,0.09305,0.00647
10,9766,2,0.03876,0.02948,-0.71857,0.69373,-2.53125,-1.30859,-1.37500,0.48828,0.14062,0.49414,-1.60542,0.09676,0.01146
11,10742,2,0.04132,0.02844,-0.71692,0.69537,-2.31641,-1.13281,-1.90625,0.43555,-0.00391,0.52539,-1.60047,0.09896,0.01677
12,9766,2,0.04327,0.02692,-0.71515,0.69708,-1.93359,-0.94922,-2.63281,0.37305,-0.11914,0.57617,-1.59529,0.09959,0.02194
13,10742,2,0.04456,0.02515,-0.71332,0.69897,-1.58984,-0.99609,-3.04688,0.30078,-0.22852,0.64844,-1.58979,0.09888,0.02654
14,8789,2,0.04517,0.02319,-0.71124,0.70111,-1.37500,-1.03516,-3.39062,0.19922,-0.31641,0.76172,-1.58366,0.09692,0.03049
15,10742,2,0.04517,0.02124,-0.70892,0.70355,-1.01562,-1.18359,-3.73438,0.12109,-0.36914,0.87500,-1.57682,0.09406,0.03359
16,9766,2,0.04462,0.01923,-0.70605,0.70648,-0.73828,-1.12891,-4.01172,0.06055,-0.43750,0.94531,-1.56856,0.09029,0.03605
17,9765,2,0.04364,0.01733,-0.70294,0.70972,-0.40234,-0.99219,-4.32031,-0.00977,-0.54102,0.96094,-1.55958,0.08606,0.03772
18,10742,2,0.04205,0.01526,-0.69965,0.71313,0.01562,-0.76953,-4.51172,-0.04492,-0.65234,0.91797,-1.55014,0.08069,0.03876
19,9766,2,0.03992,0.01300,-0.69635,0.71649,0.67578,-0.43359,-4.77734,-0.07031,-0.75977,0.84570,-1.54083,0.07429,0.03921
20,9766,2,0.03741,0.01056,-0.69336,0.71954,1.10156,-0.30859,-4.82422,-0.14258,-0.86328,0.77539,-1.53242,0.06713,0.03930
21,9765,2,0.03424,0.00787,-0.69055,0.72241,1.49219,-0.14844,-4.86328,-0.24609,-0.92969,0.69727,-1.52457,0.05870,0.03867
22,9766,2,0.03046,0.00519,-0.68805,0.72504,2.05078,0.13672,-4.87109,-0.42578,-0.93359,0.64648,-1.51754,0.04945,0.03708
23,10742,2,0.02606,0.00287,-0.68573,0.72742,2.26172,0.00391,-4.71094,-0.68555,-0.87500,0.66016,-1.51114,0.03993,0.03401
24,9766,2,0.02100,0.00146,-0.68341,0.72974,2.47656,-0.01562,-4.55469,-0.89844,-0.84766,0.68359,-1.50481,0.03084,0.02866
25,9765,2,0.01514,0.00098,-0.68103,0.73206,2.46484,0.21484,-4.37109,-0.94336,-0.84766,0.67188,-1.49838,0.02205,0.02084
26,9766,2,0.00916,0.00098,-0.67871,0.73438,3.15234,0.57031,-3.10156,-0.90625,-0.80078,0.58203,-1.49197,0.01386,0.01212
27,10742,2,0.00269,0.00110,-0.67633,0.73663,3.41406,0.62500,-2.71094,-0.85156,-0.76172,0.42969,-1.48549,0.00525,0.00247
28,9766,2,-0.00323,0.00116,-0.67444,0.73834,3.48828,0.71094,-2.21875,-0.87891,-0.74219,0.28125,-1.48038,-0.00265,-0.00634
29,9765,2,-0.00867,0.00134,-0.67316,0.73944,3.45703,0.67969,-1.93750,-0.99609,-0.75781,0.16992,-1.47695,-0.00968,-0.01463
30,10743,2,-0.01483,0.00177,-0.67224,0.74017,3.53906,0.62109,-1.12500,-1.10156,-0.73438,0.08594,-1.47447,-0.01732,-0.02434
31,9765,2,-0.02130,0.00256,-0.67169,0.74054,3.57422,0.65625,-0.51172,-1.14062,-0.65820,0.03125,-1.47294,-0.02482,-0.03501
32,9766,2,-0.02783,0.00385,-0.67133,0.74060,3.70312,0.68750,0.11719,-1.17188,-0.56836,-0.05469,-1.47201,-0.03168,-0.04643
33,9766,2,-0.03400,0.00543,-0.67126,0.74042,4.10156,0.64453,1.24609,-1.17578,-0.49609,-0.18945,-1.47182,-0.03761,-0.05771
34,10742,2,-0.04028,0.00745,-0.67163,0.73981,4.26953,0.83594,1.79688,-1.13867,-0.46094,-0.35352,-1.47276,-0.04310,-0.06972
35,9765,2,-0.04614,0.00952,-0.67249,0.73865,4.34375,0.94531,2.34766,-1.12500,-0.41211,-0.54102,-1.47514,-0.04801,-0.08115
36,9766,2,-0.05188,0.01166,-0.67395,0.73688,4.25000,1.02734,2.86328,-1.07812,-0.35352,-0.67969,-1.47921,-0.05277,-0.09243
37,10742,2,-0.05719,0.01379,-0.67603,0.73456,4.08984,1.00391,3.75781,-1.08203,-0.35352,-0.78320,-1.48491,-0.05709,-0.10301
38,9766,2,-0.06244,0.01599,-0.67853,0.73175,3.89844,0.99219,4.11719,-1.02148,-0.31445,-0.90234,-1.49187,-0.06137,-0.11354
39,9765,2,-0.06750,0.01807,-0.68140,0.72858,3.69141,0.93750,4.55469,-0.95703,-0.23047,-1.00000,-1.49983,-0.06572,-0.12356
40,9766,2,-0.07208,0.02014,-0.68469,0.72498,3.03906,0.71875,5.37500,-0.88477,-0.12695,-1.08008,-1.50903,-0.06956,-0.13281
41,10742,2,-0.07617,0.02234,-0.68829,0.72107,2.76953,0.80469,5.66016,-0.80078,-0.01172,-1.15625,-1.51914,-0.07271,-0.14145
42,9766,2,-0.07959,0.02454,-0.69220,0.71692,2.52344,0.75391,5.94531,-0.72070,0.15234,-1.14258,-1.53011,-0.07507,-0.14905
43,9765,2,-0.08221,0.02698,-0.69623,0.71259,2.15625,0.47656,6.37109,-0.60547,0.37500,-1.04883,-1.54163,-0.07611,-0.15581
44,12696,2,-0.08221,0.02698,-0.69623,0.71259,1.51172,-0.19531,7.03125,-0.43945,0.57422,-0.95703,-1.54163,-0.07611,-0.15581
45,6836,2,-0.08417,0.03278,-0.70367,0.70471,1.11328,-0.30859,7.11719,-0.21289,0.74805,-0.89258,-1.56330,-0.07233,-0.16596
46,10742,2,-0.08313,0.03583,-0.70715,0.70123,0.69922,-0.51562,7.03906,0.03320,0.89453,-0.83594,-1.57351,-0.06738,-0.16844
47,9766,2,-0.08063,0.03882,-0.71063,0.69781,-0.10938,-1.19922,6.57031,0.26172,1.00195,-0.80273,-1.58388,-0.06046,-0.16881
48,9765,2,-0.07690,0.04126,-0.71393,0.69476,-0.53906,-1.57422,6.02734,0.46875,1.03906,-0.82812,-1.59362,-0.05250,-0.16677
49,10742,2,-0.07214,0.04321,-0.71722,0.69177,-0.91797,-1.94922,5.42969,0.65625,1.04297,-0.87695,-1.60336,-0.04371,-0.16267
50,8789,2,-0.06659,0.04449,-0.72076,0.68854,-1.02344,-2.47266,5.00000,0.85938,1.07031,-0.86133,-1.61380,-0.03473,-0.15657
51,10743,2,-0.06073,0.04504,-0.72406,0.68555,-1.71094,-3.73047,4.32422,1.12695,1.14258,-0.74805,-1.62347,-0.02619,-0.14911
52,9765,2,-0.05322,0.04498,-0.72748,0.68256,-1.95703,-4.21484,3.96484,1.45703,1.23438,-0.60156,-1.63338,-0.01603,-0.13857
53,10742,2,-0.04443,0.04413,-0.73041,0.68011,-2.23047,-4.41406,3.32812,1.73828,1.28516,-0.43555,-1.64177,-0.00488,-0.12524
54,9766,2,-0.03461,0.04248,-0.73279,0.67828,-2.34375,-4.26562,2.57031,1.91797,1.26758,-0.29102,-1.64839,0.00691,-0.10942
55,9766,2,-0.02368,0.03998,-0.73456,0.67694,-2.46094,-3.49609,0.78516,2.00000,1.19336,-0.21289,-1.65327,0.01934,-0.09094
56,10742,2,-0.01270,0.03693,-0.73590,0.67596,-2.38281,-2.91016,-0.03516,2.00977,1.13086,-0.14844,-1.65677,0.03124,-0.07161
57,9765,2,-0.00165,0.03345,-0.73694,0.67517,-2.19141,-2.30078,-0.70312,1.92578,1.08008,-0.10156,-1.65933,0.04275,-0.05159
58,11719,2,0.00879,0.02997,-0.73761,0.67450,-1.74219,-1.19141,-2.08203,1.84375,0.97852,-0.08008,-1.66099,0.05342,-0.03241
59,7813,2,0.01880,0.02655,-0.73810,0.67389,-1.60547,-0.64453,-2.70312,1.75195,0.84766,-0.05859,-1.66212,0.06358,-0.01389
60,10742,2,0.02814,0.02301,-0.73846,0.67328,-1.47266,-0.32031,-3.16016,1.62109,0.73828,-0.01172,-1.66294,0.07261,0.00391
61,9766,2,0.03717,0.01929,-0.73865,0.67279,-1.31641,-0.11328,-3.61328,1.50195,0.60352,0.02148,-1.66317,0.08095,0.02160
62,9765,2,0.04492,0.01569,-0.73865,0.67242,-0.94141,0.42578,-4.83203,1.34961,0.40234,-0.00977,-1.66295,0.08757,0.03739
63,10742,2,0.05151,0.01215,-0.73859,0.67206,-0.82422,0.71484,-5.25391,1.18555,0.15234,-0.12891,-1.66266,0.09255,0.05154
64,9766,2,0.05688,0.00830,-0.73883,0.67145,-0.52344,0.92578,-5.85156,0.97070,-0.07031,-0.26367,-1.66321,0.09535,0.06446
65,9766,2,0.06061,0.00458,-0.73950,0.67041,-0.66406,1.09375,-6.03516,0.74609,-0.16992,-0.37305,-1.66513,0.09592,0.07491
66,9765,2,0.06299,0.00104,-0.74060,0.66901,-0.78516,1.08984,-6.22656,0.52344,-0.21875,-0.42969,-1.66834,0.09483,0.08321
67,10742,2,0.06439,-0.00183,-0.74200,0.66730,-0.83984,0.91406,-6.44922,0.32031,-0.26562,-0.41602,-1.67255,0.09325,0.08916
68,8789,2,0.06488,-0.00409,-0.74347,0.66559,-0.97656,0.73047,-6.64062,0.15430,-0.27734,-0.30273,-1.67698,0.09116,0.09297
69,10743,2,0.06470,-0.00568,-0.74469,0.66425,-0.96484,-0.05859,-6.60156,-0.02148,-0.23438,-0.12109,-1.68064,0.08893,0.09492
70,9765,2,0.06390,-0.00677,-0.74554,0.66339,-0.94922,-0.32812,-6.71484,-0.22461,-0.21875,0.07031,-1.68316,0.08640,0.09538
71,10742,2,0.06262,-0.00708,-0.74567,0.66333,-0.89453,-0.39844,-6.83203,-0.39453,-0.24414,0.20312,-1.68357,0.08410,0.09411
72,9766,2,0.06073,-0.00671,-0.74530,0.66394,-0.80469,-0.28906,-6.86719,-0.50195,-0.32031,0.23242,-1.68241,0.08170,0.09108
73,9766,2,0.05811,-0.00604,-0.74469,0.66486,-0.48828,0.14062,-6.79297,-0.57227,-0.47070,0.15820,-1.68054,0.07859,0.08664
74,9765,2,0.05487,-0.00543,-0.74414,0.66571,-0.33594,0.37891,-6.64844,-0.59961,-0.64648,0.07812,-1.67890,0.07450,0.08146
75,9766,2,0.05078,-0.00519,-0.74396,0.66632,-0.08594,0.36719,-6.33984,-0.65625,-0.78320,0.01758,-1.67819,0.06869,0.07564
76,10742,2,0.04620,-0.00519,-0.74396,0.66663,0.38672,0.06641,-5.62109,-0.75977,-0.84570,0.02930,-1.67818,0.06187,0.06951
77,9766,2,0.04059,-0.00531,-0.74408,0.66681,0.68359,-0.12109,-5.12109,-0.85742,-0.82031,0.09961,-1.67856,0.05335,0.06216
78,9765,2,0.03479,-0.00513,-0.74402,0.66724,1.02734,-0.31250,-4.77734,-0.97266,-0.72656,0.20312,-1.67829,0.04494,0.05414
79,10743,2,0.02881,-0.00433,-0.74365,0.66791,1.17969,-0.33984,-4.47266,-1.11914,-0.61523,0.27539,-1.67718,0.03707,0.04498
80,9765,2,0.02277,-0.00269,-0.74298,0.66895,1.45312,-0.19531,-3.97266,-1.24023,-0.50195,0.28711,-1.67505,0.03024,0.03447
81,10742,2,0.01678,-0.00024,-0.74213,0.67004,1.51562,-0.23828,-3.71094,-1.31836,-0.38672,0.29297,-1.67251,0.02459,0.02286
82,11719,2,0.01086,0.00299,-0.74115,0.67126,1.62891,-0.38281,-3.35938,-1.31836,-0.24609,0.29297,-1.66957,0.02012,0.01015
83,6836,2,0.00543,0.00671,-0.74017,0.67236,1.55859,-1.01562,-2.54688,-1.28516,-0.06055,0.35938,-1.66676,0.01707,-0.00263
84,10742,2,0.00049,0.01093,-0.73901,0.67358,1.23828,-1.23438,-2.27344,-1.29297,0.06836,0.42969,-1.66349,0.01544,-0.01549
85,9766,2,-0.00403,0.01599,-0.73755,0.67511,0.90234,-1.17969,-2.30078,-1.33398,0.07617,0.44727,-1.65937,0.01565,-0.02903
86,10742,2,-0.00818,0.02106,-0.73596,0.67664,0.60156,-0.97656,-2.25000,-1.34766,0.02734,0.36914,-1.65509,0.01646,-0.04208
87,9766,2,-0.01257,0.02631,-0.73438,0.67810,0.03516,-0.11719,-2.26953,-1.36914,-0.10742,0.19531,-1.65092,0.01721,-0.05573
88,9765,2,-0.01715,0.03107,-0.73328,0.67902,-0.08594,0.19922,-2.48438,-1.48633,-0.32422,0.00586,-1.64819,0.01704,-0.06892
89,9766,2,-0.02283,0.03558,-0.73273,0.67926,0.04297,0.33984,-2.39453,-1.65039,-0.49805,-0.12695,-1.64711,0.01489,-0.08326
