lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,782227,3,-0.03845,-0.15015,-0.77942,0.60706,1.17188,0.39844,0.69141,0.46484,0.36133,-0.27148,-1.84213,-0.24466,0.19433
1,9766,3,-0.03564,-0.15088,-0.77985,0.60645,1.43359,0.50391,0.65234,0.56445,0.47656,-0.40820,-1.84385,-0.24093,0.19912
2,9765,3,-0.03217,-0.15167,-0.78058,0.60553,1.74219,0.63281,0.73047,0.69922,0.56445,-0.61133,-1.84643,-0.23608,0.20490
3,9766,3,-0.02783,-0.15265,-0.78168,0.60413,2.03516,0.71484,0.73047,0.92773,0.64062,-0.85156,-1.85024,-0.22996,0.21213
4,10742,3,-0.02240,-0.15411,-0.78326,0.60187,2.67969,1.12109,0.96875,1.14648,0.79688,-1.16406,-1.85609,-0.22243,0.22169
5,9766,3,-0.01562,-0.15613,-0.78552,0.59863,3.00391,1.07031,0.89062,1.29102,0.93750,-1.49023,-1.86435,-0.21308,0.23394
6,9765,3,-0.00745,-0.15845,-0.78851,0.59418,3.33984,0.76953,0.75391,1.38477,1.03125,-1.80469,-1.87531,-0.20140,0.24856
7,10742,3,0.00165,-0.16083,-0.79230,0.58856,2.81641,0.15234,0.07812,1.33398,1.06836,-2.02539,-1.88882,-0.18780,0.26445
8,12696,3,0.00165,-0.16083,-0.79230,0.58856,2.54297,-0.07812,-0.21094,1.26562,1.06250,-2.13477,-1.88882,-0.18780,0.26445
9,6836,3,0.02081,-0.16498,-0.80151,0.57440,2.16406,-0.27344,-0.61719,1.13672,1.03906,-2.14062,-1.92142,-0.15680,0.29627
10,9765,3,0.03021,-0.16650,-0.80646,0.56659,1.74609,-0.41406,-0.97656,0.96289,0.99805,-2.08398,-1.93873,-0.14040,0.31077
11,10743,3,0.03967,-0.16754,-0.81171,0.55811,1.11328,-0.36328,-1.61328,0.84961,0.98438,-2.02344,-1.95706,-0.12292,0.32434
12,9765,3,0.04773,-0.16803,-0.81628,0.55060,0.95312,-0.31250,-1.86328,0.71484,0.97070,-1.98828,-1.97292,-0.10732,0.33501
13,9766,3,0.05554,-0.16803,-0.82086,0.54303,0.68750,-0.32812,-2.42578,0.43164,0.93359,-1.93164,-1.98862,-0.09143,0.34435
14,9765,3,0.06274,-0.16724,-0.82544,0.53546,-0.26562,-0.32422,-3.44141,0.08594,0.80859,-1.83984,-2.00410,-0.07559,0.35146
15,10743,3,0.06860,-0.16541,-0.82990,0.52838,-0.63281,-0.43750,-3.75000,-0.26367,0.67578,-1.68945,-2.01862,-0.06097,0.35511
16,9765,3,0.07288,-0.16241,-0.83429,0.52173,-0.95703,-0.66797,-3.90234,-0.63281,0.51562,-1.50586,-2.03247,-0.04789,0.35487
17,9766,3,0.07556,-0.15839,-0.83856,0.51575,-1.03906,-0.75000,-4.26172,-1.07617,0.31445,-1.30078,-2.04529,-0.03666,0.35097
18,12695,3,0.07617,-0.15344,-0.84241,0.51086,-1.52734,-0.94922,-5.17578,-1.48633,0.00195,-1.05273,-2.05625,-0.02845,0.34319
19,6836,3,0.07446,-0.14709,-0.84631,0.50659,-1.67188,-0.83203,-5.75781,-1.88477,-0.36133,-0.82422,-2.06667,-0.02300,0.33047
20,10742,3,0.07013,-0.14008,-0.84991,0.50305,-1.93359,-0.70703,-5.84375,-2.29102,-0.74805,-0.64844,-2.07617,-0.02173,0.31388
21,9766,3,0.06268,-0.13196,-0.85358,0.50012,-1.89062,-0.57812,-6.39453,-3.00391,-1.08789,-0.54688,-2.08527,-0.02498,0.29218
22,9766,3,0.05249,-0.12274,-0.85699,0.49774,-1.92188,-0.71484,-6.88672,-3.68359,-1.42578,-0.54883,-2.09354,-0.03222,0.26589
23,10742,3,0.03918,-0.11145,-0.86060,0.49542,-1.80078,-0.47656,-6.84375,-4.12305,-1.73242,-0.55078,-2.10194,-0.04300,0.23296
24,9765,3,0.02283,-0.09833,-0.86426,0.49280,-1.78906,-0.17188,-6.72266,-4.39648,-2.06055,-0.44922,-2.11075,-0.05749,0.19400
25,9766,3,0.00519,-0.08508,-0.86743,0.49017,-1.76953,-0.66016,-7.00781,-4.70703,-2.31836,-0.30664,-2.11863,-0.07448,0.15373
26,12695,3,-0.01587,-0.07025,-0.87018,0.48749,-1.75781,-0.73828,-6.76953,-5.03125,-2.51758,-0.17969,-2.12547,-0.09626,0.10749
27,6836,3,-0.03754,-0.05548,-0.87189,0.48511,-1.86719,-1.00391,-6.73828,-5.32617,-2.66797,-0.00977,-2.12976,-0.11957,0.06080
28,10742,3,-0.06165,-0.03894,-0.87262,0.48285,-2.00391,-1.22266,-6.52344,-5.31055,-2.75391,0.21484,-2.13142,-0.14572,0.00852
29,9766,3,-0.08740,-0.02155,-0.87207,0.48096,-1.05859,-2.02344,-5.35156,-5.16992,-2.73828,0.33398,-2.12946,-0.17406,-0.04723
30,10742,3,-0.08740,-0.02155,-0.87207,0.48096,-0.89453,-2.39844,-4.79688,-5.10547,-2.51562,0.48047,-2.12946,-0.17406,-0.04723
31,9766,3,-0.13477,0.01044,-0.86774,0.47833,-0.97656,-2.98828,-4.36719,-4.94531,-2.21680,0.78320,-2.11680,-0.22580,-0.15144
32,9765,3,-0.15723,0.02716,-0.86389,0.47772,-1.15625,-4.63281,-4.18750,-5.10547,-1.95312,1.01172,-2.10568,-0.24825,-0.20482
33,9766,3,-0.17877,0.04517,-0.85889,0.47784,-1.87109,-5.16016,-4.58203,-5.83008,-1.73438,1.38086,-2.09099,-0.26708,-0.26050
34,10742,3,-0.19940,0.06525,-0.85266,0.47845,-2.00391,-5.21094,-4.41797,-6.29297,-1.41016,1.71289,-2.07322,-0.28131,-0.31987
35,9766,3,-0.21991,0.08868,-0.84497,0.47937,-1.67188,-4.90625,-3.47656,-6.52930,-1.20312,1.83008,-2.05230,-0.29069,-0.38602
36,12695,3,-0.23999,0.11456,-0.83588,0.48022,-0.17578,-5.06250,-3.33203,-6.78125,-1.31641,1.72266,-2.02949,-0.29544,-0.45685
37,7813,3,-0.25946,0.14056,-0.82599,0.48022,0.44922,-4.75391,-2.53906,-6.95703,-1.39648,1.51953,-2.00726,-0.29802,-0.52780
