lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1313477,3,-0.03107,0.22772,-0.36328,0.90289,0.84766,0.81250,-0.50781,-0.85938,-0.51172,-1.13867,-0.81442,0.39916,-0.24283
1,10742,3,-0.03662,0.22699,-0.36664,0.90149,0.91016,1.07422,-0.77344,-0.96094,-0.66797,-1.35156,-0.82336,0.39241,-0.25434
2,9766,3,-0.04327,0.22577,-0.37091,0.89978,0.93750,1.28516,-1.00391,-1.07031,-0.83594,-1.58594,-0.83428,0.38351,-0.26776
3,9765,3,-0.05096,0.22388,-0.37598,0.89771,1.37109,1.46484,-1.38672,-1.22656,-1.06445,-1.86914,-0.84682,0.37218,-0.28271
4,9766,3,-0.05994,0.22131,-0.38202,0.89526,1.66016,1.42969,-1.61719,-1.50391,-1.39453,-2.21094,-0.86125,0.35807,-0.29959
5,10742,3,-0.07080,0.21771,-0.38910,0.89227,1.75781,1.11719,-1.54688,-1.81836,-1.81641,-2.61133,-0.87766,0.33994,-0.31913
6,12696,3,-0.08392,0.21289,-0.39722,0.88873,1.66016,0.69141,-1.12891,-2.30273,-2.27734,-3.12891,-0.89575,0.31702,-0.34160
7,6835,3,-0.09973,0.20685,-0.40637,0.88440,2.50781,0.03125,0.25781,-2.71289,-2.50586,-3.44727,-0.91549,0.28881,-0.36762
8,9766,3,-0.11890,0.19965,-0.41669,0.87885,2.67578,-0.17188,1.28516,-2.73242,-2.47852,-3.71289,-0.93713,0.25457,-0.39832
9,10742,3,-0.14056,0.19183,-0.42841,0.87177,2.61719,-0.33203,2.22266,-2.47461,-2.31445,-3.98438,-0.96108,0.21569,-0.43248
10,9766,3,-0.16095,0.18402,-0.44080,0.86365,2.31641,-0.02734,2.93750,-1.91797,-2.12891,-4.16016,-0.98571,0.17690,-0.46367
11,9766,3,-0.17908,0.17590,-0.45422,0.85480,1.67578,-0.39062,3.45703,-1.30273,-2.06055,-4.24609,-1.01153,0.13848,-0.48980
12,9765,3,-0.19446,0.16669,-0.46863,0.84546,0.76172,-0.47266,3.50391,-0.93555,-2.09961,-4.19727,-1.03824,0.09976,-0.50918
13,9766,3,-0.20758,0.15631,-0.48322,0.83606,0.02734,-1.45703,4.08203,-0.63867,-1.95703,-3.90430,-1.06438,0.06079,-0.52253
14,12695,3,-0.20758,0.15631,-0.48322,0.83606,-1.47266,-3.21875,6.64062,-0.10938,-1.60742,-3.36328,-1.06438,0.06079,-0.52253
15,7813,3,-0.22699,0.13538,-0.50903,0.81915,-2.46094,-3.83594,8.03516,0.63672,-0.96289,-2.56836,-1.10948,-0.00930,-0.53488
16,10742,3,-0.23120,0.12592,-0.51965,0.81281,-3.03125,-4.32812,9.16797,1.57227,-0.09375,-1.69727,-1.12798,-0.03561,-0.53173
17,9765,3,-0.22937,0.11810,-0.52850,0.80878,-3.34375,-4.54297,9.57422,2.50781,0.75781,-0.91602,-1.14393,-0.05143,-0.51958
18,9766,3,-0.22101,0.11249,-0.53516,0.80756,-3.02734,-3.73828,7.90234,3.25781,1.43555,-0.18555,-1.15651,-0.05489,-0.49844
19,10742,3,-0.20673,0.10852,-0.53998,0.80865,-2.75781,-3.48828,6.18359,3.71680,1.86523,0.41797,-1.16609,-0.04776,-0.46906
20,8789,3,-0.18787,0.10577,-0.54285,0.81171,-2.71875,-3.49609,4.60156,3.98242,2.08203,0.93750,-1.17181,-0.03225,-0.43348
21,10742,3,-0.16693,0.10394,-0.54364,0.81598,-2.86719,-3.33203,2.80469,4.24219,2.22852,1.40234,-1.17304,-0.01187,-0.39570
22,12696,3,-0.14307,0.10242,-0.54236,0.82147,-2.80859,-3.18750,1.83594,4.33594,2.30859,1.63281,-1.16940,0.01308,-0.35352
23,6836,3,-0.11969,0.10120,-0.53973,0.82715,-2.67188,-2.80469,0.52344,4.19141,2.28320,1.83789,-1.16232,0.03821,-0.31251
24,10742,3,-0.09497,0.10016,-0.53571,0.83307,-2.48438,-2.41406,-0.62109,3.99023,2.12695,1.94531,-1.15178,0.06517,-0.26935
25,9766,3,-0.06952,0.09912,-0.53021,0.83917,-2.55469,-1.00391,-2.51562,3.88281,1.84766,1.90820,-1.13746,0.09277,-0.22463
26,12695,3,-0.04718,0.09772,-0.52454,0.84448,-2.51172,-0.97266,-3.07422,3.67969,1.46875,1.82617,-1.12235,0.11580,-0.18446
27,6836,3,-0.02661,0.09528,-0.51868,0.84924,-2.60156,-1.43359,-3.26562,3.49414,1.09961,1.76367,-1.10643,0.13462,-0.14586
28,10742,3,-0.00726,0.09161,-0.51263,0.85364,-2.75000,-1.92188,-3.17578,3.42578,1.15430,1.90234,-1.08970,0.14953,-0.10774
29,9766,3,0.01202,0.08746,-0.50586,0.85809,-3.04688,-2.79688,-2.16406,3.45703,1.42578,2.16016,-1.07097,0.16299,-0.06882
30,9765,3,0.03107,0.08411,-0.49823,0.86243,-2.85938,-3.13281,-2.42578,3.45508,1.43359,2.39453,-1.05046,0.17694,-0.03071
31,9766,3,0.05060,0.08130,-0.48926,0.86688,-2.68359,-3.16406,-3.17578,3.32422,1.16016,2.45312,-1.02684,0.19163,0.00833
32,10742,3,0.06842,0.07819,-0.48004,0.87109,-2.17578,-2.60156,-5.74219,2.93164,0.72461,2.44141,-1.00274,0.20329,0.04508
33,9766,3,0.08606,0.07373,-0.46948,0.87561,-1.90625,-2.48047,-6.77344,2.39453,0.23242,2.47070,-0.97548,0.21151,0.08344
34,9765,3,0.09985,0.06842,-0.45917,0.88007,-1.71875,-2.51562,-7.31641,2.00977,-0.22852,2.48047,-0.94934,0.21375,0.11581
35,10742,3,0.11035,0.06219,-0.44885,0.88458,-1.13672,-2.62891,-7.40234,1.78320,-0.59570,2.48047,-0.92398,0.21065,0.14304
36,12696,3,0.11859,0.05475,-0.43842,0.88922,-0.78906,-2.90234,-7.26172,1.50586,-0.91406,2.44141,-0.89908,0.20274,0.16709
37,6836,3,0.12469,0.04663,-0.42847,0.89368,-0.39844,-3.01172,-7.33203,1.07227,-1.21680,2.38867,-0.87609,0.19137,0.18742
38,9765,3,0.12872,0.03766,-0.41852,0.89825,0.07422,-2.99219,-7.20312,0.60547,-1.43359,2.30469,-0.85391,0.17631,0.20429
39,9766,3,0.13019,0.02838,-0.40869,0.90289,1.65625,-2.72656,-6.43359,0.31445,-1.57031,2.12305,-0.83288,0.15832,0.21626
40,10742,3,0.12946,0.01898,-0.39935,0.90741,2.35156,-2.64453,-6.17578,0.08594,-1.71680,1.88672,-0.81362,0.13829,0.22376
41,9766,3,0.12726,0.00970,-0.39105,0.91150,2.72266,-2.62109,-6.11328,-0.33594,-1.92969,1.62305,-0.79708,0.11749,0.22792
42,9765,3,0.12323,0.00055,-0.38397,0.91510,3.23828,-2.19922,-6.28125,-0.95312,-2.26367,1.23633,-0.78359,0.09578,0.22812
43,10743,3,0.11621,-0.00867,-0.37854,0.91821,4.72656,-0.88281,-6.89453,-1.68750,-2.69727,0.73828,-0.77400,0.07213,0.22238
44,9765,3,0.10529,-0.01819,-0.37531,0.92072,5.22656,-0.21875,-6.78125,-2.60156,-3.01758,0.15430,-0.76934,0.04555,0.20927
45,9766,3,0.09076,-0.02710,-0.37482,0.92224,5.85156,0.32031,-6.28516,-3.62305,-3.26367,-0.50781,-0.77035,0.01805,0.18887
46,9765,3,0.07025,-0.03577,-0.37732,0.92273,7.14844,0.70312,-5.75781,-4.52930,-3.43945,-1.14453,-0.77736,-0.01299,0.15730
47,10743,3,0.04443,-0.04346,-0.38300,0.92163,7.17188,1.03906,-5.46094,-5.15234,-3.49219,-1.68555,-0.79037,-0.04609,0.11558
48,9765,3,0.01556,-0.04993,-0.39111,0.91882,7.33594,1.20703,-5.16797,-5.39844,-3.67773,-2.44141,-0.80758,-0.07966,0.06793
49,9766,3,-0.01520,-0.05585,-0.40192,0.91382,7.91016,1.48047,-5.16016,-5.60352,-4.10352,-2.90430,-0.82970,-0.11454,0.01723
50,13672,3,-0.04700,-0.06268,-0.41492,0.90649,8.91406,0.43750,-4.94531,-5.89648,-4.16406,-3.09180,-0.85593,-0.15324,-0.03359
51,6836,3,-0.07965,-0.06989,-0.42853,0.89728,8.19531,-0.25781,-4.65234,-6.14453,-3.98438,-3.12500,-0.88282,-0.19492,-0.08475
52,9765,3,-0.11420,-0.07648,-0.44263,0.88611,7.35938,-1.00391,-4.21875,-6.19141,-3.78906,-3.03125,-0.90981,-0.23889,-0.13906
53,9766,3,-0.15057,-0.08197,-0.45667,0.87299,6.80469,-2.58984,-3.58594,-6.26172,-3.78320,-2.96484,-0.93560,-0.28445,-0.19717
54,9766,3,-0.18512,-0.08649,-0.46912,0.85919,6.31641,-3.03125,-3.22266,-6.42578,-3.89648,-2.89258,-0.95742,-0.32815,-0.25300
55,10742,3,-0.21997,-0.09076,-0.48053,0.84412,5.82422,-2.90625,-2.35156,-6.33398,-3.75195,-2.79883,-0.97604,-0.37321,-0.31007
