lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1102539,3,-0.12256,0.05914,-0.52844,0.83801,-0.60156,0.67578,-1.24219,-0.28320,-0.23438,-0.01172,-1.12107,-0.03041,-0.27135
1,9765,3,-0.12396,0.05902,-0.52826,0.83795,-0.96484,1.00000,-2.07031,-0.46094,-0.37109,-0.00977,-1.12056,-0.03206,-0.27363
2,10742,3,-0.12628,0.05872,-0.52795,0.83777,-1.03516,1.15234,-2.44531,-0.65039,-0.53906,-0.00977,-1.11977,-0.03497,-0.27730
3,9766,3,-0.12982,0.05823,-0.52747,0.83759,-1.07422,1.39844,-2.99609,-0.86719,-0.74805,0.00586,-1.11840,-0.03942,-0.28287
4,9766,3,-0.13470,0.05750,-0.52679,0.83728,-1.28125,1.43750,-3.92969,-1.20898,-1.01953,0.05273,-1.11651,-0.04566,-0.29051
5,9765,3,-0.14142,0.05658,-0.52576,0.83691,-1.21484,1.49609,-4.38672,-1.70312,-1.36914,0.13281,-1.11361,-0.05402,-0.30116
6,10743,3,-0.15057,0.05548,-0.52405,0.83643,-1.09375,1.55859,-5.17578,-2.61914,-1.75781,0.21680,-1.10904,-0.06505,-0.31593
7,9765,3,-0.16382,0.05469,-0.52142,0.83563,-1.05078,1.48438,-5.70312,-3.84375,-2.11328,0.27344,-1.10215,-0.07952,-0.33828
8,9766,3,-0.18152,0.05518,-0.51788,0.83411,-0.21094,1.32422,-6.68359,-5.04883,-2.46289,0.26953,-1.09326,-0.09612,-0.37004
9,10742,3,-0.20636,0.05737,-0.51312,0.83112,0.03906,1.34766,-7.24609,-6.16211,-2.78906,0.22266,-1.08153,-0.11668,-0.41663
10,9766,3,-0.23706,0.06116,-0.50732,0.82623,0.08203,0.98828,-6.88672,-7.12305,-2.78125,0.16992,-1.06733,-0.13993,-0.47606
11,12695,3,-0.27136,0.06665,-0.50079,0.81921,0.58984,0.71484,-6.17578,-7.79297,-2.79102,0.09766,-1.05167,-0.16332,-0.54482
12,6836,3,-0.30688,0.07367,-0.49390,0.81024,2.79297,-0.32422,-6.00391,-8.14062,-2.71680,-0.02734,-1.03564,-0.18480,-0.61864
13,10742,3,-0.34613,0.08228,-0.48596,0.79828,3.15625,-0.47266,-4.68359,-8.05273,-2.25586,-0.23828,-1.01773,-0.20652,-0.70276
14,9766,3,-0.38593,0.09204,-0.47797,0.78369,3.30469,-0.30078,-3.22656,-7.55469,-1.72852,-0.54883,-1.00039,-0.22658,-0.79096
15,9765,3,-0.41937,0.10144,-0.47186,0.76886,4.87891,-0.90234,-2.98438,-7.12500,-1.25000,-0.93164,-0.98826,-0.24215,-0.86778
16,9766,3,-0.45294,0.11188,-0.46716,0.75104,5.11719,-1.07812,-2.01562,-6.87305,-0.63867,-1.34766,-0.98014,-0.25801,-0.94718
17,9766,3,-0.48157,0.12189,-0.46503,0.73279,5.69531,-1.21094,-0.77734,-6.45703,0.12305,-1.82812,-0.97833,-0.27261,-1.01704
18,10742,3,-0.50653,0.13220,-0.46582,0.71344,6.32031,-1.29688,0.42188,-5.68359,0.77734,-2.42383,-0.98392,-0.28719,-1.08013
19,9765,3,-0.52856,0.14252,-0.47028,0.69220,7.26562,-2.14453,2.42969,-4.75391,1.07617,-3.02539,-0.99799,-0.30453,-1.13742
20,10743,3,-0.54657,0.15088,-0.47833,0.67059,7.43750,-2.91406,3.08984,-4.03320,1.19922,-3.55664,-1.01862,-0.32629,-1.18437
21,11718,3,-0.56110,0.15613,-0.48901,0.64935,7.17969,-3.95703,4.28516,-3.38281,1.36523,-3.91992,-1.04244,-0.35331,-1.22094
22,7813,3,-0.57220,0.15863,-0.50104,0.62964,5.98828,-7.16797,8.22656,-2.53320,1.12891,-4.19727,-1.06720,-0.38290,-1.24728
23,9765,3,-0.58142,0.15820,-0.51471,0.60992,4.83203,-9.16016,11.07422,-1.22266,1.12305,-4.07227,-1.09327,-0.41757,-1.26653
24,10743,3,-0.58771,0.15411,-0.52972,0.59180,3.79297,-10.71094,13.76562,0.40234,1.50977,-3.68164,-1.11990,-0.45587,-1.27506
25,9765,3,-0.58832,0.14758,-0.54462,0.57922,2.87500,-11.52734,14.92188,1.94531,1.64648,-3.41211,-1.14673,-0.48912,-1.26684
26,9766,3,-0.58319,0.13843,-0.56012,0.57184,2.51562,-11.61328,13.25000,3.61914,1.87500,-3.19727,-1.17598,-0.51783,-1.24092
27,9765,3,-0.57245,0.12592,-0.57642,0.56940,1.41797,-11.17578,11.44141,5.01562,2.02734,-2.92969,-1.20811,-0.54280,-1.19670
28,10743,3,-0.55627,0.11005,-0.59314,0.57153,0.62500,-10.86719,8.35547,5.77734,2.09180,-2.52539,-1.24304,-0.56344,-1.13496
29,11718,3,-0.53577,0.09186,-0.60931,0.57727,0.41406,-10.13672,5.75391,6.33789,2.42773,-2.10938,-1.27932,-0.57860,-1.06037
30,7813,3,-0.51337,0.07434,-0.62360,0.58490,0.69141,-9.93750,4.92188,6.75586,2.93555,-1.69336,-1.31440,-0.58629,-0.98305
31,9766,3,-0.48608,0.05658,-0.63800,0.59460,1.03516,-9.89062,3.78516,6.97266,3.41406,-1.28906,-1.35358,-0.58586,-0.89519
32,10742,3,-0.45416,0.03961,-0.65210,0.60577,1.35156,-9.64844,2.69531,7.02930,3.95312,-0.89648,-1.39536,-0.57557,-0.80018
33,9765,3,-0.42010,0.02496,-0.66473,0.61725,1.93750,-9.22266,2.19141,7.16406,4.60352,-0.49023,-1.43500,-0.55590,-0.70711
34,9766,3,-0.42010,0.02496,-0.66473,0.61725,1.91016,-8.87109,1.08984,7.54883,5.11328,-0.15039,-1.43500,-0.55590,-0.70711
35,9766,3,-0.34442,0.00281,-0.68573,0.64124,2.20703,-8.39062,-0.53516,8.06641,5.47461,0.05469,-1.50330,-0.48786,-0.52867
36,10742,3,-0.30298,-0.00677,-0.69373,0.65338,2.33203,-7.86719,-2.19531,8.34961,5.60352,0.13672,-1.52937,-0.44363,-0.44222
37,9765,3,-0.25476,-0.01752,-0.70068,0.66620,2.05469,-6.38672,-6.02734,8.16602,5.50781,0.17188,-1.55192,-0.39018,-0.34744
38,10743,3,-0.20691,-0.02795,-0.70544,0.67731,2.43359,-5.97266,-7.54688,7.78125,5.27148,0.13867,-1.56749,-0.33609,-0.25797
39,11718,3,-0.16095,-0.03766,-0.70825,0.68634,2.67188,-5.16406,-8.83203,7.22070,4.55859,-0.22070,-1.57712,-0.28346,-0.17545
40,6836,3,-0.16095,-0.03766,-0.70825,0.68634,1.43359,-2.11328,-11.13281,6.24219,3.48047,-0.85547,-1.57712,-0.28346,-0.17545
41,10742,3,-0.08160,-0.05731,-0.71185,0.69525,0.85938,-1.19922,-11.04688,5.28516,2.64453,-1.27148,-1.59118,-0.19714,-0.03251
42,10743,3,-0.04858,-0.06818,-0.71472,0.69440,-0.12500,-0.59375,-10.14062,4.45508,2.31055,-1.29492,-1.60215,-0.16487,0.03040
43,8789,3,-0.02228,-0.07733,-0.71771,0.69171,-1.17578,-0.36328,-9.20703,3.52930,2.22266,-1.05664,-1.61335,-0.13940,0.08105
44,10742,3,0.00012,-0.08392,-0.72009,0.68878,-1.85547,-0.53906,-7.36328,2.70312,2.23633,-0.75000,-1.62232,-0.11569,0.12215
45,9766,3,0.01929,-0.08746,-0.72162,0.68646,-1.62891,-0.59375,-6.50391,2.17383,2.35742,-0.43164,-1.62785,-0.09238,0.15397
46,9765,3,0.03632,-0.08832,-0.72211,0.68518,-1.57812,-0.61328,-5.82812,1.75000,2.50391,-0.05859,-1.62941,-0.06863,0.17868
47,12695,3,0.05115,-0.08704,-0.72150,0.68506,-2.14844,0.01172,-5.97266,1.46289,2.55078,0.25000,-1.62709,-0.04546,0.19714
48,7813,3,0.06580,-0.08417,-0.71960,0.68610,-2.43359,0.73828,-6.74609,1.26758,2.20898,0.35742,-1.62069,-0.02080,0.21308
49,9766,3,0.07959,-0.08087,-0.71692,0.68787,-2.92578,1.89844,-8.25391,0.86719,1.40820,0.32812,-1.61183,0.00286,0.22741
50,9765,3,0.08960,-0.07861,-0.71442,0.68951,-3.21484,2.52344,-9.33594,0.24023,0.53906,0.30469,-1.60392,0.01961,0.23817
51,10742,3,0.09491,-0.07733,-0.71252,0.69086,-2.43750,2.01172,-8.43750,-0.31055,-0.07617,0.30273,-1.59819,0.02841,0.24386
52,9766,3,0.09546,-0.07654,-0.71124,0.69220,-1.88672,1.51953,-7.55078,-0.77344,-0.58203,0.30469,-1.59428,0.02983,0.24354
53,9766,3,0.09235,-0.07593,-0.71045,0.69348,-1.50391,0.84766,-6.76172,-1.20117,-1.03320,0.32422,-1.59186,0.02591,0.23831
54,9765,3,0.08600,-0.07538,-0.71014,0.69470,-1.01562,-0.48438,-4.71484,-1.49023,-1.22461,0.47266,-1.59078,0.01741,0.22857
