lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1664063,2,-0.06256,0.05591,-0.62653,0.77490,-0.10547,0.38281,-1.51953,-0.15625,-0.05078,-0.04492,-1.36053,0.00825,-0.16780
1,9765,2,-0.06317,0.05615,-0.62659,0.77472,-0.26562,0.28125,-1.82031,-0.21289,-0.09180,-0.04297,-1.36082,0.00784,-0.16907
2,9766,2,-0.06415,0.05646,-0.62671,0.77454,-0.35156,0.21875,-2.00391,-0.26367,-0.13672,-0.03711,-1.36118,0.00705,-0.17098
3,10742,2,-0.06543,0.05676,-0.62677,0.77441,-0.39844,0.12891,-2.11719,-0.29688,-0.19531,-0.03125,-1.36134,0.00590,-0.17335
4,9766,2,-0.06708,0.05695,-0.62677,0.77423,-0.48828,0.04688,-2.30078,-0.33398,-0.25781,-0.02539,-1.36142,0.00409,-0.17616
5,9765,2,-0.06903,0.05707,-0.62671,0.77411,-0.43750,-0.16016,-2.64844,-0.35547,-0.33203,-0.01562,-1.36128,0.00183,-0.17936
6,10743,2,-0.07129,0.05701,-0.62659,0.77399,-0.50391,-0.27344,-2.86719,-0.40234,-0.41797,0.00195,-1.36098,-0.00109,-0.18281
7,9765,2,-0.07397,0.05670,-0.62634,0.77393,-0.46875,-0.31250,-3.16016,-0.49805,-0.50000,0.02734,-1.36032,-0.00490,-0.18662
8,9766,2,-0.07715,0.05634,-0.62598,0.77393,-0.13281,-0.34375,-3.41797,-0.57617,-0.57227,0.03125,-1.35931,-0.00939,-0.19113
9,9765,2,-0.08093,0.05591,-0.62549,0.77399,0.16797,-0.25781,-3.41016,-0.62109,-0.63086,0.00977,-1.35792,-0.01470,-0.19651
10,10743,2,-0.08521,0.05548,-0.62500,0.77399,0.41016,-0.11719,-3.35156,-0.66602,-0.69727,-0.03320,-1.35651,-0.02062,-0.20267
11,9765,2,-0.08978,0.05493,-0.62457,0.77380,0.61719,-0.01562,-3.29688,-0.71680,-0.76953,-0.08984,-1.35532,-0.02714,-0.20918
12,9766,2,-0.09485,0.05420,-0.62427,0.77350,0.99609,0.00781,-3.08203,-0.75195,-0.81445,-0.13867,-1.35432,-0.03458,-0.21622
13,9765,2,-0.10010,0.05334,-0.62415,0.77301,1.14844,0.00000,-2.90625,-0.82031,-0.83008,-0.18359,-1.35373,-0.04249,-0.22340
14,10743,2,-0.10583,0.05255,-0.62415,0.77234,1.33984,0.00391,-2.75781,-0.93555,-0.82227,-0.21484,-1.35343,-0.05096,-0.23143
