lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1212890,3,0.03833,-0.07867,-0.79633,0.59851,1.11328,-0.06641,-1.56641,0.08008,0.11719,-0.11523,-1.85542,-0.03313,0.17212
1,10742,3,0.03943,-0.07861,-0.79651,0.59821,1.50391,0.10938,-2.36328,0.04102,-0.04102,-0.20898,-1.85598,-0.03125,0.17335
2,9766,3,0.03979,-0.07874,-0.79700,0.59753,1.93359,0.14062,-3.23828,-0.06641,-0.25586,-0.35742,-1.85761,-0.03067,0.17401
3,9766,3,0.03925,-0.07910,-0.79785,0.59631,2.80859,0.56250,-6.30078,-0.21094,-0.55664,-0.56641,-1.86069,-0.03172,0.17400
4,9765,3,0.03741,-0.07965,-0.79938,0.59436,3.22656,0.91406,-8.02344,-0.37305,-0.90820,-0.83398,-1.86592,-0.03487,0.17278
5,9766,3,0.03394,-0.08057,-0.80170,0.59131,3.67188,1.05078,-9.75000,-0.63867,-1.37305,-1.18750,-1.87408,-0.04088,0.17027
6,12695,3,0.02850,-0.08167,-0.80493,0.58704,3.53125,1.40625,-14.57422,-1.71094,-2.01367,-1.61133,-1.88551,-0.05001,0.16590
7,7813,3,0.01874,-0.08173,-0.80969,0.58081,3.08203,0.59375,-16.45312,-3.41406,-2.68555,-2.00586,-1.90210,-0.06464,0.15506
8,9765,3,0.00177,-0.07782,-0.81635,0.57233,2.71875,-0.46484,-17.65625,-4.62891,-3.39258,-2.30078,-1.92430,-0.08629,0.12992
9,10743,3,-0.02124,-0.07013,-0.82379,0.56219,2.17188,-1.46875,-17.00391,-5.50000,-3.99219,-2.25781,-1.94917,-0.11409,0.09239
10,9765,3,-0.04987,-0.05988,-0.83112,0.55066,2.36328,-4.64844,-13.87891,-6.43750,-4.47070,-2.06250,-1.97467,-0.14938,0.04512
11,9766,3,-0.08362,-0.04706,-0.83722,0.53833,2.36328,-4.75000,-11.62500,-6.90430,-4.65039,-1.85742,-1.99762,-0.19187,-0.01144
12,12695,3,-0.11981,-0.03235,-0.84143,0.52594,1.92578,-4.65625,-8.57422,-6.85938,-4.25781,-1.54883,-2.01550,-0.23789,-0.07373
13,6836,3,-0.15521,-0.01660,-0.84344,0.51398,1.18750,-5.83203,-3.36719,-6.75977,-3.83594,-1.17578,-2.02744,-0.28266,-0.13742
14,10742,3,-0.18921,0.00043,-0.84363,0.50250,0.83594,-6.28125,-1.48438,-6.63867,-3.46875,-0.73047,-2.03387,-0.32447,-0.20277
15,9766,3,-0.22296,0.01953,-0.84167,0.49139,0.46094,-6.67578,0.49609,-6.30664,-2.96484,-0.15820,-2.03413,-0.36413,-0.27307
16,9766,3,-0.25244,0.03833,-0.83783,0.48254,0.41016,-6.78125,2.44922,-5.70898,-2.34766,0.40234,-2.02755,-0.39631,-0.34025
17,10742,3,-0.27795,0.05713,-0.83252,0.47583,0.33594,-6.96875,4.90625,-4.94336,-1.94141,0.73828,-2.01550,-0.42073,-0.40497
18,11718,3,-0.29932,0.07501,-0.82623,0.47131,0.72266,-6.50781,5.39453,-4.43359,-1.97070,0.87109,-1.99957,-0.43774,-0.46494
19,7813,3,-0.31720,0.09015,-0.81964,0.46844,1.45703,-6.17188,6.16797,-4.03320,-2.16406,0.84766,-1.98209,-0.45062,-0.51704
20,9766,3,-0.33508,0.10388,-0.81213,0.46619,2.18359,-5.93359,7.63672,-3.59570,-2.07812,0.83203,-1.96170,-0.46388,-0.56810
21,10742,3,-0.35297,0.11621,-0.80389,0.46442,3.32422,-5.56641,11.84766,-3.09766,-1.49609,0.80664,-1.93875,-0.47748,-0.61811
22,9765,3,-0.36749,0.12677,-0.79657,0.46301,3.74219,-4.91016,13.53125,-2.33008,-0.61523,0.66602,-1.91855,-0.48710,-0.66064
23,9766,3,-0.37762,0.13647,-0.79095,0.46173,3.78906,-4.28125,14.26172,-1.44727,0.13867,0.47070,-1.90396,-0.49079,-0.69471
24,9766,3,-0.38239,0.14398,-0.78790,0.46075,2.50000,-3.74609,12.33984,-0.71094,0.58203,0.25781,-1.89715,-0.48914,-0.71575
25,10742,3,-0.38330,0.14996,-0.78687,0.45990,2.05078,-3.53906,10.47266,-0.22070,0.67188,0.03711,-1.89645,-0.48391,-0.72730
26,9765,3,-0.38184,0.15344,-0.78729,0.45917,1.55859,-3.31641,8.44141,0.10352,0.54102,-0.09180,-1.89969,-0.47835,-0.73036
27,9766,3,-0.37964,0.15497,-0.78845,0.45850,0.52734,-3.26953,5.66016,0.29492,0.38281,-0.10938,-1.90439,-0.47410,-0.72875
28,10742,3,-0.37744,0.15503,-0.78973,0.45807,0.28125,-3.33203,4.94141,0.35547,0.25586,-0.04688,-1.90878,-0.47139,-0.72476
29,9766,3,-0.37555,0.15430,-0.79077,0.45807,0.18359,-3.27734,4.55469,0.34766,0.20898,0.02539,-1.91185,-0.46967,-0.72015
30,9766,3,-0.37384,0.15344,-0.79156,0.45844,0.19141,-3.10156,4.52344,0.40625,0.30273,0.04883,-1.91385,-0.46804,-0.71582
31,9765,3,-0.37201,0.15265,-0.79224,0.45898,0.59766,-2.78125,5.32812,0.56641,0.49609,0.05664,-1.91550,-0.46600,-0.71152
32,10742,3,-0.36920,0.15173,-0.79327,0.45978,0.93359,-2.62109,5.62500,0.77344,0.66406,0.03906,-1.91810,-0.46254,-0.70542
33,9766,3,-0.36530,0.15045,-0.79480,0.46069,1.35547,-2.46875,5.75391,1.07227,0.83203,-0.04492,-1.92208,-0.45787,-0.69689
34,9766,3,-0.36011,0.14850,-0.79694,0.46173,1.82422,-2.14844,5.96875,1.47266,1.00586,-0.16211,-1.92770,-0.45206,-0.68514
35,9765,3,-0.35364,0.14545,-0.79974,0.46277,2.60938,-1.66016,5.85938,1.86133,1.12695,-0.28125,-1.93515,-0.44565,-0.66948
36,10742,3,-0.34564,0.14087,-0.80341,0.46393,3.28125,-1.60156,5.44141,2.15625,1.24609,-0.38672,-1.94461,-0.43860,-0.64882
37,9766,3,-0.33630,0.13489,-0.80768,0.46515,4.07422,-1.51953,5.13281,2.31641,1.45508,-0.47852,-1.95563,-0.43098,-0.62386
38,11719,3,-0.32629,0.12854,-0.81232,0.46606,5.56250,-0.88672,4.65625,2.40234,1.73828,-0.57617,-1.96787,-0.42275,-0.59736
39,7812,3,-0.31470,0.12189,-0.81757,0.46655,6.15234,-0.35547,4.23828,2.44531,2.05664,-0.73242,-1.98245,-0.41244,-0.56816
40,10742,3,-0.30127,0.11517,-0.82367,0.46643,6.84375,0.26953,4.04297,2.57422,2.38281,-1.01172,-1.99997,-0.39938,-0.53632
41,9766,3,-0.28644,0.10858,-0.83063,0.46503,7.32031,0.73438,3.87109,2.75781,2.66211,-1.33984,-2.02100,-0.38423,-0.50283
42,9766,3,-0.27045,0.10175,-0.83826,0.46240,7.43359,1.50000,3.77344,2.89062,2.86719,-1.66992,-2.04493,-0.36754,-0.46766
43,10742,3,-0.25281,0.09418,-0.84692,0.45819,7.28906,1.55859,3.46875,2.95703,3.00781,-1.97461,-2.07294,-0.34895,-0.42935
44,11719,3,-0.23462,0.08624,-0.85596,0.45264,6.84766,1.51953,3.19141,3.00391,3.16797,-2.22070,-2.10303,-0.32950,-0.39033
45,7812,3,-0.21606,0.07825,-0.86511,0.44586,5.58203,1.43750,2.67969,2.99023,3.29102,-2.40820,-2.13454,-0.30895,-0.35155
46,9766,3,-0.19635,0.07001,-0.87469,0.43762,5.06250,1.29297,1.98828,3.00977,3.39062,-2.61914,-2.16853,-0.28609,-0.31180
47,10742,3,-0.17517,0.06134,-0.88464,0.42780,4.58594,1.12500,1.45703,3.06055,3.44727,-2.87891,-2.20509,-0.26036,-0.27070
48,9766,3,-0.15430,0.05280,-0.89417,0.41699,4.02344,0.54297,0.82422,3.04688,3.39844,-3.13086,-2.24154,-0.23403,-0.23141
49,9765,3,-0.13306,0.04382,-0.90369,0.40466,2.02734,-0.78125,-0.72656,2.91797,3.22461,-3.33008,-2.27960,-0.20647,-0.19212
50,12696,3,-0.11279,0.03485,-0.91272,0.39117,1.06250,-1.77734,-1.76953,2.69336,2.96875,-3.44531,-2.31781,-0.17959,-0.15496
51,7812,3,-0.09460,0.02661,-0.92084,0.37726,0.00000,-3.05469,-2.83203,2.25586,2.70117,-3.34570,-2.35444,-0.15478,-0.12216
52,9766,3,-0.07733,0.01898,-0.92865,0.36237,-0.94531,-4.64453,-3.47656,1.95703,2.71094,-2.76562,-2.39150,-0.13023,-0.09221
53,9765,3,-0.06030,0.01251,-0.93555,0.34778,-3.26172,-6.78906,-4.76172,2.07812,2.80078,-1.84570,-2.42634,-0.10432,-0.06576
54,10742,3,-0.04419,0.00714,-0.94025,0.33746,-3.96094,-6.77734,-6.17188,2.74219,2.52734,-0.95898,-2.45071,-0.07836,-0.04340
55,8790,3,-0.02747,-0.00018,-0.94318,0.33118,-4.30859,-5.37891,-8.50391,3.14258,2.23242,-0.25781,-2.46577,-0.05195,-0.01787
56,10742,3,-0.01227,-0.00970,-0.94427,0.32880,-4.12891,-3.37109,-10.90234,2.40039,1.72070,-0.35352,-2.47160,-0.02955,0.01026
57,9765,3,0.00232,-0.02008,-0.94464,0.32745,-2.00000,-3.69922,-11.92969,0.55273,0.67188,-0.35547,-2.47440,-0.00877,0.03947
58,10743,3,0.01050,-0.02521,-0.94501,0.32587,-1.07812,-4.19141,-10.84766,-0.69336,0.42188,-0.13867,-2.47738,0.00341,0.05451
59,9765,3,0.01294,-0.02405,-0.94537,0.32477,-3.28516,-5.41016,-4.79688,-1.16016,0.88086,0.43555,-2.47955,0.00885,0.05390
60,9766,3,0.01447,-0.01868,-0.94519,0.32562,-3.41406,-5.58203,-3.01172,-1.21289,1.24609,0.95312,-2.47771,0.01518,0.04475
61,10742,3,0.01752,-0.01141,-0.94409,0.32910,-2.89062,-4.89062,-2.02344,-0.84375,1.37695,1.16016,-2.47033,0.02556,0.03310
