lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,921875,3,-0.05725,-0.05212,-0.80811,0.58392,-0.04297,-0.37500,-1.75000,0.03516,0.14062,-0.20898,-1.89151,-0.15401,0.01759
1,10742,3,-0.05640,-0.05206,-0.80872,0.58319,0.05078,-0.38281,-2.17969,-0.04102,0.12305,-0.16406,-1.89348,-0.15253,0.01865
2,9765,3,-0.05579,-0.05170,-0.80920,0.58258,0.09766,-0.42188,-2.52344,-0.12109,0.11328,-0.12500,-1.89505,-0.15109,0.01888
3,9766,3,-0.05554,-0.05103,-0.80963,0.58209,0.17969,-0.41406,-2.87109,-0.21289,0.08008,-0.12695,-1.89628,-0.14990,0.01817
4,9766,3,-0.05560,-0.05017,-0.81000,0.58167,0.42578,-0.21484,-3.66797,-0.32031,0.00391,-0.16406,-1.89729,-0.14899,0.01678
5,10742,3,-0.05615,-0.04895,-0.81042,0.58105,0.57812,-0.10547,-4.12500,-0.42578,-0.12500,-0.24023,-1.89860,-0.14845,0.01424
6,9765,3,-0.05743,-0.04767,-0.81104,0.58020,0.60938,-0.03516,-4.54688,-0.56250,-0.27930,-0.33008,-1.90045,-0.14903,0.01080
7,9766,3,-0.05963,-0.04633,-0.81189,0.57892,0.54688,-0.06641,-5.04688,-0.61328,-0.46484,-0.38672,-1.90320,-0.15104,0.00625
8,9766,3,-0.06274,-0.04510,-0.81287,0.57727,0.36328,0.25000,-6.56250,-0.70703,-0.67773,-0.43359,-1.90663,-0.15470,0.00090
9,10742,3,-0.06689,-0.04419,-0.81396,0.57532,0.03125,0.30469,-7.35938,-0.90820,-0.89453,-0.47656,-1.91062,-0.16044,-0.00510
10,9766,3,-0.07227,-0.04333,-0.81512,0.57312,-0.26562,0.26562,-8.10156,-1.17578,-1.07812,-0.48633,-1.91493,-0.16828,-0.01236
11,9765,3,-0.07898,-0.04211,-0.81628,0.57068,-1.28906,0.01562,-9.50391,-1.46680,-1.26367,-0.46289,-1.91939,-0.17794,-0.02173
12,10742,3,-0.08765,-0.04022,-0.81738,0.56793,-1.98828,-0.20312,-10.07812,-1.83984,-1.48047,-0.38867,-1.92383,-0.19012,-0.03443
13,9766,3,-0.09790,-0.03754,-0.81824,0.56525,-2.50391,-0.58984,-10.46094,-2.26172,-1.67188,-0.24023,-1.92738,-0.20406,-0.05031
14,9766,3,-0.11023,-0.03369,-0.81866,0.56262,-2.95703,-1.01562,-10.63672,-2.68750,-1.86523,-0.04102,-1.92956,-0.22016,-0.07063
15,12695,3,-0.12427,-0.02863,-0.81836,0.56036,-3.63672,-2.39062,-10.53516,-3.08008,-2.06641,0.21484,-1.92939,-0.23771,-0.09524
16,7812,3,-0.13989,-0.02252,-0.81720,0.55872,-3.89062,-2.92188,-10.21875,-3.45703,-2.31445,0.48828,-1.92619,-0.25660,-0.12387
17,9766,3,-0.15802,-0.01501,-0.81482,0.55756,-3.85938,-3.45312,-9.71875,-3.80273,-2.62109,0.75977,-1.91921,-0.27782,-0.15846
18,9766,3,-0.17865,-0.00647,-0.81104,0.55701,-3.19531,-4.51172,-8.54297,-4.08008,-2.86719,1.01953,-1.90770,-0.30154,-0.19874
19,9765,3,-0.20117,0.00287,-0.80585,0.55688,-2.82422,-4.76172,-7.63672,-4.24805,-3.14258,1.24414,-1.89179,-0.32682,-0.24388
20,10742,3,-0.22467,0.01239,-0.79932,0.55719,-2.40625,-5.12500,-6.78125,-4.31836,-3.43555,1.51953,-1.87167,-0.35262,-0.29202
21,11719,3,-0.24957,0.02185,-0.79108,0.55804,-1.73047,-5.42969,-5.37500,-4.19727,-3.62695,1.85352,-1.84620,-0.37953,-0.34385
22,7813,3,-0.27435,0.03064,-0.78143,0.55963,0.45703,-6.63281,-1.73047,-4.00391,-3.58984,2.21484,-1.81605,-0.40549,-0.39658
23,10742,3,-0.27435,0.03064,-0.78143,0.55963,1.73047,-7.13672,0.82812,-3.87695,-3.17383,2.58398,-1.81605,-0.40549,-0.39658
24,9766,3,-0.32385,0.04889,-0.75623,0.56641,3.32812,-7.24219,4.03516,-3.73438,-2.32227,2.77930,-1.73651,-0.44942,-0.51143
25,9765,3,-0.34448,0.05994,-0.74274,0.57098,6.03125,-6.42578,9.46484,-3.46484,-1.30859,2.73633,-1.69446,-0.45928,-0.56833
26,9766,3,-0.36047,0.07275,-0.73047,0.57544,7.27344,-5.16797,11.91406,-2.92969,-0.28711,2.38672,-1.65769,-0.45885,-0.62033
27,10742,3,-0.37158,0.08679,-0.72034,0.57922,8.30859,-3.98828,13.58203,-2.25586,0.46289,1.83203,-1.62951,-0.44980,-0.66475
28,8789,3,-0.37787,0.10046,-0.71307,0.58191,8.89453,-3.26562,13.99219,-1.61914,0.86133,1.32031,-1.61180,-0.43564,-0.69858
29,12695,3,-0.38019,0.11169,-0.70898,0.58337,8.33594,-2.88672,13.28125,-1.05273,1.00391,0.94727,-1.60397,-0.42111,-0.72027
