lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,849610,3,0.00458,0.03851,-0.84302,0.53644,0.77734,0.09375,-1.18750,-0.08203,0.04297,-0.18555,-2.00966,0.04906,-0.06013
1,9765,3,0.00458,0.03888,-0.84351,0.53571,1.27344,0.01562,-1.41406,-0.12500,0.06445,-0.19141,-2.01144,0.04940,-0.06080
2,10743,3,0.00446,0.03949,-0.84399,0.53485,1.66406,-0.05469,-1.45312,-0.15820,0.14062,-0.20508,-2.01345,0.04979,-0.06201
3,9765,3,0.00452,0.04034,-0.84448,0.53400,2.21094,-0.03125,-1.44531,-0.17773,0.20312,-0.24805,-2.01549,0.05074,-0.06344
4,9766,3,0.00470,0.04150,-0.84503,0.53302,3.36719,-0.17578,-2.01953,-0.16992,0.25195,-0.32812,-2.01782,0.05221,-0.06527
5,10742,3,0.00519,0.04285,-0.84576,0.53180,3.88672,-0.00781,-2.51172,-0.15820,0.25781,-0.45508,-2.02079,0.05437,-0.06711
6,9766,3,0.00574,0.04425,-0.84674,0.53009,4.25000,0.20703,-3.07812,-0.18555,0.21875,-0.62891,-2.02486,0.05666,-0.06902
7,9765,3,0.00616,0.04565,-0.84814,0.52777,4.57812,0.34766,-3.69141,-0.24023,0.14258,-0.83008,-2.03042,0.05868,-0.07112
8,9766,3,0.00616,0.04706,-0.85010,0.52454,4.66406,0.75391,-4.71875,-0.34180,0.06055,-1.01172,-2.03811,0.05988,-0.07374
9,10742,3,0.00568,0.04852,-0.85236,0.52069,4.69922,0.82422,-5.01562,-0.46680,0.00781,-1.18359,-2.04715,0.06024,-0.07702
10,9766,3,0.00446,0.05042,-0.85510,0.51599,4.64844,0.87109,-5.16016,-0.58984,-0.01758,-1.31836,-2.05817,0.05968,-0.08186
11,9765,3,0.00275,0.05267,-0.85815,0.51068,4.67578,0.78125,-5.35156,-0.71484,-0.00195,-1.43750,-2.07056,0.05855,-0.08786
12,9766,3,0.00067,0.05548,-0.86151,0.50470,4.73047,0.85156,-5.49219,-0.82031,0.00195,-1.57422,-2.08445,0.05719,-0.09522
13,10742,3,-0.00165,0.05872,-0.86505,0.49829,4.75391,0.85938,-5.67578,-0.94141,-0.02734,-1.73047,-2.09927,0.05569,-0.10357
14,9766,3,-0.00439,0.06250,-0.86884,0.49109,4.72266,0.91406,-5.80469,-1.09180,-0.08789,-1.89258,-2.11573,0.05378,-0.11333
15,11719,3,-0.00757,0.06659,-0.87274,0.48352,4.66016,0.44141,-5.71875,-1.29492,-0.11719,-2.02539,-2.13292,0.05121,-0.12403
16,7812,3,-0.01160,0.07147,-0.87708,0.47485,4.31641,0.07031,-5.35156,-1.52734,-0.05664,-2.07422,-2.15241,0.04755,-0.13697
17,10742,3,-0.01624,0.07751,-0.88153,0.46552,3.84766,-0.25000,-4.97656,-1.77148,0.03906,-2.05859,-2.17321,0.04356,-0.15250
18,9766,3,-0.02100,0.08466,-0.88562,0.45612,3.34766,-0.53906,-4.56250,-2.01367,0.14453,-2.03711,-2.19382,0.04005,-0.17006
19,9765,3,-0.02582,0.09314,-0.88947,0.44666,2.32031,-1.03125,-3.71875,-2.21680,0.18750,-2.02148,-2.21440,0.03728,-0.19003
20,10743,3,-0.03076,0.10266,-0.89294,0.43719,1.63672,-0.93750,-3.24219,-2.37500,0.14453,-2.02344,-2.23470,0.03484,-0.21196
21,8789,3,-0.03607,0.11298,-0.89612,0.42767,0.94922,-0.91016,-2.62109,-2.51172,0.03516,-2.03906,-2.25481,0.03199,-0.23563
22,10742,3,-0.04181,0.12323,-0.89886,0.41846,-0.39453,-1.52734,-0.86328,-2.58398,-0.11719,-2.03125,-2.27384,0.02798,-0.25953
23,12695,3,-0.04181,0.12323,-0.89886,0.41846,-0.96094,-2.23438,0.36328,-2.56250,-0.26367,-1.97266,-2.27384,0.02798,-0.25953
24,6836,3,-0.05615,0.14484,-0.90369,0.39905,-1.85156,-3.07031,1.70703,-2.46094,-0.38086,-1.86133,-2.31215,0.01411,-0.31163
25,10742,3,-0.06403,0.15503,-0.90546,0.38983,-2.43750,-3.87891,3.17188,-2.26562,-0.43359,-1.71875,-2.32933,0.00493,-0.33703
26,9766,3,-0.07220,0.16467,-0.90698,0.38086,-3.61719,-5.26172,5.85938,-2.02734,-0.41797,-1.53320,-2.34546,-0.00554,-0.36154
27,10742,3,-0.07965,0.17310,-0.90808,0.37292,-4.21875,-5.67188,6.85938,-1.79492,-0.36523,-1.32031,-2.35923,-0.01556,-0.38313
28,9766,3,-0.08624,0.18048,-0.90887,0.36597,-4.76172,-5.77734,7.55078,-1.56445,-0.31055,-1.06836,-2.37097,-0.02467,-0.40206
29,9765,3,-0.09192,0.18689,-0.90936,0.36017,-5.53906,-5.63672,8.50000,-1.30273,-0.22852,-0.84961,-2.38046,-0.03256,-0.41842
30,9766,3,-0.09668,0.19244,-0.90961,0.35535,-5.75391,-5.28125,8.75391,-1.01758,-0.20508,-0.64453,-2.38814,-0.03912,-0.43247
31,10742,3,-0.10059,0.19696,-0.90967,0.35150,-5.91797,-4.91016,8.76562,-0.76367,-0.24414,-0.46680,-2.39407,-0.04455,-0.44393
32,9766,3,-0.10376,0.20032,-0.90967,0.34875,-6.07812,-4.68750,8.80469,-0.47656,-0.17773,-0.34961,-2.39809,-0.04907,-0.45263
33,12695,3,-0.10626,0.20258,-0.90967,0.34674,-6.03906,-3.93359,8.98047,-0.21289,-0.12891,-0.20312,-2.40090,-0.05287,-0.45876
34,6836,3,-0.10785,0.20361,-0.90967,0.34546,-6.02734,-3.67969,8.99609,0.00977,-0.04688,-0.02344,-2.40264,-0.05557,-0.46193
35,10742,3,-0.10858,0.20380,-0.90973,0.34497,-5.92578,-3.28906,9.00391,0.26172,0.07617,0.12305,-2.40326,-0.05699,-0.46281
36,9766,3,-0.10822,0.20325,-0.90985,0.34528,-5.23047,-2.25781,8.29688,0.50586,0.17969,0.24805,-2.40290,-0.05659,-0.46147
37,9766,3,-0.10681,0.20178,-0.90997,0.34613,-4.85938,-1.86719,7.73828,0.69727,0.25977,0.34570,-2.40189,-0.05473,-0.45765
38,10742,3,-0.10449,0.19958,-0.91022,0.34760,-4.48438,-1.53125,7.24609,0.84375,0.27344,0.45508,-2.40018,-0.05149,-0.45173
39,8789,3,-0.10156,0.19672,-0.91040,0.34949,-3.86328,-1.25391,6.94141,0.97656,0.29492,0.55664,-2.39781,-0.04744,-0.44412
40,10742,3,-0.09833,0.19342,-0.91052,0.35187,-2.55078,-0.78125,6.93750,1.10547,0.39453,0.63281,-2.39455,-0.04296,-0.43547
41,9766,3,-0.09430,0.18945,-0.91064,0.35480,-1.83984,-0.61328,7.00000,1.24414,0.48438,0.65039,-2.39050,-0.03732,-0.42495
42,9765,3,-0.08954,0.18512,-0.91083,0.35791,-1.04688,-0.33203,7.01953,1.35547,0.50977,0.59570,-2.38635,-0.03060,-0.41316
43,10742,3,-0.08435,0.18030,-0.91113,0.36090,0.70703,-0.05859,7.76953,1.47852,0.56836,0.50391,-2.38253,-0.02357,-0.40012
44,9766,3,-0.07886,0.17505,-0.91162,0.36346,1.28516,-0.14844,8.35938,1.65820,0.71680,0.42773,-2.37959,-0.01653,-0.38604
45,9766,3,-0.07263,0.16913,-0.91235,0.36566,1.58984,-0.51562,8.67188,1.82617,0.87695,0.37500,-2.37756,-0.00884,-0.37014
46,9765,3,-0.06543,0.16278,-0.91333,0.36743,1.64062,-0.79688,8.41016,2.04883,1.17383,0.36328,-2.37664,0.00010,-0.35271
47,10742,3,-0.05725,0.15619,-0.91449,0.36890,1.17578,-1.12109,7.10547,2.25195,1.35547,0.35742,-2.37652,0.01052,-0.33409
48,9766,3,-0.04688,0.14850,-0.91583,0.37018,1.23047,-1.32422,5.83984,2.39453,1.40234,0.31250,-2.37714,0.02408,-0.31181
49,9766,3,-0.03601,0.14044,-0.91718,0.37122,1.26562,-1.55078,4.66016,2.52344,1.41797,0.23828,-2.37798,0.03822,-0.28854
50,10742,3,-0.02478,0.13184,-0.91852,0.37195,1.17578,-1.70703,3.55469,2.64844,1.42188,0.14062,-2.37905,0.05257,-0.26403
51,11719,3,-0.01331,0.12256,-0.91992,0.37219,0.66406,-1.88281,1.64453,2.71094,1.41797,0.06641,-2.38067,0.06680,-0.23817
52,7812,3,-0.00208,0.11310,-0.92133,0.37195,0.46875,-2.19922,0.78516,2.72461,1.41992,0.04688,-2.38276,0.08040,-0.21222
53,9766,3,0.00952,0.10321,-0.92267,0.37146,0.30078,-2.39062,-0.03516,2.69922,1.42578,0.03711,-2.38489,0.09438,-0.18525
54,10742,3,0.02124,0.09326,-0.92377,0.37079,0.44141,-2.46484,-1.45312,2.61133,1.40430,0.03125,-2.38680,0.10862,-0.15814
55,9766,3,0.03320,0.08319,-0.92474,0.37000,0.51562,-2.54688,-2.13281,2.51953,1.40430,-0.00977,-2.38847,0.12327,-0.13064
56,9765,3,0.04443,0.07391,-0.92542,0.36902,0.46484,-2.71875,-2.69531,2.39453,1.40625,0.00000,-2.38995,0.13722,-0.10519
57,9766,3,0.05536,0.06519,-0.92590,0.36798,0.37500,-2.96094,-3.23828,2.24805,1.37500,0.04492,-2.39115,0.15106,-0.08098
58,10742,3,0.06616,0.05688,-0.92615,0.36700,0.00781,-2.99609,-3.97266,2.08203,1.33594,0.10352,-2.39179,0.16504,-0.05762
