lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1533203,2,0.01874,0.06451,-0.73920,0.67010,0.03125,0.31641,-1.73047,-0.18359,0.01953,-0.11719,-1.67282,0.11442,-0.07079
1,10742,2,0.01831,0.06525,-0.73944,0.66980,0.03125,0.29297,-1.87500,-0.23633,-0.02148,-0.14062,-1.67372,0.11474,-0.07250
2,9766,2,0.01752,0.06604,-0.73987,0.66931,-0.00781,0.27734,-2.02734,-0.29492,-0.05273,-0.14258,-1.67514,0.11457,-0.07483
3,9766,2,0.01642,0.06689,-0.74023,0.66882,-0.04688,0.18750,-2.21875,-0.38086,-0.08203,-0.14062,-1.67650,0.11403,-0.07765
4,10742,2,0.01495,0.06799,-0.74060,0.66833,-0.10156,0.14844,-2.48047,-0.55664,-0.16406,-0.18359,-1.67790,0.11327,-0.08133
5,9765,2,0.01288,0.06927,-0.74103,0.66779,-0.30859,0.38672,-3.58203,-0.76953,-0.30078,-0.22461,-1.67950,0.11184,-0.08611
6,10743,2,0.00970,0.07098,-0.74146,0.66718,-0.67578,0.38281,-3.92969,-0.95117,-0.48633,-0.26367,-1.68125,0.10932,-0.09300
7,8789,2,0.00531,0.07288,-0.74200,0.66644,-0.79297,0.31641,-4.41016,-1.11523,-0.75977,-0.32227,-1.68336,0.10520,-0.10180
8,10742,2,-0.00049,0.07458,-0.74255,0.66559,-0.81641,0.14844,-5.16797,-1.24805,-1.01172,-0.36719,-1.68555,0.09873,-0.11220
9,9766,2,-0.00806,0.07605,-0.74329,0.66461,-0.68750,0.04297,-5.39062,-1.40234,-1.26953,-0.40820,-1.68801,0.08923,-0.12457
10,9765,2,-0.01685,0.07721,-0.74402,0.66351,-0.40625,-0.05469,-5.52734,-1.50977,-1.49609,-0.46484,-1.69042,0.07746,-0.13809
11,9766,2,-0.02698,0.07800,-0.74475,0.66223,-0.13281,0.05469,-5.39844,-1.57227,-1.63477,-0.51562,-1.69280,0.06317,-0.15281
12,10742,2,-0.03821,0.07849,-0.74548,0.66077,0.35547,-0.05469,-4.83594,-1.64844,-1.74414,-0.53320,-1.69509,0.04678,-0.16850
13,9766,2,-0.04999,0.07880,-0.74622,0.65912,0.57422,-0.05078,-4.54688,-1.75391,-1.77734,-0.51172,-1.69730,0.02927,-0.18462
14,9765,2,-0.06250,0.07922,-0.74677,0.65735,0.76953,-0.19531,-4.19922,-1.82812,-1.74023,-0.46094,-1.69908,0.01081,-0.20188
15,10742,2,-0.07507,0.07996,-0.74707,0.65564,1.57812,-0.90234,-3.00391,-1.89258,-1.70312,-0.39648,-1.70017,-0.00733,-0.21967
16,8789,2,-0.08746,0.08105,-0.74701,0.65405,2.02734,-0.96094,-2.37500,-1.93359,-1.63672,-0.36914,-1.70035,-0.02465,-0.23781
17,10743,2,-0.10022,0.08258,-0.74670,0.65234,2.54297,-0.97266,-1.55469,-1.86328,-1.50000,-0.36523,-1.70006,-0.04194,-0.25713
18,9765,2,-0.11273,0.08441,-0.74628,0.65057,2.99219,-0.90234,-0.60938,-1.73047,-1.33594,-0.40430,-1.69947,-0.05846,-0.27665
19,9766,2,-0.12445,0.08636,-0.74585,0.64862,4.03125,-0.84375,1.41406,-1.59961,-1.14062,-0.47461,-1.69906,-0.07368,-0.29535
20,10742,2,-0.13440,0.08820,-0.74579,0.64648,4.25000,-0.73438,2.36328,-1.48828,-0.94727,-0.54102,-1.69961,-0.08654,-0.31149
21,9766,2,-0.14349,0.09021,-0.74597,0.64404,4.44141,-0.60156,3.38281,-1.31250,-0.72656,-0.61133,-1.70102,-0.09804,-0.32675
