lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1033203,3,0.01019,0.12775,0.11316,0.98529,2.14062,0.51562,1.45703,-0.91016,0.50781,0.26953,0.23511,0.25208,0.05062
1,9766,3,0.00580,0.12909,0.11536,0.98486,2.97656,0.90234,1.61719,-0.59570,0.65039,-0.10156,0.23867,0.25572,0.04260
2,9766,3,0.00183,0.13153,0.11621,0.98450,3.75781,1.77734,1.55859,-0.15039,0.67773,-0.90039,0.23965,0.26152,0.03538
3,9765,3,-0.00073,0.13464,0.11395,0.98431,4.85547,2.97266,1.67969,0.45117,0.67773,-2.13477,0.23461,0.26845,0.03034
4,10742,3,-0.00140,0.13788,0.10663,0.98468,7.56250,5.29297,1.89453,1.09570,0.44922,-3.95117,0.21957,0.27530,0.02769
5,9766,3,0.00012,0.14124,0.09021,0.98584,8.62109,6.52734,1.25781,1.71289,0.02344,-5.94531,0.18631,0.28219,0.02679
6,9766,3,0.00342,0.14301,0.06464,0.98761,8.84375,6.21875,1.15234,2.07031,-0.31250,-7.48633,0.13449,0.28590,0.02631
7,10742,3,0.00800,0.14294,0.03003,0.98926,9.10938,4.46484,1.62109,2.26758,-0.43750,-8.45703,0.06436,0.28622,0.02544
8,12695,3,0.00800,0.14294,0.03003,0.98926,9.01172,0.68750,2.90625,2.33789,-0.34375,-8.82227,0.06436,0.28622,0.02544
9,6836,3,0.01813,0.14008,-0.05341,0.98853,9.09375,-1.14062,3.86328,2.64258,0.23242,-8.58594,-0.10485,0.28262,0.02174
10,9766,3,0.02435,0.13977,-0.09863,0.98499,8.87891,-2.59766,4.92969,3.15625,0.97852,-8.12500,-0.19657,0.28393,0.02125
11,10742,3,0.03302,0.14221,-0.14136,0.97913,6.98828,-3.78516,3.49609,3.60742,1.54102,-7.63867,-0.28301,0.29196,0.02554
12,9766,3,0.03302,0.14221,-0.14136,0.97913,6.21094,-3.77344,1.74219,3.99805,1.75391,-7.18945,-0.28301,0.29196,0.02554
