lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1412109,3,-0.13837,-0.04889,0.13214,0.98029,2.36328,1.30469,0.49609,-0.03320,0.82031,0.05273,0.27661,-0.05932,-0.28871
1,9766,3,-0.13922,-0.04523,0.13190,0.98041,2.58984,1.58984,0.64844,0.08984,0.95508,0.00977,0.27503,-0.05198,-0.28932
2,10742,3,-0.13965,-0.04089,0.13147,0.98059,2.93359,1.68750,1.06250,0.13477,1.11914,0.00195,0.27288,-0.04349,-0.28889
3,9766,3,-0.13977,-0.03577,0.13080,0.98083,3.02734,1.52734,1.25391,0.12695,1.31055,0.01562,0.27001,-0.03361,-0.28766
4,9765,3,-0.13989,-0.02966,0.13000,0.98114,3.21484,1.58984,1.43750,0.19531,1.46484,-0.08203,0.26662,-0.02184,-0.28618
5,9766,3,-0.14001,-0.02283,0.12885,0.98145,3.60547,1.61328,2.27344,0.28516,1.65430,-0.24414,0.26232,-0.00873,-0.28456
6,10742,3,-0.13977,-0.01508,0.12695,0.98187,3.44141,1.28125,2.68359,0.40430,1.79492,-0.45898,0.25633,0.00588,-0.28204
7,9766,3,-0.13916,-0.00665,0.12408,0.98242,3.20703,1.05859,3.16797,0.48438,1.89844,-0.70117,0.24827,0.02147,-0.27875
8,9765,3,-0.13806,0.00226,0.11993,0.98315,2.67188,0.47656,3.65625,0.46680,1.98633,-0.88672,0.23759,0.03756,-0.27455
9,9766,3,-0.13690,0.01111,0.11487,0.98383,0.75391,-0.48438,4.41797,0.49023,1.99023,-1.03320,0.22520,0.05334,-0.27050
10,10742,3,-0.13568,0.02094,0.10846,0.98456,0.03516,-0.82812,4.92188,0.65430,1.91602,-1.19141,0.20996,0.07072,-0.26644
11,9766,3,-0.13403,0.02997,0.10168,0.98529,-0.46484,-1.14453,5.28906,0.95312,1.81641,-1.40820,0.19428,0.08642,-0.26198
12,9765,3,-0.13116,0.03876,0.09381,0.98615,-1.16016,-1.58984,5.55859,1.33203,1.61914,-1.69336,0.17667,0.10122,-0.25549
13,12696,3,-0.12659,0.04675,0.08478,0.98724,-3.03516,-2.64062,5.65625,1.58008,1.34961,-1.91406,0.15721,0.11402,-0.24606
14,7812,3,-0.12067,0.05316,0.07507,0.98840,-4.51953,-3.40234,5.13672,1.72656,0.98047,-2.00195,0.13705,0.12353,-0.23447
15,9766,3,-0.11346,0.05829,0.06427,0.98975,-6.09766,-3.80859,4.53906,1.98047,0.62695,-1.93945,0.11522,0.13034,-0.22076
16,9765,3,-0.10480,0.06183,0.05310,0.99115,-8.35547,-4.34766,4.76562,2.37695,0.33398,-1.71875,0.09327,0.13409,-0.20442
17,9766,3,-0.09442,0.06384,0.04291,0.99255,-8.84766,-4.72656,4.39062,2.68359,0.10547,-1.36719,0.07386,0.13525,-0.18468
18,10742,3,-0.08246,0.06470,0.03442,0.99390,-9.34375,-4.87109,3.42578,2.84180,-0.05273,-0.90820,0.05832,0.13469,-0.16162
19,9766,3,-0.06903,0.06476,0.02783,0.99512,-9.50391,-4.69922,2.38281,2.90039,-0.25586,-0.41992,0.04688,0.13312,-0.13539
20,9765,3,-0.05457,0.06415,0.02356,0.99615,-9.10938,-3.66016,0.16016,2.89844,-0.46875,0.05664,0.04029,0.13075,-0.10680
21,12696,3,-0.04034,0.06262,0.02185,0.99701,-8.52734,-3.32422,-0.90625,2.81250,-0.68164,0.47852,0.03884,0.12697,-0.07842
22,6836,3,-0.02637,0.06012,0.02240,0.99762,-7.76953,-2.97656,-1.96484,2.73047,-0.93945,0.75977,0.04184,0.12143,-0.05030
23,10742,3,-0.01227,0.05646,0.02472,0.99805,-6.66016,-2.63672,-2.83984,2.57617,-1.18945,0.96094,0.04828,0.11354,-0.02184
24,9766,3,0.00189,0.05133,0.02844,0.99829,-5.10547,-2.21875,-4.42578,2.32422,-1.38086,1.15820,0.05731,0.10255,0.00673
25,10742,3,0.01471,0.04517,0.03314,0.99835,-4.76172,-2.23828,-5.08203,2.03320,-1.54688,1.37891,0.06782,0.08932,0.03250
26,9765,3,0.02612,0.03809,0.03888,0.99817,-4.71875,-2.11328,-5.62109,1.69922,-1.68555,1.69727,0.07991,0.07407,0.05529
27,9766,3,0.03577,0.03040,0.04578,0.99786,-4.53125,-2.10938,-6.35547,1.36523,-1.84375,2.04688,0.09382,0.05742,0.07435
28,9766,3,0.04443,0.02130,0.05487,0.99725,-4.05859,-2.07422,-6.58594,1.13867,-2.05273,2.31055,0.11165,0.03762,0.09116
29,10742,3,0.05133,0.01154,0.06519,0.99646,-4.26172,-2.19922,-6.57031,1.01953,-2.26172,2.46680,0.13150,0.01630,0.10401
30,9765,3,0.05762,0.00043,0.07672,0.99536,-2.42969,-2.26953,-6.76172,0.89453,-2.36719,2.57812,0.15339,-0.00799,0.11503
31,12696,3,0.05762,0.00043,0.07672,0.99536,-1.06250,-2.73828,-6.89844,0.60547,-2.44727,2.77344,0.15339,-0.00799,0.11503
32,7812,3,0.06775,-0.02332,0.10083,0.99231,-1.07422,-2.87109,-7.64062,0.07031,-2.58008,3.13672,0.19861,-0.05997,0.13036
33,9766,3,0.07037,-0.03674,0.11493,0.99017,-1.47266,-3.03125,-8.49219,-0.58203,-2.60938,3.68555,0.22522,-0.08906,0.13183
34,9765,3,0.06995,-0.05151,0.13159,0.98749,-2.00391,-3.12109,-8.28516,-1.10742,-2.51953,4.25781,0.25736,-0.12044,0.12583
35,9766,3,0.06641,-0.06610,0.15021,0.98419,-1.94141,-3.17969,-8.79688,-1.65625,-2.48047,4.83398,0.29442,-0.15063,0.11236
36,10742,3,0.05994,-0.08093,0.17145,0.98004,-1.95312,-3.43750,-9.45703,-2.37109,-2.40820,5.51172,0.33812,-0.18016,0.09133
37,8789,3,0.05017,-0.09601,0.19513,0.97479,-1.78516,-3.80078,-10.30469,-3.08984,-2.30273,6.14844,0.38868,-0.20825,0.06171
38,10743,3,0.03693,-0.11090,0.22064,0.96832,-0.79297,-5.04297,-10.00000,-3.66797,-1.88086,6.70312,0.44535,-0.23318,0.02320
39,9765,3,0.01862,-0.12640,0.25067,0.95959,-0.03125,-5.85938,-8.75781,-4.08203,-1.58008,7.02344,0.51469,-0.25467,-0.02857
40,10742,3,-0.00244,-0.14026,0.28131,0.94934,1.18750,-6.43359,-8.57031,-4.35547,-1.43750,7.02734,0.58787,-0.26812,-0.08675
41,9766,3,-0.02502,-0.15295,0.31134,0.93756,1.89844,-6.62109,-7.33594,-4.37695,-1.46289,6.79688,0.66176,-0.27467,-0.14825
42,9766,3,-0.04834,-0.16547,0.34033,0.92438,3.94922,-6.15625,-5.64844,-4.35156,-1.60156,6.41211,0.73509,-0.27651,-0.21154
43,9765,3,-0.07172,-0.17847,0.36792,0.90973,5.23047,-5.27344,-6.04297,-4.53320,-1.53125,5.95312,0.80706,-0.27542,-0.27554
44,10742,3,-0.09448,-0.19141,0.39252,0.89465,6.79297,-4.44922,-6.20703,-4.88086,-1.04688,5.47461,0.87350,-0.27163,-0.33785
45,9766,3,-0.11816,-0.20343,0.41388,0.87939,9.57031,-3.67188,-5.28516,-5.20703,-0.50000,4.86328,0.93341,-0.26301,-0.40022
46,9766,3,-0.14313,-0.21375,0.43127,0.86475,10.57422,-3.25000,-4.61328,-5.27148,-0.17969,4.04297,0.98405,-0.24879,-0.46189
47,9765,3,-0.17047,-0.22345,0.44550,0.85004,11.02344,-2.73828,-3.47656,-4.87891,-0.11133,3.04102,1.02765,-0.23001,-0.52605
48,9766,3,-0.19586,-0.23236,0.45508,0.83698,11.19531,-2.36328,-1.90625,-4.25977,-0.18750,1.98047,1.06010,-0.21229,-0.58446
49,10742,3,-0.21649,-0.24048,0.46014,0.82678,12.53125,-2.97656,0.13672,-3.77148,-0.14648,1.04883,1.08125,-0.19974,-0.63235
50,9766,3,-0.23529,-0.24908,0.46191,0.81805,13.33594,-3.24609,0.69922,-3.55078,0.21289,0.26562,1.09559,-0.19133,-0.67707
51,9765,3,-0.25098,-0.25659,0.46008,0.81207,14.02734,-3.58594,1.57812,-3.37109,0.61133,-0.51172,1.10085,-0.18689,-0.71439
52,10743,3,-0.26587,-0.26306,0.45471,0.80829,14.23438,-3.71875,2.37109,-3.02734,0.86328,-1.34180,1.09753,-0.18452,-0.74858
53,9765,3,-0.27905,-0.26855,0.44592,0.80695,13.34375,-4.20312,4.05859,-2.45703,1.03711,-2.11719,1.08595,-0.18561,-0.77810
54,9766,3,-0.28955,-0.27313,0.43445,0.80798,12.51562,-4.52344,4.84375,-1.90820,1.34570,-2.75195,1.06777,-0.19094,-0.80131
55,9765,3,-0.29779,-0.27667,0.41956,0.81165,11.53516,-4.88281,5.55078,-1.45898,1.65625,-3.30273,1.04143,-0.20058,-0.81859
56,10743,3,-0.30347,-0.27863,0.40271,0.81738,10.58203,-5.40234,5.91406,-0.84961,1.82227,-3.87695,1.00938,-0.21267,-0.82877
57,9765,3,-0.30658,-0.27930,0.38385,0.82501,9.77344,-5.52344,7.18750,-0.13867,2.10547,-4.40820,0.97179,-0.22745,-0.83208
58,9766,3,-0.30646,-0.27844,0.36304,0.83472,8.98828,-6.11328,8.13672,0.64062,2.45703,-4.92578,0.92829,-0.24477,-0.82672
59,10742,3,-0.30292,-0.27557,0.34015,0.84650,8.33984,-6.21094,8.29688,1.44531,2.68945,-5.48438,0.87792,-0.26352,-0.81159
60,8789,3,-0.29590,-0.27094,0.31677,0.85944,6.85938,-6.51953,7.89453,2.19922,2.90039,-6.03516,0.82398,-0.28198,-0.78705
61,10742,3,-0.28412,-0.26422,0.28943,0.87500,5.62109,-6.96094,7.26953,2.84961,3.08594,-6.46289,0.75863,-0.30254,-0.74931
62,9766,3,-0.26862,-0.25604,0.26044,0.89130,4.09375,-7.75000,6.52344,3.37305,3.18164,-6.77539,0.68731,-0.32206,-0.70156
63,10742,3,-0.25031,-0.24683,0.23077,0.90729,2.31250,-8.41016,5.55078,3.67773,3.38477,-6.81055,0.61261,-0.33880,-0.64645
64,9766,3,-0.23010,-0.23651,0.20093,0.92236,-1.13672,-9.56641,3.66016,3.89844,3.60742,-6.58008,0.53591,-0.35099,-0.58625
65,9765,3,-0.20758,-0.22382,0.16968,0.93701,-2.34766,-9.83203,2.30859,4.21289,3.79492,-6.22461,0.45391,-0.35651,-0.51919
66,9766,3,-0.18402,-0.20935,0.13983,0.95013,-3.35938,-9.99609,1.58984,4.45703,3.98438,-5.69531,0.37405,-0.35369,-0.45023
67,10742,3,-0.15991,-0.19330,0.11249,0.96149,-6.59766,-8.71094,-1.26562,4.50391,4.16016,-5.00000,0.29972,-0.34236,-0.38181
68,9766,3,-0.13605,-0.17590,0.08850,0.97095,-7.88281,-7.94922,-3.22656,4.17578,4.06250,-4.17773,0.23383,-0.32309,-0.31670
69,9765,3,-0.11200,-0.15656,0.06659,0.97906,-8.98047,-7.07031,-4.54688,3.54883,4.00391,-3.30273,0.17384,-0.29592,-0.25377
70,9766,3,-0.09119,-0.13733,0.04877,0.98511,-10.06250,-5.96094,-5.08984,2.89258,3.82812,-2.50586,0.12583,-0.26476,-0.20138
71,9766,3,-0.07355,-0.11786,0.03436,0.98969,-10.82422,-3.76953,-5.51172,2.44922,3.34375,-1.86719,0.08778,-0.23027,-0.15851
72,10742,3,-0.06012,-0.10107,0.02417,0.99274,-11.09375,-3.17578,-5.05469,2.17188,2.77344,-1.29883,0.06140,-0.19910,-0.12711
73,9765,3,-0.04816,-0.08606,0.01666,0.99500,-11.17188,-2.92969,-4.68359,1.97852,2.14844,-0.77930,0.04207,-0.17047,-0.10032
74,9766,3,-0.03784,-0.07428,0.01202,0.99646,-11.03125,-2.51953,-4.77344,1.81445,1.45117,-0.37695,0.02991,-0.14766,-0.07813
75,9766,3,-0.02789,-0.06494,0.00958,0.99744,-10.46875,-1.18750,-5.58203,1.58008,0.78711,0.00000,0.02293,-0.12938,-0.05740
76,10742,3,-0.01935,-0.05933,0.00916,0.99799,-10.13672,-0.80859,-6.10938,1.28320,0.14844,0.43164,0.02072,-0.11834,-0.04000
77,9766,3,-0.01233,-0.05695,0.01068,0.99823,-9.73828,-0.48047,-6.53125,0.93555,-0.42383,0.96484,0.02288,-0.11367,-0.02600
78,9765,3,-0.00708,-0.05756,0.01453,0.99823,-9.02344,-0.19141,-7.60156,0.42773,-0.98047,1.63867,0.03002,-0.11495,-0.01591
79,9766,3,-0.00391,-0.06110,0.02155,0.99786,-8.62109,0.06641,-8.48438,-0.16016,-1.39648,2.34961,0.04382,-0.12207,-0.01051
80,10742,3,-0.00372,-0.06696,0.03156,0.99725,-8.27734,0.26562,-8.42969,-0.66211,-1.72656,3.01367,0.06405,-0.13371,-0.01176
81,9766,3,-0.00641,-0.07477,0.04492,0.99615,-7.64453,0.34375,-8.43750,-1.30469,-2.08789,3.70117,0.09160,-0.14894,-0.01971
