lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1230469,3,0.20477,-0.29327,-0.07947,0.93048,-2.15625,0.01562,-2.48438,-1.73047,-0.41602,0.74414,-0.31754,-0.53891,0.52162
1,9765,3,0.19672,-0.29510,-0.07922,0.93164,-3.23438,-0.03516,-3.71094,-2.40625,-0.34570,1.08594,-0.31357,-0.54531,0.50454
2,9766,3,0.18573,-0.29694,-0.07837,0.93341,-3.75781,0.08984,-4.14844,-3.16602,-0.29102,1.50000,-0.30628,-0.55293,0.48036
3,9765,3,0.17059,-0.29846,-0.07678,0.93591,-3.98047,0.15625,-4.92578,-3.93945,-0.21094,1.99414,-0.29433,-0.56151,0.44603
4,9766,3,0.15106,-0.29974,-0.07410,0.93909,-4.62500,-0.21094,-5.06250,-4.56836,-0.12109,2.51172,-0.27656,-0.57111,0.40066
5,12695,3,0.12750,-0.30054,-0.07001,0.94263,-4.55859,-0.53906,-4.95312,-5.03125,-0.09375,3.06641,-0.25220,-0.58084,0.34463
6,7813,3,0.10193,-0.30103,-0.06439,0.94598,-4.92969,-1.12109,-4.82422,-5.29883,0.10547,3.75391,-0.22229,-0.59003,0.28247
7,9765,3,0.07239,-0.30090,-0.05603,0.94928,-5.83203,-1.68359,-3.76953,-5.31250,0.15039,4.39453,-0.18245,-0.59818,0.20861
8,10743,3,0.04059,-0.30011,-0.04443,0.95203,-6.10938,-2.62109,-3.50000,-5.18945,-0.22266,4.83984,-0.13276,-0.60382,0.12662
9,9765,3,0.00732,-0.29980,-0.02979,0.95349,-5.75781,-2.30859,-4.22266,-5.12305,-0.89648,5.10938,-0.07463,-0.60809,0.03879
10,9766,3,-0.02448,-0.30170,-0.01392,0.95300,-5.36719,-1.98047,-5.45312,-5.33594,-1.43750,5.28711,-0.01438,-0.61346,-0.04680
11,12695,3,-0.05762,-0.30603,0.00323,0.95026,-5.26953,-2.16016,-6.04297,-5.71875,-1.69922,5.40430,0.05092,-0.62027,-0.13744
12,6836,3,-0.09033,-0.31152,0.01978,0.94574,-4.72656,-4.92578,-5.37109,-5.92383,-1.84180,5.50781,0.11584,-0.62569,-0.22796
13,10742,3,-0.12598,-0.31775,0.03723,0.93903,-4.51172,-5.49609,-4.38672,-5.90625,-1.86133,5.59375,0.18640,-0.62781,-0.32739
14,9766,3,-0.16412,-0.32410,0.05603,0.92999,-3.63672,-6.39844,-3.06641,-5.81641,-1.83789,5.49414,0.26254,-0.62417,-0.43450
15,9766,3,-0.19934,-0.32941,0.07361,0.91998,-0.45703,-7.68750,-0.63672,-5.74414,-1.68750,5.25781,0.33263,-0.61472,-0.53323
16,10742,3,-0.23407,-0.33405,0.09058,0.90851,1.99609,-7.28516,0.35938,-5.72656,-1.30273,4.88867,0.39941,-0.59993,-0.62936
17,9765,3,-0.26807,-0.33728,0.10583,0.89624,4.42188,-7.18750,2.37891,-5.49609,-0.74023,4.32617,0.45879,-0.57972,-0.72033
18,9766,3,-0.30023,-0.33838,0.11835,0.88391,6.11719,-6.58594,4.54688,-4.71289,-0.26367,3.57617,0.50675,-0.55525,-0.80220
19,11719,3,-0.32776,-0.33752,0.12738,0.87317,7.96094,-5.67578,8.46094,-3.31445,-0.08398,2.75391,0.54030,-0.53046,-0.86834
20,8789,3,-0.35052,-0.33551,0.13470,0.86395,8.24219,-5.00781,9.19531,-1.71875,-0.35742,1.90820,0.56477,-0.50670,-0.92082
21,9765,3,-0.36572,-0.33392,0.14124,0.85718,7.96875,-4.65234,8.80859,-0.47656,-0.78516,1.12695,0.58330,-0.48836,-0.95587
22,9766,3,-0.37256,-0.33435,0.14691,0.85309,7.36328,-4.53516,7.52344,0.23828,-1.06250,0.48438,0.59831,-0.47915,-0.97389
23,9766,3,-0.37372,-0.33685,0.15186,0.85077,6.15234,-4.53516,4.50391,0.62891,-1.08789,0.01367,0.61193,-0.47762,-0.98130
24,10742,3,-0.37146,-0.34064,0.15564,0.84955,5.30859,-4.46484,4.10547,0.90430,-0.77539,-0.27344,0.62357,-0.48156,-0.98234
25,9766,3,-0.36725,-0.34418,0.15814,0.84949,4.87109,-4.32031,3.89844,1.11719,-0.45898,-0.46289,0.63146,-0.48772,-0.97830
26,9765,3,-0.36182,-0.34668,0.15942,0.85059,5.23828,-3.57812,2.70312,1.23242,-0.26367,-0.65234,0.63484,-0.49427,-0.96977
27,9766,3,-0.35553,-0.34827,0.15973,0.85254,5.10938,-3.12109,2.14062,1.38867,-0.23242,-0.92578,0.63454,-0.50092,-0.95781
28,10742,3,-0.34839,-0.34961,0.15912,0.85504,4.88281,-2.64062,1.98828,1.57227,-0.31250,-1.26172,0.63160,-0.50863,-0.94329
29,8789,3,-0.33990,-0.35150,0.15747,0.85797,4.57031,-2.53516,2.09375,1.74805,-0.35938,-1.58398,0.62663,-0.51911,-0.92605
30,10742,3,-0.33032,-0.35394,0.15497,0.86121,3.96094,-2.10938,2.11328,1.94727,-0.34570,-1.89062,0.61995,-0.53195,-0.90658
31,12696,3,-0.31848,-0.35693,0.15112,0.86505,3.98047,-2.14453,1.97266,2.06445,-0.23828,-2.15234,0.60992,-0.54835,-0.88214
32,6835,3,-0.30652,-0.35974,0.14661,0.86896,3.80469,-2.21484,1.55859,2.09180,-0.13281,-2.32617,0.59776,-0.56492,-0.85660
33,10743,3,-0.29321,-0.36243,0.14087,0.87341,3.69141,-2.33594,0.90625,2.10352,-0.07422,-2.43164,0.58155,-0.58293,-0.82686
34,9765,3,-0.27905,-0.36487,0.13416,0.87805,3.46875,-2.19531,0.28125,2.14844,0.02539,-2.47266,0.56184,-0.60151,-0.79395
35,10742,3,-0.26520,-0.36694,0.12726,0.88251,3.17188,-2.21484,0.24219,2.24219,0.16797,-2.49609,0.54069,-0.61894,-0.76060
36,9766,3,-0.25098,-0.36835,0.12018,0.88708,3.01172,-2.17188,0.23828,2.32031,0.33984,-2.56445,0.51724,-0.63499,-0.72486
37,9766,3,-0.23645,-0.36896,0.11292,0.89172,2.73828,-1.75781,-0.08594,2.27734,0.52930,-2.63281,0.49145,-0.64932,-0.68681
38,9765,3,-0.22137,-0.36871,0.10492,0.89667,2.44531,-1.66406,-0.57031,2.23828,0.72852,-2.70508,0.46180,-0.66212,-0.64535
39,10743,3,-0.20648,-0.36755,0.09625,0.90167,2.32422,-1.42188,-0.67188,2.26562,0.89258,-2.84961,0.42901,-0.67266,-0.60227
40,9765,3,-0.19171,-0.36566,0.08710,0.90662,2.26953,-1.38281,-0.58203,2.25195,0.94922,-3.02344,0.39385,-0.68108,-0.55793
41,12695,3,-0.17596,-0.36316,0.07672,0.91174,1.70703,-0.99219,-1.41406,2.10742,0.97656,-3.16211,0.35396,-0.68828,-0.50933
42,6836,3,-0.16180,-0.36072,0.06641,0.91614,1.04688,-0.98828,-2.00000,1.87891,0.94531,-3.23828,0.31527,-0.69376,-0.46442
43,10743,3,-0.14703,-0.35815,0.05450,0.92041,0.43359,-0.78125,-2.74609,1.60938,0.81055,-3.29297,0.27194,-0.69875,-0.41642
44,9765,3,-0.13281,-0.35583,0.04138,0.92413,-0.25000,-0.12109,-3.83984,1.26953,0.63086,-3.30469,0.22612,-0.70324,-0.36874
45,9766,3,-0.12036,-0.35431,0.02814,0.92694,-0.79297,0.03516,-4.19531,0.90430,0.48047,-3.24414,0.18188,-0.70765,-0.32559
46,10742,3,-0.10956,-0.35352,0.01453,0.92889,-1.28516,0.25000,-4.25000,0.50391,0.36133,-3.12695,0.13844,-0.71227,-0.28637
