lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1051758,3,0.18347,0.38812,-0.13782,0.89258,2.20703,1.22656,1.40625,1.00195,0.46680,-0.86328,-0.15554,0.83820,0.33605
1,9766,3,0.18591,0.39026,-0.14233,0.89044,2.66797,1.30469,2.02734,1.37109,0.53125,-1.12109,-0.16399,0.84492,0.33781
2,9765,3,0.18951,0.39252,-0.14838,0.88770,3.06641,1.41797,2.32031,1.71484,0.69141,-1.45312,-0.17516,0.85277,0.34093
3,10743,3,0.19434,0.39532,-0.15668,0.88397,3.16797,1.37891,2.43359,1.77344,1.02930,-1.71289,-0.19087,0.86301,0.34470
4,9765,3,0.19965,0.39935,-0.16632,0.87921,2.41406,0.69922,1.96094,1.58984,1.50195,-1.75000,-0.20944,0.87670,0.34812
5,9766,3,0.20453,0.40515,-0.17584,0.87354,1.25781,0.34766,1.58984,1.50391,1.83008,-1.73828,-0.22796,0.89432,0.35030
6,12695,3,0.20923,0.41296,-0.18500,0.86688,-1.32812,0.46875,0.79688,1.53320,1.78906,-1.74414,-0.24547,0.91634,0.35214
7,7813,3,0.21356,0.42065,-0.19312,0.86029,-3.08984,0.36328,0.14062,1.53906,1.46484,-1.65430,-0.26094,0.93786,0.35389
8,9765,3,0.21814,0.42798,-0.20190,0.85352,-4.95703,0.17969,-0.50000,1.61523,0.90625,-1.52539,-0.27861,0.95907,0.35488
9,9766,3,0.22284,0.43341,-0.21118,0.84729,-7.88281,0.30469,-1.40234,1.76758,0.21094,-1.39648,-0.29859,0.97655,0.35491
10,10742,3,0.22736,0.43561,-0.22034,0.84259,-9.12891,0.25781,-2.32031,1.72266,-0.49609,-1.09961,-0.31966,0.98688,0.35415
11,9766,3,0.23175,0.43451,-0.22937,0.83954,-10.07031,0.00781,-3.49219,1.60156,-1.04688,-0.67188,-0.34139,0.98984,0.35314
12,9765,3,0.23590,0.43036,-0.23755,0.83826,-10.66016,-0.00781,-3.67578,1.55078,-1.50781,-0.24023,-0.36123,0.98561,0.35315
13,9766,3,0.23981,0.42389,-0.24402,0.83862,-10.94531,-0.05469,-4.47656,1.24805,-1.94531,0.32031,-0.37612,0.97550,0.35581
14,10742,3,0.24377,0.41449,-0.24902,0.84070,-10.99219,-0.44922,-5.81641,0.32227,-2.23633,1.14648,-0.38643,0.95848,0.36180
15,9766,3,0.24597,0.40387,-0.25000,0.84491,-11.11719,-1.07812,-7.22266,-0.58984,-2.50391,2.03125,-0.38719,0.93646,0.36893
16,11719,3,0.24597,0.40387,-0.25000,0.84491,-10.12500,-1.53906,-7.17969,-0.91992,-2.68945,2.49414,-0.38719,0.93646,0.36893
17,7812,3,0.24359,0.37958,-0.23816,0.86017,-5.66797,-1.65625,-5.07812,-1.31250,-2.81445,2.80078,-0.35933,0.87729,0.38193
18,10742,3,0.24036,0.36530,-0.22754,0.87006,-4.64062,-1.60547,-6.38281,-1.91406,-3.00586,3.08008,-0.33667,0.84061,0.38745
19,9766,3,0.23523,0.35059,-0.21490,0.88068,-3.80859,-1.21875,-7.05469,-2.37695,-3.16992,3.30078,-0.31217,0.80178,0.38882
20,9766,3,0.22797,0.33545,-0.20056,0.89178,-1.89844,-1.29688,-5.94141,-2.53711,-3.32617,3.45312,-0.28673,0.76113,0.38517
21,9765,3,0.21930,0.31946,-0.18494,0.90314,-0.78516,-1.62500,-5.10547,-2.67773,-3.42773,3.55469,-0.26052,0.71834,0.37813
22,10742,3,0.20996,0.30280,-0.16858,0.91425,-0.49609,-2.27734,-5.30859,-3.18750,-3.40625,3.75195,-0.23397,0.67440,0.36912
23,9766,3,0.19910,0.28564,-0.15082,0.92523,-0.33984,-2.66797,-5.96484,-4.00195,-3.43359,3.98633,-0.20597,0.62934,0.35665
24,11719,3,0.18579,0.26923,-0.13171,0.93579,0.74219,-3.42578,-6.27734,-4.84570,-3.35938,4.14844,-0.17668,0.58571,0.33858
25,7812,3,0.16809,0.25220,-0.10956,0.94666,1.29297,-3.51562,-5.73047,-5.39258,-3.30664,4.08789,-0.14350,0.54020,0.31167
26,10742,3,0.14661,0.23523,-0.08575,0.95697,1.95312,-3.41406,-5.32422,-5.59375,-3.39258,3.80859,-0.10837,0.49539,0.27660
27,9766,3,0.12311,0.21832,-0.06238,0.96606,2.39844,-3.24609,-4.90625,-5.58984,-3.58008,3.49414,-0.07431,0.45247,0.23639
28,12695,3,0.09888,0.20087,-0.04065,0.97375,3.09375,-4.14453,-4.54297,-5.56445,-3.76758,3.24023,-0.04303,0.41069,0.19343
29,7813,3,0.07507,0.18286,-0.02094,0.98004,3.19531,-4.06250,-4.48828,-5.51367,-4.02734,2.96094,-0.01456,0.36995,0.15018
30,9765,3,0.05035,0.16315,-0.00201,0.98529,3.53906,-3.92969,-5.21875,-5.35547,-4.21289,2.64258,0.01316,0.32754,0.10430
31,9766,3,0.02490,0.14130,0.01593,0.98950,4.47656,-4.03516,-4.62500,-5.10156,-4.32422,2.36523,0.04017,0.28259,0.05604
