lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,750976,3,-0.15430,0.00562,0.12408,0.98016,0.22656,-0.07812,3.85938,0.86914,0.79883,0.22656,0.24424,0.04932,-0.30622
1,9766,3,-0.15143,0.01013,0.12457,0.98053,0.14844,-0.29297,4.22656,1.11719,0.81641,0.19922,0.24404,0.05763,-0.29938
2,9766,3,-0.14703,0.01489,0.12482,0.98114,-0.22266,-0.60938,4.31250,1.31641,0.87500,0.19727,0.24346,0.06597,-0.28943
3,10742,3,-0.14172,0.01978,0.12500,0.98181,-1.10547,-1.07031,5.09375,1.61914,0.99414,0.17578,0.24288,0.07433,-0.27764
4,9766,3,-0.13483,0.02570,0.12500,0.98260,-1.30859,-1.59375,5.48438,2.09570,0.97852,0.12109,0.24193,0.08431,-0.26247
5,9765,3,-0.12634,0.03174,0.12469,0.98358,-1.63672,-2.03516,5.66406,2.67188,0.89062,0.00586,0.24066,0.09409,-0.24412
6,9766,3,-0.11505,0.03796,0.12390,0.98486,-1.97266,-2.37500,5.85547,3.13086,0.79883,-0.08789,0.23885,0.10347,-0.22016
7,10742,3,-0.10144,0.04382,0.12256,0.98627,-3.38672,-2.67969,4.56641,3.39453,0.65820,-0.12109,0.23653,0.11154,-0.19172
8,9766,3,-0.08557,0.04944,0.12085,0.98773,-3.85156,-2.68750,3.25000,3.51953,0.45117,-0.08594,0.23404,0.11863,-0.15888
9,9765,3,-0.06885,0.05426,0.11908,0.98901,-4.10547,-2.54688,2.25391,3.53125,0.29492,0.09180,0.23191,0.12404,-0.12453
10,9766,3,-0.05188,0.05811,0.11798,0.98993,-4.91797,-2.23047,0.75781,3.46094,0.20312,0.36523,0.23150,0.12764,-0.08986
11,12695,3,-0.03436,0.06152,0.11792,0.99054,-4.69531,-1.92188,-0.03906,3.33203,-0.04297,0.62109,0.23345,0.13035,-0.05405
12,7813,3,-0.01825,0.06390,0.11914,0.99066,-4.21875,-1.73047,-1.46484,2.99414,-0.33984,0.94531,0.23799,0.13134,-0.02111
13,9765,3,-0.00208,0.06488,0.12189,0.99042,-4.08203,-1.89844,-2.43750,2.51172,-0.45508,1.29883,0.24567,0.12938,0.01180
14,9766,3,0.01215,0.06464,0.12640,0.98981,-3.39062,-1.44141,-3.28906,2.04688,-0.49609,1.62305,0.25659,0.12521,0.04071
15,10742,3,0.02472,0.06354,0.13306,0.98877,-2.94922,-1.53906,-3.58594,1.57227,-0.44336,2.00391,0.27149,0.11935,0.06631
16,9766,3,0.03455,0.06219,0.14124,0.98743,-2.99609,-1.65234,-3.89453,1.06055,-0.42578,2.43164,0.28905,0.11331,0.08645
17,9765,3,0.04211,0.06061,0.15167,0.98566,-2.71484,-1.61719,-4.50000,0.51172,-0.58984,2.82031,0.31084,0.10691,0.10217
18,9766,3,0.04718,0.05811,0.16418,0.98358,-1.36719,-0.87500,-6.10938,0.00586,-0.83203,3.12500,0.33639,0.09897,0.11268
19,13672,3,0.04987,0.05414,0.17841,0.98120,-0.99219,-0.76953,-6.37500,-0.65820,-1.17969,3.46680,0.36495,0.08856,0.11791
20,6836,3,0.05005,0.04828,0.19385,0.97858,-1.08594,-0.84375,-7.15625,-1.81055,-1.22266,3.96289,0.39553,0.07515,0.11727
21,9765,3,0.04608,0.04034,0.21173,0.97540,-1.16797,-0.82812,-8.82812,-3.27734,-1.19336,4.47266,0.43069,0.05923,0.10738
22,10743,3,0.03528,0.03027,0.23346,0.97125,-0.51172,-0.25000,-9.92578,-4.81641,-1.11328,4.83594,0.47354,0.04235,0.08283
23,9765,3,0.01776,0.01923,0.25610,0.96631,0.08594,0.23438,-10.29297,-6.12305,-1.09961,5.06445,0.51877,0.02806,0.04420
24,9766,3,-0.00702,0.00629,0.28040,0.95984,0.76953,0.14453,-10.46094,-7.01367,-1.06836,5.19336,0.56836,0.01601,-0.00995
25,9765,3,-0.03705,-0.00800,0.30511,0.95154,1.42969,-1.07031,-8.47656,-7.35547,-1.18359,5.17383,0.62031,0.00739,-0.07546
26,10743,3,-0.06927,-0.02313,0.32904,0.94147,2.21875,-0.96484,-7.97656,-7.43359,-1.26953,4.78906,0.67231,0.00203,-0.14619
27,9765,3,-0.10260,-0.03931,0.35168,0.92963,3.27344,-0.65234,-6.54297,-7.38477,-1.39453,3.91797,0.72344,-0.00092,-0.22019
28,9766,3,-0.10260,-0.03931,0.35168,0.92963,4.93750,-0.78516,-6.31641,-7.54883,-1.31250,2.75586,0.72344,-0.00092,-0.22019
