lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,960938,3,-0.13464,0.09735,-0.28857,0.94293,2.82422,0.07422,1.37109,-0.32031,-0.22461,-0.46484,-0.61096,0.10608,-0.31715
1,10742,3,-0.13702,0.09650,-0.29010,0.94220,3.78125,-0.18359,2.30469,-0.14648,-0.16211,-0.61133,-0.61400,0.10252,-0.32136
2,9765,3,-0.13867,0.09552,-0.29230,0.94141,4.27734,-0.31250,3.06250,0.03125,0.04688,-0.72461,-0.61829,0.09894,-0.32412
3,9766,3,-0.13934,0.09485,-0.29529,0.94043,4.56250,-0.56641,3.91406,0.22266,0.36914,-0.80273,-0.62429,0.09625,-0.32528
4,9766,3,-0.13879,0.09509,-0.29907,0.93927,4.13281,-0.52734,5.36328,0.47266,0.72461,-0.86328,-0.63222,0.09577,-0.32476
5,10742,3,-0.13672,0.09656,-0.30353,0.93799,3.31250,-0.59766,5.50781,0.67383,0.96289,-0.88477,-0.64191,0.09831,-0.32218
6,9766,3,-0.13318,0.09900,-0.30835,0.93671,2.13281,-0.52734,5.34766,0.90234,1.13281,-0.89453,-0.65261,0.10352,-0.31752
7,9765,3,-0.12830,0.10211,-0.31354,0.93530,1.28516,-0.62891,5.48438,1.25195,1.20703,-0.96094,-0.66428,0.11079,-0.31089
8,9766,3,-0.12213,0.10516,-0.31891,0.93396,-0.78906,-1.63672,5.92188,1.57227,1.25391,-0.98438,-0.67618,0.11882,-0.30188
9,10742,3,-0.11377,0.10815,-0.32507,0.93256,-2.15234,-2.41016,5.62891,1.81250,1.29297,-0.88086,-0.68948,0.12811,-0.28885
10,9766,3,-0.10419,0.11084,-0.33105,0.93127,-3.39844,-3.01172,5.16797,2.06250,1.28320,-0.76562,-0.70210,0.13790,-0.27340
11,9765,3,-0.09357,0.11316,-0.33649,0.93018,-4.41406,-3.32812,4.67969,2.37695,1.18945,-0.65820,-0.71328,0.14809,-0.25577
12,10742,3,-0.08160,0.11481,-0.34155,0.92926,-6.19141,-3.71484,3.71875,2.82422,1.01367,-0.51367,-0.72319,0.15828,-0.23516
13,9766,3,-0.08160,0.11481,-0.34155,0.92926,-6.60156,-3.94922,3.33594,3.28516,0.74023,-0.33008,-0.72319,0.15828,-0.23516
14,11719,3,-0.05231,0.11383,-0.35004,0.92828,-6.94531,-4.22266,2.55469,3.49609,0.41992,-0.08008,-0.73712,0.17563,-0.18056
15,7812,3,-0.03644,0.11066,-0.35278,0.92841,-7.35938,-4.33594,1.17969,3.42188,-0.01562,0.23633,-0.73977,0.18075,-0.14870
16,10742,3,-0.01923,0.10529,-0.35431,0.92902,-7.60547,-3.29297,-2.39062,3.11328,-0.38281,0.61523,-0.73903,0.18301,-0.11243
17,9766,3,-0.00421,0.09857,-0.35382,0.93005,-7.83984,-2.88672,-3.08203,2.88281,-0.49219,1.04297,-0.73423,0.18138,-0.07897
18,9766,3,0.00952,0.09119,-0.35126,0.93176,-7.64453,-2.45703,-3.11328,2.83789,-0.58789,1.40625,-0.72520,0.17755,-0.04707
19,9765,3,0.02191,0.08386,-0.34686,0.93390,-6.37891,-1.66406,-4.00781,2.78320,-0.78711,1.73633,-0.71276,0.17270,-0.01751
20,10743,3,0.03497,0.07526,-0.34027,0.93665,-6.02734,-1.69922,-4.98047,2.59961,-1.01172,2.06641,-0.69572,0.16554,0.01450
21,9765,3,0.04675,0.06616,-0.33234,0.93970,-5.84766,-1.71484,-5.64062,2.33008,-1.25195,2.33398,-0.67639,0.15605,0.04444
22,12695,3,0.05725,0.05609,-0.32275,0.94305,-5.50391,-1.67188,-6.14453,1.98633,-1.54297,2.56641,-0.65429,0.14325,0.07258
23,6836,3,0.06543,0.04584,-0.31256,0.94653,-4.99219,-1.51562,-7.33203,1.55078,-1.83008,2.82031,-0.63172,0.12802,0.09614
24,10743,3,0.07184,0.03412,-0.30042,0.95050,-4.91406,-1.60547,-7.64062,1.09570,-2.04297,3.08008,-0.60590,0.10823,0.11701
25,9765,3,0.07593,0.02130,-0.28656,0.95483,-4.75781,-1.57031,-7.71875,0.66406,-2.31250,3.34570,-0.57748,0.08429,0.13365
26,9766,3,0.07733,0.00867,-0.27216,0.95911,-3.83984,-1.48828,-8.51953,0.16211,-2.59570,3.59766,-0.54873,0.05875,0.14437
27,9765,3,0.07605,-0.00519,-0.25610,0.96362,-3.43359,-1.49609,-8.83594,-0.45508,-2.81055,3.81250,-0.51736,0.02896,0.14985
28,10743,3,0.07178,-0.01941,-0.23901,0.96814,-2.94141,-1.48828,-9.22656,-1.18945,-3.07422,3.98438,-0.48432,-0.00327,0.14882
29,9765,3,0.06384,-0.03418,-0.22083,0.97260,-2.39453,-1.31641,-9.88672,-1.96289,-3.45312,4.19727,-0.44921,-0.03830,0.13985
30,12696,3,0.05157,-0.04993,-0.20160,0.97687,-1.23047,-1.49219,-11.60938,-2.81055,-3.86719,4.51562,-0.41171,-0.07682,0.12154
31,7812,3,0.03625,-0.06543,-0.18286,0.98029,-1.09375,-1.89062,-11.78516,-3.66406,-4.08203,4.96094,-0.37437,-0.11528,0.09579
32,9766,3,0.01508,-0.08282,-0.16095,0.98334,-0.96094,-2.20703,-11.37109,-4.31055,-4.12500,5.35156,-0.32902,-0.15871,0.05706
33,9765,3,-0.01099,-0.10089,-0.13629,0.98547,-0.54297,-2.51953,-10.80078,-4.59180,-4.27344,5.58203,-0.27547,-0.20324,0.00597
34,9766,3,-0.03851,-0.11816,-0.11108,0.98602,2.41016,-3.28906,-10.89844,-4.71289,-4.37891,5.63672,-0.21809,-0.24399,-0.05124
35,10742,3,-0.06696,-0.13556,-0.08527,0.98480,3.47266,-3.83984,-9.98438,-4.63867,-4.24414,5.50586,-0.15660,-0.28215,-0.11348
36,11719,3,-0.09552,-0.15283,-0.05933,0.98181,5.00000,-4.13281,-8.45703,-4.60352,-3.88281,5.14258,-0.09200,-0.31672,-0.17927
37,7812,3,-0.12250,-0.16827,-0.03534,0.97748,10.91016,-3.72266,-5.98828,-4.78125,-3.17773,4.45117,-0.02960,-0.34438,-0.24419
38,9766,3,-0.15137,-0.18237,-0.01239,0.97144,13.70312,-2.05859,-4.80859,-5.00977,-2.11133,3.42969,0.03336,-0.36620,-0.31533
39,10742,3,-0.17859,-0.19171,0.00433,0.96503,15.44141,-0.74609,-3.76953,-5.09570,-1.02539,2.15234,0.08275,-0.37738,-0.38179
40,11719,3,-0.20526,-0.19684,0.01434,0.95862,15.80078,-0.35156,-2.91406,-5.23438,-0.50586,1.08203,0.11692,-0.38061,-0.44442
41,7812,3,-0.23065,-0.19910,0.01782,0.95227,12.69531,-2.76953,-3.83203,-5.42578,-0.20508,0.48047,0.13587,-0.38006,-0.50145
42,10743,3,-0.25641,-0.20026,0.01678,0.94543,10.82812,-3.52734,-2.50000,-5.43359,0.23828,0.17383,0.14522,-0.37907,-0.55758
43,9765,3,-0.28363,-0.20020,0.01276,0.93774,10.34375,-3.70312,-0.83984,-5.07031,0.67578,-0.15625,0.14841,-0.37708,-0.61579
44,9766,3,-0.30798,-0.19830,0.00696,0.93048,11.25781,-2.06641,1.80859,-4.18555,0.92188,-0.63086,0.14560,-0.37335,-0.66683
45,9766,3,-0.32922,-0.19531,-0.00067,0.92383,11.94141,-1.07031,3.12500,-3.04102,1.05273,-1.27539,0.13702,-0.36968,-0.71033
46,9765,3,-0.34485,-0.19232,-0.01007,0.91870,12.06250,-0.60156,4.10938,-1.94336,1.20898,-1.99805,0.12266,-0.36860,-0.74108
47,9766,3,-0.35455,-0.18982,-0.02185,0.91528,11.18750,-0.98828,4.72266,-1.20703,1.26953,-2.68750,0.10171,-0.37147,-0.75827
48,12695,3,-0.35913,-0.18823,-0.03552,0.91339,8.55859,-2.00781,2.90234,-0.93359,1.21680,-3.24219,0.07574,-0.37835,-0.76374
49,7813,3,-0.36096,-0.18768,-0.05237,0.91199,6.76562,-2.30859,2.04297,-0.93945,1.31445,-3.59375,0.04323,-0.38995,-0.76230
50,9765,3,-0.36163,-0.18781,-0.07190,0.91040,5.05469,-2.72266,2.16406,-0.82617,1.56250,-3.79492,0.00535,-0.40491,-0.75732
51,10742,3,-0.36157,-0.18756,-0.09229,0.90863,3.99219,-3.05469,2.89453,-0.50586,1.58594,-3.92383,-0.03513,-0.41979,-0.74996
