lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1071290,3,0.11426,0.06915,0.02032,0.99084,-1.31250,-0.93359,-2.00391,0.93945,-1.10547,-0.10352,0.05661,0.13278,0.23338
1,10742,3,0.11957,0.06415,0.01868,0.99060,-1.44531,-1.02734,-2.25781,0.75391,-1.23633,0.06445,0.05276,0.12293,0.24349
2,9765,3,0.12390,0.05841,0.01764,0.99042,-1.64062,-1.14453,-2.36328,0.55664,-1.34961,0.27930,0.04974,0.11156,0.25169
3,12696,3,0.12726,0.05200,0.01752,0.99036,-1.83594,-1.16797,-2.58594,0.33203,-1.51172,0.50977,0.04818,0.09870,0.25797
4,6836,3,0.12964,0.04492,0.01849,0.99036,-1.77344,-0.83203,-3.43750,0.09375,-1.69141,0.69922,0.04847,0.08428,0.26237
5,10742,3,0.13092,0.03662,0.02045,0.99048,-1.67188,-0.66406,-3.58984,-0.11328,-1.89258,0.84961,0.05023,0.06725,0.26452
6,9765,3,0.13123,0.02692,0.02325,0.99072,-1.52344,-0.58984,-3.71875,-0.30859,-2.09570,0.96094,0.05323,0.04725,0.26463
7,9766,3,0.13055,0.01648,0.02649,0.99097,-0.80469,-0.57422,-3.73438,-0.59961,-2.23828,1.03711,0.05685,0.02575,0.26271
8,10742,3,0.12860,0.00494,0.03021,0.99121,-0.60938,-0.41797,-4.05859,-1.03516,-2.35547,1.08203,0.06121,0.00203,0.25810
9,9766,3,0.12488,-0.00732,0.03406,0.99158,-0.50000,-0.06641,-4.56250,-1.62891,-2.45703,1.14453,0.06577,-0.02303,0.24980
10,9765,3,0.11871,-0.02008,0.03809,0.99200,-0.55859,0.09766,-5.05469,-2.38281,-2.46484,1.27539,0.07094,-0.04890,0.23647
11,9766,3,0.10883,-0.03375,0.04260,0.99255,-0.78516,0.14844,-5.53906,-3.15039,-2.32617,1.44141,0.07753,-0.07635,0.21545
12,10742,3,0.09564,-0.04663,0.04755,0.99316,-0.72266,0.18359,-5.49219,-3.63477,-2.25000,1.56055,0.08608,-0.10190,0.18762
13,9766,3,0.07880,-0.05963,0.05322,0.99365,-0.34375,0.40625,-5.36328,-4.00781,-2.38477,1.63086,0.09732,-0.12724,0.15206
14,9766,3,0.06012,-0.07263,0.05908,0.99377,-0.23438,0.17578,-5.76953,-4.62109,-2.50977,1.77344,0.11019,-0.15205,0.11244
15,12695,3,0.03870,-0.08661,0.06537,0.99335,-0.67578,-1.26562,-6.71875,-5.30469,-2.37500,1.97070,0.12547,-0.17806,0.06666
16,7812,3,0.01477,-0.10022,0.07184,0.99225,-0.93750,-1.61719,-6.07422,-5.73438,-2.07422,2.18555,0.14300,-0.20239,0.01522
17,9766,3,-0.01288,-0.11334,0.07928,0.99030,-1.33203,-1.94141,-5.25391,-5.81250,-1.96680,2.39062,0.16481,-0.22432,-0.04461
18,9766,3,-0.04187,-0.12537,0.08746,0.98737,-1.39062,-2.91797,-5.05469,-5.74414,-2.18555,2.62891,0.18988,-0.24261,-0.10798
19,9765,3,-0.07208,-0.13800,0.09705,0.98303,-1.59375,-3.25781,-5.45703,-5.86328,-2.41211,2.94336,0.21980,-0.26025,-0.17527
20,10742,3,-0.10138,-0.15106,0.10760,0.97742,-2.36328,-3.81641,-5.42969,-6.01758,-2.23242,3.34766,0.25322,-0.27701,-0.24219
21,12696,3,-0.13147,-0.16394,0.11963,0.97034,-3.16797,-4.35547,-4.10156,-5.76953,-1.97852,3.64844,0.29143,-0.29077,-0.31231
22,6836,3,-0.16071,-0.17493,0.13275,0.96228,-1.70703,-4.91016,-0.91016,-5.14258,-1.87500,3.72852,0.33219,-0.29839,-0.38134
23,10742,3,-0.18854,-0.18463,0.14716,0.95325,-0.87891,-4.73828,0.53516,-4.52148,-1.90039,3.72852,0.37543,-0.30105,-0.44813
24,9765,3,-0.21460,-0.19397,0.16284,0.94330,-0.03906,-4.60547,0.68750,-4.28906,-1.90625,3.74219,0.42113,-0.30055,-0.51209
25,9766,3,-0.23730,-0.20245,0.17822,0.93323,0.50000,-4.76562,0.68359,-4.46289,-1.40234,3.73633,0.46504,-0.29767,-0.56900
26,9766,3,-0.26025,-0.20966,0.19336,0.92249,0.60938,-4.71094,1.76953,-4.63477,-0.78516,3.70898,0.50771,-0.29020,-0.62574
27,10742,3,-0.28375,-0.21411,0.20703,0.91150,1.03906,-4.47266,2.32812,-4.61328,-0.41211,3.58008,0.54518,-0.27632,-0.68129
28,8789,3,-0.30798,-0.21637,0.21954,0.90009,1.41016,-3.98047,3.04688,-4.29492,-0.21289,3.35352,0.57811,-0.25709,-0.73621
29,12695,3,-0.30798,-0.21637,0.21954,0.90009,2.18750,-3.61328,3.98438,-3.74023,-0.23047,3.04297,0.57811,-0.25709,-0.73621
30,7813,3,-0.35162,-0.21747,0.24066,0.87817,2.42969,-3.41016,4.37500,-3.05859,-0.43945,2.71680,0.62992,-0.21433,-0.83178
31,10742,3,-0.37006,-0.21796,0.25067,0.86761,2.70312,-3.20312,4.59375,-2.42578,-0.75586,2.37109,0.65310,-0.19388,-0.87216
32,9766,3,-0.38361,-0.21918,0.25964,0.85870,3.28125,-3.03125,4.34375,-1.95508,-0.83984,1.98828,0.67380,-0.17816,-0.90280
33,9765,3,-0.39435,-0.22125,0.26819,0.85065,3.80859,-3.33594,4.90625,-1.55078,-0.70508,1.62109,0.69389,-0.16565,-0.92820
34,10742,3,-0.39435,-0.22125,0.26819,0.85065,4.25781,-3.36328,5.08594,-1.13672,-0.63867,1.32812,0.69389,-0.16565,-0.92820
