lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,941406,3,-0.00250,0.01343,-0.16162,0.98676,-0.46875,1.13281,2.65625,1.16797,-0.05469,-0.87109,-0.32482,0.02569,-0.00928
1,10742,3,0.00256,0.01221,-0.16571,0.98608,-0.58594,0.91406,2.84766,1.33984,0.00195,-0.96094,-0.33297,0.02493,0.00101
2,9766,3,0.00867,0.01105,-0.17023,0.98529,-0.58594,0.68359,2.88672,1.36133,0.03711,-0.96289,-0.34199,0.02472,0.01332
3,9765,3,0.01526,0.01001,-0.17499,0.98444,-1.08203,0.08984,2.08203,1.38867,0.06641,-0.92773,-0.35150,0.02505,0.02655
4,10743,3,0.02209,0.00916,-0.17969,0.98346,-1.18750,-0.14844,2.27344,1.50586,0.08203,-0.88281,-0.36091,0.02595,0.04019
5,9765,3,0.02924,0.00830,-0.18414,0.98242,-1.40234,-0.52734,2.43359,1.47461,0.06250,-0.68750,-0.36984,0.02708,0.05443
6,9766,3,0.03662,0.00739,-0.18799,0.98145,-2.69922,-1.55078,1.36719,1.35742,-0.01758,-0.35938,-0.37752,0.02827,0.06919
7,9765,3,0.04352,0.00629,-0.19055,0.98071,-2.87500,-1.80469,0.72656,1.30273,-0.24023,-0.02344,-0.38261,0.02892,0.08309
8,10743,3,0.04993,0.00439,-0.19153,0.98022,-3.15625,-1.89062,0.55078,1.31641,-0.43750,0.28711,-0.38458,0.02774,0.09638
9,8789,3,0.05603,0.00146,-0.19092,0.97998,-3.64844,-1.86328,0.71094,1.32227,-0.65234,0.62305,-0.38349,0.02427,0.10951
10,10742,3,0.06177,-0.00244,-0.18890,0.98004,-3.86328,-1.79688,-0.54688,1.18164,-0.92188,0.93750,-0.37970,0.01855,0.12232
11,9765,3,0.06744,-0.00800,-0.18506,0.98035,-3.67578,-1.61719,-1.68750,0.80273,-1.15625,1.24219,-0.37252,0.00929,0.13563
12,10743,3,0.07123,-0.01434,-0.17999,0.98096,-3.62891,-1.44141,-2.47656,0.41406,-1.25977,1.58398,-0.36312,-0.00250,0.14543
13,9765,3,0.07306,-0.02130,-0.17340,0.98193,-3.69531,-1.34375,-2.73047,0.21484,-1.35938,1.93945,-0.35083,-0.01650,0.15146
14,9766,3,0.07324,-0.02863,-0.16516,0.98315,-2.68750,-1.56641,-2.98828,-0.03516,-1.53320,2.36133,-0.33535,-0.03210,0.15415
15,10742,3,0.07220,-0.03668,-0.15491,0.98462,-2.55078,-1.79688,-3.93750,-0.73438,-1.62695,2.88281,-0.31595,-0.04989,0.15435
16,12695,3,0.07220,-0.03668,-0.15491,0.98462,-2.61719,-1.77734,-5.12500,-1.85156,-1.61719,3.41992,-0.31595,-0.04989,0.15435
17,6836,3,0.06061,-0.05298,-0.12830,0.98846,-1.96875,-1.37109,-6.89844,-3.16406,-1.45703,3.93164,-0.26415,-0.08930,0.13435
18,9766,3,0.04645,-0.05994,-0.11139,0.99091,-1.65234,-0.89844,-6.94141,-4.37305,-1.23242,4.27734,-0.22966,-0.10864,0.10622
19,10742,3,0.02478,-0.06573,-0.09149,0.99335,-1.05469,-0.28516,-6.88281,-5.39844,-0.95117,4.28516,-0.18760,-0.12639,0.06179
