lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1302734,3,0.32709,-0.17163,0.02185,0.92902,-0.90625,-0.23047,-3.06641,-2.97461,-0.36133,0.92188,-0.07610,-0.33969,0.69011
1,12695,3,0.31317,-0.17499,0.02283,0.93317,-1.27344,-0.34766,-3.09766,-3.08203,-0.45508,0.99609,-0.07133,-0.34785,0.66012
2,7813,3,0.29889,-0.17859,0.02393,0.93713,-0.97656,-0.06641,-2.55078,-2.79102,-0.66797,0.91211,-0.06611,-0.35652,0.62940
3,9765,3,0.28442,-0.18292,0.02490,0.94073,-0.29688,-0.16406,-1.41797,-2.71484,-0.85742,0.93164,-0.06131,-0.36649,0.59857
4,9766,3,0.26990,-0.18842,0.02570,0.94391,-1.01953,-1.05469,-2.41797,-2.99219,-0.90430,1.09375,-0.05728,-0.37855,0.56799
5,9766,3,0.25568,-0.19421,0.02661,0.94666,-1.39844,-1.02734,-2.96875,-3.42578,-0.84180,1.31445,-0.05295,-0.39124,0.53808
6,10742,3,0.23944,-0.20032,0.02808,0.94965,-1.67578,-0.88281,-3.39453,-3.90039,-0.70117,1.57422,-0.04636,-0.40485,0.50349
7,8789,3,0.22064,-0.20618,0.03033,0.95282,-2.05859,-0.91406,-3.51172,-4.36523,-0.66406,1.83203,-0.03632,-0.41839,0.46282
8,10742,3,0.20007,-0.21167,0.03333,0.95605,-2.79688,-1.29688,-4.59375,-4.78516,-0.74219,2.10156,-0.02309,-0.43133,0.41764
9,12695,3,0.17511,-0.21790,0.03729,0.95941,-3.11328,-1.42578,-4.60547,-5.09180,-0.80273,2.38867,-0.00527,-0.44578,0.36226
10,6836,3,0.14984,-0.22424,0.04187,0.96204,-3.34766,-1.82031,-4.35938,-5.16406,-0.79688,2.67969,0.01491,-0.46006,0.30553
11,10743,3,0.12280,-0.23090,0.04767,0.96405,-3.46484,-2.35547,-3.90234,-5.03125,-0.62109,2.98242,0.03958,-0.47447,0.24383
12,9765,3,0.09399,-0.23737,0.05530,0.96527,-3.66406,-4.11328,-1.29297,-4.90820,-0.66211,3.22656,0.07039,-0.48776,0.17662
13,12696,3,0.06604,-0.24329,0.06421,0.96558,-3.63672,-4.10938,-2.27344,-5.00000,-0.93555,3.42578,0.10480,-0.49872,0.10987
14,6835,3,0.03967,-0.24939,0.07349,0.96478,-3.80078,-4.01562,-2.60156,-5.12891,-1.12695,3.58984,0.14016,-0.50872,0.04570
15,10743,3,0.01129,-0.25677,0.08392,0.96277,-4.03906,-3.79688,-2.70703,-5.24414,-1.19531,3.79102,0.18043,-0.51934,-0.02460
16,9765,3,-0.01929,-0.26495,0.09546,0.95935,-3.84766,-4.15234,-2.69922,-5.30078,-1.34766,3.95703,0.22590,-0.52899,-0.10163
17,9766,3,-0.04932,-0.27313,0.10724,0.95471,-3.05859,-3.90234,-3.75391,-5.46289,-1.74219,4.04297,0.27292,-0.53628,-0.17864
18,9766,3,-0.07959,-0.28223,0.11938,0.94855,-2.84766,-3.98828,-4.33984,-5.58789,-2.21875,4.14844,0.32251,-0.54266,-0.25787
19,12695,3,-0.10889,-0.29260,0.13123,0.94092,-2.58594,-4.98047,-4.38281,-5.59570,-2.48828,4.29297,0.37281,-0.54924,-0.33659
20,7812,3,-0.13989,-0.30493,0.14423,0.93097,-2.05859,-5.25391,-3.01172,-5.31836,-2.33594,4.35938,0.42955,-0.55551,-0.42253
21,9766,3,-0.17010,-0.31689,0.15778,0.91962,-0.84766,-5.39453,-1.41016,-4.84180,-2.22461,4.33203,0.48825,-0.55765,-0.50820
22,10742,3,-0.19965,-0.32794,0.17218,0.90717,0.29297,-5.48047,-0.60156,-4.29492,-2.23242,4.24023,0.54845,-0.55418,-0.59292
23,9766,3,-0.22534,-0.33759,0.18634,0.89471,2.23047,-5.71484,0.69141,-3.82617,-2.07227,4.09766,0.60474,-0.54699,-0.66802
24,10742,3,-0.24823,-0.34607,0.20050,0.88226,3.35938,-5.71484,2.09375,-3.56836,-1.62695,3.86328,0.65799,-0.53649,-0.73567
25,9766,3,-0.26965,-0.35297,0.21411,0.87000,4.47266,-5.95312,3.55469,-3.45508,-1.02148,3.58398,0.70679,-0.52206,-0.79756
26,9765,3,-0.28894,-0.35718,0.22540,0.85913,5.62500,-6.19922,5.23828,-3.26562,-0.41992,3.17383,0.74540,-0.50463,-0.84978
27,9766,3,-0.30939,-0.35919,0.23541,0.84845,7.88281,-6.11328,8.38672,-2.76367,0.06836,2.62500,0.77788,-0.48232,-0.90024
28,9765,3,-0.32715,-0.35895,0.24274,0.83978,8.92188,-5.67188,9.71484,-1.84766,0.23242,1.61523,0.79965,-0.46011,-0.94025
29,9766,3,-0.34064,-0.35760,0.24725,0.83362,9.27734,-5.00000,9.98438,-0.85156,-0.15234,1.08984,0.81194,-0.44203,-0.96840
30,10742,3,-0.34833,-0.35687,0.25037,0.82983,9.21484,-4.38672,8.77734,0.08984,-0.18359,0.45508,0.81983,-0.43110,-0.98455
31,12696,3,-0.35114,-0.35675,0.25342,0.82776,8.23047,-4.26172,7.27734,0.65234,-0.04102,-0.14844,0.82662,-0.42536,-0.99124
32,6836,3,-0.34973,-0.35651,0.25494,0.82800,7.01172,-3.77344,5.03125,0.88086,0.20508,-0.56641,0.82867,-0.42471,-0.98838
33,9765,3,-0.34601,-0.35583,0.25476,0.82990,5.64844,-3.70312,3.51172,0.96680,0.30078,-0.67773,0.82594,-0.42720,-0.97955
34,10742,3,-0.34113,-0.35468,0.25342,0.83282,4.27344,-3.28516,2.58203,1.21289,0.20703,-0.91406,0.81976,-0.43111,-0.96721
35,9766,3,-0.33539,-0.35358,0.25165,0.83618,4.48828,-3.05859,2.68359,1.50195,0.13672,-1.21094,0.81245,-0.43620,-0.95299
36,9766,3,-0.32800,-0.35291,0.24933,0.84003,4.73047,-2.82812,3.15625,1.83203,0.39062,-1.50781,0.80409,-0.44379,-0.93580
37,9765,3,-0.31903,-0.35193,0.24622,0.84485,5.44141,-2.53906,4.52344,2.21094,0.75586,-1.80664,0.79288,-0.45286,-0.91441
38,10742,3,-0.30804,-0.34961,0.24182,0.85107,5.47266,-2.50000,4.35156,2.53711,0.94141,-2.10352,0.77630,-0.46245,-0.88650
39,9766,3,-0.29541,-0.34613,0.23639,0.85852,5.35547,-2.51953,3.66016,2.83398,1.03320,-2.39648,0.75503,-0.47198,-0.85294
40,9766,3,-0.28125,-0.34198,0.22998,0.86664,5.03125,-2.42188,2.94141,2.97461,1.12500,-2.68750,0.73004,-0.48181,-0.81483
41,9765,3,-0.26605,-0.33765,0.22266,0.87500,4.40234,-2.12891,0.99219,2.94727,1.22266,-2.97656,0.70225,-0.49202,-0.77380
42,10742,3,-0.24896,-0.33270,0.21332,0.88422,3.68750,-1.92188,-0.16406,2.85156,1.26758,-3.18359,0.66832,-0.50309,-0.72689
43,9766,3,-0.23218,-0.32788,0.20288,0.89301,2.98047,-1.86719,-1.34766,2.66602,1.08203,-3.37109,0.63209,-0.51367,-0.68007
