lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1031250,3,-0.03070,-0.13556,0.13220,0.98145,1.76953,1.34375,2.09766,-0.42383,-0.48438,-0.40820,0.28087,-0.26091,-0.09963
1,9766,3,-0.03278,-0.13806,0.13043,0.98126,2.21875,1.34375,2.68750,-0.01367,-0.64648,-0.63867,0.27822,-0.26550,-0.10417
2,10742,3,-0.03308,-0.14111,0.12781,0.98114,2.72266,1.16016,3.31641,0.47656,-0.85352,-0.86719,0.27344,-0.27179,-0.10503
3,8789,3,-0.03094,-0.14478,0.12445,0.98114,3.14453,0.54688,3.79297,0.88477,-1.06445,-1.07031,0.26656,-0.28002,-0.10085
4,10742,3,-0.02649,-0.14899,0.12054,0.98108,3.77734,-0.66016,4.07422,1.22070,-1.18359,-1.23633,0.25794,-0.29001,-0.09186
5,9766,3,-0.01953,-0.15424,0.11566,0.98108,4.04297,-1.06641,4.06250,1.46680,-1.13281,-1.35547,0.24654,-0.30270,-0.07760
6,10742,3,-0.01117,-0.15930,0.11041,0.98096,4.07422,-1.35547,4.24609,1.68164,-0.82812,-1.51172,0.23372,-0.31528,-0.06009
7,9765,3,-0.00165,-0.16333,0.10468,0.98102,3.93359,-1.58203,4.37500,1.89062,-0.48828,-1.65039,0.21909,-0.32584,-0.03951
8,9766,3,0.00873,-0.16565,0.09839,0.98120,3.44141,-1.49219,3.47266,2.10547,-0.28906,-1.82617,0.20263,-0.33292,-0.01637
9,10742,3,0.02014,-0.16644,0.09161,0.98157,2.90234,-1.53516,2.55859,2.17969,-0.23438,-1.94922,0.18450,-0.33678,0.00958
10,9766,3,0.03247,-0.16656,0.08405,0.98193,2.34375,-1.61719,1.61719,2.15234,-0.20898,-2.03320,0.16427,-0.33901,0.03794
11,11719,3,0.04474,-0.16638,0.07617,0.98212,1.33203,-1.73047,0.89844,2.08008,-0.12500,-2.05273,0.14341,-0.34014,0.06638
12,7812,3,0.05652,-0.16595,0.06812,0.98218,0.87109,-1.98828,0.76172,1.98828,-0.04883,-2.06250,0.12234,-0.34020,0.09392
13,10742,3,0.06824,-0.16510,0.05975,0.98212,0.42188,-2.00781,0.44141,2.00391,-0.01953,-2.10547,0.10072,-0.33889,0.12149
14,8789,3,0.08032,-0.16388,0.05072,0.98187,0.17578,-2.08984,0.39453,2.07617,0.00781,-2.11328,0.07770,-0.33628,0.15005
15,10743,3,0.09155,-0.16260,0.04248,0.98151,-0.71875,-2.48438,0.33984,2.11133,0.05273,-2.02930,0.05677,-0.33309,0.17647
16,9765,3,0.10400,-0.16101,0.03375,0.98090,-1.21875,-2.82812,-0.00391,2.11328,0.10547,-1.88086,0.03458,-0.32877,0.20553
17,10742,3,0.11591,-0.15918,0.02594,0.98010,-1.58984,-2.85547,-0.31641,2.06641,0.14258,-1.74414,0.01471,-0.32364,0.23302
18,9766,3,0.12762,-0.15729,0.01880,0.97913,-1.72656,-2.91406,-0.61328,1.87695,0.18555,-1.58203,-0.00351,-0.31812,0.25979
19,12695,3,0.13867,-0.15515,0.01233,0.97803,-2.52344,-2.68750,-1.64844,1.64648,0.24219,-1.42578,-0.01987,-0.31194,0.28482
20,6836,3,0.14795,-0.15308,0.00684,0.97705,-3.03516,-2.69141,-1.99219,1.38477,0.25391,-1.22070,-0.03350,-0.30590,0.30573
21,9766,3,0.15649,-0.15082,0.00171,0.97607,-3.51172,-2.78906,-2.22266,1.13281,0.25391,-0.98047,-0.04593,-0.29942,0.32488
22,10742,3,0.16351,-0.14862,-0.00250,0.97528,-4.11328,-2.58203,-2.54297,0.95312,0.24414,-0.75781,-0.05590,-0.29326,0.34048
23,9766,3,0.16943,-0.14667,-0.00586,0.97455,-4.02344,-2.44141,-2.58594,0.80078,0.19727,-0.56055,-0.06379,-0.28784,0.35352
24,10742,3,0.17426,-0.14508,-0.00818,0.97394,-3.94531,-2.34375,-2.79297,0.56641,0.13672,-0.36328,-0.06931,-0.28352,0.36399
