lineno,time,accurate,i,j,k,r,aX,aY,aZ,gX,gY,gZ,rx,ry,rz
0,1011719,3,-0.07104,-0.15326,0.28046,0.94489,2.12500,1.33594,1.25000,-0.50391,-0.67969,-0.36914,0.60631,-0.25245,-0.22944
1,9766,3,-0.07391,-0.15710,0.27930,0.94440,3.05078,0.86719,1.93359,0.16602,-0.96289,-0.93359,0.60606,-0.25830,-0.23738
2,9765,3,-0.07306,-0.16150,0.27637,0.94458,4.49609,-0.66406,3.41797,0.54688,-1.01953,-1.46680,0.60149,-0.26790,-0.23793
3,10742,3,-0.06903,-0.16608,0.27130,0.94556,4.45703,-1.79688,3.47266,0.56250,-0.94922,-1.91602,0.59166,-0.28026,-0.23168
4,9766,3,-0.06372,-0.17053,0.26410,0.94714,4.06250,-2.74219,3.05859,0.60938,-0.92578,-2.36523,0.57682,-0.29359,-0.22203
5,9766,3,-0.05804,-0.17474,0.25494,0.94928,4.16016,-3.69531,4.50000,0.97852,-0.92969,-2.96289,0.55745,-0.30695,-0.21062
6,10742,3,-0.05054,-0.17902,0.24292,0.95203,4.21094,-3.97266,5.93359,1.38477,-0.82812,-3.60547,0.53130,-0.32184,-0.19434
7,9765,3,-0.04083,-0.18256,0.22839,0.95544,3.68750,-4.41406,6.16406,1.90430,-0.65430,-4.13281,0.49854,-0.33650,-0.17185
8,9766,3,-0.02869,-0.18494,0.21161,0.95929,2.87109,-4.50391,6.00391,2.58203,-0.58203,-4.50977,0.45942,-0.34975,-0.14237
9,9766,3,-0.01282,-0.18616,0.19244,0.96338,1.95703,-4.82422,6.22656,3.33594,-0.67383,-4.72656,0.41321,-0.36159,-0.10319
10,10742,3,0.00604,-0.18652,0.17322,0.96704,1.58984,-5.06250,5.49609,3.90039,-0.80664,-4.67383,0.36516,-0.37132,-0.05683
11,9766,3,0.02856,-0.18677,0.15375,0.96991,0.89844,-5.37109,4.21094,4.15234,-0.74414,-4.30273,0.31484,-0.38015,-0.00218
12,9765,3,0.05170,-0.18671,0.13647,0.97150,0.22266,-5.49609,3.28516,4.13672,-0.49609,-3.80664,0.26867,-0.38644,0.05345
